learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.09375,3.4197000786662106E-9,1000.0,0.9000456065673457,0.6480309711305094,0.838,0.6757354000864705,0.0,0.9762845849802372,0.8371050754037073,0.8076923076923077,0.6470588235294117,1000.0,141000.0,15.0,0.6424883112325936,0.3575116887674063,793.6,30.139674848942892,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.140625,5.129550117999316E-9,2000.0,0.9221127340958828,0.6937220427302396,0.865,0.729863851381096,0.9000456065673457,0.9723865877712031,0.8647233998946899,0.8519269776876268,0.7163865546218487,2000.0,141000.0,15.0,0.39210331050151503,0.607896689498485,1572.5333333333333,42.20167001886246,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.1875,6.839400157332421E-9,3000.0,0.8926765251904487,0.6645180360246353,0.85,0.7000767803442318,0.9221127340958828,1.032520325203252,0.8501088208940574,0.8366141732283464,0.686411149825784,3000.0,141000.0,15.0,0.34148624889736445,0.6585137511026357,2359.666666666667,47.43818032324765,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.234375,8.549250196665527E-9,4000.0,0.9053958175499357,0.6472341317617503,0.83,0.6599061340930096,0.8926765251904487,1.0964360587002095,0.8304717755655174,0.8183556405353728,0.6443514644351463,4000.0,141000.0,15.0,0.6180771681184095,0.3819228318815906,3152.3999999999996,48.6500623990203,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.328125,1.3544049579650165E-8,5000.0,0.8984473504088764,0.6365837004817986,0.856,0.7129106474263636,0.9053958175499357,1.053388090349076,0.8549421653232973,0.7875243664717348,0.6998749478949562,5000.0,205944.0,15.0,0.5933345418665432,0.4066654581334568,3933.933333333333,56.15853410106922,7238.400000000001,1512.0126983593755,3.933333333333333,1.0327955589886444,2.466666666666667,0.5163977794943222,2.466666666666667,0.5163977794943222,1.4666666666666666,0.5163977794943222,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.390625,1.7255758090565605E-8,6000.0,0.8940429980892408,0.6150145127582543,0.865,0.7315911277944347,0.8984473504088764,1.079002079002079,0.863609266667597,0.7764932562620424,0.718652309829802,6000.0,229560.0,15.0,0.3629231397844802,0.6370768602155199,4700.333333333333,65.35580274452259,8800.0,0.0,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.453125,2.125501244639357E-8,7000.0,0.9096269077896658,0.6027192358995535,0.855,0.7115897174772653,0.8940429980892408,1.053388090349076,0.8502144767691263,0.7426900584795322,0.6986342042755344,7000.0,247344.0,15.0,0.351963441514036,0.6480365584859641,5478.000000000001,76.24490615303887,9975.466666666665,1490.2577853065109,5.933333333333334,1.2798809468443686,3.466666666666667,0.6399404734221843,3.466666666666667,0.6399404734221843,2.466666666666667,0.6399404734221843,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.53125,2.642595467882024E-8,8000.0,0.8960241098872951,0.604096196053998,0.874,0.7490839573044448,0.9096269077896658,1.0491803278688525,0.870763308686177,0.77734375,0.7385892116182573,8000.0,255848.0,15.0,0.4372205844938298,0.5627794155061702,6261.133333333334,84.54150854264819,10538.133333333335,2147.6482109729327,6.199999999999999,1.4735767952260146,3.5999999999999996,0.7367883976130073,3.5999999999999996,0.7367883976130073,2.5999999999999996,0.7367883976130073,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.578125,2.9567713176624645E-8,9000.0,0.8935529472069712,0.591185350358995,0.859,0.7196016354582625,0.8960241098872951,1.0703933747412009,0.8568785108429258,0.7659574468085106,0.7075362986863333,9000.0,259080.0,15.0,0.4285829583681053,0.5714170416318946,7046.8,91.41600360049515,10752.0,2390.701988956382,6.333333333333333,1.632993161855452,3.6666666666666665,0.816496580927726,3.6666666666666665,0.816496580927726,2.6666666666666665,0.816496580927726,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.625,3.274856782000926E-8,10000.0,0.9007964286714322,0.6164211123476648,0.885,0.7701765044445866,0.8935529472069712,1.012072434607646,0.8829111298167407,0.8190854870775348,0.7626908790755262,10000.0,262304.0,15.0,0.43099908082809746,0.5690009191719025,7850.533333333333,98.08441456700653,10964.800000000001,2594.097563976454,6.6000000000000005,1.8822478962286402,3.8000000000000003,0.9411239481143201,3.8000000000000003,0.9411239481143201,2.8000000000000003,0.9411239481143201,0.0,0.0,0.0,0.0,1.0,0.0
