learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.15625,1.8914579413831233E-8,1000.0,0.9467107680999632,0.7666116082431175,0.888,0.5432635450904908,0.0,0.10253583241455347,0.8947929416155707,0.9032258064516129,-0.20430107526881744,1000.0,467928.0,15.0,2114.9999999999995,46.75162334843872,3139.2,756.0063491796877,1.1333333333333333,0.5163977794943222,1.0666666666666667,0.2581988897471611,1.0666666666666667,0.2581988897471611,0.06666666666666667,0.2581988897471611,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.296875,3.895023837685585E-8,2000.0,0.9777683973547207,0.806166877494421,0.95,0.7690979117215134,0.9467107680999632,0.11482720178372352,0.9506441967104007,0.9514563106796117,0.4897959183673464,2000.0,550736.0,15.0,4010.733333333333,65.1311497416303,8611.733333333334,1833.7181379709941,5.4,1.8822478962286402,3.2,0.9411239481143201,3.2,0.9411239481143201,1.9999999999999998,0.6546536707079771,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.40625,5.672132829204201E-8,3000.0,0.9884079417930695,0.7887979803075018,0.949,0.7548925371986617,0.9777683973547207,0.10987791342952276,0.9401655463855702,0.9292929292929293,0.4813559322033896,3000.0,628056.0,15.0,5941.8,79.17719729460372,13723.733333333334,3761.4937660962505,8.866666666666667,2.325838302531758,4.933333333333334,1.162919151265879,4.933333333333334,1.162919151265879,3.266666666666666,0.7988086367179803,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.53125,7.980260609959562E-8,4000.0,0.9736161654855392,0.7786343496703891,0.927,0.6608058880380643,0.9884079417930695,0.1013215859030837,0.9256113485214944,0.9239130434782609,0.2454780361757111,4000.0,713760.0,15.0,8089.733333333333,68.85540404838721,19385.600000000006,3862.9850190161046,13.266666666666667,2.6040261866871424,7.133333333333334,1.3020130933435712,7.133333333333334,1.3020130933435712,3.9999999999999996,0.5345224838248488,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.640625,1.0183883003062671E-7,5000.0,0.9811107880197731,0.7962826004463738,0.946,0.7398718628064933,0.9736161654855392,0.10497237569060773,0.9466120854099936,0.9473684210526315,0.43983402489626533,5000.0,778792.0,15.0,10130.266666666666,80.66019257766904,23684.266666666663,3084.681957828454,16.333333333333332,2.225394561056747,8.666666666666666,1.1126972805283735,8.666666666666666,1.1126972805283735,4.2,0.6761234037828132,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.734375,1.219647108680672E-7,6000.0,0.9942666666666666,0.8594635266199685,0.949,0.7656249999999997,0.9811107880197731,0.1111111111111111,0.9626237294210259,0.98,0.47422680412371077,6000.0,829824.0,15.0,12190.466666666667,107.61297496562557,27055.999999999996,5129.131143353063,19.133333333333333,3.9617216074880997,10.066666666666666,1.9808608037440498,10.066666666666666,1.9808608037440498,4.733333333333333,0.7037315505489968,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.828125,1.436695715205537E-7,7000.0,0.9932600732600733,0.8848593593628769,0.96,0.7913188647746243,0.9942666666666666,0.0989010989010989,0.9629966964443011,0.9666666666666667,0.5833333333333328,7000.0,894928.0,15.0,14114.4,101.7004003363379,31360.533333333333,4697.738754924949,21.66666666666667,3.4364987719368987,11.333333333333336,1.7182493859684493,11.333333333333336,1.7182493859684493,5.333333333333334,0.8997354108424372,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.953125,1.7375129068063364E-7,8000.0,0.9905601497893587,0.8904133428039129,0.962,0.8345408945241743,0.9932600732600733,0.13122171945701358,0.9672482212688858,0.9741379310344828,0.6142131979695429,8000.0,930240.0,15.0,16112.6,119.74663729248145,33692.799999999996,4274.591830138372,23.933333333333334,3.6929791819200983,12.466666666666667,1.8464895909600492,12.466666666666667,1.8464895909600492,5.866666666666666,0.8338093878327919,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,1.03125,1.9373543586374983E-7,9000.0,0.9941582072399924,0.8896270823509187,0.957,0.7820180063265469,0.9905601497893587,0.1013215859030837,0.96165219665329,0.967391304347826,0.5602272727272721,9000.0,988776.0,15.0,18120.466666666667,138.3473200043315,37565.866666666676,4555.307326415555,25.933333333333334,3.453086955726647,13.466666666666667,1.7265434778633235,13.466666666666667,1.7265434778633235,6.466666666666667,0.5163977794943223,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.140625,2.2310989960614175E-7,10000.0,0.9947848318928458,0.8793019094475701,0.96,0.802488643096978,0.9941582072399924,0.10864745011086474,0.9596360759440605,0.9591836734693877,0.5910020449897747,10000.0,1038136.0,15.0,20137.33333333333,151.39950305007517,40826.13333333333,5755.683673759439,29.26666666666667,3.76955220278534,15.133333333333335,1.88477610139267,15.133333333333335,1.88477610139267,7.133333333333333,0.6399404734221844,0.0,0.0,0.0,0.0,1.0,0.0
