learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.140625,5.125184543430805E-9,1000.0,0.9224982308286156,0.5307248740697071,0.853,0.7053635853443437,0.0,0.8656716417910447,0.8536896548293988,0.8642241379310345,0.6825053995680345,1000.0,140880.0,15.0,998.6666666666667,34.21709402929367,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.28125,1.025036908686161E-8,2000.0,0.94328131252501,0.542819808174599,0.856,0.712,0.9224982308286156,1.0408163265306123,0.8561128264829744,0.8490196078431372,0.7024793388429752,2000.0,140880.0,15.0,1990.5333333333333,46.83079979590154,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.3125,1.1389298985401789E-8,3000.0,0.9526571826342993,0.5622689656093764,0.87,0.7399875194009312,0.94328131252501,0.9762845849802372,0.8700258617305646,0.8724696356275303,0.736664415935179,3000.0,140880.0,15.0,2989.4,61.491927460904456,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.40625,1.665592814485232E-8,4000.0,0.9477947326506029,0.5331513864745536,0.856,0.7122658663395023,0.9526571826342993,1.0449897750511248,0.8561487998773841,0.8277886497064579,0.7079107505070994,4000.0,217152.0,15.0,3983.5333333333333,60.407978028765406,7985.6,1109.72923338469,4.599999999999999,0.8280786712108251,2.7999999999999994,0.41403933560541256,2.7999999999999994,0.41403933560541256,1.7999999999999998,0.4140393356054125,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.453125,1.9666622392833233E-8,5000.0,0.9516205843628316,0.5704411593336456,0.875,0.7500879690348997,0.9477947326506029,0.9569471624266145,0.8752066827789817,0.8916155419222904,0.7461413484971567,5000.0,248272.0,15.0,4983.866666666667,63.40331972681683,10042.133333333333,1849.8036137719616,6.199999999999999,1.2649110640673515,3.5999999999999996,0.6324555320336758,3.5999999999999996,0.6324555320336758,2.1333333333333337,0.3518657752744984,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.484375,2.1770894010033872E-8,6000.0,0.9522070600294702,0.590905543426415,0.876,0.7522536922191675,0.9516205843628316,0.937984496124031,0.8764488567514165,0.9049586776859504,0.7474541751527495,6000.0,260288.0,15.0,5980.666666666666,79.45948353601044,10837.333333333334,2594.9871088770547,6.6,1.7237832147426693,3.8,0.8618916073713346,3.8,0.8618916073713346,2.266666666666667,0.45773770821706344,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.546875,2.6011774833831524E-8,7000.0,0.9498277993111972,0.5962101917874701,0.867,0.7340319161700596,0.9522070600294702,0.9960079840319361,0.8665165915341804,0.8977955911823647,0.7280957943925234,7000.0,262288.0,15.0,6977.400000000001,79.67684732718784,10970.666666666668,2559.7458207147574,6.6,1.7237832147426693,3.8,0.8618916073713346,3.8,0.8618916073713346,2.266666666666667,0.45773770821706344,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.59375,2.933164877403114E-8,8000.0,0.9481943793066128,0.5844994799605036,0.872,0.7443997587772723,0.9498277993111972,0.9120458891013384,0.8729033783940539,0.9077568134171907,0.7373685560400103,8000.0,273768.0,15.0,7989.533333333332,90.70979366455789,11728.533333333335,2019.3723871775699,7.4,1.121223821162776,4.2,0.560611910581388,4.2,0.560611910581388,2.6666666666666665,0.4879500364742665,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.65625,3.4570855657673546E-8,9000.0,0.9597637874086677,0.5949308416267356,0.903,0.8064413138045258,0.9481943793066128,0.941747572815534,0.9031135325347431,0.954639175257732,0.8001831082627604,9000.0,324032.0,15.0,8997.666666666668,93.18466049935985,15050.666666666666,1602.7452638995321,9.8,1.0141851056742202,5.4,0.5070925528371101,5.4,0.5070925528371101,3.6666666666666665,0.4879500364742666,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.703125,3.8754628298597205E-8,10000.0,0.9517294413559974,0.6056107231137735,0.892,0.7830000642962773,0.9597637874086677,1.0746887966804979,0.8887990735120207,0.9401544401544402,0.777319587628866,10000.0,345008.0,15.0,10008.4,100.59238823802008,16438.93333333333,2342.934651447278,10.466666666666667,1.5976172734359606,5.733333333333333,0.7988086367179803,5.733333333333333,0.7988086367179803,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,0.75,4.3088479691909423E-8,11000.0,0.9473347104129638,0.6036000158305354,0.871,0.7427922000239263,0.9517294413559974,0.9455252918287937,0.87037573626283,0.9382716049382716,0.7349645125140082,11000.0,357384.0,15.0,11014.466666666669,95.4641792706012,17257.6,2913.191592934261,11.0,2.0,6.0,1.0,6.0,1.0,4.066666666666666,0.25819888974716115,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,0.796875,4.7609468715058434E-8,12000.0,0.9485645406089439,0.5971653527157188,0.878,0.754514320668687,0.9473347104129638,1.0703933747412009,0.8720820886865155,0.9516441005802708,0.749658002735978,12000.0,372816.0,15.0,12011.333333333334,75.81148298497351,18276.8,3046.931646286614,11.799999999999997,2.1111946516469904,6.399999999999999,1.0555973258234952,6.399999999999999,1.0555973258234952,4.200000000000001,0.4140393356054128,0.0,0.0,0.0,0.0,1.0,0.0
13000.0,0.859375,5.387571743792958E-8,13000.0,0.9507552120833933,0.618755987546215,0.895,0.7898974699653432,0.9485645406089439,1.0080321285140563,0.8927870704149168,0.954183266932271,0.7843601895734598,13000.0,387552.0,15.0,13006.666666666666,69.80755860288505,19250.66666666666,2523.0614812356903,12.6,1.7237832147426693,6.8,0.8618916073713346,6.8,0.8618916073713346,4.533333333333333,0.5163977794943221,0.0,0.0,0.0,0.0,1.0,0.0
14000.0,0.921875,6.078069822655784E-8,14000.0,0.9585594237695078,0.6092117814924698,0.891,0.7825653301416317,0.9507552120833933,0.9607843137254902,0.88947876252758,0.9653061224489796,0.7761806981519508,14000.0,427056.0,15.0,13999.133333333333,80.35445286502846,21863.46666666667,2260.800296565882,14.333333333333332,1.447493728911492,7.666666666666666,0.723746864455746,7.666666666666666,0.723746864455746,5.333333333333333,0.7237468644557459,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,0.984375,6.793040989173784E-8,15000.0,0.9629509548454755,0.6386522334655712,0.903,0.8063222797265351,0.9585594237695078,0.949317738791423,0.9031053898395948,0.946611909650924,0.8008213552361397,15000.0,442192.0,15.0,14986.666666666666,91.40073981153128,22864.533333333333,1933.572188857662,14.999999999999998,1.3093073414159544,7.999999999999999,0.6546536707079772,7.999999999999999,0.6546536707079772,5.666666666666666,0.48795003647426666,0.0,0.0,0.0,0.0,1.0,0.0
16000.0,1.03125,7.356791886397535E-8,16000.0,0.9603568922305764,0.6435855376559985,0.9,0.7983261066854896,0.9629509548454755,1.105263157894737,0.8946154716442496,0.96,0.7947138824736978,16000.0,464888.0,15.0,15983.066666666668,71.06482620684808,24365.333333333332,2184.2651156025213,15.933333333333332,1.486446705914413,8.466666666666667,0.7432233529572064,8.466666666666667,0.7432233529572064,5.866666666666666,0.35186577527449875,0.0,0.0,0.0,0.0,1.0,0.0
