learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.15625,1.8795253708958628E-8,1000.0,0.8733254397158298,0.5371261093433463,0.804,0.6080235185888847,0.0,0.9880715705765407,0.804011984779941,0.8108651911468813,0.5634743875278397,1000.0,464976.0,15.0,0.5650021431771783,0.4349978568228216,833.8666666666668,29.94964027131132,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.296875,3.571098204702139E-8,2000.0,0.8676300091065547,0.5805129872620689,0.832,0.6640362840813191,0.8733254397158298,1.1141649048625792,0.832808772430015,0.8140417457305503,0.6379310344827586,2000.0,464976.0,15.0,0.5504887256083109,0.4495112743916892,1699.7333333333333,36.5874035050056,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.421875,5.0747185014188285E-8,3000.0,0.904576,0.6230377276098575,0.859,0.718,0.8676300091065547,1.0,0.8589854480723175,0.864,0.7012711864406779,3000.0,464976.0,15.0,0.5675160244576813,0.4324839755423187,2567.0,57.53259945457011,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.53125,6.451096851378679E-8,4000.0,0.8775950380152061,0.5823296241777716,0.836,0.6723931282461046,0.904576,1.0408163265306123,0.8359279336187311,0.8,0.6560041950707918,4000.0,486432.0,15.0,0.31406994217250045,0.6859300578274997,3421.4666666666662,57.05744807606075,4361.600000000001,1372.7310005969853,2.0666666666666664,1.0327955589886444,1.5333333333333332,0.5163977794943222,1.5333333333333332,0.5163977794943222,0.5333333333333334,0.5163977794943222,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.6875,8.685203890005747E-8,5000.0,0.902812479979499,0.6157555512435205,0.868,0.7367413363967068,0.8775950380152061,1.0661157024793388,0.8679927956896936,0.813953488372093,0.7237337798241942,5000.0,552696.0,15.0,0.5077289507227852,0.4922710492772149,4295.933333333333,57.9525257266259,8744.0,115.9310139695155,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.796875,1.0318278024593988E-7,6000.0,0.8911337740157891,0.6098589305201988,0.854,0.7052303443151855,0.902812479979499,0.8903591682419659,0.848314127190883,0.7898089171974523,0.6955161626694474,6000.0,577152.0,15.0,0.6019746391284175,0.3980253608715824,5145.133333333333,71.56102956484732,10361.599999999999,1873.7457061801556,6.066666666666667,1.279880946844369,3.5333333333333337,0.6399404734221845,3.5333333333333337,0.6399404734221845,2.4666666666666672,0.5163977794943223,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.875,1.1484759549299876E-7,7000.0,0.9148099239695878,0.6546663110629851,0.878,0.7554522129570237,0.8911337740157891,0.9607843137254902,0.875691003661427,0.8285714285714286,0.7463617463617463,7000.0,577152.0,15.0,0.5458929101583179,0.4541070898416821,6002.200000000001,77.08640791809069,10361.599999999999,1873.7457061801556,6.066666666666667,1.279880946844369,3.5333333333333337,0.6399404734221845,3.5333333333333337,0.6399404734221845,2.4666666666666672,0.5163977794943223,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.953125,1.2651241074005763E-7,8000.0,0.8797146789137635,0.6148324725797852,0.855,0.7096585584647545,0.9148099239695878,0.9762845849802372,0.85329059944311,0.8097165991902834,0.6995596995596995,8000.0,577152.0,15.0,0.5488201491861179,0.4511798508138821,6881.666666666667,85.99058641724073,10361.599999999999,1873.7457061801556,6.066666666666667,1.279880946844369,3.5333333333333337,0.6399404734221845,3.5333333333333337,0.6399404734221845,2.4666666666666672,0.5163977794943223,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,1.046875,1.4051018903652827E-7,9000.0,0.8806112320696722,0.6214553135117229,0.865,0.7308397798867533,0.8797146789137635,1.0491803278688525,0.8636235331842643,0.79296875,0.7203682393555811,9000.0,577152.0,15.0,0.4588360982609876,0.5411639017390123,7757.533333333334,86.70217221423371,10361.599999999999,1873.7457061801556,6.066666666666667,1.279880946844369,3.5333333333333337,0.6399404734221845,3.5333333333333337,0.6399404734221845,2.4666666666666672,0.5163977794943223,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.171875,1.598240083290471E-7,10000.0,0.906664,0.6146457546739799,0.865,0.73,0.8806112320696722,1.0,0.8636110235516913,0.816,0.7208436724565757,10000.0,597256.0,15.0,0.32231796874571633,0.6776820312542837,8645.733333333335,94.76698239566825,11690.666666666666,1111.0568113716047,7.0,0.7559289460184544,4.0,0.3779644730092272,4.0,0.3779644730092272,2.933333333333333,0.2581988897471612,0.0,0.0,0.0,0.0,1.0,0.0
