learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.140625,5.129550117999315E-9,1000.0,0.6682220157323892,0.12045836834621054,0.627,0.2564092340815756,0.0,0.9305019305019305,0.6268247046316826,0.6784232365145229,0.21802935010482177,1000.0,141000.0,15.0,0.5226939240716254,0.4773060759283745,1100.6,34.38604368053991,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.1875,6.83940015733242E-9,2000.0,0.6916515978300876,0.1120648240682427,0.633,0.266052844195218,0.6682220157323892,0.9762845849802372,0.633038471366233,0.6376518218623481,0.24173553719008264,2000.0,141000.0,15.0,0.41283598677979755,0.5871640132202024,2216.266666666667,49.73568231398961,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.25,9.205606248643663E-9,3000.0,0.6911049228602523,0.11702051400507663,0.613,0.22552912170599726,0.6916515978300876,0.968503937007874,0.6124834975939476,0.5955284552845529,0.1998621640248105,3000.0,146344.0,15.0,0.6400307776909839,0.35996922230901607,3320.9333333333334,70.03516123722284,3297.066666666667,931.7405729268718,1.2666666666666668,0.7037315505489967,1.1333333333333335,0.35186577527449847,1.1333333333333335,0.35186577527449847,0.13333333333333336,0.3518657752744984,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.328125,1.3845241887287961E-8,4000.0,0.6911952479876396,0.15789945065439065,0.641,0.28371335764850475,0.6911049228602523,1.053388090349076,0.6403664628818297,0.5925925925925926,0.2635897435897437,4000.0,229560.0,15.0,0.7571167053620719,0.24288329463792802,4415.8,66.55953296539441,8800.0,0.0,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.375,1.662902327047454E-8,5000.0,0.6604179754240374,0.1485129681643792,0.618,0.23822134655345018,0.6911952479876396,1.0366598778004072,0.6138909539335762,0.5363457760314342,0.22452293950466914,5000.0,229560.0,15.0,0.484808427580213,0.5151915724197871,5540.933333333333,70.22053694983983,8800.0,0.0,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.40625,1.848487752593226E-8,6000.0,0.6285588558855886,0.1295382510318962,0.599,0.19960079840319356,0.6604179754240374,1.02020202020202,0.5914482066065547,0.499009900990099,0.18661257606490866,6000.0,229560.0,15.0,0.4579132366776936,0.5420867633223065,6645.200000000001,86.62332249457997,8800.0,0.0,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.4375,2.0364596922364502E-8,7000.0,0.6877790044640715,0.13798305140969164,0.638,0.2756523131102929,0.6285588558855886,0.9920318725099602,0.634985394558978,0.5783132530120482,0.2657200811359027,7000.0,232512.0,15.0,0.526917919711962,0.47308208028803816,7730.866666666667,89.2187253460895,8995.2,756.006349179688,5.133333333333334,0.5163977794943223,3.066666666666667,0.25819888974716115,3.066666666666667,0.25819888974716115,2.066666666666667,0.25819888974716115,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.484375,2.386084007513192E-8,8000.0,0.7156537635354873,0.17692502720900827,0.677,0.35489798200904354,0.6877790044640715,1.012072434607646,0.6675148243578315,0.5606361829025845,0.34598835737787903,8000.0,288312.0,15.0,0.5493009537506165,0.4506990462493836,8836.666666666668,95.08392283110935,12684.266666666666,2076.89849351887,7.799999999999999,1.4735767952260144,4.3999999999999995,0.7367883976130073,4.3999999999999995,0.7367883976130073,3.4,0.7367883976130073,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.546875,2.8861266198671526E-8,9000.0,0.6716860597764088,0.17863943983339148,0.638,0.2828985162734494,0.7156537635354873,1.053388090349076,0.6145854989884183,0.45419103313840153,0.2652232746955346,9000.0,309264.0,15.0,0.52808748368846,0.4719125163115399,9960.200000000003,96.47072094682393,14070.4,1641.4716741823042,8.6,1.121223821162776,4.8,0.5606119105813882,4.8,0.5606119105813882,3.8,0.5606119105813882,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.609375,3.386169232221113E-8,10000.0,0.6855187420749683,0.18457331513385905,0.65,0.29951526456307775,0.6716860597764088,0.9960079840319361,0.6262791461499222,0.47695390781563124,0.28876244665718354,10000.0,309264.0,15.0,0.4643589297945029,0.5356410702054971,11075.533333333335,101.17655478466963,14070.4,1641.4716741823042,8.6,1.121223821162776,4.8,0.5606119105813882,4.8,0.5606119105813882,3.8,0.5606119105813882,0.0,0.0,0.0,0.0,1.0,0.0
