learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.125,1.50362029671669E-8,1000.0,0.9604068911189506,0.7594788184537405,0.885,0.557372253783505,0.0,0.10741971207087486,0.9126426594533311,0.9484536082474226,-0.18556701030927855,1000.0,464976.0,15.0,169.9333333333333,9.881199078962798,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.25,3.00724059343338E-8,2000.0,0.9863394784919448,0.8476852099768203,0.929,0.7085768700334932,0.9604068911189506,0.1210762331838565,0.9476848773754799,0.9722222222222222,0.3073170731707324,2000.0,464976.0,15.0,376.79999999999995,20.135966399881145,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.375,4.5108608901500704E-8,3000.0,0.9877984740370062,0.8628704183553316,0.945,0.766636683016242,0.9863394784919448,0.122334455667789,0.9647671461922699,0.9908256880733946,0.4745222929936302,3000.0,464976.0,15.0,583.1333333333334,21.665860790873857,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.46875,5.638576112687588E-8,4000.0,0.9793781373721926,0.8209799816254875,0.928,0.6672981840025879,0.9877984740370062,0.09769484083424808,0.945041933642407,0.9662921348314607,0.2853598014888343,4000.0,464976.0,15.0,751.1333333333334,25.505928349158022,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.546875,6.57833879813552E-8,5000.0,0.9876007578560297,0.8542391209484106,0.93,0.6974019798556178,0.9793781373721926,0.10987791342952276,0.9517620303703737,0.9797979797979798,0.30278884462151473,5000.0,464976.0,15.0,940.6,28.39466750742369,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.609375,7.330148946493865E-8,6000.0,0.986976506639428,0.8556790721086561,0.931,0.7200811359026372,0.9876007578560297,0.12359550561797752,0.9528410290062619,0.9818181818181818,0.32352941176470623,6000.0,464976.0,15.0,1150.0,30.930798336193753,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.6875,8.269911631941797E-8,7000.0,0.9864906414543219,0.8551211184185001,0.942,0.7660158141035984,0.986976506639428,0.13378684807256236,0.9559306326596755,0.9745762711864406,0.44383561643835584,7000.0,464976.0,15.0,1373.2,38.58978399228775,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.78125,9.397626854479314E-8,8000.0,0.9826868848097898,0.8404398677298182,0.932,0.7110686212024646,0.9864906414543219,0.11731843575418995,0.9450505334500066,0.9619047619047619,0.3485029940119765,8000.0,464976.0,15.0,1580.2,34.626991948891124,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.859375,1.0337389539927246E-7,9000.0,0.9862900440602401,0.8496358650329974,0.924,0.6951048277743457,0.9826868848097898,0.11982082866741321,0.952603046708864,0.9906542056074766,0.2738853503184719,9000.0,464976.0,15.0,1790.9333333333336,42.680652469685775,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.9375,1.1277152225375177E-7,10000.0,0.9834641255605381,0.8323834694628508,0.937,0.7345803842264917,0.9862900440602401,0.1210762331838565,0.9522741772303975,0.9722222222222222,0.4000000000000004,10000.0,464976.0,15.0,2002.533333333333,46.18575331770407,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
