learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.140625,5.129550117999315E-9,1000.0,0.9477333333333333,0.6175316939701387,0.952,0.7356828193832596,0.0,0.1111111111111111,0.8652231568278274,0.77,0.5199999999999995,1000.0,141000.0,15.0,0.8969303055540454,0.1030696944459545,1382.3333333333333,38.0576004548494,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.203125,7.586301459620395E-9,2000.0,0.9794111111111111,0.6551776720162389,0.942,0.7264150943396224,0.9477333333333333,0.1111111111111111,0.9276074361256251,0.91,0.4199999999999994,2000.0,151944.0,15.0,0.8458943738580529,0.15410562614194703,2740.733333333334,50.56462154887518,3667.2000000000003,1627.806376692265,1.5333333333333334,1.1872336794093274,1.2666666666666668,0.5936168397046636,1.2666666666666668,0.5936168397046636,0.26666666666666666,0.5936168397046637,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.296875,1.3178311443577209E-8,3000.0,0.9630968193659325,0.5715797758350754,0.926,0.6576198099327272,0.9794111111111111,0.122334455667789,0.8624556421378567,0.7889908256880734,0.28155339805825275,3000.0,230568.0,15.0,0.941972219254554,0.05802778074544583,4134.533333333333,66.15983531965433,8864.0,2185.876744662686,5.266666666666667,1.486446705914413,3.1333333333333333,0.7432233529572065,3.1333333333333333,0.7432233529572065,2.1333333333333333,0.7432233529572065,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.390625,1.9573587148139873E-8,4000.0,0.9737854904129793,0.6796362324529912,0.934,0.6891952983725139,0.9630968193659325,0.10619469026548672,0.9214706346547206,0.90625,0.3481481481481484,4000.0,263688.0,15.0,0.7808834747312247,0.21911652526877534,5511.533333333333,60.24102383244269,11052.800000000001,2325.928975699817,6.866666666666665,1.5976172734359602,3.9333333333333327,0.7988086367179801,3.9333333333333327,0.7988086367179801,2.6,0.5070925528371099,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.453125,2.401405557369192E-8,5000.0,0.9831425710961388,0.7397066610297114,0.946,0.7827818405618708,0.9737854904129793,0.145475372279496,0.9387440334930843,0.9291338582677166,0.4924812030075186,5000.0,274632.0,15.0,0.8573770952150994,0.14262290478490053,6920.666666666667,69.0741492545372,11776.0,2748.722300581542,7.3999999999999995,1.8822478962286406,4.2,0.9411239481143201,4.2,0.9411239481143201,2.6666666666666665,0.48795003647426655,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.515625,2.8993914990375437E-8,6000.0,0.9819009110347693,0.7166163706689044,0.952,0.7825082239077834,0.9831425710961388,0.12485939257592801,0.9373400612464049,0.918918918918919,0.5520995334370135,6000.0,307992.0,15.0,0.8946126062123586,0.1053873937876414,8306.333333333334,87.44440410640235,13982.399999999998,2826.708858624915,8.866666666666665,1.9223002094465096,4.933333333333333,0.9611501047232548,4.933333333333333,0.9611501047232548,3.1999999999999997,0.5606119105813882,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.53125,3.0318915378302336E-8,7000.0,0.972815506980366,0.6917129781271177,0.926,0.6161507179019009,0.9819009110347693,0.08459869848156182,0.9127947645654764,0.8974358974358975,0.28155339805825275,7000.0,327792.0,15.0,0.8521540570125634,0.14784594298743653,9640.733333333334,95.64104518359012,15290.666666666666,2612.1976152183397,9.933333333333332,1.6676187756655838,5.466666666666666,0.8338093878327919,5.466666666666666,0.8338093878327919,3.5999999999999996,0.5070925528371099,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.578125,3.444719671582182E-8,8000.0,0.9804250559284117,0.7266806780342794,0.938,0.725391538516051,0.972815506980366,0.1185682326621924,0.9320323548555906,0.9245283018867925,0.4002418379685605,8000.0,340432.0,15.0,0.9489790867331479,0.05102091326685201,11045.466666666665,102.91665606323446,16126.400000000001,1744.812916700732,10.6,1.3522468075656264,5.8,0.6761234037828132,5.8,0.6761234037828132,3.8666666666666663,0.3518657752744984,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.640625,4.086970067065623E-8,9000.0,0.9779575892857143,0.6976823908340083,0.932,0.7072801157104487,0.9804250559284117,0.11607142857142858,0.9407395949873286,0.9519230769230769,0.34264232008592965,9000.0,397216.0,15.0,0.5545191900927975,0.4454808099072024,12441.666666666666,107.67190021188492,19881.066666666666,3117.1457518209254,13.0,2.138089935299395,7.0,1.0690449676496976,7.0,1.0690449676496976,4.533333333333333,0.5163977794943223,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.6875,4.591038709299432E-8,10000.0,0.9834381646228336,0.7328247119384281,0.946,0.7435410334346503,0.9779575892857143,0.10864745011086474,0.9427717107415751,0.9387755102040817,0.4752186588921278,10000.0,415672.0,15.0,0.8913141760207027,0.10868582397929734,13825.333333333332,115.43375754497642,21100.266666666666,3239.9334972598845,13.933333333333334,2.250925735484551,7.466666666666667,1.1254628677422756,7.466666666666667,1.1254628677422756,4.7333333333333325,0.45773770821706344,0.0,0.0,0.0,0.0,1.0,0.0
