learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.125,1.50362029671669E-8,1000.0,0.688106843951597,0.21921433287005837,0.602,0.07965387585964509,0.0,0.09051254089422028,0.6129983457747555,0.6265060240963856,-3.7951807228915686,1000.0,464976.0,15.0,156.5333333333333,9.782394292566517,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.28125,3.383145667612553E-8,2000.0,0.664531744128963,0.17973985416699828,0.574,0.08454427066544581,0.688106843951597,0.10741971207087486,0.610443301841226,0.6597938144329897,-3.7333333333333356,2000.0,464976.0,15.0,328.59999999999997,17.504285189632846,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.421875,5.074718501418829E-8,3000.0,0.6833144154370034,0.19067702315561375,0.514,0.06641514943120477,0.664531744128963,0.13507377979568672,0.5754775994918128,0.6722689075630253,-3.8762541806020057,3000.0,464976.0,15.0,549.2,21.031269236883592,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.625,7.51810148358345E-8,4000.0,0.5943495448445943,0.14901718549295773,0.517,0.011356100117081633,0.6833144154370034,0.1001100110011001,0.5167675327362072,0.5164835164835165,-3.9538461538461522,4000.0,464976.0,15.0,721.6666666666666,22.0183905817279,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.71875,8.645816706120967E-8,5000.0,0.7012643248629796,0.17551485085620078,0.518,0.06531182128451761,0.5943495448445943,0.1210762331838565,0.5806937217432393,0.6759259259259259,-3.8393574297188744,5000.0,464976.0,15.0,922.4,29.021666782890712,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.828125,9.961484465748071E-8,6000.0,0.5634643553343098,0.13401455417775118,0.512,0.009776428620707826,0.7012643248629796,0.11234705228031146,0.5132631144538461,0.5148514851485149,-3.8881469115191987,6000.0,464976.0,15.0,1118.6000000000001,34.23406824453425,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.953125,1.1465104762464761E-7,7000.0,0.629768497391433,0.1358613083899669,0.517,0.05268856008661133,0.5634643553343098,0.09769484083424808,0.577303981899582,0.6629213483146067,-3.9142441860465103,7000.0,464976.0,15.0,1293.4666666666667,36.864358835885824,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,1.015625,1.2216914910823106E-7,8000.0,0.6417826617826617,0.14272057381673542,0.541,0.04925639007415391,0.629768497391433,0.0989010989010989,0.5712911922773065,0.6111111111111112,-3.71979434447301,8000.0,464976.0,15.0,1460.533333333333,35.016050741392995,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,1.109375,1.3344630133360625E-7,9000.0,0.6462516395923721,0.14981779176143567,0.52,0.035358143385973304,0.6417826617826617,0.10987791342952276,0.5480939292082372,0.5858585858585859,-3.9258836944127706,9000.0,464976.0,15.0,1643.0,39.49321822432665,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.1875,1.4284392818808555E-7,10000.0,0.8405923833226829,0.21115704008628622,0.563,0.1531664212076582,0.6462516395923721,0.10987791342952276,0.6939236715923522,0.9191919191919192,-3.4774590163934422,10000.0,464976.0,15.0,1839.2000000000003,40.886952162552525,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
