learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes)
1000.0,0.484375,1.2034294842224982E-7,1000.0,0.8012852822580645,0.38743972208341404,0.972,0.21242124212421234,0.0,0.008064516129032258,0.6985006985010478,0.5,-2.5,1000.0,960376.0
2000.0,0.734375,1.9448191677737565E-7,2000.0,1.0,0.9149932968416976,0.999,0.9328318108543798,0.8012852822580645,0.007049345417925478,0.9994963484948717,1.0,0.8666666666666657,2000.0,1146328.0
3000.0,0.90625,2.461649516286949E-7,3000.0,1.0,0.9741485244064636,0.999,0.9406739439962034,1.0,0.008064516129032258,0.9994958406536122,1.0,0.869565217391305,3000.0,1162352.0
4000.0,1.09375,3.053392477643986E-7,4000.0,0.998995983935743,0.9906127995490513,0.997,0.7258771929824548,1.0,0.004016064257028112,0.99849284013819,1.0,0.5555555555555574,4000.0,1219928.0
5000.0,1.28125,3.693447797559201E-7,5000.0,1.0,0.9930805821954785,0.998,0.9220698254364093,0.998995983935743,0.012145748987854251,0.9989873415124059,1.0,0.7435897435897443,5000.0,1319528.0
6000.0,1.484375,4.4281820818367926E-7,6000.0,0.999766191255553,0.9367881961360824,0.996,0.8551249547265489,1.0,0.013171225937183385,0.9593076764748412,0.9230769230769231,0.5384615384615404,6000.0,1398200.0
7000.0,1.671875,5.140717581121457E-7,7000.0,1.0,0.9813799362457006,0.999,0.9468650371944738,0.999766191255553,0.009081735620585268,0.9994953317871872,1.0,0.8852459016393437,7000.0,1468952.0
8000.0,1.84375,5.80513701101558E-7,8000.0,1.0,0.9906318556871848,0.997,0.8406289842753935,1.0,0.008064516129032258,0.9984867582755481,1.0,0.6521739130434777,8000.0,1494280.0
9000.0,1.984375,6.360528318004475E-7,9000.0,0.9997479838709677,0.9528040829419563,0.998,0.8878923766816147,1.0,0.008064516129032258,0.9989914268739957,1.0,0.7662337662337656,9000.0,1526648.0
10000.0,2.15625,7.059747197975715E-7,10000.0,0.9998561358077974,0.9816652071521469,0.994,0.6972449288525597,0.9997479838709677,0.007049345417925478,0.9969742744562131,1.0,0.2857142857142819,10000.0,1572544.0
