learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.0625,2.27980005244414E-9,1000.0,0.8104838709677419,0.2519574507373871,0.994,0.39807383627608156,0.0,0.008064516129032258,0.5,0.25,0.25,1000.0,141000.0,15.0,0.9999999999927498,7.250099252701694E-12,1050.0666666666668,34.998911547701155,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.140625,5.129550117999315E-9,2000.0,1.0,0.9024663160811947,1.0,1.0,0.8104838709677419,0.007049345417925478,1.0,1.0,1.0,2000.0,141000.0,15.0,0.9998202989700085,1.7970102999144343E-4,2089.7333333333327,45.62340669103111,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.234375,8.549250196665525E-9,3000.0,1.0,0.8852095566737308,1.0,1.0,1.0,0.008064516129032258,1.0,1.0,1.0,3000.0,141000.0,15.0,0.9999999999972536,2.746231623617433E-12,3149.133333333333,59.306548261272646,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.328125,1.2938107829540968E-8,4000.0,0.6182228915662651,0.24393594949166023,0.997,0.39903846153846056,1.0,0.004016064257028112,0.5,0.25,0.5555555555555574,4000.0,180960.0,15.0,0.9999999999999878,1.227527705321859E-14,4172.400000000001,57.76281552298937,5584.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.375,1.5217228792607785E-8,5000.0,0.9370360998650472,0.6341872635035392,0.996,0.7980613893376417,0.6182228915662651,0.012145748987854251,0.816496580927726,0.6666666666666666,0.4871794871794886,5000.0,187944.0,15.0,0.999999979135408,2.0864591969993253E-8,5266.933333333333,62.245443512720264,6048.0,681.6450689325054,3.1333333333333337,0.5163977794943222,2.0666666666666664,0.2581988897471611,2.0666666666666664,0.2581988897471611,1.0666666666666669,0.2581988897471611,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.40625,1.7062023592491945E-8,6000.0,0.9460681162808823,0.7206991872068138,0.997,0.8680738786279688,0.9370360998650472,0.013171225937183385,0.8770580193070292,0.7692307692307693,0.6538461538461553,6000.0,228192.0,15.0,0.9993637261522073,6.36273847792696E-4,6353.466666666667,80.63309021794487,8707.199999999999,756.006349179688,5.133333333333333,0.5163977794943222,3.0666666666666664,0.2581988897471611,3.0666666666666664,0.2581988897471611,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.4375,1.8906818392376105E-8,7000.0,0.9238143289606459,0.8539538253370486,0.999,0.9406739439962034,0.9460681162808823,0.009081735620585268,0.9428090415820634,0.8888888888888888,0.8852459016393437,7000.0,228192.0,15.0,0.9270371513446526,0.07296284865534738,7420.2666666666655,81.95074014018316,8707.199999999999,756.006349179688,5.133333333333333,0.5163977794943222,3.0666666666666664,0.2581988897471611,3.0666666666666664,0.2581988897471611,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.5,2.2841268219053743E-8,8000.0,0.9598034274193549,0.7957449299338999,0.999,0.9328318108543798,0.9238143289606459,0.008064516129032258,0.9354143466934853,0.875,0.8840579710144926,8000.0,243336.0,15.0,0.9999943287900407,5.671209959197874E-6,8488.199999999999,93.14826890500959,9707.2,1329.9634366617536,5.933333333333333,1.0327955589886446,3.4666666666666663,0.5163977794943223,3.4666666666666663,0.5163977794943223,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.546875,2.6060733944177626E-8,9000.0,0.9974798387096774,0.4855641382386046,0.996,0.6648793565683628,0.9598034274193549,0.008064516129032258,0.7071067811865476,0.5,0.5324675324675311,9000.0,265488.0,15.0,0.9099700309327122,0.09002996906728783,9556.8,91.50581558411602,11171.199999999999,74.36128024718245,7.0,0.0,4.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.578125,2.8252446403106054E-8,10000.0,0.9998561358077974,0.7525113039503873,0.999,0.9225766491173739,0.9974798387096774,0.007049345417925478,0.9258200997725514,0.8571428571428571,0.8809523809523804,10000.0,271104.0,15.0,0.9999997881291687,2.1187083124088654E-7,10620.733333333334,100.26498225535502,11542.4,976.1273921544695,7.2666666666666675,0.7037315505489968,4.133333333333334,0.35186577527449875,4.133333333333334,0.35186577527449875,2.1333333333333337,0.3518657752744984,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,0.625,3.1572320343305665E-8,11000.0,0.999172718080706,0.9080701323288513,0.998,0.9156616344775238,0.9998561358077974,0.011122345803842264,0.9989883659524731,1.0,0.7684210526315794,11000.0,273768.0,15.0,0.9999999999984472,1.552750645388493E-12,11712.533333333331,95.01343263429857,11718.4,1505.2857725836836,7.4,1.1212238211627759,4.2,0.560611910581388,4.2,0.560611910581388,2.2,0.5606119105813882,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,0.671875,3.489219428350528E-8,12000.0,1.0,0.8255583640489389,0.998,0.9080882352941175,0.999172718080706,0.012145748987854251,0.9128709291752769,0.8333333333333334,0.7757009345794394,12000.0,273768.0,15.0,0.934381207700563,0.0656187922994369,12802.933333333334,77.66362144040211,11718.4,1505.2857725836836,7.4,1.1212238211627759,4.2,0.560611910581388,4.2,0.560611910581388,2.2,0.5606119105813882,0.0,0.0,0.0,0.0,1.0,0.0
13000.0,0.71875,3.824437347551187E-8,13000.0,0.9671361502347418,0.817482942483975,0.998,0.8323272971160285,1.0,0.006036217303822937,0.9124116230183138,0.8333333333333334,0.7699115044247778,13000.0,276432.0,15.0,0.997496843504546,0.0025031564954540128,13847.533333333335,73.22067103398234,11894.400000000001,1902.941362357608,7.533333333333334,1.4074631010979937,4.2666666666666675,0.7037315505489968,4.2666666666666675,0.7037315505489968,2.266666666666667,0.7037315505489968,0.0,0.0,0.0,0.0,1.0,0.0
14000.0,0.75,4.047915960351626E-8,14000.0,0.9998878798071533,0.9195250972040349,0.999,0.9468650371944738,0.9671361502347418,0.009081735620585268,0.9994953317871872,1.0,0.8852459016393437,14000.0,276432.0,15.0,0.9911370617705635,0.00886293822943659,14903.666666666668,82.05892191996335,11894.400000000001,1902.941362357608,7.533333333333334,1.4074631010979937,4.2666666666666675,0.7037315505489968,4.2666666666666675,0.7037315505489968,2.266666666666667,0.7037315505489968,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,0.78125,4.271394573152065E-8,15000.0,0.999746963562753,0.9615357600743927,0.999,0.95949449125081,0.9998878798071533,0.012145748987854251,0.9994937990057828,1.0,0.8880597014925374,15000.0,276432.0,15.0,0.9998820981539108,1.1790184608903058E-4,15984.0,90.9112597143897,11894.400000000001,1902.941362357608,7.533333333333334,1.4074631010979937,4.2666666666666675,0.7037315505489968,4.2666666666666675,0.7037315505489968,2.266666666666667,0.7037315505489968,0.0,0.0,0.0,0.0,1.0,0.0
16000.0,0.84375,4.78315632790327E-8,16000.0,0.9399460188933874,0.8243084392351572,0.998,0.9156545209176786,0.999746963562753,0.012145748987854251,0.9569424572025013,0.9166666666666666,0.7808219178082202,16000.0,316512.0,15.0,0.9999999999999994,4.72805146001764E-22,17057.93333333333,73.48514589130713,14542.400000000001,1902.941362357608,9.533333333333335,1.4074631010979937,5.2666666666666675,0.7037315505489968,5.2666666666666675,0.7037315505489968,3.1333333333333337,0.3518657752744984,0.0,0.0,0.0,0.0,1.0,0.0
17000.0,0.890625,5.1698686244587094E-8,17000.0,1.0,0.9298191769417342,1.0,1.0,0.9399460188933874,0.006036217303822937,1.0,1.0,1.0,17000.0,318896.0,15.0,0.99817519963686,0.0018248003631400759,18109.333333333336,76.02693758198608,14699.733333333335,1959.411845670119,9.666666666666666,1.4474937289114913,5.333333333333333,0.7237468644557457,5.333333333333333,0.7237468644557457,3.1333333333333337,0.3518657752744984,0.0,0.0,0.0,0.0,1.0,0.0
18000.0,0.9375,5.578855052590369E-8,18000.0,1.0,0.8428560829058709,1.0,1.0,1.0,0.006036217303822937,1.0,1.0,1.0,18000.0,337264.0,15.0,0.9998530247380725,1.4697526192763562E-4,19140.333333333336,93.74103131703264,15913.066666666668,1818.6409158908698,10.6,1.3522468075656264,5.8,0.6761234037828132,5.8,0.6761234037828132,3.1333333333333337,0.3518657752744984,0.0,0.0,0.0,0.0,1.0,0.0
19000.0,0.984375,6.008252967149018E-8,19000.0,1.0,0.6864987344159792,0.999,0.9518768046198265,1.0,0.011122345803842264,0.9534625892455924,0.9090909090909091,0.8875739644970416,19000.0,354096.0,15.0,0.9999996411702873,3.588297126930862E-7,20226.666666666668,91.80621412726344,17025.600000000006,1166.6497087202922,11.4,0.8280786712108256,6.2,0.4140393356054128,6.2,0.4140393356054128,3.2,0.4140393356054125,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,1.03125,6.461671243111292E-8,20000.0,0.9989888776541962,0.796215190812514,0.997,0.8680506685432792,1.0,0.011122345803842264,0.9524980340272683,0.9090909090909091,0.6666666666666666,20000.0,373904.0,15.0,0.9974899812586453,0.0025100187413546566,21303.399999999998,89.7733654424137,18334.933333333334,1681.0414912303916,12.333333333333334,1.234426799696735,6.666666666666667,0.6172133998483675,6.666666666666667,0.6172133998483675,3.5999999999999996,0.5070925528371099,0.0,0.0,0.0,0.0,1.0,0.0
21000.0,1.078125,6.93491892889142E-8,21000.0,0.9996377861489424,0.7854230163682173,0.997,0.8950314905528338,0.9989888776541962,0.014198782961460446,0.9626463091634064,0.9285714285714286,0.6752577319587636,21000.0,390256.0,15.0,0.999999443136384,5.568636159573652E-7,22411.266666666663,93.01878970452769,19415.466666666667,1669.5524578532447,13.133333333333333,1.1872336794093272,7.066666666666666,0.5936168397046636,7.066666666666666,0.5936168397046636,3.933333333333333,0.5936168397046637,0.0,0.0,0.0,0.0,1.0,0.0
22000.0,1.125,7.41731491871178E-8,22000.0,0.9986504723346828,0.75538731607141,0.998,0.9080882352941175,0.9996377861489424,0.012145748987854251,0.9128709291752769,0.8333333333333334,0.7864077669902908,22000.0,397800.0,15.0,0.997494188353352,0.0025058116466479983,23492.399999999998,88.26000550322067,19915.2,1201.3432482017784,13.399999999999999,0.8280786712108253,7.199999999999999,0.4140393356054127,7.199999999999999,0.4140393356054127,4.066666666666666,0.45773770821706344,0.0,0.0,0.0,0.0,1.0,0.0
23000.0,1.15625,7.740839565586712E-8,23000.0,1.0,0.9261327472483393,0.999,0.95949449125081,0.9986504723346828,0.012145748987854251,0.9994937990057828,1.0,0.8944954128440372,23000.0,400184.0,15.0,0.9999997384149328,2.6158506721594327E-7,24588.266666666666,96.98782446904399,20072.533333333336,1238.123803333476,13.533333333333333,0.9154754164341272,7.266666666666667,0.4577377082170636,7.266666666666667,0.4577377082170636,4.133333333333333,0.5163977794943223,0.0,0.0,0.0,0.0,1.0,0.0
24000.0,1.203125,8.233276376914646E-8,24000.0,0.9986868686868687,0.7750574922494524,0.995,0.7801231310466146,1.0,0.010101010101010102,0.9467648263236422,0.9,0.4736842105263127,24000.0,406080.0,15.0,0.9999995078117014,4.921882985325946E-7,25648.066666666666,93.22129329616445,20462.4,1441.1652428305565,13.8,1.01418510567422,7.4,0.50709255283711,7.4,0.50709255283711,4.266666666666666,0.4577377082170636,0.0,0.0,0.0,0.0,1.0,0.0
