learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.109375,3.986254644890626E-9,1000.0,0.8898469387755102,0.41619113600313073,0.987,0.5460893854748616,0.0,0.02040816326530612,0.6321327682810739,0.4,0.35,1000.0,140880.0,15.0,998.6666666666667,34.21709402929367,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.171875,6.2641144419709846E-9,2000.0,0.9985314405233412,0.6094233834865856,0.99,0.7450150441123969,0.8898469387755102,0.02354145342886387,0.806745845340271,0.6521739130434783,0.5348837209302314,2000.0,140880.0,15.0,1990.5333333333333,46.83079979590154,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.234375,8.541974239051342E-9,3000.0,0.9984159312061552,0.6167919038389319,0.99,0.6617965367965369,0.9985314405233412,0.018329938900203666,0.7445965873180366,0.5555555555555556,0.5081967213114745,3000.0,140880.0,15.0,2989.4,61.491927460904456,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.3125,1.2226034111032884E-8,4000.0,0.9964993169398907,0.3880404170332412,0.986,0.5823389021479709,0.9984159312061552,0.02459016393442623,0.6454972243679028,0.4166666666666667,0.3411764705882344,4000.0,182280.0,15.0,3983.5333333333333,60.407978028765406,5679.999999999999,140.52961050458876,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.375,1.5250374821739065E-8,5000.0,0.9968345941305864,0.585007344731827,0.99,0.7008674842955432,0.9964993169398907,0.019367991845056064,0.7935033164887273,0.631578947368421,0.5192307692307697,5000.0,187048.0,15.0,4983.866666666667,63.40331972681683,5994.666666666667,915.8498525309443,3.266666666666667,0.7037315505489968,2.1333333333333337,0.35186577527449847,2.1333333333333337,0.35186577527449847,1.1333333333333335,0.3518657752744984,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.453125,1.9192488657103647E-8,6000.0,0.9993565585072157,0.644791006106727,0.995,0.7343816404589891,0.9968345941305864,0.011122345803842264,0.797320634921016,0.6363636363636364,0.7391304347826084,6000.0,195048.0,15.0,5980.666666666666,79.45948353601044,6523.2,1377.3375558871335,3.666666666666667,0.9759000729485332,2.3333333333333335,0.48795003647426655,2.3333333333333335,0.48795003647426655,1.3333333333333335,0.4879500364742666,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.515625,2.2355234250426296E-8,7000.0,0.9992742486338798,0.6281444982969401,0.992,0.8055231427460133,0.9993565585072157,0.02459016393442623,0.8411941404736561,0.7083333333333334,0.597122302158274,7000.0,195608.0,15.0,6977.400000000001,79.67684732718784,6560.533333333333,1429.4997060243873,3.666666666666667,0.9759000729485332,2.3333333333333335,0.48795003647426655,2.3333333333333335,0.48795003647426655,1.3333333333333335,0.4879500364742666,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.578125,2.5948716534508602E-8,8000.0,0.9993480150680962,0.435560268520237,0.99,0.44096601073345604,0.9992742486338798,0.014198782961460446,0.5345224838248488,0.2857142857142857,0.47712418300653403,8000.0,222248.0,15.0,7989.533333333332,90.70979366455789,8320.533333333335,141.3232700819886,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.625,2.8643828247570333E-8,9000.0,0.9996070837192332,0.6647797959134758,0.994,0.911187424139258,0.9993480150680962,0.03842159916926272,0.9294981282976457,0.8648648648648649,0.7157894736842099,9000.0,222248.0,15.0,8997.666666666668,93.18466049935985,8320.533333333335,141.3232700819886,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.671875,3.1529279011819104E-8,10000.0,0.9998729674796748,0.6631199560221525,0.998,0.9323226854358418,0.9996070837192332,0.016260162601626018,0.9354143466934853,0.875,0.902912621359223,10000.0,237944.0,15.0,10008.4,100.59238823802008,9357.333333333334,1752.3252579141265,5.8,1.2649110640673518,3.4,0.6324555320336759,3.4,0.6324555320336759,2.0666666666666664,0.2581988897471611,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,0.671875,3.1529279011819104E-8,11000.0,0.9983462230653242,0.6372220174296285,0.994,0.8469465843579407,0.9998729674796748,0.021450459652706845,0.8988159058389731,0.8095238095238095,0.7092511013215862,11000.0,238224.0,15.0,11014.466666666669,95.4641792706012,9376.000000000002,1800.5713378972641,5.8,1.2649110640673518,3.4,0.6324555320336759,3.4,0.6324555320336759,2.0666666666666664,0.2581988897471611,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,0.71875,3.444606490019296E-8,12000.0,0.9743794871794872,0.6587290374399466,0.992,0.8141695702671312,0.9983462230653242,0.02564102564102564,0.8480928831569915,0.72,0.6190476190476191,12000.0,240528.0,15.0,12011.333333333334,75.81148298497351,9529.6,1768.031544644253,5.8,1.2649110640673518,3.4,0.6324555320336759,3.4,0.6324555320336759,2.0666666666666664,0.2581988897471611,0.0,0.0,0.0,0.0,1.0,0.0
