learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.171875,2.0674779079854488E-8,1000.0,0.9898994244631828,0.9163418497050467,0.966,0.9207267029769454,0.0,0.42450142450142453,0.9718105593209562,0.9865771812080537,0.8859060402684563,1000.0,464976.0,15.0,559.8666666666667,24.468249591976086,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.3125,3.759050741791725E-8,2000.0,0.999357217926582,0.9638113185568964,0.991,0.9789057226430661,0.9898994244631828,0.44508670520231214,0.9898895848962219,0.987012987012987,0.9702970297029703,2000.0,464976.0,15.0,1139.1333333333334,27.315266967829718,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.40625,4.8867659643292425E-8,3000.0,0.999128854231414,0.9637641876369374,0.992,0.9811987666390916,0.999357217926582,0.4409221902017291,0.9914948819439564,0.9901960784313726,0.9736842105263158,3000.0,464976.0,15.0,1725.3333333333335,40.94363140197698,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.515625,6.209994252357218E-8,4000.0,0.9990822004244823,0.9633980243012245,0.988,0.9715386220898241,0.999128854231414,0.42450142450142453,0.9895146186294886,0.9932885906040269,0.9603305785123967,4000.0,467648.0,15.0,2277.6,40.86353596335697,3120.5333333333333,683.7106600504827,1.1333333333333335,0.5163977794943222,1.0666666666666669,0.2581988897471611,1.0666666666666669,0.2581988897471611,0.06666666666666667,0.2581988897471611,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.609375,7.344869017187092E-8,5000.0,0.9981800715420153,0.9558404910871314,0.983,0.9593328676547982,0.9990822004244823,0.4144271570014144,0.9839774359408707,0.9863481228668942,0.9434464404524284,5000.0,467928.0,15.0,2862.866666666667,42.69638102206038,3139.2000000000003,756.0063491796878,1.1333333333333335,0.5163977794943222,1.0666666666666669,0.2581988897471611,1.0666666666666669,0.2581988897471611,0.06666666666666667,0.2581988897471611,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.71875,8.752825023192499E-8,6000.0,0.9983649791465561,0.9474182311902473,0.99,0.9771000407619275,0.9981800715420153,0.46412884333821375,0.9926523618904143,1.0,0.967032967032967,6000.0,497592.0,15.0,3443.666666666667,55.102069790871695,5098.666666666666,1073.5454389655845,2.733333333333333,0.7037315505489969,1.8666666666666665,0.35186577527449847,1.8666666666666665,0.35186577527449847,0.8666666666666665,0.3518657752744984,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.8125,1.0025904177584582E-7,7000.0,0.9994305987473172,0.9406632321842525,0.992,0.9805731880855363,0.9983649791465561,0.40646976090014064,0.9912921005025357,0.9896193771626297,0.9734471313418681,7000.0,524912.0,15.0,4002.6666666666665,61.00897670093508,6904.533333333334,1602.179848414861,4.199999999999999,1.0141851056742202,2.6,0.5070925528371099,2.6,0.5070925528371099,1.5999999999999999,0.50709255283711,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.90625,1.1356647721388274E-7,8000.0,0.9994662820050487,0.9491222081709528,0.991,0.9783840906907484,0.9994305987473172,0.41843971631205673,0.989668957171557,0.9864406779661017,0.9700499168053245,8000.0,548688.0,15.0,4571.0,67.31058078574486,8478.4,1292.3376825405526,4.866666666666666,0.9154754164341269,2.933333333333333,0.45773770821706344,2.933333333333333,0.45773770821706344,1.9333333333333331,0.45773770821706344,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,1.015625,1.295146648772061E-7,9000.0,0.9978999341979382,0.9368245082771745,0.984,0.9630565189081354,0.9994662820050487,0.4513788098693759,0.9866004760061913,0.9935691318327974,0.9469613259668508,9000.0,563632.0,15.0,5148.733333333333,71.40174734423192,9466.666666666666,1240.231007667907,5.533333333333335,0.9154754164341269,3.2666666666666675,0.45773770821706344,3.2666666666666675,0.45773770821706344,2.2666666666666675,0.45773770821706344,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.109375,1.4353611428911488E-7,10000.0,0.9982898852971845,0.946381186072941,0.988,0.9722882941135718,0.9978999341979382,0.45985401459854014,0.9878112460459506,0.9873015873015873,0.9603960396039604,10000.0,578128.0,15.0,5767.533333333333,80.78973296391662,10424.0,1679.926529005701,6.466666666666667,1.1872336794093272,3.7333333333333334,0.5936168397046636,3.7333333333333334,0.5936168397046636,2.7333333333333334,0.5936168397046636,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,1.1875,1.554846918831269E-7,11000.0,0.9990417275470123,0.9495971434695378,0.986,0.9671015528067075,0.9982898852971845,0.4326647564469914,0.9880786206163834,0.9933774834437086,0.953781512605042,11000.0,591192.0,15.0,6361.866666666666,75.16255400004398,11287.466666666667,1610.543735453814,7.0,1.3093073414159542,3.9999999999999996,0.6546536707079771,3.9999999999999996,0.6546536707079771,3.0,0.6546536707079771,0.0,0.0,0.0,0.0,1.0,0.0
