learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.109375,4.0731780851880705E-9,1000.0,0.9552045323602842,0.7462961095776091,0.926,0.8521135767730385,0.0,0.968503937007874,0.9259802938038991,0.9573170731707317,0.8451882845188285,1000.0,143952.0,15.0,0.5343886498619763,0.4656113501380237,767.8666666666666,31.84531063632147,3139.2000000000003,756.0063491796878,1.1333333333333335,0.5163977794943222,1.0666666666666669,0.2581988897471611,1.0666666666666669,0.2581988897471611,0.06666666666666667,0.2581988897471611,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.203125,7.564473586777845E-9,2000.0,0.9730398921595687,0.7672364422085132,0.941,0.8819763952790557,0.9552045323602842,1.0040080160320641,0.9396188224669225,0.9900199600798403,0.8790983606557375,2000.0,143952.0,15.0,0.3939285518822566,0.6060714481177434,1536.7333333333333,41.04782344441424,3139.2000000000003,756.0063491796878,1.1333333333333335,0.5163977794943222,1.0666666666666669,0.2581988897471611,1.0666666666666669,0.2581988897471611,0.06666666666666667,0.2581988897471611,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.265625,9.892003921171029E-9,3000.0,0.9754361652701902,0.7776464178584338,0.945,0.8902134251016024,0.9730398921595687,0.9305019305019305,0.9455700699436803,0.9896265560165975,0.8853370396108408,3000.0,143952.0,15.0,0.5171678096673346,0.4828321903326653,2290.2,49.67494338195054,3139.2000000000003,756.0063491796878,1.1333333333333335,0.5163977794943222,1.0666666666666669,0.2581988897471611,1.0666666666666669,0.2581988897471611,0.06666666666666667,0.2581988897471611,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.296875,1.1055769088367621E-8,4000.0,0.974056726829053,0.7704203983716749,0.933,0.8663410975191312,0.9754361652701902,0.8903591682419659,0.9345469724626679,0.9830148619957537,0.8596858638743456,4000.0,143952.0,15.0,0.36801220357856873,0.6319877964214313,3083.8,43.77572712947547,3139.2000000000003,756.0063491796878,1.1333333333333335,0.5163977794943222,1.0666666666666669,0.2581988897471611,1.0666666666666669,0.2581988897471611,0.06666666666666667,0.2581988897471611,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.375,1.539903072019418E-8,5000.0,0.9763418376135139,0.7438282516948047,0.941,0.8821612034736479,0.974056726829053,0.9267822736030829,0.941679606945061,0.9771309771309772,0.8766206608113759,5000.0,214896.0,15.0,0.39229114687610017,0.6077088531238999,3850.2,45.13503548875786,7828.8,1228.2793539861245,4.466666666666665,0.9154754164341269,2.7333333333333325,0.45773770821706344,2.7333333333333325,0.45773770821706344,1.7333333333333332,0.45773770821706344,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.4375,1.942738890647888E-8,6000.0,0.9633638534554139,0.7460937496750528,0.928,0.8559740753335602,0.9763418376135139,1.0040080160320641,0.9268610663339707,0.9720558882235529,0.8502080443828017,6000.0,249144.0,15.0,0.4642505701208571,0.5357494298791428,4642.733333333334,59.1384171326252,10092.266666666666,1423.4697782263625,6.2,1.0141851056742197,3.6,0.5070925528371099,3.6,0.5070925528371099,2.2000000000000006,0.4140393356054125,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.5,2.3728288296196197E-8,7000.0,0.9773047934880916,0.7832069889955761,0.95,0.8990816429508527,0.9633638534554139,1.1505376344086022,0.9470452916538756,0.9813084112149533,0.8956158663883089,7000.0,266000.0,15.0,0.2365874880423698,0.7634125119576302,5415.666666666667,64.83348635065794,11206.933333333334,1542.1865491505728,6.866666666666666,1.1872336794093272,3.933333333333333,0.5936168397046636,3.933333333333333,0.5936168397046636,2.4666666666666663,0.6399404734221844,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.546875,2.6967835664335224E-8,8000.0,0.9719129554655871,0.7841521467247808,0.947,0.8930001938109696,0.9773047934880916,1.1367521367521367,0.9430944244212569,0.9887218045112782,0.8890342842187908,8000.0,267144.0,15.0,0.29679325210167784,0.703206747898322,6191.933333333334,73.86035730317288,11283.2,1589.9593525801668,6.866666666666666,1.1872336794093272,3.933333333333333,0.5936168397046636,3.933333333333333,0.5936168397046636,2.4666666666666663,0.6399404734221844,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.59375,3.033660403970215E-8,9000.0,0.9694380098499306,0.7835119873688907,0.95,0.9000867247229404,0.9719129554655871,0.9723865877712031,0.9497898776882732,0.9878296146044625,0.8959537572254335,9000.0,277800.0,15.0,0.5442684775828721,0.45573152241712794,6971.066666666666,77.24586597044426,11987.199999999999,2236.7911710432745,7.4,1.7237832147426693,4.200000000000001,0.8618916073713347,4.200000000000001,0.8618916073713347,2.6,0.828078671210825,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.640625,3.3744662586185664E-8,10000.0,0.9698342262893177,0.7688162914171811,0.939,0.8777447309983244,0.9694380098499306,1.0366598778004072,0.9367584081747826,0.9882121807465619,0.8733914487339144,10000.0,281040.0,15.0,0.42520152187743865,0.5747984781225614,7763.600000000001,86.35375746643219,12201.6,2304.133329475532,7.533333333333333,1.7674302033770735,4.2666666666666675,0.8837151016885368,4.2666666666666675,0.8837151016885368,2.6,0.828078671210825,0.0,0.0,0.0,0.0,1.0,0.0
