learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.078125,2.8473247463504476E-9,1000.0,0.7403846153846154,0.10949035372707153,0.988,0.0,0.0,0.012145748987854251,0.0,0.0,0.0,1000.0,140880.0,15.0,998.6666666666667,34.21709402929367,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.140625,5.125184543430806E-9,2000.0,0.9305835010060363,0.08102562303583456,0.994,0.0,0.7403846153846154,0.006036217303822937,0.0,0.0,0.3333333333333333,2000.0,140880.0,15.0,1990.5333333333333,46.83079979590154,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.203125,7.403044340511163E-9,3000.0,0.8328020863517821,0.12082711462294077,0.986,0.0,0.9305835010060363,0.014198782961460446,0.0,0.0,-0.31249999999999545,3000.0,140880.0,15.0,2989.4,61.491927460904456,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.296875,1.1777932134767375E-8,4000.0,0.5375586854460094,0.0337687508963154,0.994,0.0,0.8328020863517821,0.006036217303822937,0.0,0.0,0.36842105263157526,4000.0,180384.0,15.0,3983.5333333333333,60.407978028765406,5553.6,99.74596304040156,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.328125,1.3306529985533822E-8,5000.0,0.8857118758434548,0.11749525104082094,0.989,0.1522811344019713,0.5375586854460094,0.012145748987854251,0.28867513459481287,0.08333333333333333,-0.1,5000.0,189080.0,15.0,4983.866666666667,63.40331972681683,6130.133333333334,804.3565189167111,3.2666666666666675,0.7037315505489967,2.1333333333333333,0.3518657752744984,2.1333333333333333,0.3518657752744984,1.1333333333333337,0.35186577527449836,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.390625,1.6665629421671235E-8,6000.0,0.8976767676767676,0.24090705980667737,0.991,0.18032786885246582,0.8857118758434548,0.010101010101010102,0.31622776601683794,0.1,0.1,6000.0,207752.0,15.0,5980.666666666666,79.45948353601044,7363.733333333332,1265.8137679919964,4.199999999999999,1.01418510567422,2.5999999999999996,0.50709255283711,2.5999999999999996,0.50709255283711,1.6,0.50709255283711,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.4375,1.9389165875812376E-8,7000.0,0.9766789998878798,0.13503453831227977,0.991,0.0,0.8976767676767676,0.009081735620585268,0.0,0.0,0.08695652173913337,7000.0,224592.0,15.0,6977.400000000001,79.67684732718784,8476.800000000001,146.32410210605363,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.484375,2.2514626228561008E-8,8000.0,0.9902564573949811,0.2524342104112975,0.991,0.30534115467737316,0.9766789998878798,0.011122345803842264,0.4264014327112209,0.18181818181818182,0.1,8000.0,257736.0,15.0,7989.533333333332,90.70979366455789,10667.199999999999,1074.2909422365194,6.6,0.828078671210825,3.8,0.4140393356054125,3.8,0.4140393356054125,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.515625,2.4614564608782533E-8,9000.0,0.9532458795829128,0.4119456818204713,0.995,0.6132425742574236,0.9902564573949811,0.009081735620585268,0.6666666666666666,0.4444444444444444,0.49438202247190693,9000.0,259752.0,15.0,8997.666666666668,93.18466049935985,10801.599999999999,1142.5013160355031,6.6,0.828078671210825,3.8,0.4140393356054125,3.8,0.4140393356054125,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.5625,2.7839172010620437E-8,10000.0,0.8913825348870666,0.2976572641686154,0.994,0.24868519909842615,0.9532458795829128,0.007049345417925478,0.3779644730092272,0.14285714285714285,0.3750000000000029,10000.0,265912.0,15.0,10008.4,100.59238823802008,11209.066666666668,768.2075116479798,6.866666666666666,0.5163977794943222,3.933333333333333,0.2581988897471611,3.933333333333333,0.2581988897471611,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,0.578125,2.892933682435089E-8,11000.0,0.9980515937962746,0.4604069742739652,0.993,0.6633320507887651,0.8913825348870666,0.013171225937183385,0.7334275592889152,0.5384615384615384,0.29357798165137255,11000.0,269696.0,15.0,11014.466666666669,95.4641792706012,11459.733333333332,1075.5713077686846,7.0,0.7559289460184544,4.0,0.3779644730092272,4.0,0.3779644730092272,2.066666666666667,0.2581988897471611,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,0.625,3.226803124157919E-8,12000.0,0.9757928475033738,0.45797994119769675,0.994,0.6639784946236574,0.9980515937962746,0.012145748987854251,0.7071067811865476,0.5,0.40495867768594984,12000.0,275320.0,15.0,12011.333333333334,75.81148298497351,11831.466666666667,1410.2659256155841,7.2666666666666675,1.0327955589886446,4.133333333333333,0.5163977794943222,4.133333333333333,0.5163977794943222,2.2000000000000006,0.41403933560541256,0.0,0.0,0.0,0.0,1.0,0.0
13000.0,0.671875,3.5801236259026665E-8,13000.0,0.9253468697123519,0.46686879508344964,0.993,0.6924428822495604,0.9757928475033738,0.015228426395939087,0.7302967433402214,0.5333333333333333,0.33088235294117263,13000.0,291360.0,15.0,13006.666666666666,69.80755860288505,12891.2,1384.6597931828392,8.066666666666666,1.0327955589886446,4.533333333333333,0.5163977794943223,4.533333333333333,0.5163977794943223,2.5333333333333328,0.5163977794943221,0.0,0.0,0.0,0.0,1.0,0.0
14000.0,0.71875,3.9419715499712365E-8,14000.0,0.9728282828282828,0.39596735835560726,0.995,0.6644295302013425,0.9253468697123519,0.010101010101010102,0.7071067811865476,0.5,0.5205479452054802,14000.0,298392.0,15.0,13999.133333333333,80.35445286502846,13356.800000000001,1410.4452792342865,8.333333333333334,0.9759000729485332,4.666666666666667,0.4879500364742666,4.666666666666667,0.4879500364742666,2.666666666666666,0.48795003647426644,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,0.765625,4.3572056003742753E-8,15000.0,0.7903225806451613,0.1995835011976529,0.994,0.39807383627608156,0.9728282828282828,0.008064516129032258,0.5,0.25,0.4155844155844139,15000.0,342416.0,15.0,14986.666666666666,91.40073981153128,16264.533333333333,1416.1596896772155,10.600000000000001,1.1212238211627763,5.800000000000001,0.5606119105813882,5.800000000000001,0.5606119105813882,3.0666666666666664,0.2581988897471611,0.0,0.0,0.0,0.0,1.0,0.0
16000.0,0.828125,4.924018867313862E-8,16000.0,0.9819187904294288,0.45743608101960853,0.992,0.596326571803413,0.7903225806451613,0.013171225937183385,0.6790219761168025,0.46153846153846156,0.233532934131735,16000.0,350560.0,15.0,15983.066666666668,71.06482620684808,16804.266666666666,1556.9049639161237,10.866666666666667,1.1872336794093274,5.933333333333334,0.5936168397046637,5.933333333333334,0.5936168397046637,3.0666666666666664,0.2581988897471611,0.0,0.0,0.0,0.0,1.0,0.0
