learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.15625,1.8795253708958628E-8,1000.0,0.9672978510899001,0.7971335054276245,0.933,0.7138219716384762,0.0,0.122334455667789,0.9301869644298341,0.926605504587156,0.3853211009174316,1000.0,464976.0,15.0,199.06666666666663,13.39225077992422,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.28125,3.383145667612553E-8,2000.0,0.9946663371739825,0.8930379998429645,0.959,0.8136736289105814,0.9672978510899001,0.122334455667789,0.9608851549995172,0.963302752293578,0.6238532110091739,2000.0,464976.0,15.0,400.2666666666667,23.68081401432292,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.390625,4.6988134272396564E-8,3000.0,0.993777957151986,0.8824917509907497,0.96,0.803981142985955,0.9946663371739825,0.10987791342952276,0.9598201511671737,0.9595959595959596,0.6214511041009461,3000.0,464976.0,15.0,596.4,25.684347651550627,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.46875,5.638576112687588E-8,4000.0,0.9903611683812833,0.8640594213171733,0.957,0.800434403252455,0.993777957151986,0.11982082866741321,0.951217761379207,0.9439252336448598,0.594339622641509,4000.0,464976.0,15.0,796.8000000000001,26.85729483239677,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.5625,6.766291335225106E-8,5000.0,0.993893801510989,0.8912747535224341,0.962,0.820510882708585,0.9903611683812833,0.11607142857142858,0.9660321677037786,0.9711538461538461,0.6401515151515149,5000.0,464976.0,15.0,1000.5333333333334,26.570302075455448,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.65625,7.894006557762623E-8,6000.0,0.9924004085801839,0.8812262864696387,0.961,0.8227111555595962,0.993893801510989,0.12359550561797752,0.9621541204938262,0.9636363636363636,0.6332288401253914,6000.0,464976.0,15.0,1216.6666666666667,27.861049787079015,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.734375,8.833769243210555E-8,7000.0,0.9885681560369608,0.8644440259402522,0.954,0.784561488961118,0.9924004085801839,0.11234705228031146,0.9611903177557675,0.9702970297029703,0.5642760487144785,7000.0,464976.0,15.0,1418.7333333333333,36.51705407197079,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.8125,9.773531928658486E-8,8000.0,0.9932810750279956,0.8889614694312741,0.958,0.8071855517706793,0.9885681560369608,0.11982082866741321,0.9600283352350418,0.9626168224299065,0.6028368794326238,8000.0,464976.0,15.0,1631.8666666666668,35.724874620727036,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.890625,1.0713294614106418E-7,9000.0,0.9885604258692944,0.856116087387854,0.947,0.7657976137870083,0.9932810750279956,0.122334455667789,0.9461015079280775,0.944954128440367,0.5005235602094239,9000.0,464976.0,15.0,1839.3333333333333,35.806357509459644,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.96875,1.165305729955435E-7,10000.0,0.9924778374601511,0.8742031644298185,0.96,0.8083042594793541,0.9885604258692944,0.11358574610244988,0.9603475141422104,0.9607843137254902,0.6215704824976346,10000.0,464976.0,15.0,2038.6666666666667,36.73975399767293,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
