learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.15625,1.8795253708958628E-8,1000.0,0.9903094008243732,0.8849895544337705,0.976,0.9518155499251133,0.0,1.1231422505307855,0.9756712084553779,0.9810964083175804,0.9472527472527472,1000.0,464976.0,15.0,0.42770791963744226,0.5722920803625577,723.9333333333334,26.36682619902373,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.28125,3.383145667612553E-8,2000.0,0.9966223652247688,0.9055078812951415,0.981,0.9619899653508526,0.9903094008243732,0.9569471624266145,0.9810901428147523,0.9856850715746421,0.9599156118143459,2000.0,464976.0,15.0,0.6409170751467886,0.35908292485321136,1449.8,36.31843294290887,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.421875,5.153444362804294E-8,3000.0,0.9965185862572395,0.9030945985206303,0.987,0.9739159048773245,0.9966223652247688,1.109704641350211,0.9866876334088378,0.9923954372623575,0.9729166666666667,3000.0,486616.0,15.0,0.5676092073778833,0.43239079262211666,2196.666666666667,46.078607783201285,4373.866666666667,2006.1584422069197,2.0666666666666664,1.4864467059144129,1.5333333333333332,0.7432233529572064,1.5333333333333332,0.7432233529572064,0.5333333333333333,0.7432233529572065,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.53125,6.631278665736317E-8,4000.0,0.9955908712630434,0.87533956756718,0.974,0.9479966717869943,0.9965185862572395,0.968503937007874,0.9740733533147261,0.9796747967479674,0.9463917525773196,4000.0,522288.0,15.0,0.454515257440205,0.545484742559795,2942.9333333333334,44.586139208545724,6732.8,2241.837613591646,3.6666666666666674,1.632993161855452,2.333333333333334,0.8164965809277258,2.333333333333334,0.8164965809277258,1.2666666666666668,0.7037315505489967,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.640625,8.210387831139894E-8,5000.0,0.9970886344614375,0.8931920113156192,0.977,0.9538996857161183,0.9955908712630434,1.0703933747412009,0.9763349495964369,0.9922630560928434,0.9524596940884663,5000.0,558080.0,15.0,0.4950651589310379,0.504934841068962,3689.5333333333333,45.26567079344952,9098.133333333333,1834.7364881509227,5.4,1.3522468075656264,3.2,0.6761234037828132,3.2,0.6761234037828132,1.8666666666666665,0.35186577527449847,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.71875,9.359293876008853E-8,6000.0,0.9934756892230576,0.8955724078975242,0.97,0.9397529872477156,0.9970886344614375,1.105263157894737,0.9689639973033959,0.9866666666666667,0.9378023496890117,6000.0,568456.0,15.0,0.4381226560276061,0.5618773439723939,4430.666666666666,59.10362167615524,9785.066666666666,1425.8506967855403,5.8,1.0141851056742197,3.4,0.5070925528371099,3.4,0.5070925528371099,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.8125,1.073846619369255E-7,7000.0,0.9950552879614665,0.9156679030778946,0.979,0.9579808392627037,0.9934756892230576,1.0242914979757085,0.9787512173009713,0.9920948616600791,0.9565474430978421,7000.0,568656.0,15.0,0.589853862479786,0.41014613752021395,5165.866666666667,59.404024234374084,9798.400000000001,1438.4219925221626,5.8,1.0141851056742197,3.4,0.5070925528371099,3.4,0.5070925528371099,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.90625,1.2126195037530526E-7,8000.0,0.9972749099639856,0.9141863543582132,0.982,0.9640086379268975,0.9950552879614665,0.9607843137254902,0.9821883106365197,0.9979591836734694,0.9628387096774194,8000.0,572184.0,15.0,0.5061766258142681,0.49382337418573186,5917.933333333333,67.04738906886979,10032.0,1489.9526358723142,5.933333333333333,1.0327955589886444,3.4666666666666663,0.5163977794943222,3.4666666666666663,0.5163977794943222,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,1.0,1.3515320865230426E-7,9000.0,0.9976679906719627,0.9262176674374599,0.987,0.9739991679733752,0.9972749099639856,1.0040080160320641,0.9869609396362073,0.9940119760479041,0.9732265446224256,9000.0,572760.0,15.0,0.34617963704262034,0.6538203629573798,6674.8,72.3307877541981,10070.4,1531.6939642108666,5.933333333333333,1.0327955589886444,3.4666666666666663,0.5163977794943222,3.4666666666666663,0.5163977794943222,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.109375,1.5222913740823663E-7,10000.0,0.9934052469729002,0.8834744227501821,0.975,0.949983994878361,0.9976679906719627,0.937984496124031,0.9752732877391015,0.9855371900826446,0.948612538540596,10000.0,603488.0,15.0,0.41336281765425753,0.5866371823457424,7435.466666666666,80.50276540650788,12100.800000000001,1909.7052577370603,7.533333333333332,1.407463101097994,4.266666666666666,0.703731550548997,4.266666666666666,0.703731550548997,2.7333333333333334,0.5936168397046636,0.0,0.0,0.0,0.0,1.0,0.0
