learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.109375,4.0731780851880705E-9,1000.0,0.9897575116919726,0.824512497250773,0.96,0.9199385127778132,0.0,0.937984496124031,0.960083268325873,0.9628099173553719,0.91701244813278,1000.0,143952.0,15.0,0.3169161592445605,0.6830838407554394,1113.5333333333333,34.73751917013126,3139.2000000000003,756.0063491796878,1.1333333333333335,0.5163977794943222,1.0666666666666669,0.2581988897471611,1.0666666666666669,0.2581988897471611,0.06666666666666668,0.2581988897471611,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.171875,6.443782088657219E-9,2000.0,0.9936653112443742,0.8621535182846034,0.981,0.9617281165398994,0.9897575116919726,1.1598272138228942,0.9799975120873352,0.9925512104283054,0.96086508753862,2000.0,146616.0,15.0,0.5306787942696051,0.4693212057303948,2211.266666666667,50.01923439561837,3315.2000000000003,981.1051494542847,1.2666666666666668,0.7037315505489967,1.1333333333333335,0.3518657752744984,1.1333333333333335,0.3518657752744984,0.13333333333333336,0.3518657752744984,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.203125,7.657411818703014E-9,3000.0,0.9962930937855279,0.8636736810549543,0.975,0.9499523546416188,0.9936653112443742,1.0576131687242798,0.9748892864067532,0.9785992217898832,0.9485243651338366,3000.0,150120.0,15.0,0.6913125311061442,0.3086874688938557,3323.6,62.93170901858607,3546.1333333333337,1536.5310589890773,1.6666666666666667,0.9759000729485332,1.3333333333333335,0.4879500364742666,1.3333333333333335,0.4879500364742666,0.3333333333333333,0.4879500364742666,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.28125,1.2291388379202948E-8,4000.0,0.9857782745753989,0.8072111495147052,0.958,0.9157817061824248,0.9962930937855279,0.8656716417910447,0.9589657374696771,0.9741379310344828,0.9121798222686879,4000.0,229280.0,15.0,0.6297279618947276,0.3702720381052725,4428.4,62.695180949461474,8781.333333333332,72.29568912920526,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.359375,1.7033372488286758E-8,5000.0,0.9922080210135178,0.8566919309555534,0.966,0.9320174035446925,0.9857782745753989,0.937984496124031,0.9664203969416373,0.9855371900826446,0.9290780141843971,5000.0,234624.0,15.0,0.41520336800774255,0.5847966319922575,5552.066666666667,66.2165998465498,9134.400000000001,942.066785621608,5.266666666666668,0.7037315505489969,3.133333333333334,0.35186577527449847,3.133333333333334,0.35186577527449847,2.133333333333334,0.35186577527449847,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.4375,2.2056046873331068E-8,6000.0,0.9943094216914753,0.8708804994590083,0.979,0.9579714205659848,0.9922080210135178,0.9342359767891683,0.9791937481306818,0.9855072463768116,0.9562499999999999,6000.0,248512.0,15.0,0.7555815074551574,0.24441849254484269,6641.533333333333,85.3211300798063,10051.2,2489.4911470878083,6.2,1.65615734242165,3.6,0.828078671210825,3.6,0.828078671210825,2.533333333333333,0.6399404734221843,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.5,2.6465341862705017E-8,7000.0,0.9939513951395139,0.8755460154897385,0.978,0.9560061591377207,0.9943094216914753,0.9801980198019802,0.9780468585736353,0.98989898989899,0.9543162266389795,7000.0,272704.0,15.0,0.597707319962372,0.40229268003762797,7758.133333333333,88.22606244890504,11652.266666666666,3057.422057566675,7.000000000000001,2.138089935299395,3.9999999999999996,1.0690449676496976,3.9999999999999996,1.0690449676496976,2.733333333333333,0.7037315505489967,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.5625,3.1605466372436946E-8,8000.0,0.9903596009155373,0.8296929321419437,0.966,0.9317425328338492,0.9939513951395139,1.0964360587002095,0.9648989893279641,0.9847036328871893,0.9293322941023642,8000.0,317904.0,15.0,0.5260309323386207,0.47396906766137925,8887.999999999998,94.29361438764414,14639.466666666667,2117.5003412604433,9.266666666666666,1.486446705914413,5.133333333333333,0.7432233529572065,5.133333333333333,0.7432233529572065,3.3333333333333335,0.4879500364742666,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.625,3.7533981311652393E-8,9000.0,0.9933968040531618,0.8594456466680322,0.972,0.9439580806443219,0.9903596009155373,1.0449897750511248,0.9718318358876429,0.9784735812133072,0.9418013856812932,9000.0,366664.0,15.0,0.3677836575770833,0.6322163424229167,9991.066666666666,101.72685181874255,17863.466666666667,1599.4726750073721,11.400000000000002,1.1212238211627767,6.200000000000001,0.5606119105813884,6.200000000000001,0.5606119105813884,4.066666666666666,0.2581988897471611,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.671875,4.2175460192892285E-8,10000.0,0.990264367263935,0.86795737096898,0.972,0.9439057616796217,0.9933968040531618,1.0576131687242798,0.9713844618964657,0.9883268482490273,0.941860465116279,10000.0,382752.0,15.0,0.4773502055435856,0.5226497944564145,11121.133333333333,108.23972512547365,18925.86666666667,2522.943345342801,12.333333333333336,1.7994708216848745,6.666666666666668,0.8997354108424372,6.666666666666668,0.8997354108424372,4.333333333333334,0.4879500364742665,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,0.71875,4.6955764345410796E-8,11000.0,0.9963034676993487,0.8831690409019444,0.975,0.9499795916734027,0.990264367263935,1.0242914979757085,0.9747988682430997,0.9861660079051383,0.948083821030772,11000.0,394200.0,15.0,0.506293773912215,0.4937062260877849,12230.533333333333,103.6607562241005,19683.199999999997,2328.635750207159,12.733333333333333,1.667618775665584,6.866666666666666,0.833809387832792,6.866666666666666,0.833809387832792,4.4,0.50709255283711,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,0.765625,5.2025748623742E-8,12000.0,0.9931319728327804,0.8780072092395258,0.972,0.9439091327951281,0.9963034676993487,0.8975332068311196,0.9725111250378311,0.9830866807610994,0.9418785677218474,12000.0,418088.0,15.0,0.6596023445447692,0.3403976554552308,13343.800000000001,76.42007963505756,21262.93333333333,3174.466512360028,13.799999999999999,2.111194651646991,7.3999999999999995,1.0555973258234954,7.3999999999999995,1.0555973258234954,4.866666666666667,0.5163977794943222,0.0,0.0,0.0,0.0,1.0,0.0
13000.0,0.8125,5.729984776634309E-8,13000.0,0.9973800602867848,0.8898103480720947,0.973,0.9458648787373283,0.9931319728327804,0.8552875695732839,0.9744129721093969,0.9956616052060737,0.9437680230695289,13000.0,434920.0,15.0,0.7320247881210655,0.2679752118789344,14465.133333333335,69.40344440471306,22375.46666666666,4082.451327094451,14.6,2.84855853271189,7.8,1.424279266355945,7.8,1.424279266355945,5.0,0.6546536707079771,0.0,0.0,0.0,0.0,1.0,0.0
14000.0,0.90625,6.900191591638658E-8,14000.0,0.99617958359864,0.875435009473143,0.966,0.9320415905465854,0.9973800602867848,0.9342359767891683,0.9665256865285804,0.9917184265010351,0.9292193308550185,14000.0,482496.0,15.0,0.6025324257686078,0.3974675742313923,15556.6,81.50617855633485,25519.466666666667,2910.441445816048,17.0,1.8516401995451024,9.0,0.9258200997725512,9.0,0.9258200997725512,5.8,0.4140393356054127,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,0.96875,7.697584806010128E-8,15000.0,0.9950445827185836,0.8886888985606709,0.971,0.9419275255518887,0.99617958359864,0.9083969465648855,0.971414515412642,0.9810924369747899,0.9395917233717539,15000.0,493168.0,15.0,0.5211277571140692,0.47887224288593083,16651.13333333333,92.07207321803216,26225.06666666667,2689.7865944735317,17.4,1.7237832147426695,9.2,0.8618916073713347,9.2,0.8618916073713347,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
16000.0,1.046875,8.700292609218095E-8,16000.0,0.9944992078859356,0.8957295985011726,0.974,0.9480124770055186,0.9950445827185836,0.9762845849802372,0.9740619213962974,0.9898785425101214,0.9459108048368222,16000.0,496120.0,15.0,0.45298798809854773,0.5470120119014523,17762.533333333333,70.56999227379723,26420.266666666666,2739.504633705743,17.533333333333335,1.7674302033770732,9.266666666666667,0.8837151016885366,9.266666666666667,0.8837151016885366,6.066666666666666,0.25819888974716115,0.0,0.0,0.0,0.0,1.0,0.0
17000.0,1.109375,9.561869471023482E-8,17000.0,0.9933827030097899,0.9037848095371039,0.977,0.9540051514230405,0.9944992078859356,0.9723865877712031,0.9770911536781145,0.9878296146044625,0.9522121730628208,17000.0,532864.0,15.0,0.7377793988310182,0.2622206011689818,18867.799999999996,73.0148712836738,28847.466666666667,2380.8156425497386,19.4,1.5491933384829673,10.2,0.7745966692414836,10.2,0.7745966692414836,6.133333333333334,0.3518657752744984,0.0,0.0,0.0,0.0,1.0,0.0
