learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.1875,4.4183883195122086E-8,1000.0,0.25769831786009745,0.04614215996027447,0.695,-0.02166601905323354,0.0,0.011122345803842264,0.0,0.0,-26.72727272727271,1000.0,910888.0,15.0,4376.2,70.70279848977486,11173.333333333336,1769.4723453482907,6.866666666666666,1.4074631010979934,3.933333333333333,0.7037315505489967,3.933333333333333,0.7037315505489967,2.7333333333333334,0.45773770821706344,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.328125,7.959655097996196E-8,2000.0,0.4959677419354839,0.12601637477874716,0.586,0.0033126612996418753,0.25769831786009745,0.008064516129032258,0.5416149685833548,0.5,-42.578947368421275,2000.0,973416.0,15.0,8880.066666666666,93.77363828974114,15301.866666666663,2252.29577690557,10.999999999999998,2.5071326821120348,5.999999999999999,1.2535663410560174,5.999999999999999,1.2535663410560174,4.066666666666666,0.7037315505489967,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.453125,1.1587751537768377E-7,3000.0,0.47628657921291623,0.1283181453271256,0.877,-7.159593855773893E-4,0.4959677419354839,0.009081735620585268,0.31339637670805476,0.1111111111111111,-12.17857142857147,3000.0,1121944.0,15.0,15406.533333333333,124.55799949459379,25117.333333333332,3493.2459458353683,18.46666666666667,2.445598573141631,9.733333333333334,1.2227992865708155,9.733333333333334,1.2227992865708155,5.2666666666666675,1.0997835284835873,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.59375,1.619124992026223E-7,4000.0,0.6989012221101021,0.18081858465175965,0.902,0.04193958353700176,0.47628657921291623,0.009081735620585268,0.5498983179712731,0.3333333333333333,-9.594594594594614,4000.0,1265400.0,15.0,21225.600000000002,164.29016143049216,34600.53333333333,3333.8279556832617,24.200000000000003,2.4842360136324753,12.600000000000001,1.2421180068162376,12.600000000000001,1.2421180068162376,5.933333333333334,0.7037315505489967,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.734375,2.13311901057346E-7,5000.0,0.49543610547667344,0.10411477913416664,0.843,-7.39399811325597E-4,0.6989012221101021,0.014198782961460446,0.3490683879926659,0.14285714285714285,-14.392156862745122,5000.0,1412856.0,15.0,27797.600000000002,196.03454506066734,44345.6,4660.99800471959,31.4,3.9424430424366492,16.199999999999996,1.9712215212183242,16.199999999999996,1.9712215212183242,6.4,0.6324555320336759,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.921875,2.875379222031269E-7,6000.0,0.7451515151515151,0.21829743624207215,0.861,0.06195168038871621,0.49543610547667344,0.010101010101010102,0.7198484689028783,0.6,-12.672131147540998,6000.0,1530232.0,15.0,32877.46666666667,245.9996709250608,52099.73333333333,4304.553195109082,37.4,3.3974780562730853,19.2,1.6987390281365427,19.2,1.6987390281365427,6.800000000000001,0.560611910581388,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,1.0625,3.4625635534110995E-7,7000.0,0.5750644691108868,0.17638297344153753,0.881,0.03182764904972597,0.7451515151515151,0.009081735620585268,0.543437749846559,0.3333333333333333,-10.89999999999999,7000.0,1614040.0,15.0,38409.066666666666,265.89967674902897,57637.86666666666,6294.9597736904525,42.46666666666667,4.867775477077603,21.733333333333334,2.4338877385388016,21.733333333333334,2.4338877385388016,7.333333333333334,0.4879500364742667,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,1.203125,4.107297799136076E-7,8000.0,0.7256418881040475,0.177503030206047,0.92,0.054529983217906065,0.5750644691108868,0.009081735620585268,0.5553761342742042,0.3333333333333333,-7.101265822784833,8000.0,1772232.0,15.0,44295.466666666674,260.70176356098835,68091.73333333332,6047.367968991217,49.53333333333334,5.316640543300503,25.26666666666667,2.6583202716502514,25.26666666666667,2.6583202716502514,7.866666666666666,0.7432233529572064,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,1.359375,4.878461994748149E-7,9000.0,0.7653276955602537,0.1842058535223725,0.941,0.10290718890646045,0.7256418881040475,0.011122345803842264,0.5869556706254276,0.36363636363636365,-4.9,9000.0,1907784.0,15.0,50371.93333333333,303.2129064975091,77045.86666666665,6512.097202971741,57.4,4.852098220652293,29.2,2.4260491103261463,29.2,2.4260491103261463,8.066666666666666,0.7988086367179803,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.53125,5.776997810850541E-7,10000.0,0.7436345252320985,0.2428569374259137,0.94,0.12666297924368988,0.7653276955602537,0.011122345803842264,0.6555356565181126,0.45454545454545453,-4.940594059405947,10000.0,2020808.0,15.0,56780.666666666664,305.809620204342,84509.33333333333,6722.591110434671,64.60000000000001,5.666946771788642,32.800000000000004,2.8334733858943215,32.800000000000004,2.8334733858943215,8.399999999999999,0.6324555320336761,0.0,0.0,0.0,0.0,1.0,0.0
