learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.171875,2.0674779079854488E-8,1000.0,0.7044534412955465,0.2449150828557509,0.975,0.18150864326872676,0.0,0.012145748987854251,0.4959348919001854,0.25,-1.0833333333333333,1000.0,464976.0,15.0,0.9878418842964785,0.012158115703521535,24.4,5.487648468541486,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.34375,4.1349558159708976E-8,2000.0,0.8060301507537688,0.37763920658864003,0.92,0.060922643502758875,0.7044534412955465,0.005025125628140704,0.7436160461693945,0.6,-8.411764705882401,2000.0,464976.0,15.0,0.9999999999999994,7.471612244668569E-21,34.86666666666667,6.8646783991538545,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.4375,5.262671038508415E-8,3000.0,0.8284708249496981,0.3887326094933563,0.911,0.07202735955290406,0.8060301507537688,0.006036217303822937,0.7799465148733244,0.6666666666666666,-10.608695652173843,3000.0,464976.0,15.0,0.9999999986519322,1.3480676497216282E-9,46.39999999999999,7.375635565834309,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.53125,6.390386261045934E-8,4000.0,0.8816784274193549,0.3953024288035086,0.864,0.027571216107997364,0.8284708249496981,0.008064516129032258,0.570507520235414,0.375,-16.548387096774118,4000.0,464976.0,15.0,0.9982155085845541,0.0017844914154457885,62.06666666666667,8.947997913872504,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.625,7.518101483583451E-8,5000.0,0.9709418837675351,0.5867030131016424,0.875,0.027176789216449657,0.8816784274193549,0.002004008016032064,0.9352804386909822,1.0,-17.939393939393796,5000.0,464976.0,15.0,0.9999999999999994,2.1760807968518854E-26,66.33333333333334,8.997354108424373,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.71875,8.645816706120969E-8,6000.0,0.8856279671989642,0.5463177399589129,0.892,0.08797649006063298,0.9709418837675351,0.007049345417925478,0.8745181791985877,0.8571428571428571,-15.199999999999893,6000.0,464976.0,15.0,0.999999648454788,3.515452120015629E-7,79.4,10.294242496241703,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.8125,9.773531928658486E-8,7000.0,0.9156856149792577,0.4882416092367523,0.867,0.06700712722374996,0.8856279671989642,0.009081735620585268,0.7610603893556778,0.6666666666666666,-17.999999999999986,7000.0,464976.0,15.0,0.9999895504323666,1.0449567633328651E-5,98.60000000000001,12.56866852818661,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.90625,1.0901247151196004E-7,8000.0,0.9119718309859155,0.4287390023025496,0.872,0.047902409997024706,0.9156856149792577,0.006036217303822937,0.7629938560782423,0.6666666666666666,-17.618181818181913,8000.0,464976.0,15.0,0.9999999996190272,3.8097281040473966E-10,110.8,11.887568536680902,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,1.0,1.2028962373733523E-7,9000.0,0.9490762018567883,0.5420936751358699,0.86,0.0954085522660019,0.9119718309859155,0.011122345803842264,0.839057157361308,0.8181818181818182,-18.09090909090917,9000.0,464976.0,15.0,0.9983009555351721,0.0016990444648279208,131.4,10.479912758633608,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.0625,1.2780772522091867E-7,10000.0,0.8977476424284935,0.5226791617160441,0.852,0.0973958650972741,0.9490762018567883,0.013171225937183385,0.810076051623981,0.7692307692307693,-17.734177215189835,10000.0,464976.0,15.0,0.9999932827587507,6.717241249253665E-6,161.20000000000002,10.618043941463856,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,1.15625,1.3908487744629383E-7,11000.0,0.7991959798994975,0.5146110816976099,0.832,0.03608927649320046,0.8977476424284935,0.005025125628140704,0.8159219590230922,0.8,-20.99999999999993,11000.0,464976.0,15.0,0.9974968444950068,0.002503155504993245,170.79999999999998,11.657002800279079,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,1.25,1.50362029671669E-7,12000.0,0.6101280391310603,0.3699005401976984,0.862,0.042025906951559854,0.7991959798994975,0.007049345417925478,0.702667707838626,0.5714285714285714,-17.197802197802073,12000.0,464976.0,15.0,0.9999999999987125,1.2874421675338176E-12,185.33333333333331,11.049671402138534,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
13000.0,1.34375,1.6163918189704416E-7,13000.0,0.6693548387096774,0.34663912486181625,0.818,0.03732227488151633,0.6101280391310603,0.008064516129032258,0.7156974097047331,0.625,-22.898989898990017,13000.0,464976.0,15.0,0.9993637297916053,6.362702083946289E-4,200.13333333333333,11.173096940333743,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
14000.0,1.40625,1.691572833806276E-7,14000.0,0.693030303030303,0.3250731995505332,0.813,0.04210634156336442,0.6693548387096774,0.010101010101010102,0.6993503478878874,0.6,-23.01834862385322,14000.0,464976.0,15.0,0.9999999999999994,4.333573575050425E-16,218.66666666666669,13.167420111052598,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,1.5,1.8043443560600276E-7,15000.0,0.7801268498942917,0.3394742287108711,0.795,0.04395030407044032,0.693030303030303,0.011122345803842264,0.7120617222642988,0.6363636363636364,-24.62499999999997,15000.0,464976.0,15.0,0.9990302262067167,9.697737932832369E-4,237.93333333333334,13.791646885326054,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
