learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.125,1.503878997431861E-8,1000.0,0.6881818181818182,0.1627441300043093,0.992,0.33110367892976367,0.0,0.010101010101010102,0.4472135954999579,0.2,0.2,1000.0,465056.0,15.0,0.9833222006810404,0.01667779931895958,1034.1333333333332,35.83068650246731,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.234375,2.819773120184739E-8,2000.0,0.6689447236180904,0.049541762394002334,0.995,0.0,0.6881818181818182,0.005025125628140704,0.0,0.0,0.3333333333333284,2000.0,465056.0,15.0,0.9999999999999994,1.02865572733439E-20,2039.4666666666665,47.15455843237613,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.328125,3.947682368258635E-8,3000.0,0.5591884641180416,0.017791305951484183,0.994,0.0,0.6689447236180904,0.006036217303822937,0.0,0.0,0.14285714285714285,3000.0,465056.0,15.0,0.9999999985021469,1.4978529441351425E-9,3060.8000000000006,64.48720803384202,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.421875,5.17966691404581E-8,4000.0,0.5906060606060606,0.07640300860138222,0.99,0.0,0.5591884641180416,0.010101010101010102,0.0,0.0,-0.29032258064515665,4000.0,507968.0,15.0,0.9948821286026919,0.0051178713973080514,4092.4666666666662,63.44498929518907,5779.200000000001,756.0063491796877,3.1333333333333333,0.5163977794943222,2.066666666666667,0.2581988897471611,2.066666666666667,0.2581988897471611,1.0666666666666667,0.2581988897471611,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.484375,6.061461236741808E-8,5000.0,0.6246246246246246,2.52262272921639E-25,0.999,0.0,0.5906060606060606,0.001001001001001001,0.0,0.0,0.8437499999999989,5000.0,545368.0,15.0,0.9999999999999994,2.3395939717888075E-28,5099.066666666667,66.68418817366629,8250.133333333335,72.47252352903575,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.5625,7.165401863555113E-8,6000.0,0.8436244979919679,0.04195604962701631,0.996,0.0,0.6246246246246246,0.004016064257028112,0.0,0.0,0.3333333333333333,6000.0,546208.0,15.0,0.9999999999998732,1.2678049825344143E-13,6113.6,82.5813884255146,8306.133333333333,128.51562810283698,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.578125,7.387438219868475E-8,7000.0,0.737190267967261,0.15283845749337316,0.992,0.19855740332598087,0.8436244979919679,0.009081735620585268,0.3333333333333333,0.1111111111111111,-0.24444444444444138,7000.0,549296.0,15.0,0.9996956747277784,3.043252722214373E-4,7147.2,81.81093185772039,8512.0,0.0,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.625,8.053547288808558E-8,8000.0,0.9329309188464118,0.06223068813439278,0.994,0.0,0.737190267967261,0.006036217303822937,0.0,0.0,0.05882352941176675,8000.0,549296.0,15.0,0.9606422960737823,0.03935770392621767,8186.799999999999,92.36279399349972,8512.0,0.0,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.65625,8.49762000143528E-8,9000.0,0.8468341708542714,0.05447119375572346,0.995,0.0,0.9329309188464118,0.005025125628140704,0.0,0.0,0.19642857142857303,9000.0,549296.0,15.0,0.9999999993421502,6.578497259395603E-10,9219.000000000002,96.91380559180266,8512.0,0.0,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.703125,9.18123017375668E-8,10000.0,0.7866059379217274,0.09201454468351801,0.988,0.0,0.8468341708542714,0.012145748987854251,0.0,0.0,-0.7647058823529355,10000.0,563728.0,15.0,0.99989388833804,1.0611166195985079E-4,10261.866666666667,103.80467004817038,9467.733333333332,1148.6175209893886,5.533333333333334,0.9154754164341267,3.266666666666667,0.45773770821706333,3.266666666666667,0.45773770821706333,2.266666666666667,0.45773770821706333,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,0.75,9.873717014367382E-8,11000.0,0.8270582329317269,0.1834797475125288,0.995,0.2832568807339425,0.7866059379217274,0.004016064257028112,0.499497739702465,0.25,0.23611111111110758,11000.0,571048.0,15.0,0.9999999999999994,5.211924944109374E-17,11285.599999999999,98.98470300289556,9952.533333333333,1462.6987711890972,5.8,1.0141851056742197,3.4,0.5070925528371099,3.4,0.5070925528371099,2.4,0.5070925528371099,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,0.8125,1.0835824974088206E-7,12000.0,0.9508568548387096,0.12941541094879747,0.992,0.0,0.8270582329317269,0.008064516129032258,0.0,0.0,-0.19999999999999335,12000.0,595040.0,15.0,0.999999994696263,5.303737005852813E-9,12313.399999999998,78.08859437477766,11537.6,139.3929696935968,7.0,0.0,4.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
13000.0,0.921875,1.2688765612741312E-7,13000.0,0.8507680233210001,0.09714189620820675,0.991,0.0,0.9508568548387096,0.009081735620585268,0.0,0.0,-0.314606741573037,13000.0,654856.0,15.0,0.9999984315759525,1.5684240474803926E-6,13343.733333333332,73.25441641163721,15486.933333333334,1535.4935673059965,10.199999999999998,1.2649110640673518,5.599999999999999,0.6324555320336759,5.599999999999999,0.6324555320336759,3.2,0.4140393356054125,0.0,0.0,0.0,0.0,1.0,0.0
14000.0,1.015625,1.4346209354698657E-7,14000.0,0.7897784722860557,0.14807671067163816,0.989,0.0,0.8507680233210001,0.011122345803842264,0.0,0.0,-0.5400000000000068,14000.0,683392.0,15.0,0.9999999999994876,5.123858199651596E-13,14375.066666666666,83.56560012235605,17378.13333333333,1260.3036973379908,11.133333333333333,0.9154754164341268,6.066666666666666,0.4577377082170634,6.066666666666666,0.4577377082170634,3.4666666666666663,0.5163977794943222,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,1.109375,1.6042419398824374E-7,15000.0,0.8678787878787879,0.07694016822887607,0.99,0.0,0.7897784722860557,0.010101010101010102,0.0,0.0,-0.36363636363637053,15000.0,699376.0,15.0,0.9999998863066963,1.1369330360353698E-7,15402.666666666666,94.7874815925957,18433.600000000002,1582.848643607919,12.066666666666666,1.2798809468443686,6.533333333333333,0.6399404734221843,6.533333333333333,0.6399404734221843,3.8666666666666667,0.3518657752744984,0.0,0.0,0.0,0.0,1.0,0.0
16000.0,1.171875,1.7225431899229684E-7,16000.0,0.922883064516129,0.07861797086416325,0.992,0.0,0.8678787878787879,0.008064516129032258,0.0,0.0,-0.08474576271186236,16000.0,731664.0,15.0,0.9999973438599881,2.6561400119627485E-6,16429.933333333334,73.33725097760602,20567.466666666667,2293.104130296082,13.533333333333333,1.9223002094465098,7.266666666666667,0.9611501047232549,7.266666666666667,0.9611501047232549,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
17000.0,1.265625,1.9051503234853346E-7,17000.0,0.962929292929293,0.18119247209009717,0.99,0.0,0.922883064516129,0.010101010101010102,0.0,0.0,-0.32812499999999883,17000.0,752920.0,15.0,0.9999999999294094,7.059058588403457E-11,17472.06666666667,76.46331208650363,21973.333333333332,2812.44689262029,14.466666666666665,2.1995670569671746,7.7333333333333325,1.0997835284835873,7.7333333333333325,1.0997835284835873,4.2,0.4140393356054124,0.0,0.0,0.0,0.0,1.0,0.0
18000.0,1.3125,1.9975627462069192E-7,18000.0,0.8253535353535354,0.2153423525797399,0.989,-0.001821493624764007,0.962929292929293,0.010101010101010102,0.0,0.0,-0.4347826086956452,18000.0,762064.0,15.0,0.8999667010232735,0.10003329897672635,18495.733333333334,96.59153073393026,22578.13333333333,3178.243851713141,14.866666666666669,2.445598573141631,7.933333333333334,1.2227992865708155,7.933333333333334,1.2227992865708155,4.2666666666666675,0.45773770821706367,0.0,0.0,0.0,0.0,1.0,0.0
19000.0,1.390625,2.154618333507743E-7,19000.0,0.7365171370967742,0.084182183517511,0.992,0.0,0.8253535353535354,0.008064516129032258,0.0,0.0,-0.04109589041096682,19000.0,777080.0,15.0,0.9999856658762053,1.4334123794668828E-5,19526.133333333335,93.54286005177893,23571.199999999997,2911.195807322384,15.533333333333333,2.1995670569671746,8.266666666666666,1.099783528483587,8.266666666666666,1.099783528483587,4.2666666666666675,0.45773770821706367,0.0,0.0,0.0,0.0,1.0,0.0
