learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.140625,1.6915728338062764E-8,1000.0,0.6613131313131313,0.2647720852077743,0.868,0.05281285878300826,0.0,0.010101010101010102,0.6601958693134833,0.5,-12.199999999999989,1000.0,464976.0,15.0,20.400000000000002,4.925154094761185,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.296875,3.571098204702139E-8,2000.0,0.6315577889447236,0.2236420919022145,0.777,0.007918853990568084,0.6613131313131313,0.005025125628140704,0.5581736189974618,0.4,-28.733333333333523,2000.0,464976.0,15.0,32.06666666666667,4.651676605063517,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.421875,5.0747185014188285E-8,3000.0,0.5606975184439973,0.15960032379927505,0.732,0.01028125738596039,0.6315577889447236,0.006036217303822937,0.6055577604219464,0.5,-37.285714285714256,3000.0,464976.0,15.0,43.666666666666664,6.102302453836195,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.515625,6.202433723956346E-8,4000.0,0.8668686868686869,0.2741602552733989,0.735,0.03839175557007051,0.5606975184439973,0.010101010101010102,0.766469012729639,0.8,-33.19354838709663,4000.0,464976.0,15.0,63.73333333333333,6.181385266226643,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.59375,7.142196409404278E-8,5000.0,0.7657657657657657,0.21155983907114861,0.722,0.005160283708246947,0.8668686868686869,0.001001001001001001,0.8495420658929855,1.0,-42.43750000000027,5000.0,464976.0,15.0,69.33333333333334,6.736538605318936,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.703125,8.457864169031381E-8,6000.0,0.9412650602409639,0.4071120057654334,0.717,0.019757260031035014,0.7657657657657657,0.004016064257028112,0.8460871431568152,1.0,-46.16666666666663,6000.0,464976.0,15.0,76.66666666666666,7.593857166596345,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.859375,1.0337389539927244E-7,7000.0,0.7170086332548492,0.23958124771326775,0.725,0.017969374928579328,0.9412650602409639,0.009081735620585268,0.6353209379897959,0.5555555555555556,-41.77777777777764,7000.0,464976.0,15.0,92.86666666666666,8.06107637855841,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.953125,1.1465104762464762E-7,8000.0,0.8472501676727029,0.3218110154729458,0.714,0.022289074251333512,0.7170086332548492,0.006036217303822937,0.7709732367103772,0.8333333333333334,-43.862745098039085,8000.0,464976.0,15.0,105.53333333333333,10.105632564258881,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,1.078125,1.2968725059181453E-7,9000.0,0.7244221105527638,0.25877315796451605,0.697,0.009674467250621233,0.8472501676727029,0.005025125628140704,0.6469099336936772,0.6,-47.69642857142844,9000.0,464976.0,15.0,117.93333333333335,11.016005671402905,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.171875,1.409644028171897E-7,10000.0,0.6839574898785425,0.2521599612747831,0.692,0.026893135173390176,0.7244221105527638,0.012145748987854251,0.6793662204867574,0.6666666666666666,-44.29411764705864,10000.0,464976.0,15.0,141.6,12.004760960314275,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,1.234375,1.4848250430077314E-7,11000.0,0.4884538152610442,0.12752409506056026,0.706,0.005574196341595726,0.6839574898785425,0.004016064257028112,0.5944860424084605,0.5,-43.91666666666684,11000.0,464976.0,15.0,151.66666666666669,12.081075322684686,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,1.3125,1.5788013115525244E-7,12000.0,0.7380292338709677,0.21267182086875436,0.665,0.01925193807527437,0.4884538152610442,0.008064516129032258,0.7058582627530645,0.75,-49.24999999999967,12000.0,464976.0,15.0,164.93333333333337,12.40084482529123,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
13000.0,1.390625,1.6727775800973174E-7,13000.0,0.7315842583249244,0.20831241839099385,0.674,0.012462361487243655,0.7380292338709677,0.009081735620585268,0.6124067643913786,0.5555555555555556,-46.61797752808996,13000.0,464976.0,15.0,182.33333333333334,13.096709874003073,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
14000.0,1.46875,1.7667538486421104E-7,14000.0,0.5969298648772865,0.14767280478019926,0.681,0.009329076657432848,0.7315842583249244,0.011122345803842264,0.557396017927599,0.45454545454545453,-43.66000000000015,14000.0,464976.0,15.0,201.4,12.927269074104002,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,1.578125,1.898320624604821E-7,15000.0,0.685959595959596,0.20801971002524444,0.69,0.018241702558905455,0.5969298648772865,0.010101010101010102,0.6438520439863917,0.6,-41.27272727272746,15000.0,464976.0,15.0,223.13333333333333,11.42595208078438,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
16000.0,1.671875,2.0110921468585728E-7,16000.0,0.6801915322580645,0.15145507101734915,0.636,0.01651392011066922,0.685959595959596,0.008064516129032258,0.6901525076901248,0.75,-48.35593220338969,16000.0,464976.0,15.0,238.86666666666665,11.758684733704984,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
17000.0,1.75,2.1050684154033658E-7,17000.0,0.84,0.22867498997862884,0.668,0.027077716563122488,0.6801915322580645,0.010101010101010102,0.7302967433402214,0.8,-43.093749999999915,17000.0,464976.0,15.0,257.4,12.64233251534587,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
18000.0,1.828125,2.1990446839481589E-7,18000.0,0.4683838383838384,0.11310450278366976,0.63,0.0017267429311460553,0.84,0.010101010101010102,0.5029207620781756,0.4,-47.260869565217114,18000.0,464976.0,15.0,276.40000000000003,15.07505034343643,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
19000.0,1.921875,2.3118162062019105E-7,19000.0,0.6215977822580645,0.12724781323118797,0.644,0.00643029382870435,0.4683838383838384,0.008064516129032258,0.5679618342470648,0.5,-45.32876712328798,19000.0,464976.0,15.0,293.73333333333335,13.630148655864044,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,2.0,2.4057924747467035E-7,20000.0,0.5269269737354844,0.11345263181531301,0.574,-0.002348224243650746,0.6215977822580645,0.013171225937183385,0.4708806918784684,0.38461538461538464,-52.58490566037728,20000.0,464976.0,15.0,315.6666666666667,13.134831918369171,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
21000.0,2.078125,2.4997687432914965E-7,21000.0,0.661839430894309,0.12752714013716349,0.598,0.017134139185541637,0.5269269737354844,0.016260162601626018,0.6111265087983809,0.625,-47.24000000000017,21000.0,464976.0,15.0,347.59999999999997,14.807334090144073,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
22000.0,2.21875,2.668926026672124E-7,22000.0,0.8079650845608293,0.17886370633005522,0.568,0.01948768231400878,0.661839430894309,0.013171225937183385,0.6594575533508573,0.7692307692307693,-49.55319148936184,22000.0,464976.0,15.0,373.7333333333333,14.858699552146291,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
23000.0,2.296875,2.762902295216917E-7,23000.0,0.6520917338709677,0.11694628701209775,0.583,0.003174542464286387,0.8079650845608293,0.008064516129032258,0.5402172502052807,0.5,-47.93367346938796,23000.0,464976.0,15.0,390.13333333333327,15.945741333242138,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
