learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.109375,3.9912346336576676E-9,1000.0,0.9601992653138115,0.7951573560131163,0.937,0.7179037111334006,0.0,0.11982082866741321,0.919212657929632,0.897196261682243,0.41121495327102847,1000.0,141056.0,15.0,0.9445511461056938,0.05544885389430616,211.53333333333336,16.28262293132804,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.171875,6.271940138604906E-9,2000.0,0.9948518896833504,0.8876143957891729,0.967,0.845606812014597,0.9601992653138115,0.12359550561797752,0.9615169322646716,0.9545454545454546,0.6958525345622119,2000.0,141056.0,15.0,0.8699677976473238,0.13003220235267618,423.3333333333333,23.663312974991076,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.203125,7.412292891078526E-9,3000.0,0.993721435359066,0.8753585225887551,0.962,0.8077856911621881,0.9948518896833504,0.10864745011086474,0.9515623131379388,0.9387755102040817,0.6380952380952377,3000.0,141056.0,15.0,0.9064340951151018,0.0935659048848982,616.8000000000001,19.541896384069652,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.25,9.122822019788954E-9,4000.0,0.9903820996117256,0.8552170350955578,0.959,0.8039965579883352,0.993721435359066,0.11982082866741321,0.9397168090087755,0.9158878504672897,0.6113744075829382,4000.0,141056.0,15.0,0.8348874134369428,0.16511258656305708,819.8,22.85732142787388,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.28125,1.0263174772262573E-8,5000.0,0.993883070054945,0.8853750435466637,0.964,0.8286758547171247,0.9903820996117256,0.11607142857142858,0.9671535054784947,0.9711538461538461,0.6577946768060832,5000.0,141056.0,15.0,0.8716648668120336,0.1283351331879664,1024.0,29.48849654647433,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.3125,1.1403527524736192E-8,6000.0,0.9923286616200002,0.8733326638938643,0.961,0.8226627864678063,0.993883070054945,0.12485939257592801,0.9583488369250744,0.954954954954955,0.6326530612244894,6000.0,141056.0,15.0,0.9223615352286566,0.07763846477134341,1241.9333333333332,39.88817702862172,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.34375,1.254388027720981E-8,7000.0,0.988579169374112,0.8570894259056975,0.959,0.8028201527422424,0.9923286616200002,0.11234705228031146,0.9596192852209566,0.9603960396039604,0.6111111111111107,7000.0,141056.0,15.0,0.9645014682823848,0.03549853171761511,1437.9999999999998,48.05205510693587,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.375,1.368423302968343E-8,8000.0,0.9932182813366683,0.8822635685982699,0.958,0.8043618002440818,0.988579169374112,0.11982082866741321,0.9517732170536268,0.9439252336448598,0.602366863905325,8000.0,141056.0,15.0,0.8316467010098834,0.16835329899011653,1651.2,48.963835050546685,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.40625,1.4824585782157048E-8,9000.0,0.9885295359301476,0.8486731495355057,0.95,0.7751697468411348,0.9932182813366683,0.122334455667789,0.9437259800816712,0.9357798165137615,0.5283018867924524,9000.0,141056.0,15.0,0.7424037827817005,0.2575962172182993,1860.1333333333332,52.348920942169606,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.4375,1.5964938534630667E-8,10000.0,0.9925329574114252,0.8642742385495004,0.963,0.8178631906430903,0.9885295359301476,0.11234705228031146,0.9574247112834444,0.9504950495049505,0.6492890995260662,10000.0,141056.0,15.0,0.9390834306720693,0.06091656932793071,2061.5333333333333,53.66811592246058,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,0.453125,1.6535114910867476E-8,11000.0,0.9883273414454278,0.8577660841717792,0.945,0.7339087355343109,0.9925329574114252,0.10619469026548672,0.9369405902278539,0.9270833333333334,0.47437011294526454,11000.0,141056.0,15.0,0.9666170880892507,0.03338291191074925,2250.4666666666662,57.19373925110868,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,0.484375,1.7675467663341095E-8,12000.0,0.9900098494442099,0.8682253311769019,0.951,0.7728831785230915,0.9883273414454278,0.11482720178372352,0.9512019228931454,0.9514563106796117,0.5311004784688993,12000.0,141056.0,15.0,0.9960426672857964,0.003957332714203577,2448.2,55.26843583818889,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
13000.0,0.515625,1.8815820415814714E-8,13000.0,0.990829346092504,0.8422172713885513,0.959,0.7736207429656785,0.9900098494442099,0.09649122807017543,0.9360535092871581,0.9090909090909091,0.602831594634873,13000.0,141056.0,15.0,0.9925978951553218,0.00740210484467815,2617.933333333334,53.3083572470673,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
14000.0,0.53125,1.9385996792051524E-8,14000.0,0.9899006813115508,0.8671064566676384,0.96,0.8163671921625517,0.990829346092504,0.11982082866741321,0.9652413840336974,0.9719626168224299,0.613526570048309,14000.0,141056.0,15.0,0.9170879304153373,0.08291206958466246,2828.533333333333,59.23182863806867,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,0.546875,1.9956173168288333E-8,15000.0,0.9890353852415545,0.854467644145261,0.951,0.7477035877579601,0.9899006813115508,0.09769484083424808,0.9477526337076237,0.9438202247191011,0.5221066319895966,15000.0,141056.0,15.0,0.8694597964223719,0.13054020357762805,2994.7333333333336,61.867908444023676,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
16000.0,0.5625,2.0526349544525142E-8,16000.0,0.9907416527134837,0.85596564508699,0.952,0.7245969361409144,0.9890353852415545,0.08342361863488625,0.9441942932118629,0.935064935064935,0.524458204334365,16000.0,141056.0,15.0,0.9991952506639369,8.047493360630267E-4,3144.7333333333336,59.300044166047925,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
17000.0,0.609375,2.2308474096159137E-8,17000.0,0.9882972436790343,0.8331214001599028,0.954,0.7793129917482247,0.9907416527134837,0.1185682326621924,0.9279758893378836,0.8962264150943396,0.5456130156885529,17000.0,146960.0,15.0,0.9373942730043753,0.0626057269956247,3349.733333333333,59.69860810373902,3334.4000000000005,1030.2629900037311,1.2666666666666668,0.7037315505489967,1.1333333333333335,0.3518657752744984,1.1333333333333335,0.3518657752744984,0.13333333333333336,0.35186577527449836,0.0,0.0,0.0,0.0,1.0,0.0
18000.0,0.6875,2.6009026138732826E-8,18000.0,0.9773105462004584,0.7393696179305289,0.94,0.7341438990455764,0.9882972436790343,0.11982082866741321,0.9334648668809785,0.9252336448598131,0.40919037199124647,18000.0,183096.0,15.0,0.9050842280737404,0.09491577192625954,3551.0000000000005,61.10412658498835,5722.666666666667,144.59137825841017,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
19000.0,0.734375,2.8453941922634836E-8,19000.0,0.9864017605048995,0.8230907740298045,0.954,0.7902684563758388,0.9773105462004584,0.1210762331838565,0.9497855945608338,0.9444444444444444,0.548553719008264,19000.0,201616.0,15.0,0.8219931253245251,0.17800687467547488,3762.733333333333,63.898878446078115,6947.733333333334,1365.531161263247,3.8000000000000003,1.01418510567422,2.4000000000000004,0.50709255283711,2.4000000000000004,0.50709255283711,1.4000000000000001,0.50709255283711,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,0.78125,3.099237801507115E-8,20000.0,0.9899021239387358,0.8368128860439915,0.961,0.8327501029230134,0.9864017605048995,0.13765642775881684,0.9564163218146765,0.9504132231404959,0.6208070004861446,20000.0,209328.0,15.0,0.7966795860815082,0.2033204139184917,3991.0,61.48983655857284,7457.066666666667,1348.200465523616,4.199999999999999,1.01418510567422,2.5999999999999996,0.50709255283711,2.5999999999999996,0.50709255283711,1.5999999999999999,0.50709255283711,0.0,0.0,0.0,0.0,1.0,0.0
