learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes)
1000.0,0.25,5.90417120191786E-8,1000.0,0.549315194411251,0.16543030228049752,0.825,0.012749633307006257,0.0,0.011122345803842264,0.47610423846734495,0.2727272727272727,-14.9090909090909,1000.0,912896.0
2000.0,0.46875,1.240577290041579E-7,2000.0,0.5507121277514027,0.13960496463681332,0.697,0.005814182405208175,0.549315194411251,0.007049345417925478,0.5472889987618347,0.42857142857142855,-32.66666666666664,2000.0,1148880.0
3000.0,0.734375,2.1062678165940773E-7,3000.0,0.7097979797979798,0.24768613067669698,0.76,0.013320177602367665,0.5507121277514027,0.010101010101010102,0.5526794237662059,0.4,-24.714285714285793,3000.0,1259784.0
4000.0,0.921875,2.7712282543588015E-7,4000.0,0.3821752265861027,0.10221982857456188,0.748,-0.0058193835764061876,0.7097979797979798,0.007049345417925478,0.3278209138772462,0.14285714285714285,-27.799999999999883,4000.0,1370872.0
5000.0,1.125,3.5366803381798996E-7,5000.0,0.6760969526926974,0.33868993197498265,0.801,0.04234841193455209,0.3821752265861027,0.013171225937183385,0.6581562635212251,0.5384615384615384,-19.729166666666547,5000.0,1456656.0
6000.0,1.34375,4.42393777322852E-7,6000.0,0.6085455330168321,0.13509541587958288,0.685,0.017307860289254986,0.6760969526926974,0.007049345417925478,0.6993841959100211,0.7142857142857143,-33.363636363636395,6000.0,1567848.0
7000.0,1.53125,5.231161614776486E-7,7000.0,0.7729334677419355,0.24574374074688587,0.649,0.017687227135341155,0.6085455330168321,0.008064516129032258,0.6972367696150468,0.75,-37.999999999999964,7000.0,1664160.0
8000.0,1.734375,6.13686796795163E-7,8000.0,0.5760322255790534,0.17205695249855008,0.814,0.0180032733224218,0.7729334677419355,0.007049345417925478,0.591626216143969,0.42857142857142855,-20.257142857142778,8000.0,1723560.0
9000.0,1.9375,7.085163896489475E-7,9000.0,0.8244197780020182,0.32000674176025024,0.71,0.02909370919682642,0.5760322255790534,0.009081735620585268,0.7427943652174313,0.7777777777777778,-32.03797468354433,9000.0,1804608.0
10000.0,2.1875,8.335811111869084E-7,10000.0,0.8152403713576616,0.2557960071206936,0.754,0.0334823708756018,0.8244197780020182,0.011122345803842264,0.6932898348525274,0.6363636363636364,-26.333333333333307,10000.0,1933736.0
11000.0,2.375,9.317983899058568E-7,11000.0,0.7164634146341463,0.28484367116031656,0.733,0.03398072303105757,0.8152403713576616,0.016260162601626018,0.6433288049042357,0.5625,-26.70754716981124,11000.0,2024832.0
12000.0,2.625,1.0693190334778695E-6,12000.0,0.530241935483871,0.1397327069933565,0.683,0.003019247704113951,0.7164634146341463,0.008064516129032258,0.5070073486774163,0.375,-32.36842105263174,12000.0,2126328.0
13000.0,2.828125,1.1878127245128984E-6,13000.0,0.6356006768189509,0.21396647667143798,0.77,0.01393354769560547,0.530241935483871,0.015228426395939087,0.5088057082334715,0.3333333333333333,-22.17829457364341,13000.0,2254936.0
14000.0,3.015625,1.30137819926151E-6,14000.0,0.5899439286699145,0.20071984150774788,0.781,0.014614304740649722,0.6356006768189509,0.011122345803842264,0.5344979165499272,0.36363636363636365,-20.899999999999977,14000.0,2341248.0
15000.0,3.25,1.4514065050106084E-6,15000.0,0.4980378966251822,0.09810654156254817,0.742,-0.0021519075845029376,0.5899439286699145,0.009081735620585268,0.4073547414885003,0.2222222222222222,-24.973154362416064,15000.0,2474368.0
16000.0,3.4375,1.574861461348418E-6,16000.0,0.454560697518444,0.06984858717927797,0.634,-0.006445651934795249,0.4980378966251822,0.006036217303822937,0.3257864652276907,0.16666666666666666,-36.78064516129048,16000.0,2545128.0
17000.0,3.640625,1.713228185609397E-6,17000.0,0.6263846928499497,0.10756900056267762,0.595,8.486618773187712E-4,0.454560697518444,0.007049345417925478,0.5054728532292787,0.42857142857142855,-41.499999999999936,17000.0,2633120.0
18000.0,3.828125,1.8442687643174498E-6,18000.0,0.63678391959799,0.11445942652418871,0.873,-0.009699475274288431,0.6263846928499497,0.005025125628140704,0.0,0.0,-12.688622754490943,18000.0,2701512.0
19000.0,4.0625,2.0181748227009345E-6,19000.0,0.8145896656534954,0.3121391945401456,0.891,0.062317194865971814,0.63678391959799,0.013171225937183385,0.5875862313738576,0.38461538461538464,-10.505555555555572,19000.0,2868176.0
20000.0,4.28125,2.1855336833848723E-6,20000.0,0.660170971596654,0.19732841245429586,0.88,0.04326056798430895,0.8145896656534954,0.011122345803842264,0.567528349287638,0.36363636363636365,-11.565445026178079,20000.0,2957352.0
21000.0,4.5,2.3606640429029036E-6,21000.0,0.6365832748811472,0.18806617306689907,0.825,0.030621288664362187,0.660170971596654,0.013171225937183385,0.5652774693997257,0.38461538461538464,-17.014705882353017,21000.0,3094680.0
22000.0,4.734375,2.5535404630419283E-6,22000.0,0.8822502068204798,0.25764115155189776,0.846,0.05283227750784237,0.6365832748811472,0.011122345803842264,0.6806451900988278,0.5454545454545454,-14.758139534883734,22000.0,3181048.0
23000.0,4.984375,2.7653966875125966E-6,23000.0,0.815114709851552,0.3178702541687399,0.871,0.07762269763184974,0.8822502068204798,0.012145748987854251,0.7142278750440076,0.5833333333333334,-12.070484581497736,23000.0,3275696.0
24000.0,5.234375,2.9865278500235743E-6,24000.0,0.6869095816464238,0.18239849346746673,0.783,0.03034961035246976,0.815114709851552,0.012145748987854251,0.6270714660082863,0.5,-20.790794979079585,24000.0,3419104.0
25000.0,5.421875,3.15955206234422E-6,25000.0,0.6788307748873977,0.20512338926171284,0.863,0.048663963113159736,0.6869095816464238,0.011122345803842264,0.6279631476953871,0.45454545454545453,-12.699999999999989,25000.0,3567040.0
26000.0,5.640625,3.3677083491865133E-6,26000.0,0.8308668076109936,0.37237473196047555,0.937,0.18713872832370032,0.6788307748873977,0.011122345803842264,0.8265295063761353,0.7272727272727273,-5.275862068965504,26000.0,3678272.0
27000.0,5.90625,3.6256387506404685E-6,27000.0,0.8912583877194595,0.36369887933130984,0.928,0.12614996237590137,0.8308668076109936,0.011122345803842264,0.713093696316324,0.5454545454545454,-6.147058823529371,27000.0,3753496.0
28000.0,6.140625,3.858252570757435E-6,28000.0,0.6441985244802146,0.30506380337508254,0.955,0.10820451843044022,0.8912583877194595,0.006036217303822937,0.6920066758613097,0.5,-3.5323741007194425,28000.0,3836424.0
29000.0,6.390625,4.112909793750279E-6,29000.0,0.8292590725806451,0.36525472252867386,0.962,0.1976351351351356,0.6441985244802146,0.008064516129032258,0.7764976424366512,0.625,-2.8531468531468636,29000.0,3937480.0
30000.0,6.640625,4.375526720347503E-6,30000.0,0.8668012108980827,0.35153458326211084,0.957,0.20623200177213247,0.8292590725806451,0.009081735620585268,0.7998486234178634,0.6666666666666666,-3.3728813559321953,30000.0,4060552.0
31000.0,6.875,4.628689299958447E-6,31000.0,0.7341430499325237,0.3893751359606537,0.958,0.26181102362204733,0.8668012108980827,0.012145748987854251,0.8006407690254357,0.6666666666666666,-3.2410423452768637,31000.0,4175328.0
32000.0,7.109375,4.887358809355646E-6,32000.0,0.3383226819150129,0.056060563675757125,0.609,-0.007596920000412188,0.7341430499325237,0.009081735620585268,0.3689361924722651,0.2222222222222222,-38.59493670886089,32000.0,4266152.0
33000.0,7.375,5.1883222315356965E-6,33000.0,0.7537993920972644,0.2209898288070062,0.821,0.029410488873465986,0.3383226819150129,0.013171225937183385,0.5638970583785462,0.38461538461538464,-16.954407294832844,33000.0,4379728.0
34000.0,7.625,5.476321320101205E-6,34000.0,0.8237147177419355,0.32485837100728465,0.914,0.09083220568335527,0.7537993920972644,0.008064516129032258,0.7567738454953412,0.625,-7.676557863501441,34000.0,4453008.0
35000.0,7.875,5.768004824252178E-6,35000.0,0.7838383838383839,0.31324016321210507,0.907,0.09796314258001941,0.8237147177419355,0.010101010101010102,0.7389591369355994,0.6,-8.380403458213205,35000.0,4509976.0
36000.0,8.140625,6.085036018501139E-6,36000.0,0.772429435483871,0.3389735800204119,0.93,0.08949011446409992,0.7838383838383839,0.008064516129032258,0.6831792378049423,0.5,-6.0985915492957785,36000.0,4613552.0
37000.0,8.421875,6.4313646160169605E-6,37000.0,0.7726045883940621,0.2645501434160826,0.934,0.15781951817068132,0.772429435483871,0.012145748987854251,0.739809309055504,0.5833333333333334,-5.6539509536784545,37000.0,4759904.0
38000.0,8.6875,6.7648209126976626E-6,38000.0,0.6542224140411451,0.16789965989613795,0.733,0.008452294300271637,0.7726045883940621,0.007049345417925478,0.5613043567652117,0.42857142857142855,-26.128342245989362,38000.0,4852576.0
39000.0,8.953125,7.1040582649099324E-6,39000.0,0.6538558467741935,0.1249388035443331,0.686,0.009388723436474967,0.6542224140411451,0.008064516129032258,0.5863019699779287,0.5,-31.05759162303657,39000.0,4936704.0
40000.0,9.203125,7.43018776928592E-6,40000.0,0.6309223790322581,0.08300586295864434,0.624,0.010401313850170433,0.6538558467741935,0.008064516129032258,0.6244957643390541,0.625,-37.56410256410242,40000.0,5042576.0
41000.0,9.5,7.821005581515944E-6,41000.0,0.4594949494949495,0.10318159974861763,0.652,-0.0025351463470845584,0.6309223790322581,0.010101010101010102,0.443471156521669,0.3,-34.669999999999966,41000.0,5088656.0
42000.0,9.734375,8.13839061366808E-6,42000.0,0.6811301715438951,0.23848475516386006,0.946,0.11542115781541935,0.4594949494949495,0.009081735620585268,0.6499760662105066,0.4444444444444444,-4.545232273838651,42000.0,5234528.0
43000.0,10.046875,8.570953084725058E-6,43000.0,0.747617445902007,0.2672479214916241,0.945,0.1133036693106343,0.6811301715438951,0.009081735620585268,0.649630976689919,0.4444444444444444,-4.657894736842101,43000.0,5350584.0
44000.0,10.375,9.031274498233363E-6,44000.0,0.7815151515151515,0.28830727994088345,0.953,0.1312384473197798,0.747617445902007,0.010101010101010102,0.6192207550093451,0.4,-3.8317757009345996,44000.0,5422808.0
45000.0,10.703125,9.49914738561751E-6,45000.0,0.7203722390402512,0.27430857456965174,0.879,0.06058818049128852,0.7815151515151515,0.009081735620585268,0.6999751729455964,0.5555555555555556,-11.459954233409606,45000.0,5511768.0
46000.0,11.015625,9.950227653866425E-6,46000.0,0.8050640195655301,0.31128923346516735,0.928,0.06500792146066624,0.7203722390402512,0.007049345417925478,0.6318410665365984,0.42857142857142855,-6.459459459459426,46000.0,5579640.0
47000.0,11.3125,1.0387070619294211E-5,47000.0,0.8738647830474269,0.29084959655436493,0.859,0.06254986436891706,0.8050640195655301,0.009081735620585268,0.7575164334782267,0.6666666666666666,-13.629139072847746,47000.0,5687928.0
48000.0,11.609375,1.0829658971892462E-5,48000.0,0.7821356275303644,0.3254149564143769,0.937,0.18596237337192445,0.8738647830474269,0.012145748987854251,0.7917421300775973,0.6666666666666666,-5.503225806451634,48000.0,5762736.0
49000.0,11.90625,1.1277866756750476E-5,49000.0,0.8345070422535211,0.39129350957859865,0.955,0.14181096956289557,0.7821356275303644,0.006036217303822937,0.7986406962900299,0.6666666666666666,-3.6815286624203787,49000.0,5835904.0
50000.0,12.265625,1.1828321698380426E-5,50000.0,0.7897267206477733,0.3252702902183471,0.958,0.2074275362318856,0.8345070422535211,0.012145748987854251,0.6941047302231981,0.5,-3.3478260869565246,50000.0,5920744.0
51000.0,12.5625,1.2289085651799621E-5,51000.0,0.8450704225352113,0.3082181588402448,0.931,0.09386983243157986,0.7897267206477733,0.006036217303822937,0.7884988156578059,0.6666666666666666,-6.196319018404882,51000.0,5999392.0
52000.0,12.890625,1.2806849877556992E-5,52000.0,0.7129817444219066,0.24139363979420594,0.945,0.10754851690790006,0.8450704225352113,0.014198782961460446,0.5221825227602028,0.2857142857142857,-4.685884691848895,52000.0,6099512.0
53000.0,13.21875,1.3335978664043877E-5,53000.0,0.514407444780805,0.06766121800239797,0.577,-0.0037015945330296264,0.7129817444219066,0.009081735620585268,0.439398420664062,0.3333333333333333,-42.78710937499999,53000.0,6233392.0
54000.0,13.53125,1.3846343434933159E-5,54000.0,0.7204706314918651,0.1211298154561557,0.618,0.009269297203649536,0.514407444780805,0.011122345803842264,0.5809742017266976,0.5454545454545454,-38.441682600382634,54000.0,6312960.0
55000.0,13.875,1.4417860462951163E-5,55000.0,0.6980431848852902,0.27013725988407683,0.876,0.06783738272792825,0.7204706314918651,0.012145748987854251,0.6635385450821351,0.5,-11.74766355140191,55000.0,6426712.0
56000.0,14.265625,1.5077048479320688E-5,56000.0,0.8983362441400864,0.37331658803794066,0.965,0.3016759776536314,0.6980431848852902,0.011122345803842264,0.8388928135819702,0.7272727272727273,-2.5897435897435797,56000.0,6523064.0
57000.0,14.625,1.5691922356685003E-5,57000.0,0.7404689972665803,0.2057340145265375,0.972,0.1672119445601097,0.8983362441400864,0.007049345417925478,0.6466940596084397,0.42857142857142855,-1.8860759493671013,57000.0,6613640.0
58000.0,14.96875,1.6292254311136073E-5,58000.0,0.8025719120135364,0.2928599613622773,0.969,0.3266724587315368,0.7404689972665803,0.015228426395939087,0.721344861682306,0.5333333333333333,-2.165492957746474,58000.0,6750736.0
59000.0,15.34375,1.6957348238469826E-5,59000.0,0.8413499271218746,0.31240449569991524,0.961,0.2237879149749227,0.8025719120135364,0.009081735620585268,0.8015289795208733,0.6666666666666666,-2.98786828422877,59000.0,6855736.0
60000.0,15.6875,1.7574198104234207E-5,60000.0,0.8514364919354839,0.3593477139405944,0.973,0.2189308030548487,0.8413499271218746,0.008064516129032258,0.6988614011837513,0.5,-1.7692307692307614,60000.0,6936480.0
