learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.140625,1.6920675989240408E-8,1000.0,0.9734486222105769,0.8172430605263254,0.978,0.8788546255506606,0.0,0.11358574610244988,0.9340916360792519,0.8823529411764706,0.7843137254901958,1000.0,465112.0,15.0,0.9696743724653795,0.030325627534620467,184.20000000000002,14.107748630755067,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.28125,3.3841351978480815E-8,2000.0,0.9978050736566628,0.9084818580952048,0.978,0.892004398366321,0.9734486222105769,0.1185682326621924,0.9793787888444015,0.9811320754716981,0.7884615384615382,2000.0,465112.0,15.0,0.8928730410105307,0.10712695898946921,377.53333333333336,21.209386960449738,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.390625,4.700187774789002E-8,3000.0,0.9976400374473396,0.9185883788370417,0.978,0.8995029966379183,0.9978050736566628,0.13122171945701358,0.9800633973144288,0.9827586206896551,0.7962962962962961,3000.0,465112.0,15.0,0.9417966346116649,0.058203365388334996,596.7333333333332,22.58149263276918,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.484375,5.8282328407383623E-8,4000.0,0.9973688807371501,0.9041724902565902,0.978,0.8895094218329381,0.9976400374473396,0.11358574610244988,0.983381942795794,0.9901960784313726,0.7934272300469483,4000.0,465112.0,15.0,0.8921752205022573,0.10782477949774263,786.2666666666668,20.762145040112472,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.578125,6.956277906687723E-8,5000.0,0.9970831257266235,0.9196634418445945,0.98,0.9040086008293656,0.9973688807371501,0.1210762331838565,0.9887256825511932,1.0,0.8127340823970036,5000.0,465112.0,15.0,0.7718041677327924,0.22819583226720755,987.0666666666667,28.828226908130627,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.671875,8.084322972637083E-8,6000.0,0.9973797982444649,0.9042983143661728,0.981,0.9034179866208495,0.9970831257266235,0.11358574610244988,0.9850624600162132,0.9901960784313726,0.8207547169811319,6000.0,465112.0,15.0,0.9833679438918104,0.016632056108189647,1180.2,38.30740323824028,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.75,9.024360527594884E-8,7000.0,0.9953193832599119,0.8952753641671948,0.972,0.8499914280816044,0.9973797982444649,0.1013215859030837,0.9748071575678487,0.9782608695652174,0.7307692307692305,7000.0,465112.0,15.0,0.9947070940211165,0.005292905978883336,1349.4,41.14052572759441,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.828125,9.964398082552684E-8,8000.0,0.9946687948922586,0.8761936511539713,0.97,0.8561082066286152,0.9953193832599119,0.11731843575418995,0.9748145300091701,0.9809523809523809,0.7118847539015605,8000.0,465112.0,15.0,0.9356330643692636,0.06436693563073638,1545.9333333333336,38.68271423972703,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.921875,1.1092443148502045E-7,9000.0,0.9969908140639848,0.902196281799734,0.971,0.8539042821158689,0.9946687948922586,0.10864745011086474,0.9793214723361069,0.9897959183673469,0.7196562835660578,9000.0,465112.0,15.0,0.9867628720622125,0.013237127937787543,1731.0,41.359054976769336,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.015625,1.2220488214451406E-7,10000.0,0.9963684315182468,0.903168370822059,0.968,0.8498428041856316,0.9969908140639848,0.11982082866741321,0.97382838491605,0.9813084112149533,0.6917148362235065,10000.0,465112.0,15.0,0.7306476130993952,0.2693523869006047,1927.2666666666667,43.71248051050125,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
