learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.125,4.55960010488828E-9,1000.0,0.8744422525949932,0.4433308454701435,0.865,0.4202325940941025,0.0,0.10375275938189846,0.7814004305409364,0.6914893617021277,-0.43617021276595797,1000.0,141000.0,15.0,0.8912525497162769,0.1087474502837231,186.33333333333331,10.97833364057631,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.1875,6.83940015733242E-9,2000.0,0.912015377361912,0.46177134684786036,0.86,0.4411400742485327,0.8744422525949932,0.1001100110011001,0.8333859193505099,0.8021978021978022,-0.5135135135135133,2000.0,141000.0,15.0,0.9218978935118255,0.07810210648817455,357.59999999999997,17.89972066821155,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.21875,7.979300183554491E-9,3000.0,0.9128327228327229,0.4304407204954003,0.816,0.36925819278760436,0.912015377361912,0.0989010989010989,0.8286682609410636,0.8444444444444444,-1.0072727272727278,3000.0,141000.0,15.0,0.9999922500196555,7.749980344432591E-6,534.1333333333333,26.310960960532523,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.25,9.119200209776562E-9,4000.0,0.9144348945357914,0.44790776705979896,0.805,0.397404202719407,0.9128327228327229,0.1210762331838565,0.832922170614964,0.8703703703703703,-1.036553524804177,4000.0,141000.0,15.0,0.902851952438074,0.0971480475619259,736.9999999999999,26.71275778670988,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.28125,1.0259100235998632E-8,5000.0,0.920940490430622,0.45449583657335824,0.822,0.377099664053751,0.9144348945357914,0.09649122807017543,0.8355110102957105,0.8522727272727273,-0.8895966029724006,5000.0,141000.0,15.0,0.9295969329948611,0.07040306700513874,907.0,28.42534080710378,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.34375,1.2625047626594705E-8,6000.0,0.9165359555984556,0.426712976731344,0.824,0.4277390490063466,0.920940490430622,0.12612612612612611,0.8306343035315519,0.8392857142857143,-0.8113207547169824,6000.0,146328.0,15.0,0.9761398255777335,0.02386017442226639,1124.0,30.808162183792454,3296.0,928.9256467246757,1.2666666666666668,0.7037315505489967,1.1333333333333335,0.3518657752744984,1.1333333333333335,0.3518657752744984,0.13333333333333336,0.35186577527449836,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.375,1.3851094990968706E-8,7000.0,0.9313943840342374,0.4605468918458152,0.809,0.4047990028046121,0.9165359555984556,0.11358574610244988,0.8526282760225787,0.9117647058823529,-0.9518248175182474,7000.0,151656.0,15.0,0.8984737057903173,0.10152629420968272,1321.6000000000001,32.71915122894934,3648.0,1208.4275496930475,1.5333333333333332,0.915475416434127,1.2666666666666666,0.4577377082170634,1.2666666666666666,0.4577377082170634,0.2666666666666667,0.4577377082170635,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.421875,1.5787081792950632E-8,8000.0,0.9303695585162859,0.46094211510430244,0.836,0.41755985993024886,0.9313943840342374,0.10741971207087486,0.8355765494659766,0.8350515463917526,-0.6777493606138111,8000.0,159648.0,15.0,0.8802673105314656,0.1197326894685345,1513.1333333333332,36.81006591111937,4176.0,1363.2901378650108,1.9333333333333333,1.0327955589886446,1.4666666666666666,0.5163977794943223,1.4666666666666666,0.5163977794943223,0.4666666666666667,0.5163977794943222,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.46875,1.7852289602160456E-8,9000.0,0.9406888888888889,0.4955667440875541,0.849,0.4668079096045195,0.9303695585162859,0.1111111111111111,0.8669230390037835,0.89,-0.5408163265306128,9000.0,170304.0,15.0,0.9789822330381305,0.021017766961869466,1710.0,40.47044777188838,4880.0,1208.4275496930475,2.466666666666667,0.9154754164341268,1.7333333333333334,0.4577377082170634,1.7333333333333334,0.4577377082170634,0.7333333333333333,0.4577377082170635,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.5,1.9272168477376304E-8,10000.0,0.9304948292382075,0.4832262045679998,0.832,0.4303424049044805,0.9406888888888889,0.11234705228031146,0.8491555864323527,0.8712871287128713,-0.7090539165818917,10000.0,175632.0,15.0,0.9794723726909209,0.020527627309079137,1906.2666666666667,41.89351580694399,5232.0,928.9256467246759,2.733333333333333,0.7037315505489967,1.8666666666666665,0.35186577527449836,1.8666666666666665,0.35186577527449836,0.8666666666666666,0.35186577527449836,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,0.546875,2.142992646743854E-8,11000.0,0.9228333333333333,0.4780846243316731,0.824,0.4101876675603213,0.9304948292382075,0.1111111111111111,0.8397618710086806,0.86,-0.787626962142198,11000.0,177936.0,15.0,0.9789518602362253,0.021048139763774645,2098.333333333333,44.76073959983019,5385.6,1000.439674771619,2.733333333333333,0.7037315505489967,1.8666666666666665,0.35186577527449836,1.8666666666666665,0.35186577527449836,0.8666666666666666,0.35186577527449836,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,0.578125,2.2868431794146697E-8,12000.0,0.9228961907531259,0.4572363915016222,0.825,0.4052878406851082,0.9228333333333333,0.10497237569060773,0.8463595648067127,0.8736842105263158,-0.7826825127334477,12000.0,177936.0,15.0,0.9769837969318995,0.02301620306810045,2281.733333333334,42.74921330381693,5385.6,1000.439674771619,2.733333333333333,0.7037315505489967,1.8666666666666665,0.35186577527449836,1.8666666666666665,0.35186577527449836,0.8666666666666666,0.35186577527449836,0.0,0.0,0.0,0.0,1.0,0.0
13000.0,0.625,2.5026189784208933E-8,13000.0,0.9268666666666666,0.48287946538102955,0.803,0.39644607843137275,0.9228961907531259,0.1111111111111111,0.8565434412022934,0.93,-1.003912363067292,13000.0,177936.0,15.0,0.8808555227961006,0.11914447720389947,2471.3999999999996,46.58448546151696,5385.6,1000.439674771619,2.733333333333333,0.7037315505489967,1.8666666666666665,0.35186577527449836,1.8666666666666665,0.35186577527449836,0.8666666666666666,0.35186577527449836,0.0,0.0,0.0,0.0,1.0,0.0
14000.0,0.640625,2.5745442447563013E-8,14000.0,0.9405164092664092,0.49701102161648736,0.844,0.48759722514189596,0.9268666666666666,0.12612612612612611,0.8723415212688949,0.9107142857142857,-0.5712230215827337,14000.0,177936.0,15.0,0.8027151793135723,0.19728482068642766,2684.533333333333,49.200561359553966,5385.6,1000.439674771619,2.733333333333333,0.7037315505489967,1.8666666666666665,0.35186577527449836,1.8666666666666665,0.35186577527449836,0.8666666666666666,0.35186577527449836,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,0.671875,2.718394777427117E-8,15000.0,0.9368968077208611,0.49478157318319593,0.837,0.4541411597658497,0.9405164092664092,0.11358574610244988,0.8691399002006474,0.9117647058823529,-0.6387399463806968,15000.0,177936.0,15.0,0.8413131907277188,0.1586868092722812,2883.133333333333,51.82782852410286,5385.6,1000.439674771619,2.733333333333333,0.7037315505489967,1.8666666666666665,0.35186577527449836,1.8666666666666665,0.35186577527449836,0.8666666666666666,0.35186577527449836,0.0,0.0,0.0,0.0,1.0,0.0
16000.0,0.703125,2.8629438020288942E-8,16000.0,0.9257417142857143,0.4779121388787506,0.795,0.42657342657342673,0.9368968077208611,0.14285714285714285,0.8455598314557218,0.92,-1.0284477427334555,16000.0,178800.0,15.0,0.8625379202272215,0.1374620797727784,3126.7999999999997,51.159693956417364,5443.200000000001,1019.601266602363,2.733333333333333,0.7037315505489967,1.8666666666666665,0.35186577527449836,1.8666666666666665,0.35186577527449836,0.8666666666666666,0.35186577527449836,0.0,0.0,0.0,0.0,1.0,0.0
17000.0,0.734375,3.0074928266306715E-8,17000.0,0.9271137347327614,0.48590067246638385,0.822,0.4123356685837286,0.9257417142857143,0.11234705228031146,0.8434295899932236,0.8712871287128713,-0.7613504074505245,17000.0,178800.0,15.0,0.8871255820047006,0.11287441799529938,3323.866666666667,49.86534248305514,5443.200000000001,1019.601266602363,2.733333333333333,0.7037315505489967,1.8666666666666665,0.35186577527449836,1.8666666666666665,0.35186577527449836,0.8666666666666666,0.35186577527449836,0.0,0.0,0.0,0.0,1.0,0.0
18000.0,0.765625,3.156349218140046E-8,18000.0,0.9268417988149468,0.46686818799694846,0.81,0.39141965778566457,0.9271137347327614,0.10741971207087486,0.8474206304042541,0.8969072164948454,-0.8842975206611565,18000.0,184128.0,15.0,0.939433574191114,0.06056642580888615,3509.9333333333334,58.25371437166248,5795.200000000001,131.82845996651437,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
19000.0,0.8125,3.396426715577642E-8,19000.0,0.9187972306439205,0.45009106051935177,0.809,0.3922539423945833,0.9268417988149468,0.10864745011086474,0.8472130988383062,0.8979591836734694,-0.8970203868269723,19000.0,197976.0,15.0,0.9352453391919464,0.06475466080805357,3699.0,58.94428361960616,6709.333333333334,1202.1415810761978,3.933333333333333,1.0327955589886446,2.466666666666667,0.5163977794943222,2.466666666666667,0.5163977794943222,1.4666666666666666,0.5163977794943223,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,0.84375,3.5759003367275E-8,20000.0,0.9152723747655198,0.4471466291816032,0.809,0.360039670839253,0.9187972306439205,0.09529025191675794,0.8374594130071251,0.8735632183908046,-0.9099999999999999,20000.0,222000.0,15.0,0.8688158244478773,0.13118417555212256,3865.4666666666667,62.343365630155375,8297.6,678.5476928179562,4.866666666666667,0.5163977794943222,2.9333333333333336,0.2581988897471611,2.9333333333333336,0.2581988897471611,1.933333333333333,0.2581988897471612,0.0,0.0,0.0,0.0,1.0,0.0
21000.0,0.875,3.75776047197481E-8,21000.0,0.9246075067581618,0.4986026637383505,0.815,0.36097601414833624,0.9152723747655198,0.09170305676855896,0.8390271277534828,0.8690476190476191,-0.8642034548944344,21000.0,224952.0,15.0,0.8929140703212891,0.10708592967871088,4026.066666666666,59.04171245419458,8492.8,131.8284599665142,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
22000.0,0.90625,3.93962060722212E-8,22000.0,0.9288399760840705,0.511946507622485,0.81,0.4262834642816164,0.9246075067581618,0.12485939257592801,0.8554691347376934,0.918918918918919,-0.9043280182232348,22000.0,224952.0,15.0,0.9334942746563959,0.06650572534360422,4242.466666666667,59.606886786519574,8492.8,131.8284599665142,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
23000.0,0.9375,4.12148074246943E-8,23000.0,0.9583626884599127,0.5619589593495788,0.85,0.4718458634968027,0.9288399760840705,0.10375275938189846,0.8917832400510346,0.9468085106382979,-0.5072083879423325,23000.0,224952.0,15.0,0.9969169385213644,0.0030830614786355967,4431.666666666667,59.004438896779824,8492.8,131.8284599665142,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
24000.0,0.96875,4.30334087771674E-8,24000.0,0.9267953301054347,0.5059234843251006,0.843,0.44030116788112983,0.9583626884599127,0.10864745011086474,0.8492669517888335,0.8571428571428571,-0.5785504817762888,24000.0,224952.0,15.0,0.7224580619816899,0.2775419380183099,4616.2,60.715025205580595,8492.8,131.8284599665142,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,0.984375,4.3942709453403953E-8,25000.0,0.9343882362343163,0.5078642460903027,0.809,0.4080823106483206,0.9267953301054347,0.10741971207087486,0.8719031428957572,0.9587628865979382,-0.9223027375201283,25000.0,224952.0,15.0,0.927110505958861,0.07288949404113892,4802.466666666666,67.98515244066854,8492.8,131.8284599665142,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
26000.0,1.015625,4.578284764041504E-8,26000.0,0.9257445891591649,0.47763789552493874,0.801,0.35779934940878816,0.9343882362343163,0.1013215859030837,0.8309517138883704,0.8695652173913043,-1.0085403726708073,26000.0,227616.0,15.0,0.9491519452841048,0.05084805471589507,4975.0666666666675,63.823939380888,8668.800000000001,699.4711471635453,5.133333333333334,0.5163977794943224,3.066666666666667,0.2581988897471612,3.066666666666667,0.2581988897471612,2.066666666666667,0.2581988897471612,0.0,0.0,0.0,0.0,1.0,0.0
27000.0,1.046875,4.7644522661964104E-8,27000.0,0.9386697287087912,0.511960523287313,0.804,0.40980921179418023,0.9257445891591649,0.11607142857142858,0.8616774226874178,0.9423076923076923,-0.9746268656716411,27000.0,230280.0,15.0,0.8878796036703734,0.11212039632962652,5180.2,59.626456256549965,8844.8,945.919597912151,5.2666666666666675,0.7037315505489968,3.1333333333333337,0.3518657752744984,3.1333333333333337,0.3518657752744984,2.1333333333333337,0.3518657752744984,0.0,0.0,0.0,0.0,1.0,0.0
28000.0,1.09375,5.0537443409363437E-8,28000.0,0.9330254676397421,0.47766557243902774,0.814,0.36307041153869846,0.9386697287087912,0.08577633007600434,0.8622380286267494,0.9240506329113924,-0.8876404494382029,28000.0,238560.0,15.0,0.9493563366453679,0.05064366335463203,5337.733333333334,56.93287609942421,9392.0,1338.5604207505914,5.666666666666668,0.9759000729485333,3.333333333333334,0.48795003647426666,3.333333333333334,0.48795003647426666,2.333333333333334,0.48795003647426666,0.0,0.0,0.0,0.0,1.0,0.0
29000.0,1.125,5.251611582934857E-8,29000.0,0.9437263869556571,0.4949336507535443,0.808,0.4307704166641962,0.9330254676397421,0.11982082866741321,0.8753573464789702,0.9719626168224299,-0.9427773900907177,29000.0,244752.0,15.0,0.9345288999221504,0.06547110007784956,5550.866666666667,63.284918838384975,9801.6,1476.1035968289723,5.933333333333334,1.0327955589886444,3.466666666666667,0.5163977794943222,3.466666666666667,0.5163977794943222,2.466666666666667,0.5163977794943222,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,1.140625,5.353775729114811E-8,30000.0,0.9419917571439989,0.49314567601043446,0.816,0.4136654196434828,0.9437263869556571,0.10741971207087486,0.8678805532324905,0.9381443298969072,-0.8629767127910906,30000.0,252744.0,15.0,0.8404567223893648,0.1595432776106351,5734.933333333333,67.33653929189946,10329.6,1343.8612173243826,6.333333333333334,0.9759000729485333,3.666666666666667,0.48795003647426666,3.666666666666667,0.48795003647426666,2.666666666666667,0.48795003647426666,0.0,0.0,0.0,0.0,1.0,0.0
31000.0,1.171875,5.564565071836115E-8,31000.0,0.9192928915462548,0.48423712212864284,0.8,0.39799653246002703,0.9419917571439989,0.1210762331838565,0.8413355202089048,0.8981481481481481,-1.0188863562357542,31000.0,260736.0,15.0,0.9490561813120476,0.05094381868795229,5947.333333333334,73.73084900662761,10857.599999999999,1026.101415205005,6.733333333333333,0.7037315505489968,3.8666666666666667,0.3518657752744984,3.8666666666666667,0.3518657752744984,2.8666666666666667,0.3518657752744984,0.0,0.0,0.0,0.0,1.0,0.0
32000.0,1.21875,5.88074908591807E-8,32000.0,0.9381732688819303,0.5250745859765655,0.822,0.45483390810582347,0.9192928915462548,0.12485939257592801,0.8734576593134449,0.9459459459459459,-0.7900691389063494,32000.0,260736.0,15.0,0.8439442167791155,0.15605578322088443,6158.933333333333,72.66111818048277,10857.599999999999,1026.101415205005,6.733333333333333,0.7037315505489968,3.8666666666666667,0.3518657752744984,3.8666666666666667,0.3518657752744984,2.8666666666666667,0.3518657752744984,0.0,0.0,0.0,0.0,1.0,0.0
33000.0,1.25,6.091538428639373E-8,33000.0,0.9308472560270488,0.5244774444336731,0.816,0.42293338016772564,0.9381732688819303,0.11234705228031146,0.8685381558559319,0.9405940594059405,-0.8495278708498325,33000.0,260736.0,15.0,0.9301881260503637,0.06981187394963616,6354.599999999999,81.31402971548877,10857.599999999999,1026.101415205005,6.733333333333333,0.7037315505489968,3.8666666666666667,0.3518657752744984,3.8666666666666667,0.3518657752744984,2.8666666666666667,0.3518657752744984,0.0,0.0,0.0,0.0,1.0,0.0
34000.0,1.296875,6.407722442721327E-8,34000.0,0.937316168152405,0.5177649998021943,0.812,0.39717312674755684,0.9308472560270488,0.10864745011086474,0.848973848431773,0.8979591836734694,-0.8905649216208213,34000.0,260736.0,15.0,0.9128629409112339,0.08713705908876611,6539.7333333333345,80.59552155819911,10857.599999999999,1026.101415205005,6.733333333333333,0.7037315505489968,3.8666666666666667,0.3518657752744984,3.8666666666666667,0.3518657752744984,2.8666666666666667,0.3518657752744984,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,1.34375,6.723906456803282E-8,35000.0,0.9411383572567783,0.5261808175778644,0.827,0.4065750116626875,0.937316168152405,0.09649122807017543,0.8677071336899675,0.9204545454545454,-0.7454597866820414,35000.0,260736.0,15.0,0.9431388977134187,0.05686110228658136,6708.133333333333,82.51048995358657,10857.599999999999,1026.101415205005,6.733333333333333,0.7037315505489968,3.8666666666666667,0.3518657752744984,3.8666666666666667,0.3518657752744984,2.8666666666666667,0.3518657752744984,0.0,0.0,0.0,0.0,1.0,0.0
36000.0,1.359375,6.829301128163933E-8,36000.0,0.9348661513603214,0.5279594200207381,0.806,0.4028564393006649,0.9411383572567783,0.11358574610244988,0.8548022751257993,0.9215686274509803,-0.9557546905628664,36000.0,260736.0,15.0,0.7598781467800686,0.24012185321993132,6904.800000000001,82.93818696561249,10857.599999999999,1026.101415205005,6.733333333333333,0.7037315505489968,3.8666666666666667,0.3518657752744984,3.8666666666666667,0.3518657752744984,2.8666666666666667,0.3518657752744984,0.0,0.0,0.0,0.0,1.0,0.0
37000.0,1.375,6.935775875010424E-8,37000.0,0.9162882649121181,0.49223272617642533,0.778,0.3668683941843157,0.9348661513603214,0.122334455667789,0.8283528927423941,0.8990825688073395,-1.2320652173913045,37000.0,263408.0,15.0,0.9861704122070657,0.013829587792934177,7117.466666666666,73.7039121530645,11034.133333333333,1319.3399792897887,6.866666666666667,0.9154754164341272,3.933333333333333,0.45773770821706344,3.933333333333333,0.45773770821706344,2.9333333333333336,0.4577377082170636,0.0,0.0,0.0,0.0,1.0,0.0
38000.0,1.40625,7.14895173182918E-8,38000.0,0.9383160836717761,0.5304445692761702,0.81,0.4180205346859763,0.9162882649121181,0.11358574610244988,0.8689451785895556,0.9509803921568627,-0.909042834479111,38000.0,263688.0,15.0,0.9823791702755392,0.017620829724460843,7319.6,78.63187285427868,11052.800000000001,1366.7623474056177,6.866666666666667,0.9154754164341272,3.933333333333333,0.45773770821706344,3.933333333333333,0.45773770821706344,2.9333333333333336,0.4577377082170636,0.0,0.0,0.0,0.0,1.0,0.0
39000.0,1.4375,7.366667786199187E-8,39000.0,0.9196908161928469,0.495308623325553,0.812,0.4007700742025142,0.9383160836717761,0.11358574610244988,0.8422705178926477,0.8823529411764706,-0.887744593202883,39000.0,269304.0,15.0,0.7507453994980703,0.24925460050192969,7518.266666666666,80.28295199450733,11424.000000000002,830.129766103727,7.133333333333334,0.5163977794943224,4.066666666666666,0.2581988897471611,4.066666666666666,0.2581988897471611,3.066666666666667,0.2581988897471612,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,1.46875,7.584616671212847E-8,40000.0,0.9305483249145221,0.5029966525067481,0.773,0.29577464788732416,0.9196908161928469,0.08342361863488625,0.8321094791936526,0.9090909090909091,-1.2923504165614734,40000.0,269592.0,15.0,0.8942139665807467,0.10578603341925329,7668.799999999999,82.75108976408008,11443.2,819.5151179639266,7.133333333333334,0.5163977794943224,4.066666666666666,0.2581988897471611,4.066666666666666,0.2581988897471611,3.066666666666667,0.2581988897471612,0.0,0.0,0.0,0.0,1.0,0.0
