learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.1875,4.3399243926008544E-8,1000.0,0.5387903299935656,0.19159520503249922,0.82,0.02230236928725812,0.0,0.011122345803842264,0.5477477303138522,0.36363636363636365,-15.363636363636354,1000.0,894712.0,15.0,5430.466666666666,75.59843787753681,10102.933333333332,1420.2031779526008,6.2,1.2649110640673518,3.6,0.6324555320336759,3.6,0.6324555320336759,2.266666666666667,0.4577377082170634,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.359375,8.854782208800317E-8,2000.0,0.6547619047619048,0.19024754492754642,0.746,0.003827811244980263,0.5387903299935656,0.006036217303822937,0.49949672860925537,0.3333333333333333,-28.882352941176638,2000.0,1015392.0,15.0,10860.866666666667,100.14194687447149,18072.533333333336,1296.5059564992735,12.866666666666667,0.9154754164341269,6.933333333333334,0.45773770821706344,6.933333333333334,0.45773770821706344,3.9999999999999996,0.6546536707079771,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.46875,1.2110925227817562E-7,3000.0,0.5292073102365736,0.10417372582628925,0.914,-0.01638026804075108,0.6547619047619048,0.009081735620585268,0.0,0.0,-8.923076923076868,3000.0,1150768.0,15.0,17316.8,117.4303440950661,27022.933333333334,1983.06398811344,19.0,2.1380899352993947,10.0,1.0690449676496974,10.0,1.0690449676496974,5.133333333333334,0.7432233529572067,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.65625,1.8412253767665892E-7,4000.0,0.8348561759729273,0.32699576514046313,0.845,0.07880660881968408,0.5292073102365736,0.015228426395939087,0.7136095421728909,0.6,-14.121951219512225,4000.0,1299072.0,15.0,24530.933333333334,134.00771122090964,36822.933333333334,3997.300651094198,26.866666666666667,2.559761893688737,13.933333333333334,1.2798809468443686,13.933333333333334,1.2798809468443686,6.733333333333333,0.7988086367179801,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.75,2.1821146623955835E-7,5000.0,0.8956161004596928,0.3791867239984109,0.868,0.06759906759906811,0.8348561759729273,0.009081735620585268,0.7615022241617527,0.6666666666666666,-12.199999999999989,5000.0,1405544.0,15.0,28070.0,142.8440708304991,43864.0,3888.0364489767107,30.733333333333334,2.914659173083209,15.866666666666667,1.4573295865416045,15.866666666666667,1.4573295865416045,7.066666666666666,0.8837151016885368,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.8125,2.416615219165882E-7,6000.0,0.908057505850886,0.3935465947393991,0.895,0.031043519988187274,0.8956161004596928,0.003009027081243731,0.7727384469894716,0.6666666666666666,-10.886792452830152,6000.0,1450328.0,15.0,32441.93333333333,149.38993400143235,46821.86666666666,4127.431263884989,33.13333333333333,3.2484428504101706,17.066666666666666,1.6242214252050853,17.066666666666666,1.6242214252050853,7.2666666666666675,1.0997835284835873,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.984375,3.1319977198210033E-7,7000.0,0.6909642430370438,0.19889839970859477,0.921,0.029674756804559003,0.908057505850886,0.011122345803842264,0.41103448999140757,0.18181818181818182,-7.640625000000018,7000.0,1608896.0,15.0,41460.06666666666,179.46287585326277,57300.26666666666,4578.53063558085,41.13333333333333,3.583028779970269,21.066666666666666,1.7915143899851345,21.066666666666666,1.7915143899851345,8.4,1.1832159566199232,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,1.078125,3.531139292236832E-7,8000.0,0.7873366834170854,0.2270722762472649,0.936,0.021257072946935497,0.6909642430370438,0.005025125628140704,0.43352012466835066,0.2,-6.420289855072463,8000.0,1645728.0,15.0,46767.33333333333,180.0585883486122,59731.200000000004,4714.429448891077,44.33333333333333,4.320493798938573,22.666666666666664,2.1602468994692865,22.666666666666664,2.1602468994692865,8.733333333333334,1.0327955589886446,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,1.203125,4.1074856805304696E-7,9000.0,0.8722951003475726,0.2910398454883571,0.951,0.09547367643801143,0.7873366834170854,0.009081735620585268,0.5646856014244607,0.3333333333333333,-4.653846153846129,9000.0,1782280.0,15.0,53389.799999999996,179.51092286702607,68755.2,7320.580023858375,50.86666666666666,5.316640543300502,25.93333333333333,2.658320271650251,25.93333333333333,2.658320271650251,9.2,1.207121724244435,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.328125,4.723327907009258E-7,10000.0,0.8239667338709677,0.21751919889545018,0.985,0.11010915994305111,0.8722951003475726,0.008064516129032258,0.35212488620356125,0.125,-0.7441860465116189,10000.0,1904416.0,15.0,59579.66666666667,174.98965955844616,76822.93333333333,5956.186597224132,57.8,4.6475800154489,29.4,2.32379000772445,29.4,2.32379000772445,9.466666666666669,1.4074631010979937,0.0,0.0,0.0,0.0,1.0,0.0
