learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.234375,3.3542164601385593E-8,1000.0,0.4881218274111675,0.18733541924122024,0.403,0.0,0.0,0.015228426395939087,0.4898979485566356,0.6,-38.79999999999996,1000.0,553200.0,15.0,5363.266666666667,78.82844543389014,8774.4,756.9394012355656,5.2666666666666675,0.7037315505489969,3.1333333333333337,0.35186577527449847,3.1333333333333337,0.35186577527449847,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.46875,7.303557746733229E-8,2000.0,0.682923320385556,0.22547851554361398,0.834,0.010243384729129293,0.4881218274111675,0.007049345417925478,0.48927498998524455,0.2857142857142857,-14.090909090909081,2000.0,651352.0,15.0,9483.6,89.39383168237677,15258.666666666666,1234.3786561127288,10.200000000000001,1.01418510567422,5.6000000000000005,0.50709255283711,5.6000000000000005,0.50709255283711,3.5333333333333328,0.5163977794943222,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.671875,1.1320665685666932E-7,3000.0,0.6457001906043278,0.18197568060898126,0.858,0.024041567581684978,0.682923320385556,0.009081735620585268,0.536272593605031,0.3333333333333333,-12.741935483871007,3000.0,764456.0,15.0,16389.73333333333,131.1642735910457,22735.466666666667,2931.018688507624,15.666666666666668,2.225394561056748,8.333333333333336,1.1126972805283735,8.333333333333336,1.1126972805283735,4.266666666666667,0.5936168397046636,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.90625,1.6980245062667462E-7,4000.0,0.565959595959596,0.14832808881962092,0.874,0.012539184952978412,0.6457001906043278,0.010101010101010102,0.4197161137740797,0.2,-11.29268292682929,4000.0,933416.0,15.0,22662.666666666664,159.2086082860504,33901.86666666667,3152.7649059802975,23.799999999999997,2.3664319132398464,12.399999999999999,1.1832159566199232,12.399999999999999,1.1832159566199232,5.3999999999999995,0.6324555320336759,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,1.078125,2.1629633718273706E-7,5000.0,0.6998805037227687,0.3133335501370266,0.867,0.06372314363754157,0.565959595959596,0.011122345803842264,0.6891007340547435,0.5454545454545454,-11.788461538461583,5000.0,1045648.0,15.0,27836.66666666666,194.65671859773698,41319.99999999999,4049.945325909615,29.400000000000002,3.04255531702266,15.200000000000001,1.52127765851133,15.200000000000001,1.52127765851133,5.733333333333334,0.7988086367179804,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,1.234375,2.630021642997033E-7,6000.0,0.7493939393939394,0.2916600448741077,0.891,0.034543844109831835,0.6998805037227687,0.010101010101010102,0.5187397315522584,0.3,-9.54838709677422,6000.0,1155456.0,15.0,34746.799999999996,211.96637199599235,48578.13333333333,3949.3530368306924,34.86666666666667,2.9728934118288266,17.933333333333334,1.4864467059144133,17.933333333333334,1.4864467059144133,6.599999999999999,0.9102589898327996,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,1.421875,3.228450724337664E-7,7000.0,0.7659289067739772,0.2596789080405961,0.881,0.03699867283850727,0.7493939393939394,0.006036217303822937,0.664567452856652,0.5,-11.250000000000048,7000.0,1233712.0,15.0,39229.066666666666,227.51906251899817,53750.4,3706.1212068684417,38.333333333333336,2.690370836538196,19.666666666666668,1.345185418269098,19.666666666666668,1.345185418269098,6.733333333333333,0.7037315505489968,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,1.59375,3.809750584575037E-7,8000.0,0.6701807228915663,0.19210270854087347,0.88,0.008723235527358797,0.7659289067739772,0.004016064257028112,0.46971537139046443,0.25,-12.333333333333321,8000.0,1307344.0,15.0,45406.33333333333,235.10929575918755,58616.0,2980.478964385232,41.666666666666664,1.951800145897066,21.333333333333332,0.975900072948533,21.333333333333332,0.975900072948533,6.733333333333333,0.7037315505489968,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,1.75,4.3981394911598824E-7,9000.0,0.7619168356997972,0.264096090008511,0.878,0.03749053269376488,0.6701807228915663,0.014198782961460446,0.5032493662783084,0.2857142857142857,-11.767441860465137,9000.0,1455616.0,15.0,52807.399999999994,280.6774457832846,68417.6,3168.865971109718,49.13333333333334,2.8751811537130423,25.06666666666667,1.4375905768565211,25.06666666666667,1.4375905768565211,7.466666666666666,0.9154754164341269,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.90625,5.016676732338964E-7,10000.0,0.9184219324640588,0.4673723812307765,0.865,0.0368975258967551,0.7619168356997972,0.003009027081243731,0.9298353517392378,1.0,-14.168539325842666,10000.0,1530200.0,15.0,54942.13333333334,273.26880190617806,73342.40000000001,3799.950916976241,53.0,3.1167748898959196,27.0,1.5583874449479598,27.0,1.5583874449479598,7.733333333333333,0.7037315505489968,0.0,0.0,0.0,0.0,1.0,0.0
