learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.21875,2.6313355192542076E-8,1000.0,0.6707275803722504,0.2209835912631296,0.878,0.05050976729706671,0.0,0.015228426395939087,0.5435360816737176,0.3333333333333333,-7.133333333333326,1000.0,464976.0,15.0,30.066666666666666,3.8999389494611076,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.359375,4.3229083530604844E-8,2000.0,0.7052360130059424,0.3037924319519283,0.755,0.022237121466085245,0.6707275803722504,0.009081735620585268,0.6484217170755803,0.5555555555555556,-19.416666666666647,2000.0,464976.0,15.0,50.53333333333333,7.229568912920512,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.46875,5.638576112687588E-8,3000.0,0.48791249195698133,0.10605280767341103,0.685,-0.0026099688076896424,0.7052360130059424,0.011122345803842264,0.4336689478386879,0.2727272727272727,-25.999999999999886,3000.0,464976.0,15.0,72.86666666666667,7.836422896291636,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.546875,6.57833879813552E-8,4000.0,0.4026758739749676,0.05410063248457608,0.653,-0.013908368396447228,0.48791249195698133,0.007049345417925478,0.0,0.0,-32.04761904761919,4000.0,464976.0,15.0,86.66666666666667,6.531972647421808,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.625,7.518101483583451E-8,5000.0,0.5379284274193549,0.07327903541678257,0.693,-0.002769865948940264,0.4026758739749676,0.008064516129032258,0.41730461914684136,0.25,-29.699999999999978,5000.0,464976.0,15.0,103.46666666666667,7.317949231333935,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.71875,8.645816706120969E-8,6000.0,0.5146612740141557,0.09577442765926222,0.646,-0.00476268867683559,0.5379284274193549,0.011122345803842264,0.4210867979035818,0.2727272727272727,-33.81967213114757,6000.0,464976.0,15.0,121.73333333333333,9.08268892427997,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.828125,9.961484465748072E-8,7000.0,0.6396457001906043,0.07834264449853123,0.648,0.004755684484932684,0.5146612740141557,0.009081735620585268,0.5374212656503098,0.4444444444444444,-34.19999999999997,7000.0,464976.0,15.0,142.4666666666667,9.50087715248791,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.921875,1.108919968828559E-7,8000.0,0.6810530858869227,0.09061532356648327,0.617,0.011857707509881537,0.6396457001906043,0.007049345417925478,0.6634941055803254,0.7142857142857143,-38.79220779220781,8000.0,464976.0,15.0,156.2,10.338554748402421,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,1.046875,1.259281998500228E-7,9000.0,0.5701036552100381,0.08421618385312521,0.623,0.010945190097908723,0.6810530858869227,0.013171225937183385,0.5797077729499138,0.5384615384615384,-36.69999999999997,9000.0,464976.0,15.0,180.0,13.575187449376685,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.109375,1.3344630133360625E-7,10000.0,0.4832409274193548,0.04833349735824863,0.591,0.0035472742510766126,0.5701036552100381,0.008064516129032258,0.543936517880415,0.5,-40.73469387755089,10000.0,464976.0,15.0,199.73333333333332,14.713777152561407,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,1.234375,1.4848250430077316E-7,11000.0,0.6332323232323233,0.06488764258902324,0.571,0.00781719783523738,0.4832409274193548,0.010101010101010102,0.5851702678915278,0.6,-42.694444444444365,11000.0,464976.0,15.0,217.6,16.034783619191302,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,1.3125,1.5788013115525246E-7,12000.0,0.556841046277666,0.10100857917123529,0.622,0.0038580734931374524,0.6332323232323233,0.006036217303822937,0.5580037717216015,0.5,-38.789473684210726,12000.0,464976.0,15.0,230.06666666666663,16.197295482653292,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
13000.0,1.40625,1.6915728338062765E-7,13000.0,0.7911111111111111,0.12461911559584171,0.621,0.02635770436212284,0.556841046277666,0.010101010101010102,0.7458978726096733,0.9,-38.733870967742114,13000.0,464976.0,15.0,248.8666666666667,18.19680767397979,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
14000.0,1.484375,1.7855491023510696E-7,14000.0,0.6687969503307546,0.10037816796589738,0.592,0.011153605653874665,0.7911111111111111,0.009081735620585268,0.6278651113488538,0.6666666666666666,-41.94736842105285,14000.0,464976.0,15.0,263.4666666666667,17.832020423411155,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,1.609375,1.9359111320227387E-7,15000.0,0.6894270658145532,0.11136528312116051,0.594,0.011294619591951842,0.6687969503307546,0.009081735620585268,0.6289356408753358,0.6666666666666666,-41.887323943662174,15000.0,464976.0,15.0,281.9333333333333,17.886414104671996,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
16000.0,1.71875,2.0674779079854492E-7,16000.0,0.794112685560054,0.14723873956326888,0.585,0.027647610121837,0.6894270658145532,0.012145748987854251,0.7297652738557624,0.9166666666666666,-42.116883116883145,16000.0,464976.0,15.0,302.86666666666673,17.97564489869028,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
17000.0,1.78125,2.1426589228212836E-7,17000.0,0.710910929313356,0.13950983594276212,0.574,0.010595454313199852,0.794112685560054,0.011122345803842264,0.6040126872911505,0.6363636363636364,-42.89090909090885,17000.0,464976.0,15.0,324.8,18.245155912891352,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
18000.0,1.890625,2.274225698783994E-7,18000.0,0.4529292929292929,0.057218107248587224,0.552,-0.006470165348670008,0.710910929313356,0.010101010101010102,0.40787698680317375,0.3,-45.08000000000016,18000.0,464976.0,15.0,348.19999999999993,20.072013209583982,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
19000.0,1.96875,2.368201967328787E-7,19000.0,0.513989556542748,0.09302894110534535,0.546,0.004756998487406023,0.4529292929292929,0.013171225937183385,0.5422669677070789,0.5384615384615384,-44.88297872340413,19000.0,464976.0,15.0,374.66666666666663,20.289570391377598,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,2.078125,2.4997687432914976E-7,20000.0,0.3020808978255787,0.03395892972504866,0.526,-0.013127914880156145,0.513989556542748,0.013171225937183385,0.34968839463986096,0.23076923076923078,-46.1641791044776,20000.0,464976.0,15.0,396.5333333333333,19.264573951266332,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
21000.0,2.21875,2.668926026672125E-7,21000.0,0.20204058750981052,0.012786666773857758,0.527,-0.013690175134801637,0.3020808978255787,0.009081735620585268,0.24284814480942793,0.1111111111111111,-46.299999999999955,21000.0,464976.0,15.0,414.66666666666663,20.282528254163786,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
22000.0,2.28125,2.7441070415079595E-7,22000.0,0.4442503906609063,0.038705126253251454,0.516,-0.0012950634498339081,0.20204058750981052,0.011122345803842264,0.4846195877863957,0.45454545454545453,-47.18099547511296,22000.0,464976.0,15.0,439.59999999999997,20.1558215624455,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
23000.0,2.40625,2.8944690711796283E-7,23000.0,0.30960181451612906,0.01983099260696214,0.465,-0.004747667482984973,0.4442503906609063,0.008064516129032258,0.41790809685785557,0.375,-52.73362445414855,23000.0,464976.0,15.0,456.3333333333333,21.79340223444657,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
24000.0,2.484375,2.9884453397244213E-7,24000.0,0.8456337217666523,0.09084289091629821,0.509,0.014111656372734132,0.30960181451612906,0.007049345417925478,0.7110124973583788,1.0,-48.93220338983037,24000.0,464976.0,15.0,470.40000000000003,20.56279580768558,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,2.59375,3.1200121156871315E-7,25000.0,0.4470310391363023,0.035639751002615405,0.512,-0.007465151615247539,0.8456337217666523,0.012145748987854251,0.4139927698586977,0.3333333333333333,-48.19354838709658,25000.0,464976.0,15.0,492.4666666666667,21.189170639290072,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
26000.0,2.6875,3.232783637940883E-7,26000.0,0.6264362533321077,0.06526794835583805,0.481,0.00482439656693172,0.4470310391363023,0.011122345803842264,0.5522601448409443,0.6363636363636364,-51.100386100386075,26000.0,464976.0,15.0,513.8,21.143050192168836,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
