learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.203125,2.4433829821646212E-8,1000.0,0.6232196806214934,0.035830747335009586,0.993,0.0,0.0,0.007049345417925478,0.0,0.0,0.0,1000.0,464976.0,15.0,0.9999999999950527,4.947180364465047E-12,988.2,34.01932224066623,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.359375,4.3229083530604844E-8,2000.0,0.9951788317075906,0.09808860974816017,0.991,0.0,0.6232196806214934,0.009081735620585268,0.0,0.0,-0.125,2000.0,464976.0,15.0,0.9999998093148214,1.9068517857629438E-7,1973.3333333333333,48.08425145611852,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.46875,5.638576112687588E-8,3000.0,0.9980808080808081,0.2379845028531907,0.99,0.0,0.9951788317075906,0.010101010101010102,0.0,0.0,-0.15384615384614891,3000.0,464976.0,15.0,0.9999996411948868,3.588051131124076E-7,2963.5333333333333,62.32159298654795,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.625,7.678560602168243E-8,4000.0,0.8708585858585859,0.12352327796848205,0.99,0.0,0.9980808080808081,0.010101010101010102,0.0,0.0,-0.1111111111111111,4000.0,504672.0,15.0,0.9999836301824897,1.6369817510106226E-5,3949.6,61.186833317541186,5566.4,72.64473238203256,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.71875,8.904627369095883E-8,5000.0,0.971495640509725,0.06644196931515602,0.994,0.0,0.8708585858585859,0.006036217303822937,0.0,0.0,0.2857142857142819,5000.0,505528.0,15.0,0.9999999999999994,4.9774203500622767E-20,4945.400000000001,64.53105564654243,5623.466666666666,100.94260509720144,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.828125,1.0359168906385701E-7,6000.0,0.9929221435793731,0.3052451649216606,0.991,0.30534115467737316,0.971495640509725,0.011122345803842264,0.4264014327112209,0.18181818181818182,-0.018867924528299752,6000.0,514056.0,15.0,0.9991580911915309,8.419088084691871E-4,5937.133333333333,80.22634646216078,6185.6,1019.087322769041,3.8,1.01418510567422,2.4000000000000004,0.50709255283711,2.4000000000000004,0.50709255283711,1.4,0.50709255283711,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.9375,1.1905998690053822E-7,7000.0,0.9997122716155948,0.2138885712093678,0.993,0.0,0.9929221435793731,0.007049345417925478,0.0,0.0,0.18333333333333182,7000.0,546672.0,15.0,0.9999999946956051,5.304394898367204E-9,6929.6,80.27791014434078,8342.4,143.37005066809274,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,1.078125,1.39509211294353E-7,8000.0,1.0,0.28076869979404234,0.995,0.284487693188333,0.9997122716155948,0.006036217303822937,0.408248290463863,0.16666666666666666,0.3939393939393919,8000.0,562104.0,15.0,0.9999999999999994,5.211567638950265E-24,7937.2,89.9048703590952,9361.6,1245.3385540830711,5.800000000000001,1.01418510567422,3.4000000000000004,0.50709255283711,3.4000000000000004,0.50709255283711,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,1.140625,1.4865738598422873E-7,9000.0,0.975033738191633,0.17038179923081903,0.989,0.1522811344019713,1.0,0.012145748987854251,0.28867513459481287,0.08333333333333333,-0.26923076923076383,9000.0,565792.0,15.0,0.999999409475737,5.905242628221927E-7,8940.2,92.5435804673359,9607.466666666665,1399.7761997990285,5.800000000000001,1.01418510567422,3.4000000000000004,0.50709255283711,3.4000000000000004,0.50709255283711,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.25,1.648550258121557E-7,10000.0,0.9789566532258065,0.17702846290993107,0.994,0.39807383627608156,0.975033738191633,0.008064516129032258,0.5,0.25,0.3023255813953524,10000.0,572448.0,15.0,0.9999999007132494,9.928675055157612E-8,9943.133333333333,99.30462992131632,10048.533333333335,1725.2715673053854,6.2,1.4735767952260146,3.6,0.7367883976130073,3.6,0.7367883976130073,2.1333333333333337,0.3518657752744984,0.0,0.0,0.0,0.0,1.0,0.0
