learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.1875,4.267203621566296E-8,1000.0,0.6628282828282829,0.23596362967447312,0.841,0.029659465397290877,0.0,0.010101010101010102,0.5815340215170719,0.4,-14.89999999999999,1000.0,879720.0,15.0,4081.2000000000003,64.72932653972,9109.866666666667,1925.331803191583,5.666666666666667,1.447493728911492,3.3333333333333335,0.723746864455746,3.3333333333333335,0.723746864455746,2.1333333333333337,0.3518657752744984,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.359375,8.369789510551426E-8,2000.0,0.9250467558624659,0.31305515289177827,0.958,0.11440981739973716,0.6628282828282829,0.007049345417925478,0.6420053821116585,0.42857142857142855,-3.9411764705882675,2000.0,922672.0,15.0,6179.9333333333325,98.80172545244818,11948.799999999997,2791.16287081721,8.066666666666666,2.374467358818655,4.533333333333333,1.1872336794093274,4.533333333333333,1.1872336794093274,2.9333333333333327,0.7037315505489968,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.5,1.2031167797330353E-7,3000.0,0.9298989898989899,0.5554179782510681,0.97,0.3374558303886918,0.9250467558624659,0.010101010101010102,0.8816880045536162,0.8,-2.3333333333333335,3000.0,1006432.0,15.0,10530.0,134.76964473818708,17486.933333333334,2711.590136187006,11.533333333333335,1.9223002094465096,6.2666666666666675,0.9611501047232548,6.2666666666666675,0.9611501047232548,3.7333333333333334,0.5936168397046636,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.609375,1.506855349159903E-7,4000.0,0.8242817540322581,0.4265600625896373,0.927,0.10757946210268866,0.9298989898989899,0.008064516129032258,0.7621661088105105,0.625,-7.3428571428571034,4000.0,1073456.0,15.0,12803.8,133.71088213006453,21914.666666666668,4045.792358676333,14.999999999999998,3.116774889895919,8.0,1.5583874449479596,8.0,1.5583874449479596,4.133333333333333,0.6399404734221844,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.71875,1.841055604422258E-7,5000.0,0.9062037253526615,0.4913473453737703,0.967,0.3401583619931218,0.8242817540322581,0.013171225937183385,0.8197355253621742,0.6923076923076923,-2.437499999999984,5000.0,1181112.0,15.0,16332.866666666667,141.1467658992213,29030.399999999998,4489.8729985220225,20.200000000000003,3.6095112451094296,10.600000000000001,1.8047556225547148,10.600000000000001,1.8047556225547148,4.733333333333333,0.5936168397046637,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.84375,2.2389010862550802E-7,6000.0,0.9561540582774152,0.543509055248643,0.92,0.16741252627854258,0.9062037253526615,0.011122345803842264,0.8681323795809497,0.8181818181818182,-7.135593220338956,6000.0,1230288.0,15.0,19452.999999999996,150.71069731679398,32279.466666666667,5692.883149370005,23.0,3.927922024247863,12.0,1.9639610121239315,12.0,1.9639610121239315,5.0,0.5345224838248487,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.890625,2.3954515604095325E-7,7000.0,0.9694949494949495,0.5566794381160565,0.958,0.26367461430574946,0.9561540582774152,0.010101010101010102,0.8761716542303613,0.8,-3.260869565217378,7000.0,1290968.0,15.0,22747.733333333334,165.2662210178591,36292.799999999996,5640.003080039685,25.400000000000002,4.2895221179054435,13.200000000000001,2.1447610589527217,13.200000000000001,2.1447610589527217,5.266666666666667,0.5936168397046636,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,1.015625,2.827026441486345E-7,8000.0,0.9717171717171718,0.6663600999526076,0.963,0.31608133086876283,0.9694949494949495,0.010101010101010102,0.9312747861253021,0.9,-2.7468354430379907,8000.0,1334592.0,15.0,25400.399999999998,171.89731153885344,39173.333333333336,5274.903745454462,27.799999999999997,3.985688683993556,14.399999999999999,1.992844341996778,14.399999999999999,1.992844341996778,5.533333333333332,0.7432233529572065,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,1.125,3.219750619286464E-7,9000.0,0.9882273797510932,0.6843350558385869,0.96,0.2747579504659693,0.9717171717171718,0.009081735620585268,0.9240710950574682,0.8888888888888888,-3.090909090909096,9000.0,1387944.0,15.0,27855.533333333333,197.4935321424355,42699.73333333334,5286.732388950755,30.066666666666666,3.9182114481458186,15.533333333333333,1.9591057240729093,15.533333333333333,1.9591057240729093,5.8,0.6761234037828133,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.21875,3.559920070175495E-7,10000.0,0.9958279384261257,0.7709164413876751,0.966,0.28309366170454914,0.9882273797510932,0.007049345417925478,0.9827310528602373,1.0,-2.5789473684210735,10000.0,1402576.0,15.0,29787.13333333333,206.03462492179975,43663.46666666666,5161.043054414855,31.666666666666668,3.1773004414499573,16.333333333333332,1.5886502207249786,16.333333333333332,1.5886502207249786,6.0,0.8451542547285166,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,1.3125,3.930392429336077E-7,11000.0,0.9154014844804319,0.53645236044424,0.965,0.3271301138111338,0.9958279384261257,0.012145748987854251,0.8518852634153801,0.75,-2.59813084112151,11000.0,1527520.0,15.0,33748.26666666666,195.1422436021867,51924.26666666666,5050.495979415808,36.86666666666667,3.159264531651692,18.933333333333334,1.579632265825846,18.933333333333334,1.579632265825846,6.466666666666666,0.833809387832792,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,1.453125,4.504058031468755E-7,12000.0,0.9156123481781376,0.5966634798800752,0.961,0.30257510729613774,0.9154014844804319,0.012145748987854251,0.8501012085495043,0.75,-2.9327731092436937,12000.0,1576880.0,15.0,37171.2,207.75163743552667,55185.6,4733.209795839243,39.93333333333334,3.0110906108363236,20.46666666666667,1.5055453054181618,20.46666666666667,1.5055453054181618,6.733333333333334,0.7037315505489965,0.0,0.0,0.0,0.0,1.0,0.0
13000.0,1.515625,4.766753085681961E-7,13000.0,0.9775318578135479,0.6520399860897232,0.972,0.25563589961718536,0.9156123481781376,0.006036217303822937,0.900387426858015,0.8333333333333334,-1.912000000000013,13000.0,1624704.0,15.0,39205.2,199.76600597413184,58348.799999999996,5300.225159637762,41.400000000000006,3.3123146848433,21.200000000000003,1.65615734242165,21.200000000000003,1.65615734242165,7.0,0.6546536707079771,0.0,0.0,0.0,0.0,1.0,0.0
14000.0,1.65625,5.390139671766922E-7,14000.0,0.920489015534516,0.5300162917553592,0.963,0.28949996159459357,0.9775318578135479,0.011122345803842264,0.8380157691042549,0.7272727272727273,-2.808823529411783,14000.0,1713552.0,15.0,42856.200000000004,203.58297711603683,64218.666666666664,6012.241733884847,46.199999999999996,4.6475800154489,23.599999999999998,2.32379000772445,23.599999999999998,2.32379000772445,7.133333333333333,0.7432233529572065,0.0,0.0,0.0,0.0,1.0,0.0
