learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.15625,1.8795253708958628E-8,1000.0,0.7009375861752,0.2756634620199535,0.93,0.08527820609988805,0.0,0.011122345803842264,0.5835001884285301,0.36363636363636365,-5.3636363636363535,1000.0,464976.0,15.0,0.9999996013135606,3.986864393104956E-7,23.400000000000002,4.532422877761644,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.3125,3.7590507417917256E-8,2000.0,0.6016400517911092,0.18054294425554876,0.731,0.008287618710552806,0.7009375861752,0.007049345417925478,0.5605349193140359,0.42857142857142855,-28.888888888888864,2000.0,464976.0,15.0,0.9993637314558786,6.362685441213362E-4,37.599999999999994,6.522488569775891,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.421875,5.074718501418829E-8,3000.0,0.7586875843454791,0.27184049890028794,0.732,0.04088410444342682,0.6016400517911092,0.012145748987854251,0.7408346862753282,0.75,-25.79999999999998,3000.0,464976.0,15.0,0.999997847535133,2.152464866957109E-6,61.4,9.06169331385066,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.5,6.01448118686676E-8,4000.0,0.5264321608040201,0.11375995787797138,0.693,0.0030525427031237932,0.7586875843454791,0.005025125628140704,0.5270568704832697,0.4,-34.08571428571415,4000.0,464976.0,15.0,0.9999999999999765,2.3494292930140605E-14,69.86666666666666,8.943207052336001,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.59375,7.142196409404278E-8,5000.0,0.7019704433497537,0.18642968567232404,0.687,0.02242488600162398,0.5264321608040201,0.014198782961460446,0.6273030589667539,0.5714285714285714,-30.938775510203975,5000.0,464976.0,15.0,0.9999984315577993,1.5684422005564006E-6,97.06666666666666,9.757536769570677,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.65625,7.894006557762623E-8,6000.0,0.7227267630900325,0.2134565390388987,0.688,0.01988502497408299,0.7019704433497537,0.009081735620585268,0.6773446900425412,0.6666666666666666,-31.27586206896537,6000.0,464976.0,15.0,0.9999985884149835,1.411585016543798E-6,114.8,10.74509855036904,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.75,9.021721780300141E-8,7000.0,0.6556199596774194,0.1427122326483621,0.692,0.016100178890876355,0.7227267630900325,0.008064516129032258,0.6579040215813422,0.625,-31.66666666666659,7000.0,464976.0,15.0,0.9878423087823961,0.012157691217603801,131.60000000000005,11.830952141371746,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.84375,1.0149437002837658E-7,8000.0,0.47633434038267874,0.08798007329934068,0.667,-0.0018653348576931979,0.6556199596774194,0.007049345417925478,0.4374235654710499,0.2857142857142857,-35.4931506849313,8000.0,464976.0,15.0,0.9974968444949954,0.0025031555050044796,145.60000000000002,13.340593261599297,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.921875,1.108919968828559E-7,9000.0,0.7617428072433128,0.19893949286479884,0.643,0.016745620799823963,0.47633434038267874,0.011122345803842264,0.639709925990516,0.6363636363636364,-37.250000000000114,9000.0,464976.0,15.0,0.9833158574464156,0.016684142553584358,165.39999999999995,15.810484767123002,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.015625,1.221691491082311E-7,10000.0,0.4186046511627907,0.08042383844871401,0.643,-0.004909135947035286,0.7617428072433128,0.011122345803842264,0.420103331871336,0.2727272727272727,-36.57894736842124,10000.0,464976.0,15.0,0.9999999768173055,2.3182694495015297E-8,186.5333333333334,14.889433773493144,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
