learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.15625,5.694649492700895E-9,1000.0,0.8030472516875603,0.1755572077186076,0.915,0.0,0.0,0.09289617486338798,0.0,0.0,0.0,1000.0,140880.0,15.0,998.6666666666667,34.21709402929367,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.21875,7.972509289781253E-9,2000.0,0.7283248110774243,0.13385847767003747,0.902,0.0,0.8030472516875603,0.10864745011086474,0.0,0.0,-0.07103825136611966,2000.0,140880.0,15.0,1990.5333333333333,46.83079979590154,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.3125,1.138929898540179E-8,3000.0,0.7671950740206996,0.15523544107633946,0.898,0.0,0.7283248110774243,0.11358574610244988,0.0,0.0,-0.07368421052631588,3000.0,140880.0,15.0,2989.4,61.491927460904456,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.390625,1.5653010147313278E-8,4000.0,0.8634610163355808,0.3138866057047887,0.928,0.40254912373871554,0.7671950740206996,0.10864745011086474,0.5245996191348198,0.2755102040816326,0.24804177545691958,4000.0,210960.0,15.0,3983.5333333333333,60.407978028765406,7577.599999999999,1765.3482376007294,4.199999999999999,1.2649110640673518,2.6000000000000005,0.6324555320336757,2.6000000000000005,0.6324555320336757,1.5333333333333332,0.5163977794943223,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.484375,2.1455925889313222E-8,5000.0,0.8567185458001664,0.5428304498870186,0.96,0.7703999632639938,0.8634610163355808,0.12866817155756208,0.8155745065726715,0.6666666666666666,0.5975855130784706,5000.0,239264.0,15.0,4983.866666666667,63.40331972681683,9447.466666666665,2550.173043615071,5.8,1.4735767952260146,3.4,0.7367883976130073,3.4,0.7367883976130073,2.1333333333333337,0.35186577527449847,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.515625,2.3494875575933193E-8,6000.0,0.8184872618670528,0.5005833929896532,0.959,0.7271396246506053,0.8567185458001664,0.10864745011086474,0.7872030701767126,0.6224489795918368,0.586554621848739,6000.0,252208.0,15.0,5980.666666666666,79.45948353601044,10305.066666666666,2116.1838789490407,6.066666666666666,1.486446705914413,3.533333333333333,0.7432233529572065,3.533333333333333,0.7432233529572065,2.2666666666666675,0.45773770821706344,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.5625,2.6599381170752976E-8,7000.0,0.846401589589065,0.5439563697011681,0.962,0.76147433966054,0.8184872618670528,0.11358574610244988,0.8146760734654358,0.6666666666666666,0.6183644189383065,7000.0,256008.0,15.0,6977.400000000001,79.67684732718784,10556.8,2424.614349305296,6.2,1.65615734242165,3.6,0.828078671210825,3.6,0.828078671210825,2.333333333333334,0.6172133998483675,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.609375,2.9768691294723087E-8,8000.0,0.7605234079674323,0.42506129598484343,0.945,0.6081504702194355,0.846401589589065,0.10497237569060773,0.7076699394769527,0.5052631578947369,0.4444444444444438,8000.0,261352.0,15.0,7989.533333333332,90.70979366455789,10909.866666666667,2806.8544129038996,6.466666666666667,1.9223002094465094,3.7333333333333334,0.9611501047232547,3.7333333333333334,0.9611501047232547,2.333333333333334,0.6172133998483675,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.65625,3.2973799130154984E-8,9000.0,0.7957227138643068,0.4613271329927927,0.954,0.6780154552581473,0.7605234079674323,0.10619469026548672,0.7483388683924567,0.5625,0.5337837837837834,9000.0,264304.0,15.0,8997.666666666668,93.18466049935985,11105.066666666666,3125.938475463161,6.6,2.1646510771286644,3.8,1.0823255385643322,3.8,1.0823255385643322,2.4000000000000004,0.7367883976130073,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.71875,3.766300829334392E-8,10000.0,0.7740064118874358,0.3737166591711488,0.949,0.5862404673048833,0.7957227138643068,0.09409190371991247,0.6801263700913784,0.46511627906976744,0.4763860369609854,10000.0,290016.0,15.0,10008.4,100.59238823802008,12804.800000000001,2162.358077919302,7.800000000000001,1.4735767952260146,4.4,0.7367883976130072,4.4,0.7367883976130072,2.4000000000000004,0.7367883976130073,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,0.78125,4.239981838812431E-8,11000.0,0.8113115190210163,0.4853754141711595,0.954,0.7087317165832959,0.7740064118874358,0.11731843575418995,0.7728637886162024,0.6,0.5310472659870248,11000.0,292960.0,15.0,11014.466666666669,95.4641792706012,12999.466666666665,2192.459736286643,7.933333333333335,1.486446705914413,4.466666666666668,0.7432233529572067,4.466666666666668,0.7432233529572067,2.4666666666666677,0.7432233529572065,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,0.8125,4.484454014648994E-8,12000.0,0.8565058075221239,0.5175227188046145,0.961,0.7345205031857536,0.8113115190210163,0.10619469026548672,0.7892565393810508,0.625,0.6017021276595741,12000.0,302400.0,15.0,12011.333333333334,75.81148298497351,13624.0,2344.068258391807,8.333333333333336,1.6329931618554523,4.666666666666668,0.8164965809277261,4.666666666666668,0.8164965809277261,2.6000000000000005,0.7367883976130073,0.0,0.0,0.0,0.0,1.0,0.0
