learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.109375,3.9896500917772455E-9,1000.0,0.5440757422557221,0.04058274347423217,0.989,0.0,0.0,0.011122345803842264,0.0,0.0,0.0,1000.0,141000.0,15.0,0.9979724440409231,0.0020275559590767875,1071.7333333333336,34.96419937729502,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.1875,6.83940015733242E-9,2000.0,0.9364520456069751,0.06968629844635488,0.994,0.0,0.5440757422557221,0.006036217303822937,0.0,0.0,0.29411764705881893,2000.0,141000.0,15.0,0.9999436064148076,5.6393585192327817E-5,2111.2666666666664,46.76302976049511,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.234375,8.549250196665525E-9,3000.0,0.9131068505437829,0.06039785149405962,0.991,0.0,0.9364520456069751,0.009081735620585268,0.0,0.0,-0.03846153846153403,3000.0,141000.0,15.0,0.9991230330380806,8.769669619192811E-4,3177.8000000000006,61.287612358220095,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.328125,1.3448589015752078E-8,4000.0,0.74527665317139,0.0556553316328985,0.987,-0.0018495684340339106,0.9131068505437829,0.012145748987854251,0.0,0.0,-0.3684210526315869,4000.0,202008.0,15.0,0.9947665236697205,0.0052334763302794495,4257.933333333333,62.43907506712523,6974.400000000001,1352.3658000492537,4.066666666666666,1.0327955589886442,2.533333333333333,0.5163977794943221,2.533333333333333,0.5163977794943221,1.5333333333333332,0.5163977794943222,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.375,1.615553628653288E-8,5000.0,0.8653535353535353,0.19623719744009505,0.989,0.2617449664429536,0.74527665317139,0.010101010101010102,0.4465354850333167,0.2,-0.14583333333332804,5000.0,223224.0,15.0,0.9999999999999557,4.4205659021602666E-14,5330.066666666667,66.82863657644573,8377.6,148.7225604943647,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.421875,1.8886930774897338E-8,6000.0,0.8534526209677419,0.06058997404804039,0.99,-0.0032102728731974394,0.8653535353535353,0.008064516129032258,0.0,0.0,-0.07142857142857567,6000.0,225240.0,15.0,0.8269160936462476,0.17308390635375237,6382.2,83.60297328957354,8512.0,0.0,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.46875,2.1647235068182153E-8,7000.0,0.8332323232323232,0.12086741187108511,0.99,0.0,0.8534526209677419,0.010101010101010102,0.0,0.0,-0.060606060606058824,7000.0,227624.0,15.0,0.9999999480511195,5.194888029077746E-8,7448.666666666667,84.9013433064406,8669.333333333332,609.3493798033003,5.133333333333333,0.5163977794943222,3.0666666666666664,0.2581988897471611,3.0666666666666664,0.2581988897471611,2.0666666666666664,0.2581988897471611,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.53125,2.5327640792561904E-8,8000.0,0.954728370221328,0.1549972958860717,0.994,0.0,0.8332323232323232,0.006036217303822937,0.0,0.0,0.3333333333333333,8000.0,227624.0,15.0,0.9468558999999985,0.05314410000000135,8506.866666666667,93.91323249731768,8669.333333333332,609.3493798033003,5.133333333333333,0.5163977794943222,3.0666666666666664,0.2581988897471611,3.0666666666666664,0.2581988897471611,2.0666666666666664,0.2581988897471611,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.5625,2.732429291225142E-8,9000.0,0.948928211768091,0.16537646503227427,0.993,0.0,0.954728370221328,0.007049345417925478,0.0,0.0,0.20253164556961914,9000.0,246976.0,15.0,0.9999999999999994,1.3770009108223966E-19,9572.0,96.40835766971358,9946.666666666668,1214.5655699918075,6.2,1.01418510567422,3.6,0.50709255283711,3.6,0.50709255283711,2.6,0.50709255283711,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.640625,3.2713352185156614E-8,10000.0,0.8365287588294652,0.090345363610551,0.991,0.0,0.948928211768091,0.009081735620585268,0.0,0.0,-0.022727272727270147,10000.0,266640.0,15.0,0.9999996770753982,3.2292460179985633E-7,10648.4,106.60527995500848,11248.000000000002,2353.958368365932,7.0,1.6903085094570331,3.9999999999999996,0.8451542547285166,3.9999999999999996,0.8451542547285166,2.933333333333333,0.7988086367179803,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,0.703125,3.746943548321724E-8,11000.0,0.9021120723248383,0.08014615266764437,0.987,0.0,0.8365287588294652,0.013171225937183385,0.0,0.0,-0.4158415841584174,11000.0,294152.0,15.0,0.9999999713793924,2.862060763269943E-8,11739.866666666669,106.06053976497589,13065.6,2018.0039926337395,8.466666666666669,1.5976172734359606,4.733333333333334,0.7988086367179803,4.733333333333334,0.7988086367179803,3.6666666666666665,0.7237468644557458,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,0.765625,4.24551156659921E-8,12000.0,0.9043110580016546,0.11932517405949525,0.989,0.0,0.9021120723248383,0.011122345803842264,0.0,0.0,-0.17857142857143324,12000.0,308352.0,15.0,0.9999999999991465,8.535226527248852E-13,12811.066666666668,89.2568258027417,14004.800000000001,1768.4596687513122,9.0,1.3093073414159542,5.0,0.6546536707079771,5.0,0.6546536707079771,3.8666666666666663,0.5163977794943222,0.0,0.0,0.0,0.0,1.0,0.0
13000.0,0.828125,4.778848960995674E-8,13000.0,0.91795823110526,0.16904218031365226,0.983,0.0,0.9043110580016546,0.017293997965412006,0.0,0.0,-0.7131782945736449,13000.0,329856.0,15.0,0.9186618533697798,0.08133814663022025,13932.199999999999,80.73165426274898,15427.2,1771.4969940702695,9.933333333333334,1.2798809468443688,5.466666666666667,0.6399404734221844,5.466666666666667,0.6399404734221844,3.9999999999999996,0.5345224838248487,0.0,0.0,0.0,0.0,1.0,0.0
14000.0,0.890625,5.317437979910109E-8,14000.0,0.955888083547658,0.25129814261135414,0.986,-0.0018605982539059427,0.91795823110526,0.013171225937183385,0.0,0.0,-0.3802816901408494,14000.0,333104.0,15.0,0.9919619656091677,0.00803803439083216,15016.4,92.42587763793682,15642.133333333333,1886.6786336487376,10.066666666666666,1.2798809468443688,5.533333333333333,0.6399404734221844,5.533333333333333,0.6399404734221844,4.066666666666666,0.4577377082170634,0.0,0.0,0.0,0.0,1.0,0.0
