learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.125,4.555719594160716E-9,1000.0,0.7230456852791878,0.042179417091935234,0.985,0.0,0.0,0.015228426395939087,0.0,0.0,0.0,1000.0,140880.0,15.0,998.6666666666667,34.21709402929367,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.171875,6.2641144419709846E-9,2000.0,0.6630788204955712,0.024090860730940054,0.991,0.0,0.7230456852791878,0.009081735620585268,0.0,0.0,0.25,2000.0,140880.0,15.0,1990.5333333333333,46.83079979590154,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.21875,7.972509289781253E-9,3000.0,0.6838383838383838,0.01153790741179209,0.99,0.0,0.6630788204955712,0.010101010101010102,0.0,0.0,0.11764705882352654,3000.0,140880.0,15.0,2989.4,61.491927460904456,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.328125,1.3577033920834462E-8,4000.0,0.6158826068191627,0.04036189354152397,0.993,0.0,0.6838383838383838,0.007049345417925478,0.0,0.0,0.3170731707317055,4000.0,198072.0,15.0,3983.5333333333333,60.407978028765406,6723.2,1404.6512124265685,3.8000000000000003,1.01418510567422,2.4,0.50709255283711,2.4,0.50709255283711,1.4000000000000001,0.50709255283711,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.359375,1.527508074003789E-8,5000.0,0.8406713900134952,0.08135452628630009,0.988,0.0,0.6158826068191627,0.012145748987854251,0.0,0.0,-0.13207547169810846,5000.0,210040.0,15.0,4983.866666666667,63.40331972681683,7516.266666666666,1397.8493412926807,4.199999999999999,1.01418510567422,2.5999999999999996,0.50709255283711,2.5999999999999996,0.50709255283711,1.6,0.50709255283711,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.40625,1.7926148656341765E-8,6000.0,0.8562367864693446,0.04376148937969356,0.989,0.0,0.8406713900134952,0.011122345803842264,0.0,0.0,-0.031249999999996423,6000.0,218616.0,15.0,5980.666666666666,79.45948353601044,8083.2,1151.5784943161402,4.599999999999999,0.8280786712108251,2.7999999999999994,0.41403933560541256,2.7999999999999994,0.41403933560541256,1.7999999999999998,0.4140393356054125,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.46875,2.1626862386862438E-8,7000.0,0.7470707070707071,0.0401501855473951,0.99,0.0,0.8562367864693446,0.010101010101010102,0.0,0.0,0.054054054054052635,7000.0,228880.0,15.0,6977.400000000001,79.67684732718784,8762.666666666668,98.52241707685943,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.53125,2.5663757696747782E-8,8000.0,0.7505394907207596,0.021053485425745463,0.993,0.0,0.7470707070707071,0.007049345417925478,0.0,0.0,0.30864197530864484,8000.0,249672.0,15.0,7989.533333333332,90.70979366455789,10136.000000000002,1310.9647483546505,6.066666666666666,1.0327955589886442,3.533333333333333,0.5163977794943221,3.533333333333333,0.5163977794943221,2.3333333333333335,0.4879500364742666,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.59375,3.0025193053815105E-8,9000.0,0.8726262626262626,0.029276663939276977,0.99,0.0,0.7505394907207596,0.010101010101010102,0.0,0.0,0.010989010989006162,9000.0,269744.0,15.0,8997.666666666668,93.18466049935985,11462.933333333332,1952.9666615056133,7.000000000000001,1.511857892036909,4.0,0.7559289460184544,4.0,0.7559289460184544,2.8,0.8618916073713346,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.65625,3.451584941811032E-8,10000.0,0.7620967741935484,0.06762464734039193,0.992,0.0,0.8726262626262626,0.008064516129032258,0.0,0.0,0.19191919191919282,10000.0,277736.0,15.0,10008.4,100.59238823802008,11990.933333333332,1524.555179466488,7.4,1.121223821162776,4.199999999999999,0.5606119105813882,4.199999999999999,0.5606119105813882,2.8,0.8618916073713346,0.0,0.0,0.0,0.0,1.0,0.0
