learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.15625,1.8798487467898264E-8,1000.0,0.9834130717645881,0.7344333429865606,0.932,0.8636153954150706,0.0,0.941747572815534,0.9303542352796554,0.8969072164948454,0.8577405857740587,1000.0,465056.0,15.0,0.559433947118426,0.4405660528815741,1125.5333333333333,35.30452554290348,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.296875,3.6663291717155115E-8,2000.0,0.9854189493455986,0.7392054834629982,0.941,0.8817256033998876,0.9834130717645881,1.1231422505307855,0.9413079773498472,0.9357277882797732,0.8782249742002063,2000.0,491064.0,15.0,0.46916814500894255,0.5308318549910576,2231.533333333333,46.55851413109347,4663.466666666667,1456.2086715983035,2.1999999999999997,1.01418510567422,1.5999999999999999,0.50709255283711,1.5999999999999999,0.50709255283711,0.6000000000000001,0.50709255283711,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.40625,5.1234286123265825E-8,3000.0,0.979547056185534,0.7171004535586202,0.915,0.8302281733350377,0.9854189493455986,1.0661157024793388,0.9154551717958042,0.8817829457364341,0.8245010323468686,3000.0,514960.0,15.0,0.5246637720199867,0.4753362279800134,3351.5333333333333,61.9214556245787,6243.733333333334,982.4278575234395,3.266666666666667,0.7037315505489969,2.133333333333334,0.3518657752744986,2.133333333333334,0.3518657752744986,1.1333333333333335,0.35186577527449847,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.5,6.459333235397936E-8,4000.0,0.9836679346717387,0.7423038217807332,0.944,0.887997759955199,0.979547056185534,0.9960079840319361,0.9439828199783392,0.9398797595190381,0.883997928534438,4000.0,550816.0,15.0,0.45090453645032236,0.5490954635496776,4436.6,57.432942264373565,8613.333333333334,1458.7624239483991,5.0,1.0690449676496978,3.0,0.5345224838248489,3.0,0.5345224838248489,1.8666666666666667,0.3518657752744984,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.59375,7.842948737864694E-8,5000.0,0.9826953770335732,0.7525788662278288,0.951,0.9020070554920046,0.9836679346717387,0.9880715705765407,0.951012386504053,0.959758551307847,0.8979166666666666,5000.0,570488.0,15.0,0.512588905698505,0.4874110943014948,5539.800000000001,62.03708568267879,9915.2,1800.8602388858499,5.8,1.2649110640673518,3.4,0.6324555320336759,3.4,0.6324555320336759,2.2,0.4140393356054125,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.65625,8.778436393994425E-8,6000.0,0.9905353042767442,0.7927516701454782,0.966,0.9319371098895379,0.9826953770335732,0.9193857965451055,0.9663225064568037,0.9749478079331941,0.9291174426685197,6000.0,578576.0,15.0,0.4939593178279411,0.5060406821720589,6617.533333333334,78.68460247511366,10449.6,2103.178981582744,6.2,1.4735767952260146,3.6,0.7367883976130073,3.6,0.7367883976130073,2.3333333333333335,0.6172133998483676,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.75,1.0258152744629318E-7,7000.0,0.9911217271621535,0.8048436824178494,0.973,0.9460051835023837,0.9905353042767442,0.968503937007874,0.9731117193226482,0.983739837398374,0.9438335809806835,7000.0,610112.0,15.0,0.28823878756848653,0.7117612124315136,7684.066666666667,79.39275485716264,12534.4,2755.5760818487925,7.666666666666668,1.9518001458970657,4.333333333333333,0.9759000729485332,4.333333333333333,0.9759000729485332,2.8,0.560611910581388,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.890625,1.258293761768275E-7,8000.0,0.9911678234046655,0.8052173404567802,0.968,0.9356209360715895,0.9911217271621535,1.1367521367521367,0.9668344289785541,0.9830827067669173,0.9333333333333332,8000.0,639032.0,15.0,0.41021606760942314,0.5897839323905769,8854.133333333333,88.43550245935228,14445.333333333334,2761.2546492663873,9.266666666666667,1.6676187756655838,5.133333333333334,0.8338093878327919,5.133333333333334,0.8338093878327919,3.2666666666666666,0.45773770821706344,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.96875,1.3930218604703746E-7,9000.0,0.9886144894128759,0.8115607005317893,0.967,0.9339825713988492,0.9911678234046655,0.9569471624266145,0.9670846200248185,0.9713701431492843,0.9315194835139496,9000.0,666608.0,15.0,0.5691371011588947,0.43086289884110524,9952.866666666665,91.20139932092734,16268.800000000001,2271.617271586794,10.333333333333332,1.6329931618554523,5.666666666666666,0.8164965809277261,5.666666666666666,0.8164965809277261,3.4666666666666663,0.5163977794943221,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.0625,1.5646723719934625E-7,10000.0,0.9913241917725953,0.806505804822159,0.97,0.9399315219350058,0.9886144894128759,1.0618556701030928,0.9698404670245155,0.974757281553398,0.9379780855902419,10000.0,707744.0,15.0,0.6428584221817373,0.3571415778182627,11044.533333333333,95.7935776751734,18988.799999999996,2205.6007668789784,12.200000000000001,1.4735767952260148,6.6000000000000005,0.7367883976130074,6.6000000000000005,0.7367883976130074,4.2,0.4140393356054125,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,1.15625,1.7401180230081084E-7,11000.0,0.9876295753967778,0.8174877049960242,0.964,0.9279576390917859,0.9913241917725953,1.028397565922921,0.9636877212192286,0.9783037475345168,0.9253534401508011,11000.0,723392.0,15.0,0.41733356209054945,0.5826664379094505,12170.2,88.815378333774,20024.533333333333,2173.095680842249,12.999999999999998,1.8516401995451026,6.999999999999999,0.9258200997725513,6.999999999999999,0.9258200997725513,4.266666666666667,0.4577377082170634,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,1.234375,1.88961954942594E-7,12000.0,0.9884034617250101,0.8162321644429152,0.956,0.9119757052946612,0.9876295753967778,0.9120458891013384,0.9566590593896608,0.9748427672955975,0.9086663207057601,12000.0,739704.0,15.0,0.571510978099378,0.42848902190062205,13245.6,68.80282386231379,21103.466666666664,3669.731595219517,13.533333333333335,2.5597618936887376,7.2666666666666675,1.2798809468443688,7.2666666666666675,1.2798809468443688,4.466666666666667,0.5163977794943222,0.0,0.0,0.0,0.0,1.0,0.0
13000.0,1.328125,2.076621361387273E-7,13000.0,0.9883562387634688,0.8110593093223369,0.964,0.9279039680854898,0.9884034617250101,0.8621973929236499,0.9655491669101139,0.9913606911447084,0.9250480461242793,13000.0,771040.0,15.0,0.5160725225507043,0.48392747744929554,14306.066666666668,61.77663296872347,23174.93333333333,3274.00548622166,15.0,2.2677868380553634,8.0,1.1338934190276815,8.0,1.1338934190276815,4.7333333333333325,0.4577377082170637,0.0,0.0,0.0,0.0,1.0,0.0
14000.0,1.453125,2.3318606609892517E-7,14000.0,0.993809994438198,0.8227271265714824,0.969,0.938,0.9883562387634688,0.9646365422396856,0.9691152128162114,0.9775967413441955,0.9355605048255382,14000.0,789296.0,15.0,0.6323160727737501,0.36768392722625004,15404.933333333334,74.11040669806344,24382.4,2828.0185087290865,15.8,1.9712215212183244,8.4,0.9856107606091622,8.4,0.9856107606091622,5.066666666666666,0.2581988897471611,0.0,0.0,0.0,0.0,1.0,0.0
