learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.15625,6.13023682187001E-9,1000.0,0.9671194739115826,0.6917819705077008,0.926,0.8519597330473889,0.0,1.0080321285140563,0.9253073538555638,0.9581673306772909,0.8451882845188285,1000.0,151656.0,15.0,0.47968110499310923,0.5203188950068909,1100.9333333333334,34.04926402952615,3648.0,1208.4275496930475,1.5333333333333332,0.915475416434127,1.2666666666666666,0.4577377082170634,1.2666666666666666,0.4577377082170634,0.26666666666666666,0.4577377082170635,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.25,1.046146887044112E-8,2000.0,0.9739721026513313,0.7132345223687593,0.935,0.8693225681935153,0.9671194739115826,1.1141649048625792,0.933348940618827,0.9582542694497154,0.8630136986301371,2000.0,178584.0,15.0,0.5547685249114445,0.44523147508855565,2200.466666666667,43.98841838917337,5427.2,1257.6505987639923,2.8666666666666667,0.9154754164341269,1.9333333333333333,0.45773770821706344,1.9333333333333333,0.45773770821706344,0.9333333333333333,0.45773770821706344,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.296875,1.2892511828492086E-8,3000.0,0.9755112001952383,0.7097499211387348,0.929,0.8581747287341995,0.9739721026513313,0.9723865877712031,0.9283538769351269,0.9797160243407708,0.8519805420430856,3000.0,200472.0,15.0,0.4302766937747896,0.5697233062252105,3297.6,59.02759645163553,6873.600000000001,2291.4563304339263,3.9333333333333327,1.6676187756655838,2.4666666666666663,0.8338093878327919,2.4666666666666663,0.8338093878327919,1.4666666666666666,0.8338093878327919,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.34375,1.5713449101895096E-8,4000.0,0.9756524939591301,0.7315744279226621,0.941,0.8818667456891373,0.9755112001952383,1.0242914979757085,0.9395739050621418,0.9822134387351779,0.8774662512980269,4000.0,232624.0,15.0,0.35934706774312797,0.6406529322568719,4403.0,60.039272861305506,9001.066666666668,1123.4268662487666,5.266666666666668,0.7037315505489969,3.133333333333334,0.35186577527449847,3.133333333333334,0.35186577527449847,2.133333333333334,0.35186577527449847,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.390625,1.864527196933826E-8,5000.0,0.9608598434393738,0.7076131511682647,0.916,0.831964376447807,0.9756524939591301,1.0040080160320641,0.914408740429234,0.9680638722554891,0.824488090263268,5000.0,241768.0,15.0,0.4297626338066434,0.5702373661933566,5515.0,65.22488569775881,9605.866666666667,1786.1549231586296,5.666666666666668,1.2344267996967353,3.333333333333334,0.6172133998483676,3.333333333333334,0.6172133998483676,2.333333333333334,0.6172133998483676,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.46875,2.4210732792400654E-8,6000.0,0.9782484235812231,0.7280914359261532,0.924,0.8482458417363872,0.9608598434393738,0.941747572815534,0.9243381204217309,0.9649484536082474,0.8411149825783973,6000.0,275368.0,15.0,0.6094502057262273,0.3905497942737727,6615.8,77.31771188691857,11828.266666666668,1685.961847842635,7.133333333333333,1.1872336794093274,4.066666666666667,0.5936168397046637,4.066666666666667,0.5936168397046637,2.933333333333333,0.4577377082170634,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.53125,2.8954139755417907E-8,7000.0,0.975677990522541,0.7295923610118412,0.922,0.8443138632516847,0.9782484235812231,0.953125,0.9217773114398324,0.9754098360655737,0.8374032162001193,7000.0,293368.0,15.0,0.356914809434125,0.643085190565875,7725.8,75.16001976735082,13018.666666666666,2367.15364540462,7.9333333333333345,1.667618775665584,4.466666666666668,0.833809387832792,4.466666666666668,0.833809387832792,3.3333333333333335,0.6172133998483676,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.578125,3.2684765756130224E-8,8000.0,0.977945794579458,0.7502412328408309,0.93,0.859862665412104,0.975677990522541,1.02020202020202,0.9284773594550931,0.9742574257425742,0.8545076643283971,8000.0,307640.0,15.0,0.3535801646724976,0.6464198353275024,8858.666666666668,83.19312013679495,13962.133333333333,2170.475058818318,8.600000000000001,1.5491933384829668,4.800000000000001,0.7745966692414834,4.800000000000001,0.7745966692414834,3.666666666666667,0.6172133998483676,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.625,3.677181666716934E-8,9000.0,0.9833450105094586,0.7629492871825104,0.938,0.8762598543059574,0.977945794579458,0.941747572815534,0.9382090452512873,0.9876288659793815,0.8712802768166089,9000.0,337032.0,15.0,0.6460426968031785,0.35395730319682156,9967.266666666666,90.69451603098828,15903.466666666667,2205.689197982172,10.466666666666667,1.5976172734359606,5.733333333333333,0.7988086367179803,5.733333333333333,0.7988086367179803,4.2666666666666675,0.45773770821706344,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.703125,4.391923236350219E-8,10000.0,0.9857997727963648,0.7976781381335449,0.951,0.901964707294626,0.9833450105094586,1.0080321285140563,0.9498454796981269,0.9940239043824701,0.898171238570241,10000.0,353640.0,15.0,0.5001534513016753,0.4998465486983247,11082.599999999999,99.7409501802402,17002.666666666664,2291.1500127561226,10.866666666666669,1.59761727343596,5.9333333333333345,0.79880863671798,5.9333333333333345,0.79880863671798,4.466666666666666,0.5163977794943223,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,0.765625,5.0225838397940007E-8,11000.0,0.9834167496829379,0.7729553031685557,0.929,0.8581985220691034,0.9857997727963648,0.9723865877712031,0.9280952681282442,0.9858012170385395,0.8525302114803627,11000.0,390048.0,15.0,0.6368514168146181,0.3631485831853821,12193.06666666667,96.41388953484864,19408.533333333333,2256.144811292886,12.733333333333334,1.667618775665584,6.866666666666667,0.833809387832792,6.866666666666667,0.833809387832792,5.0,0.5345224838248488,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,0.84375,5.8547917029096024E-8,12000.0,0.9822914666154535,0.7992209240281005,0.942,0.8838289962825278,0.9834167496829379,1.032520325203252,0.9405713564988181,0.9803149606299213,0.8801033591731265,12000.0,411760.0,15.0,0.6610959351314066,0.33890406486859326,13287.266666666666,79.25047694013011,20844.800000000007,2872.8861346835765,13.666666666666666,1.7994708216848745,7.333333333333333,0.8997354108424372,7.333333333333333,0.8997354108424372,5.3999999999999995,0.50709255283711,0.0,0.0,0.0,0.0,1.0,0.0
13000.0,0.9375,6.907069796903266E-8,13000.0,0.9828342834283428,0.8018172408657079,0.944,0.8880828187141514,0.9822914666154535,0.9801980198019802,0.9435046476313778,0.9858585858585859,0.8844444444444444,13000.0,433872.0,15.0,0.3166614485386405,0.6833385514613595,14393.066666666668,71.48672870507056,22306.666666666668,2901.933411332783,14.599999999999998,1.8822478962286402,7.799999999999999,0.9411239481143201,7.799999999999999,0.9411239481143201,5.666666666666667,0.6172133998483676,0.0,0.0,0.0,0.0,1.0,0.0
14000.0,1.0,7.645556858430306E-8,14000.0,0.9859316853536507,0.8231921080472674,0.951,0.9021338808509958,0.9828342834283428,0.9267822736030829,0.9516868403650579,0.9875259875259875,0.8988349800914318,14000.0,456736.0,15.0,0.481893937940081,0.5181060620599189,15495.533333333335,83.42906881782561,23818.666666666668,2088.2773032425785,15.533333333333333,1.4074631010979934,8.266666666666666,0.7037315505489969,8.266666666666666,0.7037315505489969,6.133333333333333,0.35186577527449847,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,1.046875,8.204689947888255E-8,15000.0,0.9881559526238105,0.8147642358880521,0.945,0.8899806365920401,0.9859316853536507,1.0040080160320641,0.9439298512147267,0.9880239520958084,0.886675824175824,15000.0,461080.0,15.0,0.5533832480900149,0.446616751909985,16605.0,95.41937509152497,24105.6,2217.658378947102,15.933333333333334,1.98086080374405,8.466666666666667,0.990430401872025,8.466666666666667,0.990430401872025,6.266666666666667,0.4577377082170634,0.0,0.0,0.0,0.0,1.0,0.0
