learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.140625,1.6915728338062764E-8,1000.0,0.9891689089627779,0.8263349450955287,0.966,0.9319564521293627,0.0,0.937984496124031,0.966144832982311,0.9710743801652892,0.929460580912863,1000.0,464976.0,15.0,1109.7999999999997,34.670283694088354,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.265625,3.195193130522967E-8,2000.0,0.9929373247905531,0.847097224841889,0.979,0.9577247032676791,0.9891689089627779,1.1598272138228942,0.978325710419324,0.9869646182495344,0.956745623069001,2000.0,464976.0,15.0,2470.6000000000004,54.42005932689586,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.359375,4.440856476624807E-8,3000.0,0.9955445068934045,0.8079759876673873,0.971,0.9419837554515264,0.9929373247905531,1.0576131687242798,0.9711948744075595,0.9630350194552529,0.9402882635552504,3000.0,513608.0,15.0,3705.1333333333337,70.0631008108983,6156.8,1128.8256350232814,3.5333333333333337,0.9154754164341269,2.2666666666666675,0.45773770821706333,2.2666666666666675,0.45773770821706333,1.2666666666666668,0.45773770821706344,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.5,6.451552811389168E-8,4000.0,0.9860155043746783,0.8052201366267884,0.96,0.9196761341729854,0.9955445068934045,0.8656716417910447,0.9603567702128567,0.9655172413793104,0.9163617354939885,4000.0,552696.0,15.0,4795.399999999999,69.8516795993991,8744.0,115.93101396951553,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.59375,7.798497487480442E-8,5000.0,0.9924202383240438,0.8529428172815555,0.967,0.9339957757296466,0.9860155043746783,0.937984496124031,0.9673459652128641,0.981404958677686,0.9311639549436795,5000.0,555368.0,15.0,5851.999999999999,73.25981162956941,8920.533333333335,708.5790475780858,5.133333333333334,0.5163977794943224,3.066666666666667,0.2581988897471612,3.066666666666667,0.2581988897471612,2.066666666666667,0.2581988897471612,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.671875,8.9393999789738E-8,6000.0,0.9944656022361851,0.8670149147866176,0.981,0.961979316748311,0.9924202383240438,0.9342359767891683,0.9812487215308119,0.989648033126294,0.9604166666666666,6000.0,564496.0,15.0,6895.666666666666,83.77236730455645,9524.266666666668,1244.9371450953238,5.533333333333333,0.9154754164341268,3.2666666666666666,0.4577377082170634,3.2666666666666666,0.4577377082170634,2.2666666666666666,0.4577377082170634,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.78125,1.0616977104089326E-7,7000.0,0.9944554455445545,0.8672635961758948,0.98,0.9600055992161097,0.9944656022361851,0.9801980198019802,0.9800469627548062,0.9919191919191919,0.9584692969445268,7000.0,592880.0,15.0,7999.533333333335,84.124793921774,11400.533333333331,1963.1146486666341,6.866666666666667,1.4074631010979939,3.933333333333334,0.703731550548997,3.933333333333334,0.703731550548997,2.9333333333333336,0.7037315505489969,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.875,1.2218871334981587E-7,8000.0,0.9894857518509166,0.7821263643000255,0.962,0.9238107458927977,0.9944554455445545,1.0964360587002095,0.9617177812164741,0.9674952198852772,0.9210184463497012,8000.0,660488.0,15.0,9407.933333333334,100.28207834949997,15870.933333333334,1807.3522649234183,9.933333333333332,1.2798809468443688,5.466666666666666,0.6399404734221844,5.466666666666666,0.6399404734221844,4.0,0.3779644730092272,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.96875,1.3897444457850522E-7,9000.0,0.9917680157196083,0.7775200349942228,0.963,0.9260260388343302,0.9894857518509166,1.0449897750511248,0.9632284565900444,0.9452054794520548,0.9230946882217089,9000.0,692104.0,15.0,10683.6,99.97985511377489,17960.533333333333,2103.90323876723,11.533333333333333,1.5976172734359606,6.266666666666667,0.7988086367179803,6.266666666666667,0.7988086367179803,4.133333333333333,0.3518657752744984,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.0625,1.5655800881278184E-7,10000.0,0.9906646811099903,0.7933075266357357,0.965,0.9299568534217078,0.9917680157196083,1.0576131687242798,0.9650544869838555,0.9630350194552529,0.9273255813953488,10000.0,725000.0,15.0,11985.733333333334,108.1377868849781,20134.933333333334,1606.9075654217088,13.0,1.0690449676496974,7.0,0.5345224838248487,7.0,0.5345224838248487,4.333333333333334,0.6172133998483676,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,1.171875,1.7731437563068337E-7,11000.0,0.9967635339488886,0.8254147043856573,0.975,0.9499963997407813,0.9906646811099903,1.0242914979757085,0.9750286652449348,0.9723320158102767,0.948083821030772,11000.0,733560.0,15.0,13091.999999999998,101.32691082403967,20700.266666666663,2225.6681650579408,13.533333333333333,1.4074631010979934,7.266666666666667,0.7037315505489967,7.266666666666667,0.7037315505489967,4.400000000000001,0.6324555320336759,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,1.296875,2.0183558161887858E-7,12000.0,0.9933686630213703,0.8302051981853964,0.976,0.9518700491326582,0.9967635339488886,0.8975332068311196,0.9760378717999006,0.9767441860465116,0.9501816294758691,12000.0,758288.0,15.0,14213.533333333333,79.28598026553419,22335.999999999996,2052.131992413186,14.600000000000001,1.549193338482967,7.800000000000001,0.7745966692414835,7.800000000000001,0.7745966692414835,4.866666666666666,0.6399404734221841,0.0,0.0,0.0,0.0,1.0,0.0
13000.0,1.375,2.1756086627849275E-7,13000.0,0.9970379790646292,0.8493781172578393,0.98,0.95984338921795,0.9933686630213703,0.8552875695732839,0.9808964103612869,0.9934924078091106,0.9583466837552066,13000.0,778056.0,15.0,15269.733333333332,78.51702878690581,23641.6,2154.446193340646,15.8,1.4735767952260146,8.4,0.7367883976130073,8.4,0.7367883976130073,5.266666666666667,0.5936168397046636,0.0,0.0,0.0,0.0,1.0,0.0
14000.0,1.46875,2.3775523813027474E-7,14000.0,0.9950903244150238,0.8648200077165455,0.968,0.936004351704084,0.9970379790646292,0.9342359767891683,0.9684276726186629,0.9855072463768116,0.9333828996282527,14000.0,832648.0,15.0,16312.599999999999,85.6352731063551,27250.666666666668,1988.8757293171102,18.06666666666667,1.4864467059144129,9.533333333333335,0.7432233529572064,9.533333333333335,0.7432233529572064,6.0,0.5345224838248488,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,1.59375,2.6498245359915827E-7,15000.0,0.9956299313618577,0.8940520219090815,0.972,0.9439138516761746,0.9950903244150238,0.9083969465648855,0.9722973384265604,0.9789915966386554,0.9416747673934175,15000.0,841968.0,15.0,17370.400000000005,100.25595814143463,27867.2,2201.8772250708516,18.46666666666667,1.5976172734359608,9.733333333333334,0.7988086367179804,9.733333333333334,0.7988086367179804,6.2,0.4140393356054125,0.0,0.0,0.0,0.0,1.0,0.0
16000.0,1.671875,2.8211895066003003E-7,16000.0,0.9939271255060729,0.8958770822400901,0.976,0.9520046075576745,0.9956299313618577,0.9762845849802372,0.9760682302602507,0.9858299595141701,0.9500715121570666,16000.0,847880.0,15.0,18456.0,82.91648121539438,28258.133333333335,2122.851918214426,18.73333333333333,1.4864467059144129,9.866666666666665,0.7432233529572064,9.866666666666665,0.7432233529572064,6.2,0.4140393356054125,0.0,0.0,0.0,0.0,1.0,0.0
17000.0,1.78125,3.072733266486062E-7,17000.0,0.9915783493564738,0.8962536376386593,0.983,0.9659961915734562,0.9939271255060729,0.9723865877712031,0.9830347939170749,0.9858012170385395,0.9646785626986066,17000.0,888992.0,15.0,19703.733333333337,89.85104074972891,30974.933333333327,1830.6092454491234,20.73333333333333,1.2798809468443688,10.866666666666665,0.6399404734221844,10.866666666666665,0.6399404734221844,6.2,0.4140393356054125,0.0,0.0,0.0,0.0,1.0,0.0
18000.0,1.90625,3.360840491950512E-7,18000.0,0.990898204072478,0.8760597472833325,0.975,0.9499026106751525,0.9915783493564738,1.0746887966804979,0.9745927256815089,0.9845559845559846,0.9481208208439013,18000.0,890936.0,15.0,20862.733333333334,110.00939353830971,31104.0,1853.2516597283038,20.866666666666667,1.4074631010979934,10.933333333333334,0.7037315505489967,10.933333333333334,0.7037315505489967,6.2666666666666675,0.4577377082170636,0.0,0.0,0.0,0.0,1.0,0.0
