learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.1875,2.2558184961477916E-8,1000.0,0.7117500631335907,0.15612674867109236,0.644,0.28212201505930556,0.0,0.9120458891013384,0.6348581281574255,0.5576519916142557,0.2505263157894737,1000.0,465056.0,15.0,0.6238693353810261,0.376130664618974,1345.7999999999997,30.090814925108656,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.296875,3.57171261890067E-8,2000.0,0.7227680786033189,0.12261455611551009,0.663,0.3265010831941037,0.7117500631335907,1.0242914979757085,0.6625761971571674,0.6304347826086957,0.30800821355236147,2000.0,465056.0,15.0,0.44253177804007443,0.5574682219599255,2700.0,47.15476040201492,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.40625,5.136583543693026E-8,3000.0,0.7519117794486215,0.15575500071656456,0.691,0.3856858846918488,0.7227680786033189,1.105263157894737,0.6909772963420364,0.6247619047619047,0.35580264072272405,3000.0,553048.0,15.0,0.608472996325568,0.39152700367443205,4074.466666666667,64.12695741002155,8762.133333333335,99.94131611434103,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.515625,6.703061646678381E-8,4000.0,0.7793092904617068,0.18365991043193405,0.695,0.4026214147491792,0.7519117794486215,1.1645021645021645,0.6896164858122107,0.5520446096654275,0.35823250920568106,4000.0,553616.0,15.0,0.24200305525732665,0.7579969447426733,5452.533333333333,66.80126887873855,8800.0,0.0,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.609375,8.045757163522972E-8,5000.0,0.7213836553510173,0.15130864868798524,0.69,0.38508412445897305,0.7793092904617068,1.053388090349076,0.6746048042742937,0.530214424951267,0.35092127303182574,5000.0,553616.0,15.0,0.6887406177824695,0.3112593822175306,6867.066666666666,65.31841423438874,8800.0,0.0,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.71875,9.66389133181009E-8,6000.0,0.7228886217948718,0.13041345970347823,0.675,0.3576567317574512,0.7213836553510173,1.0833333333333333,0.6630893604937422,0.525,0.32103064066852377,6000.0,571872.0,15.0,0.31599230161390984,0.6840076983860902,8274.266666666666,78.72144985114713,10006.4,2141.0880011273307,6.066666666666666,1.667618775665584,3.533333333333333,0.833809387832792,3.533333333333333,0.833809387832792,2.533333333333333,0.833809387832792,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.8125,1.117187720309529E-7,7000.0,0.772676282051282,0.1650513697117203,0.702,0.41181114795515544,0.7228886217948718,1.0833333333333333,0.6871998179158589,0.5346153846153846,0.37768496420047726,7000.0,621768.0,15.0,0.3534190298229116,0.6465809701770885,9636.800000000001,78.16118876124787,13305.599999999999,1830.9896153251584,8.33333333333333,1.2344267996967353,4.666666666666665,0.6172133998483678,4.666666666666665,0.6172133998483678,3.6666666666666665,0.6172133998483676,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.890625,1.2445913550133506E-7,8000.0,0.7325560897435898,0.15922644027631017,0.712,0.41624777039078964,0.772676282051282,0.9230769230769231,0.6878262629099866,0.5479166666666667,0.4010917598128412,8000.0,630368.0,15.0,0.4757393837114688,0.5242606162885315,11000.466666666667,96.89675408588742,13875.199999999999,1738.110106655255,8.466666666666667,1.1872336794093274,4.733333333333333,0.5936168397046637,4.733333333333333,0.5936168397046637,3.733333333333333,0.5936168397046637,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.96875,1.3737848752902612E-7,9000.0,0.7434629738518954,0.159443484417846,0.707,0.41437948209560194,0.7325560897435898,1.0040080160320641,0.6884256646287839,0.5449101796407185,0.3936537134973556,9000.0,639224.0,15.0,0.4324414307883537,0.5675585692116464,12393.266666666666,94.09832749892631,14460.800000000001,756.006349179688,8.866666666666667,0.5163977794943223,4.933333333333334,0.25819888974716115,4.933333333333334,0.25819888974716115,3.9333333333333336,0.2581988897471611,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.0625,1.5302490080810254E-7,10000.0,0.7741668300529372,0.1748782550897348,0.744,0.48531333561189405,0.7434629738518954,0.9646365422396856,0.7280053003353825,0.6008146639511202,0.47107438016528924,10000.0,645128.0,15.0,0.524360165864144,0.4756398341358561,13747.599999999999,106.18703176134915,14851.2,756.006349179688,9.133333333333333,0.5163977794943221,5.066666666666666,0.25819888974716104,5.066666666666666,0.25819888974716104,3.9999999999999996,0.3779644730092271,0.0,0.0,0.0,0.0,1.0,0.0
