learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.109375,1.3156677596271038E-8,1000.0,0.9101048803454882,0.5372250444862527,0.885,0.51351991607161,0.0,0.11482720178372352,0.8254090662427396,0.7572815533980582,-0.11650485436893217,1000.0,464976.0,15.0,0.7920861721791147,0.20791382782088524,187.0,11.199489784296937,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.25,3.00724059343338E-8,2000.0,0.9479542431497738,0.5904145398861851,0.849,0.4790588559994479,0.9101048803454882,0.11731843575418995,0.8690229290934945,0.8952380952380953,-0.4519230769230774,2000.0,464976.0,15.0,0.7967256262613145,0.2032743737386855,375.13333333333327,11.74044697778133,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.34375,4.1349558159708976E-8,3000.0,0.9506936762536873,0.5831348794343476,0.843,0.4539054456409827,0.9479542431497738,0.10619469026548672,0.8749736616347787,0.9166666666666666,-0.5493421052631574,3000.0,464976.0,15.0,0.9963444838338027,0.0036555161661971807,551.0,16.647608150808246,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.4375,5.262671038508415E-8,4000.0,0.9558937156593407,0.6218010435557003,0.866,0.5211275658985647,0.9506936762536873,0.11607142857142858,0.8906566289930317,0.9230769230769231,-0.31372549019607876,4000.0,464976.0,15.0,0.9479588327076544,0.05204116729234564,746.6666666666666,23.22765182974399,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.53125,6.390386261045934E-8,5000.0,0.9451013513513513,0.5885363933232817,0.838,0.4705882352941174,0.9558937156593407,0.12612612612612611,0.8614155092269232,0.8928571428571429,-0.5576923076923083,5000.0,464976.0,15.0,0.9623723499379507,0.0376276500620493,952.5333333333333,29.456667124697546,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.625,7.518101483583451E-8,6000.0,0.9710269277967895,0.6486411847120162,0.874,0.5681885165562006,0.9451013513513513,0.1273957158962796,0.912101006332255,0.9646017699115044,-0.19431279620853037,6000.0,464976.0,15.0,0.8698735501032278,0.1301264498967721,1158.8666666666668,35.66884728536466,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.71875,8.645816706120969E-8,7000.0,0.9472329472329473,0.6081606838041291,0.846,0.4894068499055071,0.9710269277967895,0.12485939257592801,0.8732255881942871,0.9099099099099099,-0.4489247311827955,7000.0,464976.0,15.0,0.8256475811000303,0.1743524188999696,1360.4666666666667,42.057556933779345,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.796875,9.5855793915689E-8,8000.0,0.957874298256722,0.6131539042267473,0.852,0.4958166407761696,0.9472329472329473,0.1185682326621924,0.8830331723500064,0.9245283018867925,-0.392941176470589,8000.0,464976.0,15.0,0.9848259546122291,0.015174045387770833,1554.6666666666665,39.96903563414828,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.890625,1.0713294614106418E-7,9000.0,0.9557609805924413,0.6219554708589945,0.86,0.526451089162495,0.957874298256722,0.12359550561797752,0.8961613746403848,0.9454545454545454,-0.3124999999999999,9000.0,464976.0,15.0,0.8673976868991108,0.13260231310088927,1756.2666666666669,39.71949263570837,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.96875,1.165305729955435E-7,10000.0,0.9472443018578817,0.6097587004928067,0.851,0.4528817343281826,0.9557609805924413,0.1013215859030837,0.8688268987791167,0.8913043478260869,-0.4163498098859323,10000.0,464976.0,15.0,0.9712196266456302,0.028780373354369747,1931.8000000000002,47.992856611315425,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
