learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.140625,1.6918638721108438E-8,1000.0,0.957786758913587,0.697669672985357,0.957,0.7578828828828825,0.0,0.10741971207087486,0.8795427566189437,0.7938144329896907,0.5567010309278345,1000.0,465056.0,15.0,0.8687557455645902,0.13124425443540974,1068.7333333333336,33.052915727591106,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.21875,2.6317882455057572E-8,2000.0,0.9855817140009965,0.7194631693082174,0.956,0.7855917667238421,0.957786758913587,0.1210762331838565,0.9171138556807877,0.8703703703703703,0.5707317073170729,2000.0,465056.0,15.0,0.9996300363523877,3.699636476122666E-4,2112.733333333333,46.95965847202808,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.3125,3.759697493579653E-8,3000.0,0.9871085987293938,0.7297579043841348,0.955,0.7781502662196803,0.9855817140009965,0.122334455667789,0.9041639984908548,0.8440366972477065,0.5700636942675156,3000.0,465056.0,15.0,0.8609123410882944,0.1390876589117056,3180.2,61.72774324170835,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.390625,4.8035710480892E-8,4000.0,0.9703622392974753,0.5561368918537323,0.946,0.6635807468507418,0.9871085987293938,0.09769484083424808,0.8159853489434121,0.6853932584269663,0.46401985111662486,4000.0,516488.0,15.0,0.8068788615244963,0.19312113847550366,4254.866666666667,60.78635498515233,6344.0,1127.647361291894,3.4000000000000004,0.828078671210825,2.2000000000000006,0.41403933560541256,2.2000000000000006,0.41403933560541256,1.2000000000000002,0.4140393356054125,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.5,6.313503642256061E-8,5000.0,0.9882622002488817,0.6927589876178274,0.96,0.7925677007166784,0.9703622392974753,0.10987791342952276,0.9275121037895079,0.8888888888888888,0.6015936254980078,5000.0,533632.0,15.0,0.947962621181826,0.05203737881817397,5332.066666666667,64.0663346703652,7477.333333333334,1405.1876675207411,4.199999999999999,1.0141851056742197,2.5999999999999996,0.5070925528371099,2.5999999999999996,0.5070925528371099,1.5999999999999999,0.50709255283711,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.5625,7.216783059347007E-8,6000.0,0.9851276813074565,0.673302836188382,0.958,0.7888598431530262,0.9882622002488817,0.12359550561797752,0.8977158621480386,0.8272727272727273,0.5882352941176466,6000.0,558656.0,15.0,0.8686809500968382,0.13131904990316173,6387.466666666667,75.87759566439595,9132.800000000001,879.941816258325,5.2666666666666675,0.7037315505489968,3.1333333333333337,0.3518657752744984,3.1333333333333337,0.3518657752744984,2.1333333333333337,0.3518657752744984,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.609375,7.907174424164825E-8,7000.0,0.9859813982090011,0.6999908949541604,0.96,0.8146363164528804,0.9851276813074565,0.13378684807256236,0.9209450694260279,0.8728813559322034,0.6164383561643834,7000.0,569320.0,15.0,0.9442571344363985,0.055742865563601626,7443.4,75.85117006348685,9837.333333333332,1652.2820006051659,5.800000000000002,1.2649110640673518,3.400000000000001,0.6324555320336759,3.400000000000001,0.6324555320336759,2.333333333333334,0.6172133998483678,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.671875,8.873318115042315E-8,8000.0,0.9809417398244213,0.6683032130846843,0.951,0.760438056125941,0.9859813982090011,0.11731843575418995,0.9125648876192072,0.8666666666666667,0.5305389221556882,8000.0,597536.0,15.0,0.8494665982176953,0.1505334017823046,8520.066666666666,85.74252709350797,11700.266666666668,2953.3188949448204,7.3999999999999995,2.4142434484888695,4.2,1.2071217242444348,4.2,1.2071217242444348,2.533333333333334,0.9154754164341269,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.734375,9.863546842502222E-8,9000.0,0.9854423292273237,0.6844084650722584,0.952,0.7696670729483572,0.9809417398244213,0.11982082866741321,0.9187343461629583,0.8785046728971962,0.54140127388535,9000.0,612432.0,15.0,0.8899942879423216,0.11000571205767824,9599.8,88.56732709397657,12684.266666666666,2485.9778032185322,8.066666666666668,1.8309508328682538,4.533333333333335,0.915475416434127,4.533333333333335,0.915475416434127,2.533333333333334,0.9154754164341269,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.796875,1.0859234155052237E-7,10000.0,0.9849069921939877,0.6996880471610043,0.96,0.8094512195121949,0.9854423292273237,0.1210762331838565,0.9406430869571937,0.9166666666666666,0.6190476190476186,10000.0,615808.0,15.0,0.997729740764402,0.002270259235597988,10677.4,97.52201216721711,12909.333333333334,2518.9706136398163,8.066666666666668,1.8309508328682538,4.533333333333335,0.915475416434127,4.533333333333335,0.915475416434127,2.533333333333334,0.9154754164341269,0.0,0.0,0.0,0.0,1.0,0.0
