learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.21875,2.631652427630292E-8,1000.0,0.6881147164261421,0.17006794039984074,0.99,0.16513608281850292,0.0,0.011122345803842264,0.30151134457776363,0.09090909090909091,0.09090909090909091,1000.0,465032.0,15.0,0.9999781525499235,2.1847450076331943E-5,985.7333333333333,33.805043298019186,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.359375,4.323428988249765E-8,2000.0,0.8941414141414141,0.11646267058627723,0.988,-0.0033444816053545237,0.6881147164261421,0.010101010101010102,0.0,0.0,-0.1428571428571489,2000.0,465032.0,15.0,0.9999999646602523,3.533974761285301E-8,1968.9999999999998,45.71026768056126,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.46875,5.639255202064911E-8,3000.0,0.9772267206477733,0.1254900717756734,0.988,0.0,0.8941414141414141,0.012145748987854251,0.0,0.0,-0.09090909090909091,3000.0,465032.0,15.0,0.9952565370050156,0.004743462994984423,2957.1333333333337,60.20544193090232,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.609375,7.47666733028988E-8,4000.0,0.92578125,0.09386741547107905,0.992,0.0,0.9772267206477733,0.008064516129032258,0.0,0.0,0.2195121951219491,4000.0,505064.0,15.0,0.9999999179168989,8.208310107837583E-8,3942.6,59.95927189112859,5588.8,184.2185038014834,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.703125,8.707739956056078E-8,5000.0,0.8331658291457287,0.039797299381335215,0.995,0.0,0.92578125,0.005025125628140704,0.0,0.0,0.4565217391304335,5000.0,507592.0,15.0,0.999999507811916,4.921880838290272E-7,4938.466666666666,64.17483559627965,5757.333333333335,145.37963438954628,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.828125,1.039907349170082E-7,6000.0,0.927070707070707,0.05297148792290783,0.99,0.0,0.8331658291457287,0.010101010101010102,0.0,0.0,-0.07142857142857567,6000.0,523024.0,15.0,0.9999999927250252,7.274974802862151E-9,5927.933333333333,82.28909549931421,6776.0,1277.5834331155943,3.9333333333333336,1.0327955589886446,2.466666666666667,0.5163977794943222,2.466666666666667,0.5163977794943222,1.4666666666666668,0.5163977794943223,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.953125,1.2171742532195316E-7,7000.0,0.8730717639168344,0.016214543532055058,0.994,0.0,0.927070707070707,0.006036217303822937,0.0,0.0,0.32258064516129276,7000.0,548176.0,15.0,0.9999883893692522,1.161063074773657E-5,6916.666666666667,82.67636271862077,8438.933333333332,131.72670120185953,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,1.046875,1.3566572710664736E-7,8000.0,0.9546827794561934,0.028548551910976536,0.993,0.0,0.8730717639168344,0.007049345417925478,0.0,0.0,0.18840579710144797,8000.0,575112.0,15.0,0.9998511629806591,1.4883701934091938E-4,7922.8,92.82641249742906,10218.666666666668,1344.2063333680087,6.333333333333332,0.9759000729485333,3.666666666666666,0.48795003647426666,3.666666666666666,0.48795003647426666,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,1.15625,1.5200258025692569E-7,9000.0,0.9599730911537168,0.04284029737934049,0.991,0.0,0.9546827794561934,0.009081735620585268,0.0,0.0,-0.03846153846153403,9000.0,577368.0,15.0,0.9972082347372546,0.00279176526274526,8922.133333333333,95.17042357691557,10369.066666666666,1373.329190932264,6.333333333333332,0.9759000729485333,3.666666666666666,0.48795003647426666,3.666666666666666,0.48795003647426666,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.296875,1.735574591697918E-7,10000.0,0.9849758941585379,0.08430727477347416,0.991,0.0,0.9599730911537168,0.009081735620585268,0.0,0.0,-0.03448275862068569,10000.0,592496.0,15.0,0.99999911081919,8.891808099885365E-7,9925.533333333333,103.70897926868435,11367.466666666665,1926.262326990006,7.2666666666666675,1.486446705914413,4.133333333333333,0.7432233529572065,4.133333333333333,0.7432233529572065,2.3333333333333335,0.4879500364742665,0.0,0.0,0.0,0.0,1.0,0.0
