learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.140625,5.125184543430805E-9,1000.0,0.6454500610993397,0.05700207080409728,0.903,0.0358236253031683,0.0,0.10987791342952276,0.1421338109037403,0.020202020202020204,0.020202020202020225,1000.0,140880.0,15.0,998.6666666666667,34.21709402929367,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.203125,7.403044340511163E-9,2000.0,0.581168944460599,0.02289089190776869,0.905,0.0,0.6454500610993397,0.10497237569060773,0.0,0.0,0.02061855670103095,2000.0,140880.0,15.0,1990.5333333333333,46.83079979590154,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.265625,9.68090413759152E-9,3000.0,0.6126258904446082,0.02625658181240227,0.885,0.0,0.581168944460599,0.12994350282485875,0.0,0.0,-0.11650485436893217,3000.0,140880.0,15.0,2989.4,61.491927460904456,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.359375,1.4314816022912662E-8,4000.0,0.7080180999808465,0.09112082502400778,0.909,0.019565592139286755,0.6126258904446082,0.1013215859030837,0.10425720702853739,0.010869565217391304,0.09226932668329162,4000.0,191064.0,15.0,3983.5333333333333,60.407978028765406,6262.400000000001,1030.2629900037311,3.2666666666666666,0.7037315505489968,2.1333333333333337,0.35186577527449836,2.1333333333333337,0.35186577527449836,1.1333333333333333,0.3518657752744984,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.40625,1.6660681770493588E-8,5000.0,0.5950888888888889,0.052446459878432716,0.9,0.0,0.7080180999808465,0.1111111111111111,0.0,0.0,0.0019960079840317174,5000.0,193448.0,15.0,4983.866666666667,63.40331972681683,6419.733333333334,1140.6699451679806,3.400000000000001,0.828078671210825,2.2,0.4140393356054125,2.2,0.4140393356054125,1.2000000000000004,0.4140393356054125,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.4375,1.827012359475096E-8,6000.0,0.6880187273888061,0.0592686479697494,0.889,0.0,0.5950888888888889,0.12485939257592801,0.0,0.0,-0.08823529411764716,6000.0,199080.0,15.0,5980.666666666666,79.45948353601044,6792.000000000001,1353.37884042654,3.6666666666666665,0.9759000729485332,2.3333333333333335,0.4879500364742666,2.3333333333333335,0.4879500364742666,1.3333333333333333,0.4879500364742666,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.5,2.1979891850302617E-8,7000.0,0.7021314096511437,0.04713782614117591,0.913,0.0,0.6880187273888061,0.09529025191675794,0.0,0.0,0.12875536480686736,7000.0,229440.0,15.0,6977.400000000001,79.67684732718784,8800.0,0.0,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.5625,2.622555863733093E-8,8000.0,0.6162932694565779,0.05876972649535769,0.906,0.0,0.7021314096511437,0.10375275938189846,0.0,0.0,0.051702395964691505,8000.0,262584.0,15.0,7989.533333333332,90.70979366455789,10990.4,1140.44682972446,6.6,0.828078671210825,3.8,0.4140393356054125,3.8,0.4140393356054125,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.609375,2.9409808727602164E-8,9000.0,0.7083082932692307,0.06550552209281056,0.896,0.0,0.6162932694565779,0.11607142857142858,0.0,0.0,-0.043478260869564876,9000.0,262584.0,15.0,8997.666666666668,93.18466049935985,10990.4,1140.44682972446,6.6,0.828078671210825,3.8,0.4140393356054125,3.8,0.4140393356054125,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.65625,3.277634580930074E-8,10000.0,0.6262500565636454,0.04699600822063966,0.902,0.0,0.7083082932692307,0.10864745011086474,0.0,0.0,0.015075376884422677,10000.0,277616.0,15.0,10008.4,100.59238823802008,11984.0,1471.88508868244,7.4,1.5491933384829668,4.2,0.7745966692414834,4.2,0.7745966692414834,2.133333333333334,0.5163977794943224,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,0.71875,3.7353925613893406E-8,11000.0,0.6123694280690868,0.046730929032707154,0.879,0.0,0.6262500565636454,0.13765642775881684,0.0,0.0,-0.1926523297491038,11000.0,283112.0,15.0,11014.466666666669,95.4641792706012,12347.733333333332,2404.755035539458,7.8,1.65615734242165,4.3999999999999995,0.828078671210825,4.3999999999999995,0.828078671210825,2.3333333333333335,0.6172133998483676,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,0.765625,4.117098999106222E-8,12000.0,0.6389789112770654,0.06458651120068493,0.906,0.0,0.6123694280690868,0.10375275938189846,0.0,0.0,0.06776859504132256,12000.0,314768.0,15.0,12011.333333333334,75.81148298497351,14442.133333333333,2338.359799599059,8.866666666666667,1.5976172734359606,4.933333333333334,0.7988086367179803,4.933333333333334,0.7988086367179803,2.8000000000000003,0.5606119105813882,0.0,0.0,0.0,0.0,1.0,0.0
13000.0,0.8125,4.5300047430727226E-8,13000.0,0.7476316999069497,0.08109187775168539,0.901,0.0,0.6389789112770654,0.10987791342952276,0.0,0.0,0.0168067226890764,13000.0,340496.0,15.0,13006.666666666666,69.80755860288505,16142.933333333338,2399.6263836173302,10.066666666666666,1.667618775665584,5.533333333333333,0.833809387832792,5.533333333333333,0.833809387832792,2.933333333333333,0.45773770821706344,0.0,0.0,0.0,0.0,1.0,0.0
14000.0,0.859375,4.958587750378583E-8,14000.0,0.7093146795287658,0.07800994444667936,0.879,0.0,0.7476316999069497,0.13765642775881684,0.0,0.0,-0.18461538461538518,14000.0,353424.0,15.0,13999.133333333333,80.35445286502846,16998.4,1979.6893262760773,10.600000000000001,1.3522468075656267,5.800000000000001,0.6761234037828133,5.800000000000001,0.6761234037828133,3.133333333333334,0.3518657752744986,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,0.90625,5.404730068726673E-8,15000.0,0.6862075207022942,0.10213293114553307,0.902,0.0,0.7093146795287658,0.10864745011086474,0.0,0.0,0.03795811518324625,15000.0,367904.0,15.0,14986.666666666666,91.40073981153128,17955.73333333333,1518.8894188408408,11.266666666666666,1.0327955589886444,6.133333333333333,0.5163977794943222,6.133333333333333,0.5163977794943222,3.133333333333334,0.3518657752744986,0.0,0.0,0.0,0.0,1.0,0.0
16000.0,0.953125,5.851211931763425E-8,16000.0,0.7022146939528023,0.09098575162024117,0.904,0.0,0.6862075207022942,0.10619469026548672,0.0,0.0,0.05418719211822718,16000.0,368184.0,15.0,15983.066666666668,71.06482620684808,17974.399999999998,1512.0126983593755,11.266666666666666,1.0327955589886444,6.133333333333333,0.5163977794943222,6.133333333333333,0.5163977794943222,3.133333333333334,0.3518657752744986,0.0,0.0,0.0,0.0,1.0,0.0
17000.0,1.0,6.30809356355005E-8,17000.0,0.6904156698564593,0.12281648066754369,0.914,0.04069248616812526,0.7022146939528023,0.09649122807017543,0.15075567228888181,0.022727272727272728,0.14602803738317813,17000.0,376760.0,15.0,16985.866666666665,73.49622601260072,18541.333333333332,1819.4069154011493,11.66666666666667,1.2344267996967353,6.333333333333335,0.6172133998483676,6.333333333333335,0.6172133998483676,3.266666666666667,0.5936168397046637,0.0,0.0,0.0,0.0,1.0,0.0
18000.0,1.03125,6.632575403071113E-8,18000.0,0.7261270788483086,0.08798093423565315,0.914,0.020791109694169196,0.6904156698564593,0.09529025191675794,0.10721125348377948,0.011494252873563218,0.1395219566425791,18000.0,401368.0,15.0,17975.0,91.81347551266258,20167.466666666664,2309.5953222114367,12.866666666666667,1.5976172734359606,6.933333333333334,0.7988086367179803,6.933333333333334,0.7988086367179803,3.6,0.6324555320336759,0.0,0.0,0.0,0.0,1.0,0.0
19000.0,1.09375,7.316295523196459E-8,19000.0,0.7207540177874864,0.07499083045083219,0.884,0.0,0.7261270788483086,0.13122171945701358,0.0,0.0,-0.1509138381201042,19000.0,422864.0,15.0,18973.933333333334,90.60626489429536,21589.333333333336,2403.8534144359205,13.800000000000002,1.65615734242165,7.400000000000001,0.828078671210825,7.400000000000001,0.828078671210825,3.8666666666666667,0.5163977794943222,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,1.171875,8.214423562296563E-8,20000.0,0.6220468742661218,0.07445580414065342,0.906,0.0,0.7207540177874864,0.10375275938189846,0.0,0.0,0.06421105027376868,20000.0,444376.0,15.0,19965.133333333335,89.14904587797005,23012.266666666666,2436.9814896614175,14.733333333333333,1.6676187756655838,7.866666666666666,0.8338093878327919,7.866666666666666,0.8338093878327919,3.9999999999999996,0.5345224838248488,0.0,0.0,0.0,0.0,1.0,0.0
21000.0,1.21875,8.791319689609938E-8,21000.0,0.662382706951609,0.09848997517292735,0.898,0.18406527477801762,0.6220468742661218,0.12994350282485875,0.3362193900727166,0.11304347826086956,-0.008474576271186767,21000.0,475728.0,15.0,20965.4,92.76683520680109,25084.800000000003,1443.3035122840342,16.2,1.0141851056742197,8.6,0.5070925528371099,8.6,0.5070925528371099,4.133333333333333,0.35186577527449836,0.0,0.0,0.0,0.0,1.0,0.0
22000.0,1.265625,9.369913540366623E-8,22000.0,0.6183092253294761,0.0958042783773421,0.925,0.2101937657961246,0.662382706951609,0.09289617486338798,0.35954183495561814,0.12941176470588237,0.25305568130375766,22000.0,477128.0,15.0,21961.266666666663,90.61966568865554,25178.13333333333,1470.6840909039893,16.2,1.0141851056742197,8.6,0.5070925528371099,8.6,0.5070925528371099,4.133333333333333,0.35186577527449836,0.0,0.0,0.0,0.0,1.0,0.0
23000.0,1.328125,1.0159105942067173E-7,23000.0,0.6079380026193028,0.08418225481461618,0.907,0.16170903190914063,0.6183092253294761,0.11482720178372352,0.3115884764248779,0.0970873786407767,0.07482698961937786,23000.0,488096.0,15.0,22979.600000000002,100.83706801426928,25902.93333333333,1420.2482412123122,16.733333333333334,1.0327955589886444,8.866666666666667,0.5163977794943222,8.866666666666667,0.5163977794943222,4.133333333333333,0.35186577527449836,0.0,0.0,0.0,0.0,1.0,0.0
24000.0,1.375,1.0758499330323603E-7,24000.0,0.6733263461286519,0.10279579196618378,0.909,0.19001673372022593,0.6079380026193028,0.11358574610244988,0.3428061387078018,0.11764705882352941,0.09527754763877434,24000.0,494280.0,15.0,23965.666666666668,93.90547425596728,26311.999999999996,1531.6008431889625,17.0,1.0690449676496974,9.0,0.5345224838248487,9.0,0.5345224838248487,4.133333333333333,0.35186577527449836,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,1.421875,1.1368282786053087E-7,25000.0,0.7473224043715847,0.0755840988991627,0.921,0.12202711713714154,0.6733263461286519,0.09289617486338798,0.2656844656620286,0.07058823529411765,0.20968387354942056,25000.0,502848.0,15.0,24959.933333333338,107.97385044978466,26877.866666666665,1919.8463430577929,17.533333333333335,1.1872336794093274,9.266666666666667,0.5936168397046637,9.266666666666667,0.5936168397046637,4.200000000000001,0.4140393356054126,0.0,0.0,0.0,0.0,1.0,0.0
26000.0,1.46875,1.1996993432856268E-7,26000.0,0.6970614804187257,0.10308900402062504,0.928,0.20318725099601545,0.7473224043715847,0.08932461873638345,0.3492151478847891,0.12195121951219512,0.27469972878729226,26000.0,518456.0,15.0,25947.13333333333,102.43176590621941,27910.933333333334,1860.5089728607163,18.066666666666666,1.2798809468443688,9.533333333333333,0.6399404734221844,9.533333333333333,0.6399404734221844,4.266666666666667,0.5936168397046636,0.0,0.0,0.0,0.0,1.0,0.0
27000.0,1.53125,1.2858233983731932E-7,27000.0,0.7175421784708308,0.1231235636636347,0.905,0.2902608851567409,0.6970614804187257,0.13250283125707815,0.43362909039199393,0.18803418803418803,0.04929577464788804,27000.0,532656.0,15.0,26955.533333333333,101.92284663737873,28849.600000000002,2168.4684786404305,18.733333333333334,1.4864467059144129,9.866666666666667,0.7432233529572064,9.866666666666667,0.7432233529572064,4.266666666666667,0.5936168397046636,0.0,0.0,0.0,0.0,1.0,0.0
28000.0,1.5625,1.3291234305749336E-7,28000.0,0.6517269736842105,0.0989901865952575,0.922,0.21636392862883788,0.7175421784708308,0.09649122807017543,0.36886934448587,0.13636363636363635,0.21608040201005094,28000.0,535600.0,15.0,27953.86666666666,88.65733928741355,29044.26666666667,2262.161528483848,18.866666666666667,1.5976172734359602,9.933333333333334,0.7988086367179801,9.933333333333334,0.7988086367179801,4.266666666666667,0.5936168397046636,0.0,0.0,0.0,0.0,1.0,0.0
29000.0,1.625,1.4172472421907714E-7,29000.0,0.6583444444444444,0.12579031957255155,0.916,0.2758620689655175,0.6517269736842105,0.1111111111111111,0.4237924020083418,0.18,0.1559251559251567,29000.0,545024.0,15.0,28955.799999999996,92.23432890508452,29667.733333333334,2640.406664205526,19.266666666666666,1.8309508328682538,10.133333333333333,0.9154754164341269,10.133333333333333,0.9154754164341269,4.4,0.6324555320336759,0.0,0.0,0.0,0.0,1.0,0.0
