learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.265625,4.190990390876929E-8,1000.0,0.6852844744455159,0.2121856895971455,0.499,0.07761985418661163,0.0,0.09289617486338798,0.613865295559943,0.8,-4.894117647058826,1000.0,609888.0,15.0,3708.6,54.23335821113365,12521.6,5059.281213769403,7.933333333333333,3.453086955726647,4.466666666666667,1.7265434778633235,4.466666666666667,1.7265434778633235,2.666666666666667,0.816496580927726,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.515625,9.283720929589536E-8,2000.0,0.6815903417069745,0.16519959411599217,0.36,0.051997914395411626,0.6852844744455159,0.13122171945701358,0.5065878993173327,0.8793103448275862,-5.368159203980097,2000.0,787432.0,15.0,8945.266666666668,81.08766566999944,24262.4,9264.463941010603,16.333333333333336,7.158079018709925,8.666666666666666,3.579039509354963,8.666666666666666,3.579039509354963,4.866666666666667,1.1872336794093274,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.796875,1.6470213368948963E-7,3000.0,0.7266753861484804,0.15248876089470753,0.288,0.043792169839700856,0.6815903417069745,0.1210762331838565,0.44568834400665164,0.9629629629629629,-5.912621359223302,3000.0,987704.0,15.0,12968.733333333332,95.39951083033232,37501.33333333332,9504.698707681875,25.799999999999997,6.4939532313859925,13.399999999999999,3.2469766156929962,13.399999999999999,3.2469766156929962,6.133333333333333,0.7432233529572063,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,1.03125,2.349738173911141E-7,4000.0,0.7855249815634219,0.1915506945989458,0.357,0.05015422068329805,0.7266753861484804,0.10619469026548672,0.5182198440668407,0.8958333333333334,-5.35061728395062,4000.0,1158968.0,15.0,17780.999999999996,100.10209074454187,48822.4,10161.53203297332,33.93333333333333,7.8873014275811615,17.466666666666665,3.9436507137905807,17.466666666666665,3.9436507137905807,6.799999999999999,0.9411239481143201,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,1.21875,2.9761961842369703E-7,5000.0,0.6721212121212121,0.11625286529905599,0.227,0.015286624203821668,0.7855249815634219,0.13636363636363635,0.34918736830220276,0.925,-6.361904761904763,5000.0,1291496.0,15.0,21805.533333333333,115.0384200831968,57587.73333333333,10787.001645278362,39.666666666666664,7.546680127869537,20.333333333333332,3.7733400639347683,20.333333333333332,3.7733400639347683,7.333333333333333,0.8997354108424372,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,1.421875,3.7109514879476695E-7,6000.0,0.7067534615022344,0.10332457399870904,0.171,0.010716246211126776,0.6721212121212121,0.11982082866741321,0.27004519410879607,0.9719626168224299,-6.870253164556965,6000.0,1398240.0,15.0,25622.666666666668,119.17134522950384,64646.93333333333,10081.565804311682,44.33333333333333,7.0373155054899685,22.666666666666664,3.5186577527449843,22.666666666666664,3.5186577527449843,7.933333333333333,0.9611501047232547,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,1.578125,4.3312640627846123E-7,7000.0,0.7607792024799211,0.12278756997357315,0.167,0.014317832209206044,0.7067534615022344,0.10375275938189846,0.28426887351152785,0.9893617021276596,-7.031680440771346,7000.0,1534592.0,15.0,30201.266666666666,128.9520767387561,73659.20000000001,10070.499286813654,50.733333333333334,7.887301427581161,25.866666666666667,3.9436507137905803,25.866666666666667,3.9436507137905803,8.399999999999999,0.7367883976130074,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,1.765625,5.139737428786854E-7,8000.0,0.7696909499834458,0.13584630491706434,0.22,0.029684199526784444,0.7607792024799211,0.10741971207087486,0.36906994538260307,1.0,-6.582017010935598,8000.0,1666736.0,15.0,34740.6,148.84114254562058,82396.26666666666,10978.569406326298,56.86666666666667,8.192912151598449,28.933333333333334,4.0964560757992245,28.933333333333334,4.0964560757992245,8.666666666666664,0.8997354108424375,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,1.953125,6.016639720958968E-7,9000.0,0.7660441606810322,0.13668183569990144,0.237,0.029237385175195297,0.7696909499834458,0.11731843575418995,0.38279019319098595,0.9714285714285714,-6.399784482758617,9000.0,1807808.0,15.0,39475.8,166.8712934312812,91721.06666666668,11299.838630116212,63.800000000000004,8.376838817324144,32.400000000000006,4.188419408662073,32.400000000000006,4.188419408662073,8.866666666666665,1.1254628677422756,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,2.140625,6.963488218995432E-7,10000.0,0.7566856971153846,0.13958648846233512,0.265,0.037625566949836084,0.7660441606810322,0.11607142857142858,0.4216110030728419,0.9711538461538461,-6.122093023255816,10000.0,1952008.0,15.0,43711.26666666667,185.6457712444661,101252.26666666666,10613.76092940983,71.26666666666668,8.101734088335364,36.13333333333334,4.050867044167682,36.13333333333334,4.050867044167682,9.333333333333334,1.2344267996967353,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,2.34375,8.068223380380207E-7,11000.0,0.7104691412579173,0.12044095033765534,0.242,0.027886075429884662,0.7566856971153846,0.1415525114155251,0.3670820435409967,0.9596774193548387,-6.212802768166088,11000.0,2102312.0,15.0,48064.26666666666,183.46679990305222,111192.53333333331,12342.543555099326,77.66666666666666,8.440266301373153,39.33333333333333,4.220133150686577,39.33333333333333,4.220133150686577,9.466666666666667,1.1254628677422756,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,2.546875,9.239241222126617E-7,12000.0,0.776794728731601,0.1518835584968286,0.249,0.03102275483714474,0.7104691412579173,0.08932461873638345,0.4237991477407708,0.975609756097561,-6.279483037156707,12000.0,2228448.0,15.0,52142.666666666664,156.82094733743136,119531.73333333332,14099.835984186211,83.13333333333331,10.266914035362518,42.066666666666656,5.133457017681259,42.066666666666656,5.133457017681259,9.533333333333331,1.1872336794093274,0.0,0.0,0.0,0.0,1.0,0.0
13000.0,2.75,1.0495845991600719E-6,13000.0,0.7727914935479482,0.1480973300359441,0.26,0.03451479149433626,0.776794728731601,0.11982082866741321,0.4113872430470785,0.9626168224299065,-6.152416356877321,13000.0,2391320.0,15.0,56731.13333333334,143.71244436953526,130296.53333333333,13597.398227322055,91.53333333333333,9.605553948974867,46.266666666666666,4.802776974487434,46.266666666666666,4.802776974487434,9.799999999999999,1.082325538564332,0.0,0.0,0.0,0.0,1.0,0.0
14000.0,2.96875,1.1948984077510735E-6,14000.0,0.6890198968312454,0.14359543507435868,0.326,0.04268162772530363,0.7727914935479482,0.12994350282485875,0.4750622139246531,0.8956521739130435,-5.463013698630134,14000.0,2567800.0,15.0,61017.46666666666,156.17703629748766,141967.46666666665,11951.189288498608,99.13333333333333,9.14851015713696,50.06666666666666,4.57425507856848,50.06666666666666,4.57425507856848,9.933333333333332,1.2798809468443688,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,3.15625,1.3261756976135076E-6,15000.0,0.7636978380819172,0.15325351707250634,0.285,0.043324680885225675,0.6890198968312454,0.11234705228031146,0.4492554024544885,0.9702970297029703,-5.870595771941065,15000.0,2706392.0,15.0,64996.933333333334,163.89912693337868,151131.19999999998,12154.352372709953,105.53333333333335,9.21075975357599,53.26666666666667,4.605379876787995,53.26666666666667,4.605379876787995,10.0,1.2535663410560174,0.0,0.0,0.0,0.0,1.0,0.0
16000.0,3.375,1.4884889242239298E-6,16000.0,0.7444852354349561,0.14525961633062523,0.265,0.027726334726705163,0.7636978380819172,0.11731843575418995,0.41642264735368356,0.9238095238095239,-6.058823529411763,16000.0,2868192.0,15.0,69708.4,172.01528171315792,161822.93333333335,14832.29491667551,114.6,11.037598082398699,57.8,5.518799041199349,57.8,5.518799041199349,10.133333333333333,1.1872336794093274,0.0,0.0,0.0,0.0,1.0,0.0
17000.0,3.609375,1.6731934738345446E-6,17000.0,0.7107474621719977,0.14767528082261333,0.288,0.02914739506065095,0.7444852354349561,0.1013215859030837,0.45131434605832554,0.9021739130434783,-5.885096700796362,17000.0,3046272.0,15.0,73744.73333333334,169.4948236321536,173599.46666666665,15609.842013782147,121.66666666666666,11.751393027860065,61.33333333333333,5.875696513930032,61.33333333333333,5.875696513930032,10.599999999999998,0.9856107606091623,0.0,0.0,0.0,0.0,1.0,0.0
18000.0,3.828125,1.8534310381963023E-6,18000.0,0.7339230990231757,0.14991878359995808,0.305,0.04058531198233018,0.7107474621719977,0.1013215859030837,0.47482594922060284,0.9347826086956522,-5.762162162162164,18000.0,3184928.0,15.0,77922.2,196.02776771234736,182761.59999999998,16529.952367056085,129.26666666666665,12.068060956015065,65.13333333333333,6.034030478007534,65.13333333333333,6.034030478007534,10.599999999999998,0.9856107606091623,0.0,0.0,0.0,0.0,1.0,0.0
19000.0,4.0625,2.05771276442748E-6,19000.0,0.7703538957361588,0.15455765989971038,0.309,0.049230853903519604,0.7339230990231757,0.122334455667789,0.46853441802077533,0.9541284403669725,-5.7018887187340495,19000.0,3369152.0,15.0,82791.53333333333,225.49306820725857,194941.3333333333,19529.571813997747,137.66666666666669,14.883675941238756,69.33333333333334,7.441837970619378,69.33333333333334,7.441837970619378,10.933333333333334,1.162919151265879,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,4.296875,2.2706640366878777E-6,20000.0,0.7661923128075542,0.1514912220627106,0.26,0.022526794654014092,0.7703538957361588,0.07874865156418555,0.43713417289745987,0.9178082191780822,-6.2834645669291325,20000.0,3512136.0,15.0,86889.4,230.680607891393,204397.33333333337,21390.048135478683,143.39999999999998,14.759016614550292,72.19999999999999,7.379508307275146,72.19999999999999,7.379508307275146,11.066666666666665,1.1629191512658792,0.0,0.0,0.0,0.0,1.0,0.0
21000.0,4.546875,2.507184787342946E-6,21000.0,0.7595788499873347,0.14645338889849702,0.265,0.03712631330730733,0.7661923128075542,0.11234705228031146,0.42455185292024766,0.9702970297029703,-6.236286919831226,21000.0,3657056.0,15.0,91418.46666666666,216.36505747286932,213981.33333333334,22222.242379673396,149.66666666666669,16.382336597108242,75.33333333333334,8.191168298554121,75.33333333333334,8.191168298554121,11.2,1.207121724244435,0.0,0.0,0.0,0.0,1.0,0.0
22000.0,4.765625,2.7224443490720463E-6,22000.0,0.8129333333333333,0.16732670737909217,0.317,0.0576710816777042,0.7595788499873347,0.1111111111111111,0.48969378186781176,0.99,-5.729064039408864,22000.0,3803792.0,15.0,95644.6,226.58167874490223,223681.06666666668,24184.91182377578,156.73333333333332,17.58029199605816,78.86666666666666,8.79014599802908,78.86666666666666,8.79014599802908,11.333333333333332,1.2909944487358056,0.0,0.0,0.0,0.0,1.0,0.0
23000.0,5.0,2.9611777346063825E-6,23000.0,0.7316440818584071,0.13423633305397292,0.258,0.0239102523626108,0.8129333333333333,0.10619469026548672,0.41518912064227426,0.9166666666666666,-6.327608415629024,23000.0,3937352.0,15.0,100273.60000000002,224.5595053177957,232515.2,25337.436343425572,162.46666666666667,18.039110948423257,81.73333333333333,9.019555474211629,81.73333333333333,9.019555474211629,11.4,1.2421180068162374,0.0,0.0,0.0,0.0,1.0,0.0
24000.0,5.265625,3.24046769593325E-6,24000.0,0.7763439451504432,0.14320758991133847,0.251,0.031082962066057106,0.7316440818584071,0.11358574610244988,0.40459498844778113,0.9607843137254902,-6.3944878650761,24000.0,4064328.0,15.0,104840.66666666667,259.5811644792078,240903.46666666665,24694.21076709122,170.4666666666667,16.604072936940444,85.73333333333335,8.302036468470222,85.73333333333335,8.302036468470222,11.533333333333331,1.2459458063579465,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,5.53125,3.5320245337465577E-6,25000.0,0.7240222222222222,0.13347438407380424,0.263,0.026162790697674434,0.7763439451504432,0.1111111111111111,0.41809089920733744,0.92,-6.27973133148953,25000.0,4242840.0,15.0,109422.33333333333,268.7980300381336,252703.99999999997,23457.075789011484,178.99999999999997,16.801360489130463,89.99999999999999,8.400680244565232,89.99999999999999,8.400680244565232,11.6,1.1832159566199232,0.0,0.0,0.0,0.0,1.0,0.0
26000.0,5.8125,3.853099155498462E-6,26000.0,0.734954070319924,0.12590627915632452,0.23,0.026607740617509916,0.7240222222222222,0.10864745011086474,0.3809012345562132,0.9693877551020408,-6.615062761506277,26000.0,4412816.0,15.0,113676.13333333335,255.53190090662525,263943.4666666667,23081.976140538332,186.06666666666666,17.5965364557374,93.53333333333333,8.7982682278687,93.53333333333333,8.7982682278687,11.866666666666667,1.0600988273786194,0.0,0.0,0.0,0.0,1.0,0.0
27000.0,6.078125,4.168227153261089E-6,27000.0,0.7425804924242424,0.1264882665560883,0.252,0.03498813087005884,0.734954070319924,0.13636363636363635,0.38674780366068484,0.975,-6.346671516915243,27000.0,4585856.0,15.0,118460.2,260.9978653443083,275387.7333333333,27398.764162605865,193.53333333333333,20.556078929416014,97.26666666666667,10.278039464708007,97.26666666666667,10.278039464708007,12.0,1.1952286093343936,0.0,0.0,0.0,0.0,1.0,0.0
28000.0,6.359375,4.511192512129331E-6,28000.0,0.7671776908940663,0.13521174088489718,0.223,0.025783510790356637,0.7425804924242424,0.09769484083424808,0.38201013806111206,0.9775280898876404,-6.665961945031716,28000.0,4713680.0,15.0,122899.59999999999,266.4748178935996,283839.4666666667,28568.944172366777,199.53333333333336,19.978083229474485,100.26666666666668,9.989041614737243,100.26666666666668,9.989041614737243,12.066666666666666,1.162919151265879,0.0,0.0,0.0,0.0,1.0,0.0
29000.0,6.640625,4.8664134940029025E-6,29000.0,0.7456251535249324,0.1389344402328515,0.27,0.040773688290868956,0.7671776908940663,0.12994350282485875,0.41698170355011255,0.9739130434782609,-6.168980697595663,29000.0,4882120.0,15.0,127728.93333333333,298.8634343323931,294972.79999999993,29966.933975395517,208.0666666666667,21.08305571057569,104.53333333333335,10.541527855287844,104.53333333333335,10.541527855287844,12.333333333333332,1.1751393027860064,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,6.9375,5.252764515009606E-6,30000.0,0.7647262168141593,0.1393286665292689,0.238,0.026571282575370447,0.7456251535249324,0.10619469026548672,0.3934146333657566,0.9583333333333334,-6.497540177107247,30000.0,5030496.0,15.0,131764.93333333335,279.43986489983934,304785.0666666666,29177.784248261472,214.33333333333334,20.58663459163551,107.66666666666667,10.293317295817754,107.66666666666667,10.293317295817754,12.333333333333332,1.1751393027860064,0.0,0.0,0.0,0.0,1.0,0.0
31000.0,7.203125,5.608326917152025E-6,31000.0,0.7662205516184639,0.14208030420896,0.258,0.03341114677560553,0.7647262168141593,0.1013215859030837,0.4243278312912681,0.967391304347826,-6.323145495065265,31000.0,5174272.0,15.0,135917.0,317.7914859958149,314290.6666666666,30108.67564261804,220.86666666666665,21.78422321204915,110.93333333333332,10.892111606024574,110.93333333333332,10.892111606024574,12.333333333333332,1.1751393027860064,0.0,0.0,0.0,0.0,1.0,0.0
32000.0,7.515625,6.0388566473395466E-6,32000.0,0.7565222448386159,0.1490615311596996,0.285,0.041863207547169795,0.7662205516184639,0.10497237569060773,0.4544503852574637,0.968421052631579,-6.07045735475896,32000.0,5325440.0,15.0,140695.4,293.37684201138285,324279.4666666667,31088.680011188888,228.73333333333335,22.549838981581175,114.86666666666667,11.274919490790587,114.86666666666667,11.274919490790587,12.399999999999999,1.1212238211627765,0.0,0.0,0.0,0.0,1.0,0.0
33000.0,7.828125,6.482620859363427E-6,33000.0,0.7566917257230416,0.15372697262355928,0.276,0.02364821128036939,0.7565222448386159,0.1013215859030837,0.4363861446778611,0.8913043478260869,-6.179086538461537,33000.0,5489144.0,15.0,144821.19999999998,289.22413453928243,335107.19999999995,31153.28514481716,235.00000000000003,21.030589965231943,118.00000000000001,10.515294982615972,118.00000000000001,10.515294982615972,12.399999999999999,1.1212238211627765,0.0,0.0,0.0,0.0,1.0,0.0
