learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.125,4.55960010488828E-9,1000.0,0.7692729419703104,0.6283703472057243,0.995,0.7594303310238646,0.0,0.012145748987854251,0.8160832695466854,0.6666666666666666,0.5833333333333334,1000.0,141000.0,15.0,0.9999999999937073,6.292756100518631E-12,1090.6666666666667,33.74836856727124,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.203125,7.409350170443455E-9,2000.0,1.0,0.8757812403062281,0.999,0.9468650371944738,0.7692729419703104,0.009081735620585268,0.9994953317871872,1.0,0.9047619047619042,2000.0,141000.0,15.0,0.9790247859376008,0.020975214062399095,2148.6,44.84544888519117,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.234375,8.549250196665525E-9,3000.0,1.0,0.904716139593046,0.999,0.9518768046198265,1.0,0.011122345803842264,0.9534625892455924,0.9090909090909091,0.9062500000000003,3000.0,141000.0,15.0,0.9999999999826733,1.7326722688547053E-11,3221.4000000000005,56.65660975183249,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.3125,1.2632032545904318E-8,4000.0,0.9578428074896289,0.33953287998032744,0.994,0.49773982923154203,1.0,0.009081735620585268,0.5773502691896257,0.3333333333333333,0.41463414634146184,4000.0,202008.0,15.0,0.9999543224088834,4.567759111652613E-5,4285.666666666666,53.51991173741725,6974.400000000001,1352.3658000492533,4.066666666666666,1.0327955589886444,2.5333333333333328,0.5163977794943223,2.5333333333333328,0.5163977794943223,1.5333333333333334,0.5163977794943222,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.375,1.6012216090328163E-8,5000.0,0.9988050372276863,0.6470997746972758,0.996,0.8161595734902098,0.9578428074896289,0.011122345803842264,0.9036189763076194,0.8181818181818182,0.6153846153846138,5000.0,209056.0,15.0,0.9999999996569757,3.4302427304130935E-10,5367.533333333334,58.89684282912026,7441.066666666667,1691.3544642710244,4.333333333333332,1.2344267996967353,2.666666666666666,0.6172133998483676,2.666666666666666,0.6172133998483676,1.6666666666666665,0.6172133998483676,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.421875,1.860517335848676E-8,6000.0,1.0,0.8742417423912284,1.0,1.0,0.9988050372276863,0.005025125628140704,1.0,1.0,1.0,6000.0,213824.0,15.0,0.999982164557005,1.7835442995176947E-5,6404.6,75.11971398089456,7755.733333333333,1812.514885324755,4.599999999999999,1.3522468075656267,2.7999999999999994,0.6761234037828133,2.7999999999999994,0.6761234037828133,1.7999999999999998,0.6761234037828133,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.46875,2.148072882038024E-8,7000.0,0.9977575961430654,0.5570823779618305,0.997,0.7985495568090251,1.0,0.009081735620585268,0.816496580927726,0.6666666666666666,0.6818181818181823,7000.0,237128.0,15.0,0.9096150778302153,0.0903849221697846,7467.4000000000015,80.44590018852955,9296.533333333333,1790.9600724059655,5.666666666666667,1.2344267996967355,3.3333333333333335,0.6172133998483678,3.3333333333333335,0.6172133998483678,2.2,0.41403933560541256,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.53125,2.553030046530896E-8,8000.0,1.0,0.7972472848474609,0.998,0.8990001009998994,0.9977575961430654,0.011122345803842264,0.9045340337332909,0.8181818181818182,0.7922077922077919,8000.0,250456.0,15.0,0.9998938872195313,1.0611278046865625E-4,8563.0,88.12247970053603,10177.066666666668,2891.565455069689,6.333333333333333,2.0930724738891344,3.6666666666666665,1.0465362369445672,3.6666666666666665,1.0465362369445672,2.4666666666666672,0.7432233529572065,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.59375,2.9700038592434597E-8,9000.0,0.9998561358077974,0.7931324037610235,0.999,0.9225766491173739,1.0,0.007049345417925478,0.9258200997725514,0.8571428571428571,0.8928571428571425,9000.0,257888.0,15.0,0.9999823305155303,1.7669484469534453E-5,9627.399999999998,90.34995454184939,10667.733333333332,3507.373283866568,6.733333333333333,2.604026186687143,3.8666666666666667,1.3020130933435714,3.8666666666666667,1.3020130933435714,2.5333333333333337,0.7432233529572065,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.640625,3.283073763466544E-8,10000.0,1.0,0.8867514251818055,1.0,1.0,0.9998561358077974,0.012145748987854251,1.0,1.0,1.0,10000.0,258168.0,15.0,0.9999967208149521,3.279185047850337E-6,10730.733333333332,98.57735661953635,10686.400000000001,3524.3417379298344,6.733333333333333,2.604026186687143,3.8666666666666667,1.3020130933435714,3.8666666666666667,1.3020130933435714,2.5333333333333337,0.7432233529572065,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,0.671875,3.492472589843803E-8,11000.0,1.0,0.8810456132540003,1.0,1.0,1.0,0.007049345417925478,1.0,1.0,1.0,11000.0,259016.0,15.0,0.9941841927735666,0.005815807226433251,11792.533333333335,94.63378033742686,10742.933333333332,3623.3513978609567,6.733333333333333,2.604026186687143,3.8666666666666667,1.3020130933435714,3.8666666666666667,1.3020130933435714,2.5333333333333337,0.7432233529572065,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,0.734375,3.919884976413515E-8,12000.0,1.0,0.9266061424064368,1.0,1.0,1.0,0.006036217303822937,1.0,1.0,1.0,12000.0,264344.0,15.0,0.9999999999999994,2.5652492555358694E-22,12834.933333333336,77.73624514680229,11094.933333333332,4170.8176565044805,7.0,3.0237157840738176,4.0,1.5118578920369088,4.0,1.5118578920369088,2.6666666666666665,0.9759000729485333,0.0,0.0,0.0,0.0,1.0,0.0
13000.0,0.78125,4.248302300564117E-8,13000.0,0.998705222270177,0.6951193234292098,0.998,0.832355406538139,1.0,0.007049345417925478,0.8451542547285166,0.7142857142857143,0.775862068965517,13000.0,270824.0,15.0,0.9920222123111844,0.007977787688815534,13887.133333333335,70.25653672350295,11523.733333333334,4868.680893023821,7.266666666666667,3.453086955726647,4.133333333333333,1.726543477863324,4.133333333333333,1.726543477863324,2.7999999999999994,1.1464230084422218,0.0,0.0,0.0,0.0,1.0,0.0
14000.0,0.84375,4.698661440569493E-8,14000.0,1.0,0.6895554552392743,0.998,0.7990353697749186,0.998705222270177,0.006036217303822937,0.816496580927726,0.6666666666666666,0.7704918032786873,14000.0,278536.0,15.0,0.9999757247779417,2.427522205828884E-5,14927.266666666666,79.9486144494134,12033.066666666666,5039.3667327023,7.666666666666667,3.5989416433697494,4.333333333333334,1.7994708216848745,4.333333333333334,1.7994708216848745,2.933333333333333,1.162919151265879,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,0.875,4.935831788720356E-8,15000.0,1.0,0.8594116579011969,1.0,1.0,1.0,0.008064516129032258,1.0,1.0,1.0,15000.0,293368.0,15.0,0.9999999999999508,4.9130051211502045E-14,15972.666666666666,91.08525571970361,13011.199999999999,5397.048759672801,8.733333333333334,3.6147844564602556,4.866666666666667,1.8073922282301278,4.866666666666667,1.8073922282301278,3.3333333333333335,0.9759000729485332,0.0,0.0,0.0,0.0,1.0,0.0
16000.0,0.921875,5.308127987922894E-8,16000.0,1.0,0.7239367361375975,0.999,0.9406739439962034,1.0,0.009081735620585268,0.9428090415820634,0.8888888888888888,0.8848920863309346,16000.0,307008.0,15.0,0.9999985884183612,1.4115816386219467E-6,17033.733333333334,64.70313159419145,13913.599999999999,4558.403931202236,9.133333333333335,3.24844285041017,5.066666666666667,1.624221425205085,5.066666666666667,1.624221425205085,3.5333333333333337,0.7432233529572064,0.0,0.0,0.0,0.0,1.0,0.0
17000.0,1.0,5.958000353227059E-8,17000.0,0.9962312712565493,0.683910650476516,0.998,0.8990001009998994,1.0,0.011122345803842264,0.9045340337332909,0.8181818181818182,0.7733333333333323,17000.0,321544.0,15.0,0.9945438882583215,0.005456111741678425,18118.399999999998,68.69373021920283,14876.8,4332.008494913185,9.8,3.004758131459407,5.4,1.5023790657297036,5.4,1.5023790657297036,3.8000000000000003,0.7745966692414833,0.0,0.0,0.0,0.0,1.0,0.0
18000.0,1.0625,6.549532473501233E-8,18000.0,1.0,0.739065549928268,1.0,1.0,0.9962312712565493,0.007049345417925478,1.0,1.0,1.0,18000.0,365848.0,15.0,0.9974957011122227,0.0025042988877772994,19162.466666666664,84.3300206388714,17801.066666666666,3204.8133323546467,12.333333333333334,2.6903708365381975,6.666666666666667,1.3451854182690988,6.666666666666667,1.3451854182690988,4.0,0.6546536707079771,0.0,0.0,0.0,0.0,1.0,0.0
19000.0,1.109375,7.022993587371376E-8,19000.0,0.9997242393602354,0.7312680407233607,0.996,0.7980002019997988,1.0,0.011122345803842264,0.8523716123655739,0.7272727272727273,0.5476190476190461,19000.0,390432.0,15.0,0.9999997881178622,2.1188213784999032E-7,20236.86666666667,84.50347978182947,19426.666666666668,3596.3634542740665,13.266666666666666,2.4918916127158917,7.133333333333333,1.2459458063579458,7.133333333333333,1.2459458063579458,4.466666666666667,0.6399404734221842,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,1.140625,7.346731662336323E-8,20000.0,1.0,0.6564947779895672,1.0,1.0,0.9997242393602354,0.007049345417925478,1.0,1.0,1.0,20000.0,400448.0,15.0,0.9999999996192577,3.8074228399810443E-10,21283.133333333335,87.3105022865165,20090.13333333333,3732.158890099989,13.533333333333335,2.6690465570704314,7.2666666666666675,1.3345232785352157,7.2666666666666675,1.3345232785352157,4.6,0.5070925528371099,0.0,0.0,0.0,0.0,1.0,0.0
21000.0,1.203125,8.019987338533004E-8,21000.0,0.9947705802968961,0.58828634191638,0.995,0.7344944774851324,1.0,0.012145748987854251,0.7637626158259734,0.5833333333333334,0.4385026737967881,21000.0,416392.0,15.0,0.9999999999999994,7.186093386708558E-24,22366.666666666664,94.84247591715008,21145.06666666667,3972.606619384929,14.200000000000001,2.8081514000698546,7.6000000000000005,1.4040757000349273,7.6000000000000005,1.4040757000349273,4.666666666666666,0.4879500364742666,0.0,0.0,0.0,0.0,1.0,0.0
22000.0,1.28125,8.872454701405432E-8,22000.0,0.9985292765879217,0.728297191916066,0.999,0.9518768046198265,0.9947705802968961,0.011122345803842264,0.9534625892455924,0.9090909090909091,0.8888888888888888,22000.0,421784.0,15.0,0.9997970530036384,2.0294699636148143E-4,23443.600000000002,94.71822874791789,21500.800000000007,3964.8153118579003,14.600000000000001,2.8485585327118894,7.800000000000001,1.4242792663559447,7.800000000000001,1.4242792663559447,4.799999999999999,0.5606119105813883,0.0,0.0,0.0,0.0,1.0,0.0
23000.0,1.3125,9.226525435224176E-8,23000.0,0.998991935483871,0.7315981221266542,0.998,0.856156501726121,0.9985292765879217,0.008064516129032258,0.8660254037844386,0.75,0.776699029126213,23000.0,437968.0,15.0,0.9919706052603148,0.008029394739685133,24516.6,102.92979576946041,22570.13333333333,3883.553561709516,15.4,2.84855853271189,8.2,1.4242792663559447,8.2,1.4242792663559447,5.0,0.6546536707079771,0.0,0.0,0.0,0.0,1.0,0.0
24000.0,1.359375,9.769535002609095E-8,24000.0,0.9999156545209177,0.8538351341857008,0.998,0.9156545209176786,0.998991935483871,0.012145748987854251,0.9569424572025013,0.9166666666666666,0.7798165137614677,24000.0,447784.0,15.0,0.9911370618803474,0.00886293811965251,25592.733333333334,98.73953229631607,23218.133333333335,3698.6353828456913,15.933333333333332,2.491891612715892,8.466666666666665,1.245945806357946,8.466666666666665,1.245945806357946,5.2,0.6761234037828133,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,1.40625,1.031934516504407E-7,25000.0,1.0,0.9032887951143764,1.0,1.0,0.9999156545209177,0.011122345803842264,1.0,1.0,1.0,25000.0,453392.0,15.0,0.9999140495539485,8.595044605150979E-5,26667.666666666664,113.80162355524376,23588.799999999996,3857.9791008839256,16.2,2.8081514000698546,8.600000000000001,1.4040757000349273,8.600000000000001,1.4040757000349273,5.333333333333332,0.723746864455746,0.0,0.0,0.0,0.0,1.0,0.0
