learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.09375,3.4197000786662106E-9,1000.0,0.7753036437246964,0.5784952287601377,0.995,0.7594303310238646,0.0,0.012145748987854251,0.8160832695466854,0.6666666666666666,0.5833333333333334,1000.0,141000.0,15.0,0.9999999999937073,6.292756100518631E-12,27.666666666666668,3.2219485379118615,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.140625,5.129550117999316E-9,2000.0,1.0,0.956066976564297,0.998,0.8990001009998994,0.7753036437246964,0.009081735620585268,0.9989904086270092,1.0,0.8095238095238085,2000.0,141000.0,15.0,0.9790247859376008,0.020975214062399095,44.33333333333333,6.6619030600086315,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.1875,6.839400157332421E-9,3000.0,1.0,0.942738892250253,0.999,0.9518768046198265,1.0,0.011122345803842264,0.9534625892455924,0.9090909090909091,0.9062500000000003,3000.0,141000.0,15.0,0.9999999999826733,1.7326722688547053E-11,64.73333333333333,7.055561804771636,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.234375,8.549250196665527E-9,4000.0,1.0,0.9720994907584966,1.0,1.0,1.0,0.009081735620585268,1.0,1.0,1.0,4000.0,141000.0,15.0,0.9999543224088834,4.567759111652613E-5,81.33333333333334,7.207800007795786,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.25,9.119200209776562E-9,5000.0,0.9996323191469805,0.9823960149773838,0.998,0.9156616344775238,1.0,0.011122345803842264,0.9989883659524731,1.0,0.8076923076923068,5000.0,141000.0,15.0,0.9999999996569757,3.4302427304130935E-10,102.6,9.053807407462818,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.28125,1.0259100235998632E-8,6000.0,1.0,0.9891327029739952,0.998,0.832355406538139,0.9996323191469805,0.005025125628140704,0.9989944693284061,1.0,0.7894736842105251,6000.0,141000.0,15.0,0.999982164557005,1.7835442995176947E-5,112.6,9.552860454185586,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.296875,1.0829050249109667E-8,7000.0,0.9996636394214599,0.9068858502067646,0.997,0.8405951115834213,1.0,0.009081735620585268,0.9418571897073044,0.8888888888888888,0.6818181818181823,7000.0,141000.0,15.0,0.9096150778302153,0.0903849221697846,128.2,10.665029636285926,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.328125,1.1968950275331737E-8,8000.0,1.0,0.989952595711158,0.999,0.9560168895144264,0.9996636394214599,0.011122345803842264,0.9994943109663987,1.0,0.896103896103896,8000.0,141000.0,15.0,0.9998938872195313,1.0611278046865625E-4,150.8,10.850938076629925,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.359375,1.3108850301553808E-8,9000.0,0.9997122716155948,0.9702953603707337,0.998,0.8740078115156855,1.0,0.007049345417925478,0.9989924430690976,1.0,0.7857142857142848,9000.0,141000.0,15.0,0.9999823305155303,1.7669484469534453E-5,166.26666666666668,9.550367731638598,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.390625,1.4248750327775878E-8,10000.0,1.0,0.9929380102262081,0.998,0.9220698254364093,0.9997122716155948,0.012145748987854251,0.9989873415124059,1.0,0.7916666666666676,10000.0,141000.0,15.0,0.9999967208149521,3.279185047850337E-6,188.26666666666668,11.448435118681795,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
