learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.15625,1.8797517340216374E-8,1000.0,0.7900507614213198,0.3973009816109784,0.857,0.09813319878910201,0.0,0.015228426395939087,0.7571430851815529,0.6666666666666666,-8.533333333333326,1000.0,465032.0,15.0,27.933333333333334,3.3266599866332394,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.3125,3.759503468043275E-8,2000.0,0.9871471774193549,0.7997016413339544,0.95,0.20765720081135894,0.7900507614213198,0.008064516129032258,0.9120193166106558,0.875,-3.347826086956543,2000.0,465032.0,15.0,46.666666666666664,5.702964976554698,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.421875,5.075329681858421E-8,3000.0,0.9977777777777778,0.8781016029891701,0.947,0.26122107610816686,0.9871471774193549,0.010101010101010102,0.9728641459446671,1.0,-3.8181818181818183,3000.0,465032.0,15.0,66.86666666666667,3.8147583085145715,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.515625,6.203180722271404E-8,4000.0,0.978894472361809,0.6884294812636238,0.961,0.16273078574495337,0.9977777777777778,0.005025125628140704,0.8771814157749266,0.8,-3.1052631578947607,4000.0,465032.0,15.0,77.86666666666667,3.7581657126595047,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.59375,7.143056589282222E-8,5000.0,0.9904426559356136,0.8210894739646049,0.948,0.1785669152028304,0.978894472361809,0.006036217303822937,0.973491713729604,1.0,-4.909090909090894,5000.0,465032.0,15.0,89.33333333333334,5.340768626687503,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.671875,8.082932456293041E-8,6000.0,0.9876826914238441,0.8019202592456458,0.941,0.23874896779521007,0.9904426559356136,0.011122345803842264,0.9250822587224717,0.9090909090909091,-5.436363636363649,6000.0,465032.0,15.0,107.73333333333333,6.419464448809092,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.75,9.022808323303859E-8,7000.0,0.9959677419354839,0.8417786389311382,0.961,0.2810794868013556,0.9876826914238441,0.008064516129032258,0.9801456442136381,1.0,-3.3333333333333335,7000.0,465032.0,15.0,121.06666666666666,6.029293569928481,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.84375,1.0150659363716841E-7,8000.0,0.9884180531298833,0.8111049057894846,0.944,0.2682225648799093,0.9959677419354839,0.011122345803842264,0.9712760414192171,1.0,-5.054054054054072,8000.0,465032.0,15.0,144.0,8.791229395580249,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.921875,1.109053523072766E-7,9000.0,0.9821068548387096,0.747266077275045,0.948,0.1759634888438133,0.9884180531298833,0.008064516129032258,0.8439179940285437,0.75,-4.7073170731707625,9000.0,465032.0,15.0,161.59999999999997,10.154520457130694,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.984375,1.1842435924336315E-7,10000.0,0.9870392499310598,0.8205373982177661,0.938,0.24751802315702504,0.9821068548387096,0.011122345803842264,0.968147930101677,1.0,-5.666666666666691,10000.0,465032.0,15.0,184.4666666666667,13.130480715096606,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,1.078125,1.2970286964749298E-7,11000.0,0.9938256048387096,0.8444202496639818,0.946,0.2174820310688604,0.9870392499310598,0.008064516129032258,0.9724014171776141,1.0,-4.881188118811887,11000.0,465032.0,15.0,199.40000000000003,13.829574934073097,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,1.15625,1.3910162831760117E-7,12000.0,0.9924547283702213,0.8160500255990046,0.956,0.2057761732851995,0.9938256048387096,0.006036217303822937,0.9776166970948439,1.0,-3.9345794392523312,12000.0,465032.0,15.0,210.4,14.049911031746788,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
