learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.203125,2.4433829821646212E-8,1000.0,0.9277605779153767,0.4774716347978853,0.984,0.6722788906640456,0.0,0.03199174406604747,0.7397670139046123,0.5483870967741935,0.4838709677419355,1000.0,464976.0,15.0,0.9999289583929322,7.10416070677685E-5,980.8000000000001,34.29743847161602,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.34375,4.1349558159708976E-8,2000.0,0.9981275826446281,0.6531530144271928,0.988,0.7718284149680557,0.9277605779153767,0.03305785123966942,0.8096740429241411,0.65625,0.6190476190476184,2000.0,464976.0,15.0,0.9990850336743364,9.149663256634688E-4,1957.8666666666668,47.12880021307364,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.453125,5.450623575598001E-8,3000.0,0.9980025966243883,0.632576924122803,0.991,0.8257029979084363,0.9981275826446281,0.03199174406604747,0.842423539174232,0.7096774193548387,0.7127659574468082,3000.0,464976.0,15.0,0.9409344554230618,0.05906554457693814,2935.1333333333337,59.08331486331923,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.59375,7.287919288501143E-8,4000.0,0.9949455062391407,0.4655800848385591,0.985,0.6270512182993535,0.9980025966243883,0.026694045174537988,0.7063804258010166,0.5,0.5,4000.0,505032.0,15.0,0.9920232530355604,0.007976746964439578,3914.133333333333,57.37080724383708,5590.400000000001,3.312314684843236,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.671875,8.30977094463176E-8,5000.0,0.9997740185950413,0.782136299998967,0.995,0.9154605708102258,0.9949455062391407,0.03305785123966942,0.9349310532762111,0.875,0.8355263157894735,5000.0,505592.0,15.0,0.9189998492791176,0.08100015072088236,4898.0666666666675,60.98766463880421,5627.733333333333,99.22518881432325,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.78125,9.778799721971152E-8,6000.0,0.998819991625747,0.6511648147750967,0.992,0.8293005590406692,0.9997740185950413,0.02774922918807811,0.8602205792791848,0.7407407407407407,0.7318435754189946,6000.0,519176.0,15.0,0.9999905260972213,9.473902778564382E-6,5877.466666666667,79.05139979484112,6525.333333333332,1372.3695184745598,3.666666666666667,0.9759000729485332,2.333333333333334,0.4879500364742667,2.333333333333334,0.4879500364742667,1.3333333333333335,0.4879500364742666,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.875,1.1083058780059216E-7,7000.0,0.999381443298969,0.7497510040909329,0.996,0.9289772727272728,0.998819991625747,0.030927835051546393,0.9481941599421786,0.9,0.8660287081339709,7000.0,537768.0,15.0,0.9312986335937911,0.06870136640620894,6860.999999999999,77.71651782508745,7753.6,1128.7948567261587,4.599999999999999,0.8280786712108251,2.7999999999999994,0.41403933560541256,2.7999999999999994,0.41403933560541256,1.7999999999999998,0.41403933560541256,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.984375,1.268928624793059E-7,8000.0,0.9996157786885246,0.6465047060507668,0.993,0.8258013139558036,0.999381443298969,0.02459016393442623,0.8416254115301732,0.7083333333333334,0.7596566523605145,8000.0,567664.0,15.0,0.8669532775021362,0.13304672249786373,7862.333333333332,89.52706427720756,9729.066666666668,1585.4102428378712,6.066666666666666,1.2798809468443688,3.533333333333333,0.6399404734221844,3.533333333333333,0.6399404734221844,1.9333333333333331,0.2581988897471611,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,1.09375,1.4311381770918764E-7,9000.0,0.9975520833333333,0.6755140400791915,0.986,0.7983870967741938,0.9996157786885246,0.041666666666666664,0.8501378564679966,0.725,0.5384615384615379,9000.0,573272.0,15.0,0.998987154621035,0.0010128453789649068,8852.4,95.2348975653658,10099.733333333334,1505.4973296302487,6.333333333333333,1.2344267996967355,3.6666666666666665,0.6172133998483678,3.6666666666666665,0.6172133998483678,2.0666666666666664,0.2581988897471611,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.1875,1.5741214156150816E-7,10000.0,0.9992879711628321,0.7308066339668545,0.996,0.9070502393456337,0.9975520833333333,0.02354145342886387,0.9320274573985706,0.8695652173913043,0.8648648648648646,10000.0,589544.0,15.0,0.9911348505476713,0.008865149452328738,9848.733333333332,102.19551756081981,11174.933333333334,1967.8301126827369,7.133333333333333,1.4074631010979937,4.066666666666667,0.7037315505489968,4.066666666666667,0.7037315505489968,2.2666666666666675,0.4577377082170635,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,1.296875,1.7416912467322414E-7,11000.0,0.9985784236297583,0.7295464755947261,0.993,0.8535687390176555,0.9992879711628321,0.026694045174537988,0.8977938526894834,0.8076923076923077,0.7608695652173907,11000.0,592216.0,15.0,0.9846521153889901,0.01534788461100985,10835.800000000001,99.38683442560595,11351.466666666665,2288.1028281921576,7.2666666666666675,1.667618775665584,4.133333333333333,0.833809387832792,4.133333333333333,0.833809387832792,2.2666666666666675,0.4577377082170635,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,1.390625,1.8854602886777784E-7,12000.0,0.9998162845385068,0.7519831928309102,0.995,0.8994206630189895,0.9985784236297583,0.02880658436213992,0.9063269671749657,0.8214285714285714,0.8285714285714285,12000.0,592784.0,15.0,0.9999543989155412,4.560108445875438E-5,11817.466666666665,78.42910052731605,11389.333333333334,2376.3629673054897,7.2666666666666675,1.667618775665584,4.133333333333333,0.833809387832792,4.133333333333333,0.833809387832792,2.2666666666666675,0.4577377082170635,0.0,0.0,0.0,0.0,1.0,0.0
13000.0,1.5,2.053190837614238E-7,13000.0,0.9988961211982794,0.7363409282470805,0.994,0.8815399802566635,0.9998162845385068,0.02774922918807811,0.9220091494576426,0.8518518518518519,0.7931034482758621,13000.0,592784.0,15.0,0.9977951022190038,0.0022048977809962763,12797.133333333335,73.34445803064803,11389.333333333334,2376.3629673054897,7.2666666666666675,1.667618775665584,4.133333333333333,0.833809387832792,4.133333333333333,0.833809387832792,2.2666666666666675,0.4577377082170635,0.0,0.0,0.0,0.0,1.0,0.0
14000.0,1.59375,2.196959879559775E-7,14000.0,0.9994078460399703,0.7183280628820842,0.991,0.8525557011795545,0.9988961211982794,0.03626943005181347,0.8778548647598482,0.7714285714285715,0.6941747572815535,14000.0,592784.0,15.0,0.9992029978603567,7.970021396432726E-4,13765.666666666666,84.09490104014851,11389.333333333334,2376.3629673054897,7.2666666666666675,1.667618775665584,4.133333333333333,0.833809387832792,4.133333333333333,0.833809387832792,2.2666666666666675,0.4577377082170635,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,1.6875,2.3407250409945843E-7,15000.0,0.9988630243552151,0.8441382245830639,0.998,0.943429314929004,0.9994078460399703,0.017293997965412006,0.9989821880314329,1.0,0.9300699300699299,15000.0,592768.0,15.0,0.9983551693917488,0.0016448306082510384,14739.533333333333,93.61689916635672,11387.733333333332,2378.445815072964,7.400000000000001,1.5491933384829668,4.2,0.7745966692414834,4.2,0.7745966692414834,2.333333333333334,0.48795003647426666,0.0,0.0,0.0,0.0,1.0,0.0
16000.0,1.78125,2.485272125340998E-7,16000.0,0.9991283574380165,0.7549695703355538,0.994,0.9001331557922772,0.9988630243552151,0.03305785123966942,0.9344475099010808,0.875,0.79175704989154,16000.0,595992.0,15.0,0.9966959851286578,0.0033040148713422246,15715.666666666668,71.34189979715065,11600.533333333331,2026.350902719561,7.666666666666667,1.9518001458970664,4.333333333333334,0.9759000729485333,4.333333333333334,0.9759000729485333,2.4666666666666672,0.6399404734221845,0.0,0.0,0.0,0.0,1.0,0.0
17000.0,1.890625,2.6600448311203057E-7,17000.0,0.9982646161211178,0.6616721481695149,0.995,0.8361944699253051,0.9991283574380165,0.017293997965412006,0.8740297201174653,0.7647058823529411,0.8221757322175733,17000.0,617672.0,15.0,0.9016722953443024,0.09832770465569758,16702.533333333333,73.53606177211539,13034.133333333333,3105.52902938951,8.466666666666667,2.1995670569671746,4.733333333333333,1.0997835284835873,4.733333333333333,1.0997835284835873,2.7333333333333334,0.7037315505489967,0.0,0.0,0.0,0.0,1.0,0.0
18000.0,2.0,2.8403453244310285E-7,18000.0,0.9916336611632771,0.6959294252882157,0.995,0.8811787072243346,0.9982646161211178,0.02354145342886387,0.9084279950979066,0.8260869565217391,0.8203592814371259,18000.0,637208.0,15.0,0.9848153413473162,0.015184658652683819,17675.533333333333,91.88569503671881,14324.800000000001,3105.20565686535,9.533333333333333,2.065591117977289,5.266666666666667,1.0327955589886444,5.266666666666667,1.0327955589886444,3.066666666666667,0.45773770821706344,0.0,0.0,0.0,0.0,1.0,0.0
