learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.15625,1.8797517340216374E-8,1000.0,0.8524625918944769,0.49776137217199135,0.799,0.5983534489649109,0.0,1.0449897750511248,0.7991427259774675,0.7729941291585127,0.5759493670886077,1000.0,465032.0,15.0,0.6810829984551844,0.31891700154481567,658.2666666666667,24.432024261690014,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.265625,3.195577947836783E-8,2000.0,0.8518402907006991,0.47585199923744204,0.786,0.5717550438851023,0.8524625918944769,1.0449897750511248,0.7858236946908018,0.7925636007827789,0.5532359081419624,2000.0,465032.0,15.0,0.49653780636733325,0.5034621936326666,1307.1333333333332,35.768834532446355,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.375,4.511404161651929E-8,3000.0,0.879169268706666,0.5038083363507718,0.82,0.6396367538478785,0.8518402907006991,0.9455252918287937,0.8196967559854499,0.8106995884773662,0.629120879120879,3000.0,465032.0,15.0,0.5007528689659789,0.499247131034021,1979.3999999999999,50.498656276323636,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.484375,5.827230375467075E-8,4000.0,0.8634293412021297,0.5024357750569026,0.807,0.6146289255934316,0.879169268706666,1.1008403361344539,0.8079008785881177,0.7767175572519084,0.6016511867905058,4000.0,465032.0,15.0,0.5681233562633825,0.43187664373661755,2647.6,48.9720036639011,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.5625,6.767106242477893E-8,5000.0,0.8391153564614259,0.47030762180557384,0.788,0.5760152634505158,0.8634293412021297,1.0040080160320641,0.7879609657400132,0.7784431137724551,0.5645028759244044,5000.0,465032.0,15.0,0.4927156845156936,0.5072843154843065,3299.6000000000004,47.02248702178871,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.734375,9.191044632138477E-8,6000.0,0.8482886142418032,0.4441615009561263,0.796,0.5925866751877298,0.8391153564614259,1.0491803278688525,0.7960257448249901,0.759765625,0.5809654228004109,6000.0,545144.0,15.0,0.6120409072935834,0.3879590927064165,3961.066666666666,58.85753582855403,8239.466666666665,916.133323630718,4.866666666666667,0.5163977794943222,2.9333333333333336,0.2581988897471611,2.9333333333333336,0.2581988897471611,1.9333333333333331,0.2581988897471611,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.828125,1.0533681941322155E-7,7000.0,0.8901268522676246,0.5342486384409944,0.823,0.6477247396745534,0.8482886142418032,1.1008403361344539,0.823506215136591,0.7595419847328244,0.6352664115395937,7000.0,553592.0,15.0,0.2861626088069568,0.7138373911930431,4626.533333333334,61.281396229275984,8800.0,0.0,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.9375,1.210009213536978E-7,8000.0,0.8656905690569057,0.5075184299652307,0.814,0.6283047900721408,0.8901268522676246,1.02020202020202,0.8132442047833243,0.7702970297029703,0.6176772867420348,8000.0,553592.0,15.0,0.6211323796410023,0.3788676203589976,5303.133333333333,71.77531078368965,8800.0,0.0,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,1.015625,1.322492284493314E-7,9000.0,0.8632258116129858,0.5017262457000475,0.802,0.6041266794625721,0.8656905690569057,1.0080321285140563,0.8011056536589248,0.7609561752988048,0.5937998632322773,9000.0,556544.0,15.0,0.5814405419526825,0.4185594580473175,5959.799999999999,76.76606393080583,8995.199999999999,756.0063491796877,5.133333333333334,0.5163977794943222,3.066666666666667,0.2581988897471611,3.066666666666667,0.2581988897471611,2.066666666666667,0.2581988897471611,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.109375,1.4574719696409175E-7,10000.0,0.877166003900509,0.5191262189480508,0.825,0.6504278762794339,0.8632258116129858,1.0703933747412009,0.8254766574161874,0.7969052224371374,0.6391752577319587,10000.0,556544.0,15.0,0.5535048272548161,0.44649517274518385,6650.333333333333,79.13340153244543,8995.199999999999,756.0063491796877,5.133333333333334,0.5163977794943222,3.066666666666667,0.2581988897471611,3.066666666666667,0.2581988897471611,2.066666666666667,0.2581988897471611,0.0,0.0,0.0,0.0,1.0,0.0
