learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.109375,3.9896500917772455E-9,1000.0,0.8111504723346828,0.340123409642743,0.973,0.2582417582417596,0.0,0.012145748987854251,0.6389304490775459,0.4166666666666667,-1.25,1000.0,141000.0,15.0,0.9974967517936641,0.0025032482063357796,28.866666666666667,5.166743471011319,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.171875,6.269450144221386E-9,2000.0,0.9803015075376884,0.7256929644567317,0.953,0.13761467889908344,0.8111504723346828,0.005025125628140704,0.87350734134115,0.8,-4.529411764705919,2000.0,141000.0,15.0,0.9999999999999994,9.08373621104739E-22,37.666666666666664,6.564696344480687,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.21875,7.979300183554491E-9,3000.0,0.9929577464788732,0.8206844666989577,0.964,0.24204143506821532,0.9803015075376884,0.006036217303822937,0.98172434836723,1.0,-3.695652173913021,3000.0,141000.0,15.0,0.9999999999991553,8.446705404754868E-13,49.8,7.58946638440411,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.265625,9.689150222887596E-9,4000.0,0.9883470004315926,0.7690357143150512,0.961,0.2550997020398796,0.9929577464788732,0.007049345417925478,0.9801658408293471,1.0,-4.200000000000038,4000.0,141000.0,15.0,0.9999997881291687,2.1187083124092703E-7,63.733333333333334,7.759479609453447,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.296875,1.0829050249109667E-8,5000.0,0.9929859719438878,0.8073691976760418,0.964,0.09656695442682352,0.9883470004315926,0.002004008016032064,0.9817982764862764,1.0,-4.625000000000039,5000.0,141000.0,15.0,0.9999999999999994,1.2271373835410193E-29,67.06666666666668,7.420691791650336,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.328125,1.1968950275331737E-8,6000.0,0.9349798387096774,0.6308088822167583,0.966,0.2509693338033143,0.9929859719438878,0.008064516129032258,0.8519427513705973,0.75,-4.099999999999972,6000.0,141000.0,15.0,0.9993637313931125,6.362686068873218E-4,82.13333333333334,8.271005006014915,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.359375,1.3108850301553808E-8,7000.0,0.9822266934942991,0.696697581392921,0.957,0.14783987316686512,0.9349798387096774,0.006036217303822937,0.7994800456507313,0.6666666666666666,-5.543478260869581,7000.0,141000.0,15.0,0.8951841113313412,0.1048158886686588,93.13333333333333,8.83068244140578,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.390625,1.4248750327775878E-8,8000.0,0.9809395672160556,0.6899970652561563,0.949,0.22675723209412285,0.9822266934942991,0.009081735620585268,0.9187169377725635,0.8888888888888888,-6.418181818181863,8000.0,141000.0,15.0,0.999972967418158,2.7032581841836672E-5,112.53333333333332,8.96713576397301,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.40625,1.4818700340886913E-8,9000.0,0.9916074450084602,0.794708919745308,0.949,0.3545937737281684,0.9809395672160556,0.015228426395939087,0.9737676058761696,1.0,-5.557142857142868,9000.0,141000.0,15.0,0.9969096356203213,0.003090364379678671,142.1333333333333,10.756172093046779,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.421875,1.538865035399795E-8,10000.0,0.992806790389872,0.7991424125146624,0.947,0.1989117291414758,0.9916074450084602,0.007049345417925478,0.9729472671696293,1.0,-5.883116883116854,10000.0,141000.0,15.0,0.9989216401087152,0.0010783598912848579,156.59999999999997,10.841718366700793,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
