learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes)
1000.0,0.296875,6.879104249593284E-8,1000.0,0.7267171717171718,0.30489676662019605,0.93,0.08663883089770336,0.0,0.010101010101010102,0.6116710015534611,0.4,-5.999999999999989,1000.0,895696.0
2000.0,0.546875,1.424452057108283E-7,2000.0,0.6796144439648971,0.3784930725151652,0.839,0.02282107307598923,0.7267171717171718,0.007049345417925478,0.6006757811365648,0.42857142857142855,-17.941176470588346,2000.0,1138832.0
3000.0,0.75,2.0844244217086168E-7,3000.0,0.7966130114017438,0.35688364047908844,0.796,0.017113783533765033,0.6796144439648971,0.006036217303822937,0.6315800504773451,0.5,-25.608695652173754,3000.0,1255928.0
4000.0,0.90625,2.6226997660059067E-7,4000.0,0.6282132056451613,0.21912198429072605,0.762,0.0010744745148077444,0.7966130114017438,0.008064516129032258,0.4376439855230689,0.25,-29.7096774193547,4000.0,1331640.0
5000.0,1.109375,3.3304030593070717E-7,5000.0,0.8988988988988988,0.33623986233433734,0.828,0.009524687021318505,0.6282132056451613,0.001001001001001001,0.9098504425606594,1.0,-25.87500000000017,5000.0,1346760.0
6000.0,1.359375,4.263883197887076E-7,6000.0,0.8589969758064516,0.24277640092153957,0.67,0.031098792690374227,0.8988988988988988,0.008064516129032258,0.816908017880483,1.0,-48.49999999999967,6000.0,1443336.0
7000.0,1.5625,5.084460846976273E-7,7000.0,0.6773741450835296,0.27283549078733044,0.793,0.020313121178274444,0.8589969758064516,0.009081735620585268,0.5948540397646176,0.4444444444444444,-28.57142857142854,7000.0,1561560.0
8000.0,1.734375,5.814769085393183E-7,8000.0,0.9087437185929649,0.4107309300221251,0.932,0.0466844245058188,0.6773741450835296,0.005025125628140704,0.6114485642584079,0.4,-9.074074074074016,8000.0,1642464.0
9000.0,1.90625,6.565858105507989E-7,9000.0,0.5732663316582914,0.15124579660755366,0.797,-0.009849766192419134,0.9087437185929649,0.005025125628140704,0.0,0.0,-29.966101694915338,9000.0,1689200.0
10000.0,2.109375,7.513636955991386E-7,10000.0,0.6139524775427412,0.27147796014970615,0.948,0.14270640991822722,0.5732663316582914,0.014198782961460446,0.584437902216632,0.35714285714285715,-6.12328767123291,10000.0,1803624.0
11000.0,2.34375,8.665391942486166E-7,11000.0,0.7882293762575453,0.25928129598137456,0.784,0.024319734036787007,0.6139524775427412,0.006036217303822937,0.7232833697783932,0.6666666666666666,-29.07594936708862,11000.0,1899552.0
12000.0,2.5625,9.822677950271301E-7,12000.0,0.6844758064516129,0.18732412125480943,0.829,0.018910359388626046,0.7882293762575453,0.008064516129032258,0.5587915388326561,0.375,-22.5862068965518,12000.0,2045008.0
13000.0,2.78125,1.1032588857536513E-6,13000.0,0.7380872295100348,0.40952460089920556,0.968,0.2271651451480465,0.6844758064516129,0.009081735620585268,0.7347507935055348,0.5555555555555556,-3.333333333333308,13000.0,2138000.0
