learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.15625,1.8795253708958628E-8,1000.0,0.69,0.23872650746691473,0.9,0.039200614911607236,0.0,0.010101010101010102,0.5213618530523515,0.3,-8.99999999999999,1000.0,464976.0,15.0,19.066666666666663,4.0964560757992245,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.28125,3.383145667612553E-8,2000.0,0.3248453459933823,0.04499785428538659,0.709,-0.013852500139361094,0.69,0.007049345417925478,0.0,0.0,-33.23529411764726,2000.0,464976.0,15.0,36.733333333333334,4.131182235954578,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.453125,5.450623575598002E-8,3000.0,0.7382629107981221,0.15510662174285966,0.679,0.012684391186132113,0.3248453459933823,0.006036217303822937,0.6728419560243849,0.6666666666666666,-40.869565217391056,3000.0,464976.0,15.0,48.266666666666666,5.035114790387698,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.53125,6.390386261045934E-8,4000.0,0.629914314516129,0.11492520764877626,0.686,0.0031999187322227026,0.7382629107981221,0.008064516129032258,0.5081245164263858,0.375,-39.51612903225788,4000.0,464976.0,15.0,62.13333333333333,6.4239136565388755,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.625,7.518101483583451E-8,5000.0,0.8238238238238238,0.18369553202588634,0.688,0.004384537326006228,0.629914314516129,0.001001001001001001,0.8292693697995168,1.0,-47.750000000000306,5000.0,464976.0,15.0,67.00000000000001,6.011892975000232,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.703125,8.457864169031383E-8,6000.0,0.8589969758064516,0.24277640092153957,0.67,0.031098792690374227,0.8238238238238238,0.008064516129032258,0.816908017880483,1.0,-48.49999999999967,6000.0,464976.0,15.0,80.26666666666668,8.327807691846694,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.796875,9.5855793915689E-8,7000.0,0.5426617333781815,0.13782054913636574,0.674,5.702268031123945E-4,0.8589969758064516,0.009081735620585268,0.47507678137378057,0.3333333333333333,-45.57142857142853,7000.0,464976.0,15.0,99.00000000000001,8.035634920242993,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.890625,1.0713294614106418E-7,8000.0,0.4436180904522613,0.09620401552494678,0.67,0.0021468960720872924,0.5426617333781815,0.005025125628140704,0.5182110704798183,0.4,-47.88888888888864,8000.0,464976.0,15.0,108.13333333333334,8.601218075421201,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,1.0,1.2028962373733523E-7,9000.0,0.4725628140703518,0.08530141203983538,0.65,-0.004217714400482262,0.4436180904522613,0.005025125628140704,0.3611817566081275,0.2,-52.389830508474724,9000.0,464976.0,15.0,119.2,8.953849930137793,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.09375,1.315667759627104E-7,10000.0,0.40198493190379603,0.04051824412661123,0.631,-0.0058990938730115235,0.4725628140703518,0.014198782961460446,0.42624695622435177,0.2857142857142857,-49.547945205479635,10000.0,464976.0,15.0,144.99999999999997,7.280109889280521,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,1.1875,1.4284392818808555E-7,11000.0,0.9183433936955063,0.1749940029584901,0.625,0.019423263986946538,0.40198493190379603,0.006036217303822937,0.7891365018240294,1.0,-51.21518987341775,11000.0,464976.0,15.0,159.79999999999998,6.8473143849040765,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,1.28125,1.5412108041346072E-7,12000.0,0.5821572580645161,0.06913225615015148,0.62,0.005027230833682243,0.9183433936955063,0.008064516129032258,0.5572107958104742,0.5,-51.413793103448434,12000.0,464976.0,15.0,172.4,6.242710034226207,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
13000.0,1.375,1.6539823263883588E-7,13000.0,0.43592330978809285,0.05448651127585963,0.632,0.003773748355414561,0.5821572580645161,0.009081735620585268,0.530703235745732,0.4444444444444444,-48.833333333333,13000.0,464976.0,15.0,188.6,7.6885815150966375,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
14000.0,1.453125,1.7479585949331518E-7,14000.0,0.5368009272674588,0.06647337259400815,0.6,0.0021354301794159697,0.43592330978809285,0.014198782961460446,0.5081200970576771,0.42857142857142855,-49.90909090909066,14000.0,464976.0,15.0,213.4,8.441394603804683,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,1.546875,1.8607301171869034E-7,15000.0,0.41632928475033737,0.03232469432342011,0.633,-0.00731193184313381,0.5368009272674588,0.012145748987854251,0.39926552000590665,0.25,-44.12295081967217,15000.0,464976.0,15.0,237.66666666666663,12.29788986932698,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
16000.0,1.640625,1.973501639440655E-7,16000.0,0.2927636311322112,0.013632919124140191,0.595,-0.013949948426249309,0.41632928475033737,0.007049345417925478,0.0,0.0,-49.23255813953506,16000.0,464976.0,15.0,251.53333333333333,13.731437687015186,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
