learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.171875,2.3954101682951055E-8,1000.0,0.6125757575757576,0.09242462085240133,0.991,0.18032786885246582,0.0,0.010101010101010102,0.31622776601683794,0.1,0.1,1000.0,538728.0,15.0,0.9833222006810404,0.01667779931895958,1381.1333333333334,42.72146778288193,7813.866666666667,1571.8973915379495,4.466666666666665,1.1872336794093272,2.7333333333333325,0.5936168397046636,2.7333333333333325,0.5936168397046636,1.7333333333333332,0.5936168397046636,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.3125,4.436403590564926E-8,2000.0,0.7760804020100502,0.2145614116490665,0.98,0.08382959230416843,0.6125757575757576,0.005025125628140704,0.4436033358733791,0.2,-1.6666666666666865,2000.0,561024.0,15.0,0.9999999999999994,1.02865572733439E-20,2526.0,50.27637900360658,9285.866666666665,2295.0510067990917,5.666666666666666,1.7994708216848745,3.333333333333333,0.8997354108424372,3.333333333333333,0.8997354108424372,2.1333333333333333,0.7432233529572065,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.40625,5.844679738705357E-8,3000.0,0.6841046277665996,0.10420739813588221,0.994,0.0,0.7760804020100502,0.006036217303822937,0.0,0.0,0.14285714285714285,3000.0,580656.0,15.0,0.9999999985021469,1.4978529441351425E-9,3772.333333333333,78.76698607435782,10585.066666666664,3399.2871409556833,6.466666666666667,2.5597618936887376,3.7333333333333334,1.2798809468443688,3.7333333333333334,1.2798809468443688,2.3999999999999995,1.0555973258234952,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.5,7.385048472012083E-8,4000.0,0.8326262626262626,0.28177760038670036,0.993,0.5302013422818795,0.6841046277665996,0.010101010101010102,0.6321360293449184,0.4,0.09677419354839033,4000.0,635120.0,15.0,0.9948821286026919,0.0051178713973080514,5121.666666666666,79.14784237350335,14183.466666666665,5149.499363553518,9.266666666666666,3.6147844564602556,5.133333333333333,1.8073922282301278,5.133333333333333,1.8073922282301278,3.2,1.1464230084422218,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.578125,8.718036244519883E-8,5000.0,0.9409409409409409,0.12929400153975884,0.997,-0.0013351134846104245,0.8326262626262626,0.001001001001001001,0.0,0.0,0.5312499999999968,5000.0,659536.0,15.0,0.9999999999999994,2.3395939717888075E-28,6180.466666666666,83.02225748614181,15795.733333333335,4526.624593394487,10.466666666666667,3.2484428504101706,5.733333333333333,1.6242214252050853,5.733333333333333,1.6242214252050853,3.333333333333333,1.1126972805283735,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.65625,1.0128601893989576E-7,6000.0,0.9435240963855421,0.15795221483720748,0.996,0.0,0.9409409409409409,0.004016064257028112,0.0,0.0,0.3333333333333333,6000.0,697920.0,15.0,0.9999999999998732,1.2678049825344143E-13,7372.666666666666,96.45181377741095,18333.333333333332,4336.088208556296,12.333333333333334,3.1773004414499577,6.666666666666667,1.5886502207249789,6.666666666666667,1.5886502207249789,3.9999999999999996,0.9999999999999999,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.75,1.1968332627374264E-7,7000.0,0.6150913779571701,0.07152018356290639,0.987,-0.005569306930698665,0.9435240963855421,0.009081735620585268,0.0,0.0,-1.0222222222222173,7000.0,758552.0,15.0,0.9996956747277784,3.043252722214373E-4,8745.866666666669,93.02984672110556,22342.4,4938.389974764766,15.0,3.5456210417116734,8.0,1.7728105208558367,8.0,1.7728105208558367,4.4,0.7367883976130072,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.859375,1.4344986993819474E-7,8000.0,0.7621562709590879,0.08616486085532143,0.994,0.0,0.6150913779571701,0.006036217303822937,0.0,0.0,0.05882352941176675,8000.0,839944.0,15.0,0.9606422960737823,0.03935770392621767,10039.066666666668,104.215070658619,27718.933333333327,5333.884238213899,19.4,3.9424430424366497,10.2,1.9712215212183248,10.2,1.9712215212183248,5.000000000000001,1.0690449676496974,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.9375,1.6158786214267214E-7,9000.0,0.7671356783919598,0.1969884977240259,0.994,0.24717691342534745,0.7621562709590879,0.005025125628140704,0.44676390851292896,0.2,0.03571428571428763,9000.0,897432.0,15.0,0.9999999993421502,6.578497259395603E-10,11299.000000000002,115.1464905488412,31517.86666666667,5891.78718782906,22.2,4.329302154257328,11.6,2.164651077128664,11.6,2.164651077128664,5.266666666666667,1.0327955589886444,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.0,1.7742215681614147E-7,10000.0,0.9287280701754386,0.247407368690521,0.976,-0.012145748987857056,0.7671356783919598,0.012145748987854251,0.0,0.0,-2.5294117647058707,10000.0,979312.0,15.0,0.99989388833804,1.0611166195985079E-4,12680.066666666666,123.77252560741454,36930.133333333324,6722.794974314378,26.066666666666666,4.832430129073875,13.533333333333333,2.4162150645369374,13.533333333333333,2.4162150645369374,5.733333333333333,0.9611501047232547,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,1.078125,1.9800697272229526E-7,11000.0,0.8950803212851406,0.14890604024091111,0.994,-0.002673796791446529,0.9287280701754386,0.004016064257028112,0.0,0.0,0.0833333333333291,11000.0,1018496.0,15.0,0.9999999999999994,5.211924944109374E-17,13871.466666666665,119.78067258038533,39523.2,6025.666853433852,27.400000000000002,4.2895221179054435,14.200000000000001,2.1447610589527217,14.200000000000001,2.1447610589527217,5.933333333333334,0.9611501047232549,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,1.171875,2.238921135560506E-7,12000.0,0.9603074596774194,0.33940993113462703,0.992,0.3297587131367256,0.8950803212851406,0.008064516129032258,0.49949571343699783,0.25,-0.19999999999999335,12000.0,1067288.0,15.0,0.999999994696263,5.303737005852813E-9,15188.400000000001,99.03087541627734,42746.13333333333,6809.521714551791,30.066666666666666,5.229950377621278,15.533333333333333,2.614975188810639,15.533333333333333,2.614975188810639,6.133333333333333,0.9154754164341269,0.0,0.0,0.0,0.0,1.0,0.0
13000.0,1.234375,2.4200258647195165E-7,13000.0,0.8662406099338491,0.21132125992438425,0.988,0.13731128684400187,0.9603074596774194,0.009081735620585268,0.3326599319721631,0.1111111111111111,-0.7528089887640493,13000.0,1120088.0,15.0,0.9999984315759525,1.5684240474803926E-6,16514.933333333327,99.1942298629071,46238.93333333333,6921.855319686092,32.33333333333333,4.995235825502229,16.666666666666664,2.4976179127511147,16.666666666666664,2.4976179127511147,6.4,0.8280786712108249,0.0,0.0,0.0,0.0,1.0,0.0
14000.0,1.34375,2.753872993505663E-7,14000.0,0.8885007813218126,0.2259384683773316,0.989,0.15097252238345607,0.8662406099338491,0.011122345803842264,0.3013588735973043,0.09090909090909091,-0.5400000000000068,14000.0,1179864.0,15.0,0.9999999999994876,5.123858199651596E-13,17911.066666666666,106.69279441908151,50191.46666666667,6634.936772943084,34.86666666666667,4.808722234004532,17.933333333333334,2.404361117002266,17.933333333333334,2.404361117002266,6.6,0.9102589898327994,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,1.4375,3.048139882998334E-7,15000.0,0.8022222222222222,0.2764729909010863,0.992,0.4252873563218358,0.8885007813218126,0.010101010101010102,0.5474458600601247,0.3,-0.09090909090909642,15000.0,1213312.0,15.0,0.9999998863066963,1.1369330360353698E-7,19268.13333333333,117.8818213700643,52402.66666666667,6109.582668313147,36.86666666666667,4.808722234004532,18.933333333333334,2.404361117002266,18.933333333333334,2.404361117002266,6.666666666666666,0.9759000729485332,0.0,0.0,0.0,0.0,1.0,0.0
16000.0,1.5,3.253812125573556E-7,16000.0,0.86328125,0.24438712099289397,0.991,0.3954862976894188,0.8022222222222222,0.008064516129032258,0.6111365667555874,0.375,-0.22033898305084515,16000.0,1272032.0,15.0,0.9999973438599881,2.6561400119627485E-6,20603.466666666667,96.12481964810631,56283.73333333334,7458.9141249788845,39.4,5.355904618802906,20.2,2.677952309401453,20.2,2.677952309401453,7.0,1.0690449676496976,0.0,0.0,0.0,0.0,1.0,0.0
17000.0,1.59375,3.581608568007748E-7,17000.0,0.8344444444444444,0.21344358530835433,0.99,0.16387959866220456,0.86328125,0.010101010101010102,0.3160680146724592,0.1,-0.32812499999999883,17000.0,1351560.0,15.0,0.9999999999294094,7.059058588403457E-11,22014.93333333333,101.5708525869409,61539.733333333344,7680.283248744958,43.4,5.565197981332612,22.2,2.782598990666306,22.2,2.782598990666306,7.066666666666666,0.9611501047232547,0.0,0.0,0.0,0.0,1.0,0.0
18000.0,1.703125,3.980544149979122E-7,18000.0,0.6964141414141414,0.26377704249696504,0.978,0.20405209840810662,0.8344444444444444,0.010101010101010102,0.543557306504609,0.3,-1.8695652173912904,18000.0,1409896.0,15.0,0.8999667010232735,0.10003329897672635,23343.93333333333,130.94080814663988,65396.80000000001,8155.202959723672,45.800000000000004,6.037975062646653,23.400000000000002,3.0189875313233263,23.400000000000002,3.0189875313233263,7.133333333333333,0.9154754164341269,0.0,0.0,0.0,0.0,1.0,0.0
19000.0,1.8125,4.3901980259559227E-7,19000.0,0.8324092741935484,0.2747970854461819,0.985,0.20314492137696752,0.6964141414141414,0.008064516129032258,0.4977266868861963,0.25,-0.9520547945205627,19000.0,1447776.0,15.0,0.9999856658762053,1.4334123794668828E-5,24671.06666666667,121.05457250269205,67899.19999999998,8516.006468493819,48.33333333333333,5.690426379538918,24.666666666666664,2.845213189769459,24.666666666666664,2.845213189769459,7.133333333333333,0.9154754164341269,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,1.921875,4.819606611919073E-7,20000.0,0.9131010833138493,0.2853335075534394,0.989,0.41625981744852336,0.8324092741935484,0.013171225937183385,0.5541379049542773,0.3076923076923077,-0.3836477987421374,20000.0,1517592.0,15.0,0.9977470892623754,0.0022529107376244722,26136.93333333333,111.22850782232463,72514.66666666666,7257.445542994024,51.4,5.666946771788641,26.2,2.8334733858943206,26.2,2.8334733858943206,7.266666666666666,1.0327955589886444,0.0,0.0,0.0,0.0,1.0,0.0
21000.0,2.03125,5.272905562176474E-7,21000.0,0.8796684451219512,0.3051774428337992,0.985,0.3414120126448893,0.9131010833138493,0.016260162601626018,0.49923722304937235,0.25,-0.800000000000008,21000.0,1602024.0,15.0,0.999924042752046,7.595724795403185E-5,27722.333333333336,115.72668951744339,78097.06666666668,8951.897799322991,54.733333333333334,6.54071497475256,27.866666666666667,3.27035748737628,27.866666666666667,3.27035748737628,7.3999999999999995,0.9856107606091623,0.0,0.0,0.0,0.0,1.0,0.0
22000.0,2.15625,5.813414140397477E-7,22000.0,0.9130231470657002,0.3292579237758389,0.991,0.5223943960942463,0.8796684451219512,0.013171225937183385,0.6198594222681781,0.38461538461538464,-0.05319148936170586,22000.0,1671456.0,15.0,0.9995342974136849,4.65702586315058E-4,29143.600000000002,121.03470576656956,82681.06666666667,10052.61034661905,59.266666666666666,7.284687135812125,30.133333333333333,3.6423435679060625,30.133333333333333,3.6423435679060625,7.6,0.9856107606091623,0.0,0.0,0.0,0.0,1.0,0.0
23000.0,2.28125,6.379756572035453E-7,23000.0,0.688445060483871,0.200092138476868,0.991,0.30340557275541363,0.9130231470657002,0.008064516129032258,0.49924337913777406,0.25,-0.05612244897959722,23000.0,1751344.0,15.0,0.991107092812957,0.008892907187043178,30488.066666666666,137.42190856039247,87958.4,9316.187178393164,63.400000000000006,6.769680304753794,32.199999999999996,3.384840152376897,32.199999999999996,3.384840152376897,7.866666666666665,1.0600988273786194,0.0,0.0,0.0,0.0,1.0,0.0
24000.0,2.390625,6.887839925992821E-7,24000.0,0.7785408266129032,0.14673219328932735,0.991,-0.0017809439002689242,0.688445060483871,0.008064516129032258,0.0,0.0,-0.05882352941177162,24000.0,1795640.0,15.0,0.9999999179062172,8.209378276242172E-8,31780.86666666667,137.40912148277053,90889.6,9311.614719570085,64.86666666666666,6.610237370566818,32.93333333333333,3.305118685283409,32.93333333333333,3.305118685283409,7.933333333333333,0.961150104723255,0.0,0.0,0.0,0.0,1.0,0.0
