learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.09375,3.4197000786662106E-9,1000.0,0.7879497226604244,0.3786700850376036,0.834,0.326932433747445,0.0,0.09409190371991247,0.7506294747855792,0.6627906976744186,-0.9302325581395361,1000.0,141000.0,15.0,0.8459501118081264,0.15404988819187365,169.99999999999997,11.038892283972285,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.15625,5.6995001311103506E-9,2000.0,0.7376691252997873,0.3060873343955494,0.756,0.2094554314299783,0.7879497226604244,0.10864745011086474,0.6767455387267911,0.5918367346938775,-1.6521739130434792,2000.0,141000.0,15.0,0.8928196016578829,0.10718039834211705,350.20000000000005,17.869367244373432,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.25,9.119200209776562E-9,3000.0,0.7858612268061087,0.28068559453775643,0.718,0.22162663472207625,0.7376691252997873,0.12485939257592801,0.7031726011799182,0.6846846846846847,-1.8677966101694903,3000.0,141000.0,15.0,0.9504352915743538,0.04956470842564615,567.2666666666667,20.302943722759114,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.265625,9.689150222887596E-9,4000.0,0.8095842551288096,0.2822480838955378,0.726,0.2104520018211468,0.7858612268061087,0.1001100110011001,0.7207004119365545,0.7142857142857143,-1.8393782383419683,4000.0,141000.0,15.0,0.8190835768792806,0.18091642312071937,741.9333333333333,22.826884734160874,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.28125,1.025910023599863E-8,5000.0,0.7836333333333333,0.28024640414226765,0.721,0.21804932735425978,0.8095842551288096,0.1111111111111111,0.7160850352980278,0.71,-1.870370370370372,5000.0,141000.0,15.0,0.8198181221728865,0.18018187782711345,938.8666666666666,29.99968253800284,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.328125,1.1968950275331736E-8,6000.0,0.8231010324483776,0.30276005027226216,0.712,0.21630094043887146,0.7836333333333333,0.10619469026548672,0.7286792513358903,0.75,-1.9690721649484548,6000.0,141000.0,15.0,0.8750488873911718,0.12495111260882817,1128.6666666666665,31.189894578365024,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.359375,1.3108850301553806E-8,7000.0,0.7792550426284051,0.2755879226621951,0.697,0.16464490516100544,0.8231010324483776,0.09170305676855896,0.6940280861782483,0.6904761904761905,-2.1846846846846835,7000.0,141000.0,15.0,0.9826575889659083,0.017342411034091818,1291.2,33.52866577380357,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.390625,1.4248750327775877E-8,8000.0,0.7517222222222222,0.2663748014493428,0.713,0.18465909090909077,0.7792550426284051,0.1111111111111111,0.6793460908190398,0.64,-1.997389033942559,8000.0,141000.0,15.0,0.8725283081592101,0.12747169184078988,1485.3333333333333,33.40587344992466,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.40625,1.4818700340886911E-8,9000.0,0.7660190076092217,0.28623453139972616,0.713,0.22142888146186882,0.7517222222222222,0.122334455667789,0.7101037717352919,0.7064220183486238,-1.9520000000000006,9000.0,141000.0,15.0,0.8494667510851213,0.15053324891487868,1697.8666666666668,40.25608501770113,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.421875,1.5388650353997946E-8,10000.0,0.7509899287644314,0.2580402716198798,0.712,0.20816034752962512,0.7660190076092217,0.12994350282485875,0.68514073988937,0.6521739130434783,-1.90909090909091,10000.0,141000.0,15.0,0.8007752757503881,0.19922472424961196,1929.7333333333336,40.82447911778045,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
