learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.15625,1.8798487467898264E-8,1000.0,0.8364646464646465,0.4359173482126591,0.978,0.25675675675675785,0.0,0.010101010101010102,0.6273239621880815,0.4,-1.2,1000.0,465056.0,15.0,0.9999998283682722,1.7163172776717206E-7,22.6,4.452928410447604,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.296875,3.57171261890067E-8,2000.0,0.9885433715220949,0.7500608410043783,0.966,0.42155228146585405,0.8364646464646465,0.013171225937183385,0.9826251463900849,1.0,-1.956521739130449,2000.0,465056.0,15.0,0.9399637122981164,0.0600362877018836,46.0,6.35834659550511,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.421875,5.075591616332531E-8,3000.0,0.9856350806451613,0.8174665712412562,0.947,0.22086322474420694,0.9885433715220949,0.008064516129032258,0.9729196167439329,1.0,-4.129032258064535,3000.0,465056.0,15.0,0.9099973438601112,0.09000265613988877,62.13333333333334,8.043335010755058,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.515625,6.203500864406427E-8,4000.0,0.9984848484848485,0.9477083158319415,0.966,0.35993975903614467,0.9856350806451613,0.010101010101010102,0.9826782615162328,1.0,-2.3170731707317165,4000.0,465056.0,15.0,0.9999387262068665,6.127379313350589E-5,83.93333333333335,9.019555474211623,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.59375,7.14342523780134E-8,5000.0,0.9972165991902834,0.9188763798369504,0.967,0.4098712446351935,0.9984848484848485,0.012145748987854251,0.9831577646966945,1.0,-2.1132075471697984,5000.0,465056.0,15.0,0.9993637261138043,6.362738861957137E-4,107.6,8.584038343676845,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.6875,8.271334485875236E-8,6000.0,0.9792577643233547,0.7060307487569217,0.962,0.2581892007964698,0.9972165991902834,0.009081735620585268,0.8657502464223741,0.7777777777777778,-2.677419354838723,6000.0,465056.0,15.0,0.9999982573066188,1.7426933810173458E-6,123.80000000000001,8.88980154044911,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.765625,9.21125885927015E-8,7000.0,0.9907160584612557,0.845726846251975,0.957,0.304837040869115,0.9792577643233547,0.011122345803842264,0.9329975452935839,0.9090909090909091,-3.1232876712328705,7000.0,465056.0,15.0,0.9875706081818353,0.012429391818164557,144.46666666666667,10.056033488598247,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.859375,1.0339168107344045E-7,8000.0,0.9819486489516762,0.7452798816765143,0.968,0.2941280275290061,0.9907160584612557,0.009081735620585268,0.8684656223938655,0.7777777777777778,-2.1219512195122037,8000.0,465056.0,15.0,0.9997261059069371,2.738940930628524E-4,160.4,11.18544973232126,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.9375,1.1279092480738959E-7,9000.0,0.9948424711290503,0.9088643263308823,0.952,0.26124295872195064,0.9819486489516762,0.009081735620585268,0.9754814589166787,1.0,-3.7472527472527704,9000.0,465056.0,15.0,0.9189944466713007,0.08100555332869917,177.93333333333334,13.204256168083868,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.03125,1.2407001728812856E-7,10000.0,0.9967676767676767,0.9174389526069605,0.962,0.33380084151472567,0.9948424711290503,0.010101010101010102,0.9806202943118002,1.0,-2.7623762376237666,10000.0,465056.0,15.0,0.9946805720072016,0.00531942799279829,201.20000000000002,12.885207465484262,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,1.125,1.3534910976886753E-7,11000.0,0.9974747474747475,0.9427568246855477,0.965,0.3530499075785594,0.9967676767676767,0.010101010101010102,0.982164173978294,1.0,-2.4684684684684894,11000.0,465056.0,15.0,0.9999999999999845,1.542749019010029E-14,221.6,13.28156617270719,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,1.203125,1.4474835350281665E-7,12000.0,0.9986545576858392,0.9443974013357384,0.966,0.3362745480810519,0.9974747474747475,0.009081735620585268,0.9826958944601836,1.0,-2.4,12000.0,465056.0,15.0,0.9995825441376561,4.174558623437218E-4,238.26666666666665,13.509079838954172,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
13000.0,1.296875,1.5602744598355562E-7,13000.0,0.9811111111111112,0.7036634642178948,0.96,0.24698795180722904,0.9986545576858392,0.010101010101010102,0.8208765947682902,0.7,-3.0,13000.0,465056.0,15.0,0.9999999999059527,9.4047378728672E-11,255.86666666666665,14.846195600541028,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
