learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.125,4.555719594160716E-9,1000.0,0.9010426642405669,0.27062368239467627,0.92,0.2501499700059992,0.0,0.1013215859030837,0.4031188265942454,0.16304347826086957,0.13043478260869582,1000.0,140880.0,15.0,998.6666666666667,34.21709402929367,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.203125,7.403044340511163E-9,2000.0,0.9601104906736367,0.322675121370407,0.911,0.36189738736413424,0.9010426642405669,0.12866817155756208,0.5032270814897891,0.2543859649122807,0.1359223300970875,2000.0,140880.0,15.0,1990.5333333333333,46.83079979590154,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.234375,8.541974239051342E-9,3000.0,0.9585666666666667,0.31765456445371815,0.924,0.37908496732026153,0.9601104906736367,0.1111111111111111,0.5093350785310415,0.26,0.254901960784314,3000.0,140880.0,15.0,2989.4,61.491927460904456,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.34375,1.3675210842241843E-8,4000.0,0.9421207623060717,0.27705651573185264,0.926,0.30638872225554936,0.9585666666666667,0.1013215859030837,0.4423258684646914,0.1956521739130435,0.2562814070351766,4000.0,181416.0,15.0,3983.5333333333333,60.407978028765406,5622.400000000001,101.33734327905567,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.421875,1.8219288904219866E-8,5000.0,0.9516564042542365,0.2092771235369549,0.915,0.0210531165061955,0.9421207623060717,0.09409190371991247,0.10783277320343841,0.011627906976744186,0.12190082644628134,5000.0,224832.0,15.0,4983.866666666667,63.40331972681683,8492.800000000001,170.9616498349431,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.46875,2.0949228201061486E-8,6000.0,0.9569885607874434,0.3230556873674686,0.922,0.40489814602883945,0.9516564042542365,0.11731843575418995,0.5336258841153837,0.2857142857142857,0.20543293718166392,6000.0,225120.0,15.0,5980.666666666666,79.45948353601044,8512.0,153.9424753415564,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.5,2.2769187732289232E-8,7000.0,0.955018315018315,0.32762156867361597,0.936,0.45707499151679765,0.9569885607874434,0.0989010989010989,0.5760799700285819,0.3333333333333333,0.3402061855670107,7000.0,225120.0,15.0,6977.400000000001,79.67684732718784,8512.0,153.9424753415564,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.546875,2.5499127029130852E-8,8000.0,0.9396539265020825,0.3179468275976408,0.937,0.4076275011283291,0.955018315018315,0.09051254089422028,0.5365587673275632,0.2891566265060241,0.3385826771653545,8000.0,225120.0,15.0,7989.533333333332,90.70979366455789,8512.0,153.9424753415564,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.59375,2.8372257171819604E-8,9000.0,0.9583679854263197,0.34472163079711843,0.921,0.4576112926702009,0.9396539265020825,0.12866817155756208,0.5763719850598013,0.3333333333333333,0.18835616438356248,9000.0,236928.0,15.0,8997.666666666668,93.18466049935985,9292.800000000001,1256.6033127897945,5.533333333333333,0.9154754164341268,3.2666666666666666,0.4577377082170634,3.2666666666666666,0.4577377082170634,2.2666666666666666,0.4577377082170634,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.625,3.053428372368216E-8,10000.0,0.9565810734093192,0.32621820625899844,0.927,0.4378561527799176,0.9583679854263197,0.11358574610244988,0.5591756517355386,0.3137254901960784,0.2535787321063399,10000.0,267432.0,15.0,10008.4,100.59238823802008,11308.8,147.44451741006066,7.0,0.0,4.0,0.0,4.0,0.0,2.866666666666666,0.3518657752744986,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,0.65625,3.284241150443752E-8,11000.0,0.9573673718873555,0.3448788704696866,0.925,0.42186729156388814,0.9565810734093192,0.11234705228031146,0.5524704750580405,0.3069306930693069,0.23540315106580234,11000.0,285504.0,15.0,11014.466666666669,95.4641792706012,12504.0,1351.8985591699231,7.8,1.0141851056742197,4.4,0.5070925528371099,4.4,0.5070925528371099,3.2666666666666666,0.45773770821706344,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,0.703125,3.655295586213469E-8,12000.0,0.9646809084869623,0.3879941096595313,0.937,0.569719156376353,0.9573673718873555,0.1210762331838565,0.6589456985586107,0.4351851851851852,0.3631002527379954,12000.0,305984.0,15.0,12011.333333333334,75.81148298497351,13859.733333333332,1682.9928896661052,8.6,1.121223821162776,4.8,0.560611910581388,4.8,0.560611910581388,3.6666666666666665,0.6172133998483678,0.0,0.0,0.0,0.0,1.0,0.0
13000.0,0.734375,3.910051115478078E-8,13000.0,0.9636534347746126,0.3966328450429979,0.934,0.6006244780888067,0.9646809084869623,0.13250283125707815,0.6956069970091735,0.48717948717948717,0.3420245398773012,13000.0,315120.0,15.0,13006.666666666666,69.80755860288505,14463.999999999998,1178.4115216195548,9.0,0.7559289460184544,5.0,0.3779644730092272,5.0,0.3779644730092272,3.8666666666666663,0.5163977794943222,0.0,0.0,0.0,0.0,1.0,0.0
14000.0,0.796875,4.4508520255072244E-8,14000.0,0.9624270119319625,0.40524482710075427,0.941,0.563519071997159,0.9636534347746126,0.1001100110011001,0.683234453386586,0.4725274725274725,0.4078853046594977,14000.0,334472.0,15.0,13999.133333333333,80.35445286502846,15741.333333333334,1740.3334108590748,10.066666666666668,1.2798809468443688,5.533333333333334,0.6399404734221844,5.533333333333334,0.6399404734221844,3.933333333333333,0.4577377082170636,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,0.828125,4.730934354787071E-8,15000.0,0.9579346092503987,0.39049170925215954,0.946,0.5711017918414023,0.9624270119319625,0.09649122807017543,0.6719784400733739,0.45454545454545453,0.45380984490896775,15000.0,346448.0,15.0,14986.666666666666,91.40073981153128,16534.933333333334,2020.4596176777864,10.466666666666669,1.407463101097994,5.733333333333334,0.703731550548997,5.733333333333334,0.703731550548997,4.066666666666666,0.25819888974716115,0.0,0.0,0.0,0.0,1.0,0.0
16000.0,0.859375,5.02587257263561E-8,16000.0,0.9527315368899527,0.3699261788892623,0.942,0.5403173395469745,0.9579346092503987,0.1001100110011001,0.6444264772589774,0.4175824175824176,0.410419313850063,16000.0,364824.0,15.0,15983.066666666668,71.06482620684808,17748.800000000003,1346.5852686385244,11.400000000000002,0.8280786712108252,6.200000000000001,0.4140393356054126,6.200000000000001,0.4140393356054126,4.066666666666666,0.25819888974716115,0.0,0.0,0.0,0.0,1.0,0.0
17000.0,0.90625,5.47834012346963E-8,17000.0,0.9687667887667888,0.40977741345991253,0.947,0.6028772665967325,0.9527315368899527,0.0989010989010989,0.7039917581935143,0.5,0.4585336538461531,17000.0,373120.0,15.0,16985.866666666665,73.49622601260072,18297.066666666666,1460.0504622720932,11.8,1.0141851056742197,6.4,0.5070925528371099,6.4,0.5070925528371099,4.199999999999999,0.4140393356054127,0.0,0.0,0.0,0.0,1.0,0.0
18000.0,0.953125,5.938306761284668E-8,18000.0,0.9583175045375881,0.37778442431887604,0.932,0.5373394295667326,0.9687667887667888,0.1185682326621924,0.6490025075300528,0.42452830188679247,0.3084745762711873,18000.0,379304.0,15.0,17975.0,91.81347551266258,18706.13333333333,1465.5650234961388,12.066666666666666,1.0327955589886442,6.533333333333333,0.5163977794943221,6.533333333333333,0.5163977794943221,4.333333333333332,0.48795003647426693,0.0,0.0,0.0,0.0,1.0,0.0
19000.0,1.0,6.404074762637416E-8,19000.0,0.9730211195054945,0.4112903904602676,0.944,0.6184454376975907,0.9583175045375881,0.11607142857142858,0.6991013536032454,0.49038461538461536,0.43223052294557035,19000.0,384088.0,15.0,18973.933333333334,90.60626489429536,19021.866666666665,1991.608605649021,12.333333333333334,1.4474937289114918,6.666666666666667,0.7237468644557459,6.666666666666667,0.7237468644557459,4.333333333333332,0.48795003647426693,0.0,0.0,0.0,0.0,1.0,0.0
