learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.15625,1.8795253708958628E-8,1000.0,0.7832980972515856,0.42652285719302296,0.976,0.28345375291097136,0.0,0.011122345803842264,0.668036402715087,0.45454545454545453,-1.1818181818181819,1000.0,464976.0,15.0,0.9999998609783004,1.390216994914094E-7,23.200000000000003,4.0743097574926725,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.3125,3.7590507417917256E-8,2000.0,0.9896344789961812,0.8043347017175485,0.961,0.38725490196078416,0.7832980972515856,0.013171225937183385,0.9800440409432883,1.0,-2.25,2000.0,464976.0,15.0,0.9513706069614742,0.04862939303852572,46.80000000000001,6.88891449047982,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.40625,4.886765964329243E-8,3000.0,0.9890372983870968,0.8619366441133441,0.94,0.19906023067065262,0.9896344789961812,0.008064516129032258,0.9692864019639696,1.0,-4.6249999999999805,3000.0,464976.0,15.0,0.9270978485266901,0.0729021514733099,62.333333333333336,8.75595035770913,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.515625,6.202433723956347E-8,4000.0,0.9984848484848485,0.9443557201452262,0.964,0.3464052287581696,0.9890372983870968,0.010101010101010102,0.9816498172140428,1.0,-2.4285714285714466,4000.0,464976.0,15.0,0.9999503682275619,4.963177243813977E-5,83.53333333333335,7.781541039690077,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.59375,7.142196409404279E-8,5000.0,0.9970479082321188,0.9154463217447648,0.967,0.4098712446351935,0.9984848484848485,0.012145748987854251,0.9831577646966945,1.0,-2.055555555555549,5000.0,464976.0,15.0,0.9994846181521815,5.153818478185281E-4,106.13333333333334,6.957695294386194,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.6875,8.269911631941797E-8,6000.0,0.9792577643233547,0.7290262794523852,0.955,0.22547332185886537,0.9970479082321188,0.009081735620585268,0.8625715041264183,0.7777777777777778,-3.2857142857143082,6000.0,464976.0,15.0,0.9999985884183612,1.4115816386240503E-6,124.46666666666665,7.189940062005949,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.765625,9.209674317389728E-8,7000.0,0.9902564573949811,0.8494176872403945,0.955,0.2948034852378867,0.9792577643233547,0.011122345803842264,0.9320118106862999,0.9090909090909091,-3.2567567567567632,7000.0,464976.0,15.0,0.9899321926272866,0.01006780737271329,144.13333333333335,7.150091574505147,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.859375,1.0337389539927246E-7,8000.0,0.9839668124229174,0.7557337158791727,0.968,0.2941280275290061,0.9902564573949811,0.009081735620585268,0.8684656223938655,0.7777777777777778,-2.084337349397586,8000.0,464976.0,15.0,0.999778145784619,2.218542153809105E-4,159.66666666666669,8.295150620062529,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.9375,1.1277152225375177E-7,9000.0,0.9940576297791233,0.9019510935871039,0.953,0.2655331916489573,0.9839668124229174,0.009081735620585268,0.9759985442744433,1.0,-3.597826086956516,9000.0,464976.0,15.0,0.9343855018037536,0.06561449819624633,176.60000000000002,9.386920992225603,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.03125,1.2404867447912695E-7,10000.0,0.9966666666666667,0.9126278156205984,0.963,0.33999286478772817,0.9940576297791233,0.010101010101010102,0.9811351908000562,1.0,-2.627450980392165,10000.0,464976.0,15.0,0.9956912633258332,0.004308736674166615,199.0,11.0,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
