learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.265625,3.777641621935699E-8,1000.0,0.7160408266129032,0.2885047219137511,0.889,0.0369264940653852,0.0,0.008064516129032258,0.5787308834716453,0.375,-12.874999999999986,1000.0,549736.0,15.0,5291.666666666666,75.82278838248575,8538.666666666666,830.4692878699597,5.533333333333334,0.915475416434127,3.266666666666667,0.4577377082170635,3.266666666666667,0.4577377082170635,2.266666666666667,0.4577377082170635,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.515625,8.186626170451443E-8,2000.0,0.6977777777777778,0.2270632509062696,0.937,0.07107048068416617,0.7160408266129032,0.010101010101010102,0.5320059238676793,0.3,-5.999999999999988,2000.0,681712.0,15.0,12115.0,130.27169410779263,17260.266666666666,1983.0017457908405,12.2,1.820517979665599,6.6,0.9102589898327995,6.6,0.9102589898327995,3.7999999999999994,0.41403933560541256,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.6875,1.1698656534362172E-7,3000.0,0.7888888888888889,0.3653975251964924,0.931,0.11105385209997513,0.6977777777777778,0.010101010101010102,0.6838689696694592,0.5,-6.39285714285716,3000.0,789856.0,15.0,17034.666666666664,131.48963384816247,24412.266666666666,2781.4748263329316,16.733333333333334,1.98086080374405,8.866666666666667,0.9904304018720249,8.866666666666667,0.9904304018720249,4.8,0.560611910581388,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.875,1.585456710826192E-7,4000.0,0.8250674763832658,0.45505548774205606,0.968,0.32111337406653123,0.7888888888888889,0.012145748987854251,0.8048436365855337,0.6666666666666666,-2.2,4000.0,856776.0,15.0,21327.399999999998,169.25458423840206,28835.200000000004,1134.4891361313241,20.46666666666667,1.5976172734359608,10.733333333333334,0.7988086367179804,10.733333333333334,0.7988086367179804,5.133333333333333,0.3518657752744984,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,1.0625,2.0400546620496448E-7,5000.0,0.4620100502512563,0.06605799071400792,0.955,-0.008968609865469847,0.8250674763832658,0.005025125628140704,0.0,0.0,-4.0,5000.0,937192.0,15.0,26217.733333333337,191.6143696768764,34151.466666666674,2543.477873943097,23.933333333333337,1.9808608037440507,12.466666666666669,0.9904304018720254,12.466666666666669,0.9904304018720254,5.333333333333333,0.6172133998483675,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,1.234375,2.496207404571275E-7,6000.0,0.8413461538461539,0.32889316110885375,0.901,0.07192140392980266,0.4620100502512563,0.012145748987854251,0.6147094812094563,0.4166666666666667,-9.421052631578997,6000.0,1025888.0,15.0,33229.73333333333,202.8273251056772,40009.6,2619.9571643172226,29.66666666666667,3.177300441449958,15.333333333333336,1.588650220724979,15.333333333333336,1.588650220724979,6.0,0.6546536707079771,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,1.421875,3.053130543169876E-7,7000.0,0.7552870090634441,0.21727299728740795,0.878,0.018772017308218647,0.8413461538461539,0.007049345417925478,0.502045879117523,0.2857142857142857,-12.343750000000034,7000.0,1148144.0,15.0,38533.133333333324,237.3854209829208,48090.666666666664,4918.865064606826,34.73333333333333,3.4530869557266466,17.866666666666664,1.7265434778633233,17.866666666666664,1.7265434778633233,6.4,0.5070925528371099,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,1.609375,3.6506011383607986E-7,8000.0,0.7931232916127176,0.364432281901835,0.847,0.03679081362846542,0.7552870090634441,0.007049345417925478,0.6964984250571102,0.5714285714285714,-16.23943661971838,8000.0,1231736.0,15.0,45267.2,272.9317549446066,53612.799999999996,5284.885877940709,39.13333333333333,2.8751811537130436,20.066666666666666,1.4375905768565218,20.066666666666666,1.4375905768565218,6.4,0.5070925528371099,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,1.765625,4.1967054130509497E-7,9000.0,0.8165012228456338,0.40022539430264054,0.888,0.054197841544360095,0.7931232916127176,0.007049345417925478,0.7132347324887192,0.5714285714285714,-11.923076923076856,9000.0,1351008.0,15.0,50855.6,289.49409073663094,61483.73333333334,5615.907094605296,47.266666666666666,3.011090610836324,24.133333333333333,1.505545305418162,24.133333333333333,1.505545305418162,6.866666666666667,0.5163977794943223,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.953125,4.919473819124202E-7,10000.0,0.8767676767676768,0.3989525057324648,0.95,0.15254237288135594,0.8165012228456338,0.010101010101010102,0.6908492797077574,0.5,-4.6818181818181674,10000.0,1490048.0,15.0,57690.866666666654,305.85754542799697,70667.73333333332,5582.00280834585,55.26666666666667,3.6929791819200988,28.133333333333336,1.8464895909600494,28.133333333333336,1.8464895909600494,7.0,0.5345224838248488,0.0,0.0,0.0,0.0,1.0,0.0
