learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.1875,4.134451349576315E-8,1000.0,0.9335454584478022,0.5921350203029877,0.81,0.41674852652259337,0.0,0.11607142857142858,0.861509275316316,0.9326923076923077,-0.8269230769230768,1000.0,852352.0,15.0,2665.7999999999997,49.319946703713434,7302.933333333333,3459.7240077098354,4.199999999999999,2.4842360136324753,2.5999999999999996,1.2421180068162376,2.5999999999999996,1.2421180068162376,1.4666666666666668,0.9154754164341269,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.421875,9.94100507038335E-8,2000.0,0.9521580072761175,0.7058693964101977,0.886,0.5926039753275251,0.9335454584478022,0.12485939257592801,0.9190692753418044,0.963963963963964,-0.06046511627906928,2000.0,957656.0,15.0,5084.266666666667,72.6522703083141,14261.866666666667,2882.217347476633,9.4,2.2928460168844436,5.2,1.1464230084422218,5.2,1.1464230084422218,3.0666666666666673,0.5936168397046637,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.546875,1.3196546610237823E-7,3000.0,0.9724820430965683,0.7786504003104313,0.92,0.6774063470301223,0.9521580072761175,0.11731843575418995,0.9462883064506535,0.9809523809523809,0.2500000000000005,3000.0,1006736.0,15.0,7464.733333333334,89.90349323156514,17507.2,2411.105354100361,11.533333333333333,1.7674302033770735,6.266666666666667,0.8837151016885367,6.266666666666667,0.8837151016885367,3.5333333333333337,0.7432233529572065,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.65625,1.6207130910414787E-7,4000.0,0.9741111111111111,0.7830866892115556,0.914,0.6498371335504888,0.9724820430965683,0.1111111111111111,0.9426204609137939,0.98,0.18095238095238114,4000.0,1063984.0,15.0,9803.533333333333,86.07294802057372,21288.533333333333,3005.9376922224806,14.733333333333334,2.1201976547572388,7.866666666666667,1.0600988273786194,7.866666666666667,1.0600988273786194,4.3999999999999995,0.6324555320336759,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.765625,1.9417616486963297E-7,5000.0,0.976270284650173,0.8260525525805312,0.931,0.7078004573558061,0.9741111111111111,0.11731843575418995,0.9444817398183123,0.9619047619047619,0.3428571428571432,5000.0,1134632.0,15.0,12480.733333333334,95.25714571371468,25961.066666666673,3879.367096146828,17.666666666666664,2.9920529661723827,9.333333333333332,1.4960264830861913,9.333333333333332,1.4960264830861913,4.866666666666667,0.833809387832792,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.875,2.280527648205558E-7,6000.0,0.9847935267857143,0.8520418192119551,0.939,0.7383052476232967,0.976270284650173,0.11607142857142858,0.9612825895817353,0.9903846153846154,0.41812400635929997,6000.0,1197248.0,15.0,14776.866666666667,97.51180636698506,30101.333333333332,3647.1222837164314,20.6,2.2928460168844436,10.8,1.1464230084422218,10.8,1.1464230084422218,5.533333333333334,0.6399404734221844,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,1.0,2.6868015993386504E-7,7000.0,0.9728601476648352,0.8058815289178468,0.92,0.660256845824557,0.9847935267857143,0.11607142857142858,0.9171029753768412,0.9134615384615384,0.23601637107776333,7000.0,1256352.0,15.0,17345.466666666667,102.68319285665972,34006.93333333333,4111.492872193169,23.933333333333337,2.4918916127158925,12.466666666666669,1.2459458063579463,12.466666666666669,1.2459458063579463,5.733333333333334,0.7037315505489968,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,1.15625,3.226933121267292E-7,8000.0,0.9713976909850159,0.8184251717530935,0.921,0.6958731136433632,0.9728601476648352,0.12994350282485875,0.9435452151740624,0.9739130434782609,0.25471698113207575,8000.0,1336232.0,15.0,19758.0,120.70862201421798,39290.666666666664,3896.2495275524107,27.133333333333333,2.774029216723951,14.066666666666666,1.3870146083619754,14.066666666666666,1.3870146083619754,6.466666666666667,0.6399404734221844,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,1.3125,3.8037645734018747E-7,9000.0,0.9862289477016588,0.8545125221528341,0.953,0.785078012108796,0.9713976909850159,0.1185682326621924,0.9529251567210113,0.9528301886792453,0.5566037735849052,9000.0,1427024.0,15.0,22234.53333333333,115.88779466527531,45290.13333333334,4469.001260535364,31.4,3.0425553170226594,16.2,1.5212776585113295,16.2,1.5212776585113295,7.066666666666667,0.9611501047232549,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.453125,4.350343240528471E-7,10000.0,0.9788667198723064,0.840269281589674,0.933,0.7181558135621743,0.9862289477016588,0.11731843575418995,0.9537872033441746,0.9809523809523809,0.3673276676109542,10000.0,1502424.0,15.0,24812.733333333337,117.73788482816157,50270.93333333333,4227.542742314407,35.4,3.480558247506529,18.2,1.7402791237532644,18.2,1.7402791237532644,7.533333333333334,0.990430401872025,0.0,0.0,0.0,0.0,1.0,0.0
