learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.1875,3.814503240088622E-8,1000.0,0.9610542690358587,0.5727068686115829,0.84,0.6832837144485968,0.0,1.1008403361344539,0.8367539435828683,0.7213740458015268,0.6624472573839661,1000.0,786392.0,15.0,1671.8666666666663,39.686029687800065,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.359375,7.311131210169858E-8,2000.0,0.9795173636258148,0.6332790252873703,0.899,0.7984208971667158,0.9610542690358587,1.0366598778004072,0.8978090909637063,0.8349705304518664,0.7873684210526316,2000.0,786392.0,15.0,2948.7999999999997,49.54247816628812,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.53125,1.1198972869250509E-7,3000.0,0.9622443996092936,0.6050650800487112,0.884,0.7687510964387669,0.9795173636258148,1.0576131687242798,0.8832506004484701,0.8171206225680934,0.7551020408163266,3000.0,874376.0,15.0,4246.266666666666,63.55252795541511,8761.6,101.33734327905566,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.671875,1.4403333706367346E-7,4000.0,0.9667398896023431,0.6398946546165516,0.89,0.7809323519102699,0.9622443996092936,1.1645021645021645,0.8925251639860807,0.8364312267657993,0.7663303239511419,4000.0,880808.0,15.0,5659.266666666667,61.09765797085688,9185.6,1364.886013032381,5.666666666666666,0.9759000729485332,3.333333333333333,0.4879500364742666,3.333333333333333,0.4879500364742666,2.333333333333333,0.4879500364742666,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.78125,1.6921578207984567E-7,5000.0,0.9779943665578388,0.6421023706574136,0.908,0.8155632537849629,0.9667398896023431,0.968503937007874,0.9044055478849804,0.8394308943089431,0.8058252427184467,5000.0,889984.0,15.0,6986.999999999999,68.35829973644103,9793.600000000002,1455.8499137715298,5.8,1.2649110640673518,3.4,0.6324555320336759,3.4,0.6324555320336759,2.333333333333333,0.4879500364742666,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.921875,2.0200270228087903E-7,6000.0,0.9806362046961205,0.668203030953787,0.917,0.8337859162601432,0.9779943665578388,0.9723865877712031,0.9155568228580862,0.8762677484787018,0.8259958071278827,6000.0,901240.0,15.0,8065.933333333333,85.9837747706481,10538.133333333335,2147.6482109729322,6.2,1.4735767952260146,3.6,0.7367883976130073,3.6,0.7367883976130073,2.466666666666667,0.5163977794943222,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,1.078125,2.4122496445973713E-7,7000.0,0.9697529752975298,0.6381051859758493,0.906,0.8118984251495809,0.9806362046961205,0.9801980198019802,0.9054799773594886,0.8828282828282829,0.8031119090365051,7000.0,970320.0,15.0,9207.333333333332,85.7901648264672,15104.0,2132.521512200991,9.666666666666666,1.4474937289114918,5.333333333333333,0.7237468644557459,5.333333333333333,0.7237468644557459,3.3333333333333335,0.4879500364742665,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,1.21875,2.789694311407705E-7,8000.0,0.9639303034307659,0.6393306766422219,0.882,0.7641122825535045,0.9697529752975298,1.0703933747412009,0.8824535144590844,0.8626692456479691,0.753202614379085,8000.0,1037512.0,15.0,10389.4,94.35934354522465,19546.13333333333,2070.332404872866,12.600000000000003,1.5491933384829677,6.800000000000002,0.7745966692414838,6.800000000000002,0.7745966692414838,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,1.359375,3.177462106881042E-7,9000.0,0.9721709538584726,0.663975469766382,0.907,0.8141338236469743,0.9639303034307659,1.0618556701030928,0.9074034620490737,0.883495145631068,0.805800464037123,9000.0,1065888.0,15.0,11897.666666666666,99.60612909043773,21421.866666666665,2517.606966564724,13.933333333333335,1.8309508328682547,7.466666666666668,0.9154754164341273,7.466666666666668,0.9154754164341273,4.066666666666666,0.2581988897471611,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.484375,3.524915276405712E-7,10000.0,0.9774759615384615,0.6684940188548207,0.908,0.8162352189197827,0.9721709538584726,1.0833333333333333,0.9087184551714743,0.8769230769230769,0.8080133555926544,10000.0,1074456.0,15.0,13121.0,110.28858249416142,21988.266666666666,2062.630479566831,14.333333333333334,1.4474937289114918,7.666666666666667,0.7237468644557459,7.666666666666667,0.7237468644557459,4.066666666666666,0.2581988897471611,0.0,0.0,0.0,0.0,1.0,0.0
