learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.203125,4.132378510096007E-8,1000.0,0.4785906298003072,0.017297965422644446,0.502,0.011716517431891829,0.0,1.0161290322580645,0.13322588316352216,0.017857142857142856,-0.018404907975460138,1000.0,786392.0,15.0,1844.0666666666668,41.50467558285567,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.359375,7.501243898231121E-8,2000.0,0.5416219949485823,0.019251698230803416,0.475,0.010606300459078613,0.4785906298003072,1.1321961620469083,0.10629880069054677,0.011299435028248588,-0.09832635983263607,2000.0,833424.0,15.0,3578.266666666667,62.581908233092726,6053.866666666667,761.4390386129473,3.1333333333333333,0.5163977794943222,2.066666666666667,0.2581988897471611,2.066666666666667,0.2581988897471611,1.0666666666666667,0.2581988897471611,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.53125,1.1404772521927952E-7,3000.0,0.5853793657165797,0.0678671367300715,0.558,0.06908171861836573,0.5416219949485823,0.8867924528301887,0.3305409602075813,0.1148936170212766,0.08803301237964252,3000.0,877904.0,15.0,5350.400000000001,72.58079242176562,8995.2,756.006349179688,5.133333333333334,0.5163977794943223,3.066666666666667,0.25819888974716115,3.066666666666667,0.25819888974716115,2.066666666666667,0.25819888974716115,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.71875,1.5663167384142675E-7,4000.0,0.6059664238656954,0.048754231518500335,0.585,0.1701394165780148,0.5853793657165797,0.9960079840319361,0.5835626463212401,0.627254509018036,0.14565105506948015,4000.0,877904.0,15.0,7041.066666666667,67.31001482125912,8995.2,756.006349179688,5.133333333333334,0.5163977794943223,3.066666666666667,0.25819888974716115,3.066666666666667,0.25819888974716115,2.066666666666667,0.25819888974716115,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.84375,1.8568919687014486E-7,5000.0,0.5748991741885923,0.041569146295318105,0.566,0.13010711307805778,0.6059664238656954,1.032520325203252,0.5609461231719086,0.6318897637795275,0.10293509714758155,5000.0,898568.0,15.0,8792.133333333333,78.72816401722962,10361.6,1512.0126983593755,6.066666666666666,1.0327955589886444,3.533333333333333,0.5163977794943222,3.533333333333333,0.5163977794943222,2.533333333333333,0.5163977794943222,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.984375,2.194528416213062E-7,6000.0,0.5659782639130556,0.042189412758041944,0.548,0.09583001604301611,0.5748991741885923,0.9960079840319361,0.5458948543490477,0.501002004008016,0.06868131868131867,6000.0,928088.0,15.0,10486.666666666666,105.3590233891896,12313.6,1979.689326276077,7.3999999999999995,1.3522468075656267,4.2,0.6761234037828132,4.2,0.6761234037828132,3.1999999999999997,0.6761234037828133,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,1.109375,2.5070828592611684E-7,7000.0,0.6710064997438525,0.06401389377740396,0.619,0.23590944825041307,0.5659782639130556,0.953125,0.6153194975103531,0.5635245901639344,0.21674008810572687,7000.0,966536.0,15.0,12253.733333333335,112.52204016906857,14855.466666666667,1310.9768368154587,9.266666666666666,1.0327955589886442,5.133333333333333,0.5163977794943221,5.133333333333333,0.5163977794943221,3.7999999999999994,0.4140393356054125,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,1.203125,2.74499309145742E-7,8000.0,0.5980815693051089,0.03734349717587443,0.572,0.14202322150234123,0.6710064997438525,1.0080321285140563,0.49303944001086825,0.8585657370517928,0.12137541698742618,8000.0,980944.0,15.0,14088.4,129.79203145251793,15808.533333333335,1801.973436726154,9.8,1.2649110640673518,5.4,0.6324555320336759,5.4,0.6324555320336759,3.9333333333333336,0.45773770821706344,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,1.375,3.1917870122318463E-7,9000.0,0.6833069265732027,0.05089829778125482,0.621,0.23763316275626792,0.5980815693051089,1.032520325203252,0.5922514626571428,0.7952755905511811,0.2260040844111641,9000.0,1004840.0,15.0,15738.400000000001,137.08954320860093,17388.8,2060.5259800074627,10.866666666666667,1.4074631010979937,5.933333333333334,0.7037315505489968,5.933333333333334,0.7037315505489968,4.133333333333333,0.5163977794943222,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.5,3.5300925244680707E-7,10000.0,0.6414824775191192,0.05461359524617038,0.602,0.2040350224590117,0.6833069265732027,1.0449897750511248,0.6020626545875302,0.598825831702544,0.1860940695296523,10000.0,1046168.0,15.0,17506.13333333333,141.16093483612798,20121.600000000002,2176.1579774587003,12.733333333333334,1.4864467059144137,6.866666666666667,0.7432233529572069,6.866666666666667,0.7432233529572069,4.4,0.6324555320336759,0.0,0.0,0.0,0.0,1.0,0.0
