learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.171875,2.0674779079854488E-8,1000.0,0.9426,0.7295023747964352,0.892,0.5820433436532506,0.0,0.1111111111111111,0.917211959024618,0.95,-0.08000000000000008,1000.0,464976.0,15.0,0.9933951931711118,0.006604806828888251,191.8,11.28969188495164,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.328125,3.9470032788813116E-8,2000.0,0.9725739732387827,0.7736934102120218,0.894,0.6072677692809296,0.9426,0.1185682326621924,0.9311261491431584,0.9811320754716981,-0.029126213592233042,2000.0,464976.0,15.0,0.9679450282365337,0.032054971763466195,383.4,20.6978259727924,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.40625,4.886765964329243E-8,3000.0,0.9739470950211779,0.7857274590085411,0.88,0.5586645188339916,0.9725739732387827,0.10741971207087486,0.9311872177771208,1.0,-0.1881188118811883,3000.0,464976.0,15.0,0.9304409220314146,0.06955907796858543,566.0000000000001,24.807832864411424,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.5,6.014481186866761E-8,4000.0,0.9637375553097345,0.7623654717928036,0.884,0.5580076815216727,0.9739470950211779,0.10619469026548672,0.9206824914160147,0.96875,-0.16290726817042592,4000.0,464976.0,15.0,0.9549727917151165,0.04502720828488341,740.1333333333333,24.24831854749835,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.59375,7.142196409404279E-8,5000.0,0.9730540439201857,0.7973721778384264,0.901,0.6391865296304395,0.9637375553097345,0.12485939257592801,0.9426764663101457,1.0,0.029411764705882384,5000.0,464976.0,15.0,0.8883902509740573,0.11160974902594256,949.6,29.330140518878228,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.671875,8.08195909485221E-8,6000.0,0.9646478613569321,0.7745210263617892,0.89,0.5756434787976051,0.9730540439201857,0.10619469026548672,0.92854002507759,0.9791666666666666,-0.0891089108910892,6000.0,464976.0,15.0,0.9480894713075527,0.05191052869244724,1129.6,38.289871842489724,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.765625,9.209674317389728E-8,7000.0,0.9741534593019742,0.7909030023810273,0.884,0.5487329510530862,0.9646478613569321,0.1001100110011001,0.9248598576843171,0.978021978021978,-0.1649928263988526,7000.0,464976.0,15.0,0.9920695458967705,0.00793045410322931,1298.0,38.86055657273654,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.84375,1.014943700283766E-7,8000.0,0.9724935399227784,0.7940928602377753,0.897,0.630342095063093,0.9741534593019742,0.1273957158962796,0.9365755328251607,0.9911504424778761,-0.017283950617284247,8000.0,464976.0,15.0,0.9385825049293476,0.06141749507065248,1513.1333333333332,38.407340568227454,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.9375,1.1277152225375177E-7,9000.0,0.9687023957900568,0.7713785418528076,0.875,0.5231046270296665,0.9724935399227784,0.09529025191675794,0.9290256823739618,1.0,-0.2541806020066888,9000.0,464976.0,15.0,0.9395898925908549,0.06041010740914495,1679.7333333333331,32.4817897700645,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.015625,1.221691491082311E-7,10000.0,0.9761294261294261,0.7959053883084873,0.897,0.5823534182142566,0.9687023957900568,0.0989010989010989,0.937041300075081,0.9888888888888889,-0.04356636271529858,10000.0,464976.0,15.0,0.8063163198566692,0.19368368014333084,1852.1999999999998,35.17547847171785,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,1.09375,1.315667759627104E-7,11000.0,0.9699348572320174,0.7858778925073611,0.9,0.6452491769780907,0.9761294261294261,0.13122171945701358,0.9417419115948374,1.0,0.0027198549410702142,11000.0,464976.0,15.0,0.835927470614509,0.16407252938549105,2075.4,40.051395552643186,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,1.1875,1.4284392818808555E-7,12000.0,0.9795871536750107,0.7977032203678388,0.902,0.6433328723350051,0.9699348572320174,0.1273957158962796,0.939553522956529,0.9911504424778761,0.032894736842106004,12000.0,464976.0,15.0,0.7621538302246578,0.23784616977534218,2283.4,36.03530015336153,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
13000.0,1.25,1.50362029671669E-7,13000.0,0.9583408890339583,0.75819575035701,0.884,0.5487329510530862,0.9795871536750107,0.1001100110011001,0.9248598576843171,0.978021978021978,-0.15378729915837744,13000.0,464976.0,15.0,0.9620061097009601,0.03799389029903984,2453.5333333333338,34.95480074665131,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
14000.0,1.3125,1.5788013115525244E-7,14000.0,0.9689682619760311,0.7764710572708071,0.88,0.5630611932798812,0.9583408890339583,0.10987791342952276,0.9310288128669582,1.0,-0.19487908961593176,14000.0,464976.0,15.0,0.8806430349613195,0.11935696503868047,2635.133333333333,44.0565653720413,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,1.40625,1.691572833806276E-7,15000.0,0.9732323930678466,0.7818470451882287,0.88,0.5537573630035103,0.9689682619760311,0.10619469026548672,0.9269937355199416,0.9895833333333334,-0.19840213049267683,15000.0,464976.0,15.0,0.9086440601628659,0.09135593983713405,2812.933333333334,46.73552742624754,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
16000.0,1.5,1.8043443560600276E-7,16000.0,0.9711551990994793,0.7773516314568534,0.88,0.5690800577432723,0.9732323930678466,0.11482720178372352,0.9267765800701357,0.9902912621359223,-0.1962616822429903,16000.0,464976.0,15.0,0.9005193092158666,0.09948069078413324,3002.6,38.6833297429266,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
17000.0,1.59375,1.9171158783137793E-7,17000.0,0.9706349936277279,0.7884574780198319,0.886,0.5390177033376734,0.9711551990994793,0.09051254089422028,0.935778590446511,1.0,-0.14810426540284302,17000.0,464976.0,15.0,0.9722496213758501,0.02775037862414982,3158.2666666666664,37.31615250927187,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
18000.0,1.65625,1.993160953538285E-7,18000.0,0.9781409601634321,0.7925504298708097,0.902,0.6400235086688216,0.9706349936277279,0.12359550561797752,0.9433385608833332,1.0,0.0189098998887658,18000.0,470320.0,15.0,0.9363653751432791,0.06363462485672082,3361.6,40.74800608618783,3297.066666666667,931.7405729268719,1.2666666666666668,0.7037315505489967,1.1333333333333335,0.3518657752744984,1.1333333333333335,0.3518657752744984,0.13333333333333336,0.35186577527449836,0.0,0.0,0.0,0.0,1.0,0.0
19000.0,1.796875,2.1781157960908276E-7,19000.0,0.9677556818181818,0.7183699149169613,0.9,0.6423462088698141,0.9781409601634321,0.13636363636363635,0.9245955299153215,0.9583333333333334,0.009384775808134113,19000.0,508400.0,15.0,0.7719699758464972,0.22803002415350287,3580.2000000000003,43.51058984398428,5814.933333333332,118.15212147703417,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,1.875,2.2836753891574007E-7,20000.0,0.9629068620543891,0.7513616770205095,0.887,0.5578822166924894,0.9677556818181818,0.10375275938189846,0.9177457664372212,0.9574468085106383,-0.12326043737574517,20000.0,522288.0,15.0,0.9551790398561263,0.04482096014387368,3757.1333333333328,40.94572481898903,6732.8,1349.6778028213148,3.666666666666667,0.9759000729485332,2.333333333333334,0.4879500364742667,2.333333333333334,0.4879500364742667,1.3333333333333335,0.4879500364742666,0.0,0.0,0.0,0.0,1.0,0.0
