learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.109375,3.9896500917772455E-9,1000.0,0.9794042766950942,0.9171381591614416,0.995,0.9707862017388053,0.0,0.10741971207087486,0.9738858291644984,0.9484536082474226,0.9484536082474226,1000.0,141000.0,15.0,0.8775693149461831,0.1224306850538169,1365.6666666666667,39.37124887649919,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.1875,6.83940015733242E-9,2000.0,0.99992673992674,0.9557760583791357,0.997,0.9817762118819098,0.9794042766950942,0.0989010989010989,0.9933355458834173,0.9888888888888889,0.9679144385026738,2000.0,141000.0,15.0,0.8832356996578932,0.11676430034210672,2733.1333333333328,57.73816102107181,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.296875,1.2530395502431525E-8,3000.0,0.9997687199198229,0.8815041005491508,0.996,0.9777780246886145,0.99992673992674,0.11234705228031146,0.9844885589290227,0.9702970297029703,0.9583333333333333,3000.0,201128.0,15.0,0.9491621408460098,0.05083785915399018,4109.333333333333,71.27879535083807,6917.333333333333,1317.7354312101754,3.933333333333333,1.0327955589886442,2.4666666666666663,0.5163977794943221,2.4666666666666663,0.5163977794943221,1.4666666666666668,0.5163977794943223,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.359375,1.66293789839579E-8,4000.0,0.993739226201877,0.9052754349100632,0.995,0.9696277577995918,0.9997687199198229,0.1013215859030837,0.9774805886009936,0.9565217391304348,0.9473684210526315,4000.0,253512.0,15.0,0.8402072638582296,0.15979273614177036,5477.933333333333,74.67593479893797,10380.800000000001,2245.997684771736,6.333333333333334,1.632993161855452,3.666666666666667,0.816496580927726,3.666666666666667,0.816496580927726,2.3333333333333335,0.6172133998483678,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.4375,2.2418130861802232E-8,5000.0,0.9989939732415687,0.929308347234622,0.997,0.9857444260705935,0.993739226201877,0.13765642775881684,0.9875254992000196,0.9752066115702479,0.9700598802395209,5000.0,286416.0,15.0,0.9323412848142775,0.06765871518572254,6877.6,80.66137330133392,12556.800000000001,2219.4522876473056,7.8,1.65615734242165,4.3999999999999995,0.828078671210825,4.3999999999999995,0.828078671210825,2.9333333333333336,0.45773770821706344,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.484375,2.6156517883969677E-8,6000.0,0.9994741586538461,0.9251421874929634,0.994,0.9675296562472941,0.9989939732415687,0.11607142857142858,0.9794856662196085,0.9615384615384616,0.940495867768595,6000.0,308280.0,15.0,0.8982791062047434,0.10172089379525653,8262.266666666666,99.59737996171383,14003.199999999999,2942.4837710439706,8.733333333333333,2.1201976547572388,4.866666666666666,1.0600988273786194,4.866666666666666,1.0600988273786194,3.1999999999999997,0.5606119105813882,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.578125,3.500660467478964E-8,7000.0,0.9911963767747188,0.9434820256733714,0.997,0.9806106357126237,0.9994741586538461,0.09409190371991247,0.9824033179248569,0.9651162790697675,0.9696092619392185,7000.0,364904.0,15.0,0.8845718603708047,0.11542813962919538,9615.599999999999,96.47856904885303,17742.93333333333,2585.48186906002,11.666666666666666,1.7994708216848745,6.333333333333333,0.8997354108424372,6.333333333333333,0.8997354108424372,3.466666666666667,0.7432233529572064,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.640625,4.1313598760300214E-8,8000.0,0.9890916349631299,0.8913901351587281,0.993,0.9578992951139125,0.9911963767747188,0.10375275938189846,0.9670247733695171,0.9361702127659575,0.9286624203821655,8000.0,390072.0,15.0,0.8338778464879723,0.16612215351202758,11032.066666666666,112.86304384813721,19410.133333333335,2694.1519170939405,12.733333333333334,1.6676187756655838,6.866666666666667,0.8338093878327919,6.866666666666667,0.8338093878327919,3.8,0.6761234037828133,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.71875,4.968693247064948E-8,9000.0,0.9986071628363644,0.905183614601353,0.991,0.9474151631298494,0.9890916349631299,0.10741971207087486,0.9621746441759553,0.9278350515463918,0.9081632653061223,9000.0,414296.0,15.0,0.9622851607265547,0.03771483927344528,12409.133333333333,113.27328941651749,21011.733333333334,2564.2337609805354,13.666666666666668,1.7994708216848743,7.333333333333334,0.8997354108424371,7.333333333333334,0.8997354108424371,4.066666666666666,0.5936168397046636,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.8125,6.123261603837211E-8,10000.0,0.9894657637321295,0.9058873874175806,0.99,0.9497285340840539,0.9986071628363644,0.12866817155756208,0.9671703052055083,0.9385964912280702,0.8995983935742972,10000.0,476048.0,15.0,0.9459978230615501,0.05400217693844987,13822.733333333334,119.83886006196985,25090.133333333335,2306.457948167854,16.866666666666664,1.5976172734359608,8.933333333333332,0.7988086367179804,8.933333333333332,0.7988086367179804,4.4,0.6324555320336759,0.0,0.0,0.0,0.0,1.0,0.0
