learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.125,1.5040600879324808E-8,1000.0,0.9512534503823702,0.5867389561804124,0.958,0.7487196668740723,0.0,0.10864745011086474,0.8440626395269629,0.7244897959183674,0.571428571428571,1000.0,465112.0,15.0,0.9864824242153498,0.013517575784650212,1031.7333333333331,33.214598052806885,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.265625,3.196127686856521E-8,2000.0,0.9865265396624282,0.599374413228909,0.967,0.8053740357168131,0.9512534503823702,0.10864745011086474,0.8804892526554835,0.7857142857142857,0.6632653061224486,2000.0,465112.0,15.0,0.8417257282478423,0.15827427175215777,2036.6,48.29196916376765,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.328125,3.9481577308227617E-8,3000.0,0.9885801838610827,0.5817702100120173,0.958,0.7689260563380279,0.9865265396624282,0.12359550561797752,0.8470341214260859,0.7272727272727273,0.5882352941176466,3000.0,465112.0,15.0,0.8320684221761006,0.16793157782389936,3041.9999999999995,62.73413288291643,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.421875,5.201814929023385E-8,4000.0,0.9820258889582034,0.5125173233746279,0.961,0.7032505478451422,0.9885801838610827,0.09170305676855896,0.7766375852768321,0.6071428571428571,0.5999999999999998,4000.0,516904.0,15.0,0.910667337135231,0.08933266286476901,4048.933333333334,60.319940634049324,6368.0,1078.3903348443523,3.4000000000000004,0.828078671210825,2.2,0.4140393356054125,2.2,0.4140393356054125,1.2000000000000002,0.4140393356054125,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.5,6.252899765968323E-8,5000.0,0.9878697595233028,0.611816286488328,0.963,0.8056273508583914,0.9820258889582034,0.12485939257592801,0.883350364760235,0.7927927927927928,0.6307385229540913,5000.0,520056.0,15.0,0.928106994907107,0.07189300509289287,5058.4,63.506805034691126,6576.533333333333,1256.834906004914,3.533333333333334,0.9154754164341269,2.2666666666666666,0.4577377082170634,2.2666666666666666,0.4577377082170634,1.266666666666667,0.45773770821706344,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.578125,7.382112218894893E-8,6000.0,0.9901061776061776,0.5558970836586938,0.958,0.7565612538254658,0.9878697595233028,0.12612612612612611,0.8110105395357666,0.6607142857142857,0.5889070146818918,6000.0,558712.0,15.0,0.9897332646453052,0.010266735354694733,6064.133333333334,79.5701547303357,9132.8,1001.6890877769551,5.2666666666666675,0.7037315505489969,3.1333333333333337,0.35186577527449847,3.1333333333333337,0.35186577527449847,2.066666666666667,0.2581988897471612,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.625,8.059639690650834E-8,7000.0,0.9927999894890358,0.6359156598625605,0.975,0.8252334880599517,0.9901061776061776,0.09051254089422028,0.8815636217559863,0.7831325301204819,0.7485632183908043,7000.0,558712.0,15.0,0.9113773809737012,0.08862261902629882,7069.933333333333,79.96916072253515,9132.8,1001.6890877769551,5.2666666666666675,0.7037315505489969,3.1333333333333337,0.35186577527449847,3.1333333333333337,0.35186577527449847,2.066666666666667,0.2581988897471612,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.703125,9.195416674224867E-8,8000.0,0.9932042133876996,0.6305810638180724,0.968,0.8268904108106937,0.9927999894890358,0.122334455667789,0.8883732634777463,0.7981651376146789,0.6819875776397512,8000.0,561960.0,15.0,0.5928184569520094,0.4071815430479905,8087.866666666667,90.95121664674865,9347.733333333334,1512.706914614926,5.4,1.121223821162776,3.2,0.560611910581388,3.2,0.560611910581388,2.066666666666667,0.2581988897471612,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.78125,1.0404939530417323E-7,9000.0,0.9892947327239748,0.603531076809594,0.964,0.782406344063924,0.9932042133876996,0.10253583241455347,0.8781226195252764,0.7849462365591398,0.6391982182628058,9000.0,598448.0,15.0,0.9630198491163934,0.0369801508836065,9101.133333333333,93.30967387197994,11757.866666666663,1016.5149051445101,7.2666666666666675,0.7037315505489969,4.133333333333333,0.35186577527449847,4.133333333333333,0.35186577527449847,2.1333333333333337,0.35186577527449847,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.84375,1.137959447482394E-7,10000.0,0.9910205021402183,0.6217935597516128,0.967,0.8191344762572893,0.9892947327239748,0.11982082866741321,0.8857805445665832,0.794392523364486,0.671641791044776,10000.0,602800.0,15.0,0.8613717245933041,0.1386282754066958,10120.533333333335,100.9482658640176,12046.4,1203.7700777141788,7.400000000000001,0.8280786712108251,4.199999999999999,0.4140393356054126,4.199999999999999,0.4140393356054126,2.2000000000000006,0.41403933560541256,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,0.890625,1.2115184088341066E-7,11000.0,0.9927601475104527,0.6584269474236559,0.977,0.8574403728863985,0.9910205021402183,0.09769484083424808,0.9245117294350959,0.8651685393258427,0.7687385740402192,11000.0,606592.0,15.0,0.8913512069838995,0.10864879301610042,11137.0,95.56897284908202,12297.599999999999,1705.8452785307682,7.533333333333334,1.1872336794093274,4.266666666666667,0.5936168397046637,4.266666666666667,0.5936168397046637,2.266666666666667,0.5936168397046637,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,0.96875,1.3369866388125555E-7,12000.0,0.9950663942798774,0.6605333728660241,0.975,0.8675707172369954,0.9927601475104527,0.12359550561797752,0.9153441724481176,0.8454545454545455,0.7508305647840531,12000.0,620792.0,15.0,0.7689711014207475,0.23102889857925232,12140.266666666666,76.92340036562042,13236.266666666666,1788.897484352809,8.2,1.2649110640673518,4.6,0.6324555320336759,4.6,0.6324555320336759,2.5999999999999996,0.6324555320336759,0.0,0.0,0.0,0.0,1.0,0.0
13000.0,1.078125,1.5238946717646388E-7,13000.0,0.9927933374941489,0.6493947403037142,0.969,0.8423515052888526,0.9950663942798774,0.13122171945701358,0.8998339854859236,0.8189655172413793,0.6946969696969696,13000.0,660560.0,15.0,0.8722124309173677,0.12778756908263236,13139.0,70.12437929442626,15863.466666666667,1982.5443200474438,10.200000000000001,1.4735767952260144,5.6000000000000005,0.7367883976130072,5.6000000000000005,0.7367883976130072,3.333333333333334,0.48795003647426644,0.0,0.0,0.0,0.0,1.0,0.0
14000.0,1.15625,1.6589865683474477E-7,14000.0,0.9940486775497623,0.6687275147655528,0.974,0.8412872822278381,0.9927933374941489,0.10253583241455347,0.9048914115869813,0.8279569892473119,0.7423920736022646,14000.0,668408.0,15.0,0.9305041832612104,0.06949581673878946,14143.399999999998,80.24142143734585,16383.466666666669,1950.815721935924,10.466666666666667,1.4074631010979934,5.733333333333333,0.7037315505489967,5.733333333333333,0.7037315505489967,3.333333333333334,0.48795003647426644,0.0,0.0,0.0,0.0,1.0,0.0
