learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes)
1000.0,0.328125,7.156175949300329E-8,1000.0,0.9711785457410008,0.8707817083113624,0.936,0.7137003337180486,0.0,0.10741971207087486,0.9550586849562362,0.979381443298969,0.3402061855670107,1000.0,843032.0
2000.0,0.5625,1.3481553954382737E-7,2000.0,0.99898247462172,0.9410646078675636,0.993,0.9587069372345446,0.9711785457410008,0.1013215859030837,0.9863437385129663,0.9782608695652174,0.9259259259259259,2000.0,1043224.0
3000.0,0.796875,2.0064549365391335E-7,3000.0,0.9999094981673379,0.9862686178507764,0.998,0.9887892376681614,0.99898247462172,0.10864745011086474,0.9988907373180403,1.0,0.9790940766550522,3000.0,1085712.0
4000.0,0.953125,2.460413250244326E-7,4000.0,0.999023199023199,0.9879054129664651,0.996,0.9760593727555662,0.9999094981673379,0.0989010989010989,0.99779977731226,1.0,0.9575596816976126,4000.0,1123048.0
5000.0,1.125,2.9752729460597036E-7,5000.0,0.9998624416605256,0.9839384789291599,0.997,0.985426989215972,0.999023199023199,0.12994350282485875,0.9983036459372095,1.0,0.9695121951219512,5000.0,1157920.0
6000.0,1.28125,3.459628593797485E-7,6000.0,0.9999195624195624,0.9796091788579758,0.996,0.9800462926011653,0.9998624416605256,0.12612612612612611,0.9938426506674557,0.9910714285714286,0.9602649006622517,6000.0,1198248.0
7000.0,1.484375,4.1107055343066647E-7,7000.0,0.9999175359749309,0.9803379075579306,0.997,0.9795025963377972,0.9999195624195624,0.08577633007600434,0.9925712606660053,0.9873417721518988,0.9692532942898975,7000.0,1239000.0
8000.0,1.609375,4.5206271655236675E-7,8000.0,0.9997957099080694,0.9690846844408955,0.996,0.9797324685853263,0.9999175359749309,0.12359550561797752,0.9937650365685173,0.990909090909091,0.9596469104665826,8000.0,1267632.0
9000.0,1.78125,5.089608667832281E-7,9000.0,1.0,0.9902228482318145,0.996,0.97695533944785,0.9997957099080694,0.10375275938189846,0.9977900525473645,1.0,0.9594137542277339,9000.0,1279640.0
10000.0,1.953125,5.693026792464984E-7,10000.0,0.9987434003182035,0.9766394971363521,0.994,0.9700703347134234,1.0,0.12485939257592801,0.9926819044236271,0.990990990990991,0.939879759519038,10000.0,1357088.0
11000.0,2.09375,6.197137150189115E-7,11000.0,0.9992599810061792,0.9782763802805251,0.993,0.9583114964981656,0.9987434003182035,0.09769484083424808,0.9961506593453423,1.0,0.9291628334866605,11000.0,1385688.0
12000.0,2.25,6.769033886181811E-7,12000.0,0.9999594645263936,0.9848511005880604,0.997,0.9849768643711315,0.9992599810061792,0.12485939257592801,0.9983112850320146,1.0,0.9699499165275459,12000.0,1414816.0
13000.0,2.390625,7.288793373542527E-7,13000.0,0.9998613916280543,0.9864182925881692,0.993,0.966250747304881,0.9999594645263936,0.12866817155756208,0.9960418278361091,1.0,0.9306402439024389,13000.0,1428704.0
14000.0,2.5625,7.934199917751053E-7,14000.0,0.9994819867043254,0.9852904908148794,0.996,0.9758229271182137,0.9998613916280543,0.09769484083424808,0.9978021951452417,1.0,0.960028551034975,14000.0,1451520.0
15000.0,2.71875,8.536332299829357E-7,15000.0,0.9999023199023199,0.9778804942778782,0.996,0.9758220502901354,0.9994819867043254,0.0989010989010989,0.9927884042578337,0.9888888888888889,0.959758551307847,15000.0,1489616.0
16000.0,2.890625,9.216328423159817E-7,16000.0,0.9999871423979427,0.9872515228504899,0.999,0.9936053203734493,0.9999023199023199,0.09289617486338798,0.9994534025281702,1.0,0.9898477157360406,16000.0,1529312.0
17000.0,3.09375,1.003549356634418E-6,17000.0,0.9999897033536177,0.9854303557130443,0.996,0.9797330847258393,0.9999871423979427,0.122334455667789,0.9977528061485614,1.0,0.9596439169139466,17000.0,1558872.0
18000.0,3.28125,1.0826659854501484E-6,18000.0,0.998079637933898,0.8958804751295188,0.994,0.9691103789126853,0.9999897033536177,0.1210762331838565,0.9884736816085118,0.9814814814814815,0.9397657557166759,18000.0,1631056.0
19000.0,3.46875,1.1643689746658006E-6,19000.0,0.9997866059679198,0.9693495746692475,0.994,0.965435000518475,0.998079637933898,0.10253583241455347,0.9966869042008693,1.0,0.9395546129374337,19000.0,1684376.0
20000.0,3.65625,1.2485007755458354E-6,20000.0,0.9995199182839632,0.9533219555525658,0.993,0.9646714444332289,0.9997866059679198,0.12359550561797752,0.9880801330540238,0.9818181818181818,0.9298597194388777,20000.0,1734448.0
21000.0,3.828125,1.3271497381437154E-6,21000.0,0.9996803324542476,0.9617374194599823,0.995,0.9715889719753619,0.9995199182839632,0.10741971207087486,0.9879917430581755,0.979381443298969,0.9498327759197324,21000.0,1768816.0
22000.0,3.984375,1.3997851379422677E-6,22000.0,0.9998257687951912,0.9833556092169659,0.993,0.9669786398973508,0.9996803324542476,0.13250283125707815,0.9960283531010553,1.0,0.9303167420814479,22000.0,1796928.0
23000.0,4.171875,1.4874784715680613E-6,23000.0,0.9999155797560255,0.9759021471824525,0.995,0.9741559327640746,0.9998257687951912,0.1185682326621924,0.9971996584619798,1.0,0.9503454231433506,23000.0,1807872.0
24000.0,4.359375,1.5778679840473666E-6,24000.0,0.9994008112094396,0.9539623877441222,0.993,0.9605873609296878,0.9999155797560255,0.10619469026548672,0.991471281661694,0.9895833333333334,0.9303482587064676,24000.0,1863456.0
25000.0,4.546875,1.6697126880495086E-6,25000.0,0.9998568266170332,0.9781181071147653,0.989,0.942219607513552,0.9994008112094396,0.11234705228031146,0.9938632614323344,1.0,0.8905690409868683,25000.0,1893456.0
26000.0,4.75,1.771342067513615E-6,26000.0,0.9994383394383395,0.9649040767258994,0.995,0.9702203692674211,0.9998568266170332,0.0989010989010989,0.9972489631508746,1.0,0.9500576258163657,26000.0,1934008.0
27000.0,4.921875,1.858266348588384E-6,27000.0,0.9993156281920327,0.984943625444762,0.995,0.9749624436654982,0.9994383394383395,0.12359550561797752,0.9971870549059039,1.0,0.9502395871728714,27000.0,1954928.0
28000.0,5.125,1.9616895264738964E-6,28000.0,0.9997111111111111,0.9679219666556849,0.994,0.9672489082969432,0.9993156281920327,0.1111111111111111,0.9922197337283712,0.99,0.9402772840383931,28000.0,1968144.0
29000.0,5.296875,2.049467164195246E-6,29000.0,0.9997632575757576,0.9763281370761057,0.996,0.9755811681969134,0.9997111111111111,0.09649122807017543,0.9978046076701186,1.0,0.9600137883488452,29000.0,1974120.0
30000.0,5.46875,2.138525370456692E-6,30000.0,0.9998908249268527,0.9785539558972652,0.996,0.9783531041648628,0.9997632575757576,0.11358574610244988,0.9934224044760664,0.9901960784313726,0.96003996003996,30000.0,2002920.0
31000.0,5.703125,2.2610491012326543E-6,31000.0,0.9993479626797548,0.9835025538917682,0.995,0.9710601254832959,0.9998908249268527,0.10253583241455347,0.9972398512082874,1.0,0.9499354005167958,31000.0,2020744.0
32000.0,5.875,2.351958440461506E-6,32000.0,0.9998981854382551,0.9907635458081223,0.996,0.977778765388205,0.9993479626797548,0.10864745011086474,0.9977802414357365,1.0,0.9599248591108328,32000.0,2044552.0
33000.0,6.046875,2.443105752010726E-6,33000.0,0.9998200757575758,0.9867465166235734,0.997,0.985947161326588,0.9998981854382551,0.13636363636363635,0.9982939993263052,1.0,0.9701267350633676,33000.0,2049904.0
34000.0,6.171875,2.5097328276994324E-6,34000.0,0.9994772022853728,0.9742628774702242,0.99,0.9546032322498638,0.9998200757575758,0.13895216400911162,0.990775822410762,0.9918032786885246,0.9010477299185098,34000.0,2060360.0
35000.0,6.390625,2.6301226979638965E-6,35000.0,0.9918333333333333,0.9671660847317205,0.994,0.9672489082969432,0.9994772022853728,0.1111111111111111,0.9922197337283712,0.99,0.9406108597285068,35000.0,2127376.0
36000.0,6.5,2.6907744338839416E-6,36000.0,0.9995613567118351,0.9842574923173633,0.993,0.9598623853211009,0.9918333333333333,0.10253583241455347,0.9961336502563791,1.0,0.9305593827500689,36000.0,2143520.0
37000.0,6.71875,2.8124287685689822E-6,37000.0,0.9997888888888888,0.9841301079196629,0.996,0.9781659388646288,0.9995613567118351,0.1111111111111111,0.9977753031397177,1.0,0.9603110753553231,37000.0,2149720.0
38000.0,6.90625,2.917558789098014E-6,38000.0,0.9996684350132626,0.976947259002089,0.996,0.9807840122982321,0.9997888888888888,0.13122171945701358,0.997734991429173,1.0,0.9604681404421326,38000.0,2167344.0
